Team,No,Starter,Player,Min,PTS,2PM,2PA,2P%,3PM,3PA,3P%,FGM,FGA,FG%,FTM,FTA,FT%,OREB,DREB,TREB,AST,TOV,STL,BLK,BLKA,DNK,PF,FD,+/-,PIR,Player_ID,Logo_URL,Min_Sec
GRUPO CAESA SEGUROS FC CARTAGENA CB,0,0,J. Lopez Santana,20:04,4,2,3,66.7,0,4,0.0,2,7,28.6,0,0,0.0,0,2,2,5,0,0,0,0,0,0,0,2,6,1525747,https://imagenes.feb.es/foto.aspx?c=1525747,1204
GRUPO CAESA SEGUROS FC CARTAGENA CB,1,0,C. Polynice,21:32,7,0,0,0.0,2,7,28.6,2,7,28.6,1,2,50.0,1,4,5,2,0,0,5,0,0,2,2,0,13,2862304,https://imagenes.feb.es/foto.aspx?c=2862304,1292
GRUPO CAESA SEGUROS FC CARTAGENA CB,2,1,A. Garuba Alari,18:32,12,4,4,100.0,1,1,100.0,5,5,100.0,1,1,100.0,2,5,7,0,1,1,0,0,1,2,3,12,20,2159336,https://imagenes.feb.es/foto.aspx?c=2159336,1112
GRUPO CAESA SEGUROS FC CARTAGENA CB,4,0,I. Rivera Carroll,16:26,6,0,0,0.0,2,4,50.0,2,4,50.0,0,0,0.0,0,2,2,1,0,0,0,0,0,3,0,3,4,2816796,https://imagenes.feb.es/foto.aspx?c=2816796,986
GRUPO CAESA SEGUROS FC CARTAGENA CB,5,0,A. Martin Marin,20:14,5,1,1,100.0,1,3,33.3,2,4,50.0,0,0,0.0,1,1,2,5,2,1,0,0,0,1,1,17,9,1384223,https://imagenes.feb.es/foto.aspx?c=1384223,1214
GRUPO CAESA SEGUROS FC CARTAGENA CB,10,1,K. Webster,22:56,15,4,5,80.0,2,5,40.0,6,10,60.0,1,3,33.3,0,2,2,1,5,2,0,0,0,1,3,3,11,2862296,https://imagenes.feb.es/foto.aspx?c=2862296,1376
GRUPO CAESA SEGUROS FC CARTAGENA CB,11,0,E. Idehen Idehen,11:32,3,1,1,100.0,0,0,0.0,1,1,100.0,1,2,50.0,1,0,1,0,2,0,0,0,0,3,1,8,-1,2525411,https://imagenes.feb.es/foto.aspx?c=2525411,692
GRUPO CAESA SEGUROS FC CARTAGENA CB,12,1,A. Domenech Fontana,23:36,3,0,2,0.0,1,5,20.0,1,7,14.3,0,0,0.0,3,5,8,0,0,1,1,0,0,4,1,20,4,1923881,https://imagenes.feb.es/foto.aspx?c=1923881,1416
GRUPO CAESA SEGUROS FC CARTAGENA CB,13,1,V. Faverani Tatsch,23:20,15,4,5,80.0,0,4,0.0,4,9,44.4,7,9,77.8,2,8,10,1,4,2,0,0,1,5,6,0,18,2820135,https://imagenes.feb.es/foto.aspx?c=2820135,1400
GRUPO CAESA SEGUROS FC CARTAGENA CB,15,0,M. Ayesa Rodriguez,00:00,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2736779,https://imagenes.feb.es/foto.aspx?c=2736779,0
GRUPO CAESA SEGUROS FC CARTAGENA CB,19,0,A. Harguindey Maneiro,00:00,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1997544,https://imagenes.feb.es/foto.aspx?c=1997544,0
GRUPO CAESA SEGUROS FC CARTAGENA CB,20,1,S. Svejcar,21:48,12,2,3,66.7,2,3,66.7,4,6,66.7,2,3,66.7,1,1,2,3,1,0,0,0,0,1,3,5,15,2816849,https://imagenes.feb.es/foto.aspx?c=2816849,1308
MELILLA CIUDAD DEL DEPORTE,0,1,J. Godspower Johnson,20:14,3,0,1,0.0,1,5,20.0,1,6,16.7,0,0,0.0,0,1,1,2,2,0,0,0,0,2,1,6,-2,1878729,https://imagenes.feb.es/foto.aspx?c=1878729,1214
MELILLA CIUDAD DEL DEPORTE,4,1,S. Ceccardi,21:18,12,1,3,33.3,2,5,40.0,3,8,37.5,4,4,100.0,0,0,0,2,3,1,0,2,0,2,4,-13,9,2787126,https://imagenes.feb.es/foto.aspx?c=2787126,1278
MELILLA CIUDAD DEL DEPORTE,6,0,J. Bergstedt,07:12,2,0,1,0.0,0,0,0.0,0,1,0.0,2,6,33.3,2,0,2,0,0,0,0,0,0,1,4,-13,2,2865599,https://imagenes.feb.es/foto.aspx?c=2865599,432
MELILLA CIUDAD DEL DEPORTE,7,0,P. Cordoba Muro,17:37,1,0,2,0.0,0,1,0.0,0,3,0.0,1,2,50.0,1,0,1,3,0,1,0,2,0,4,2,-9,0,1677841,https://imagenes.feb.es/foto.aspx?c=1677841,1057
MELILLA CIUDAD DEL DEPORTE,9,1,I. Cruz Uceda,20:21,8,1,3,33.3,2,5,40.0,3,8,37.5,0,0,0.0,1,1,2,1,2,0,0,0,0,1,1,-16,4,1382710,https://imagenes.feb.es/foto.aspx?c=1382710,1221
MELILLA CIUDAD DEL DEPORTE,10,1,N. Hoover,23:29,8,0,2,0.0,2,4,50.0,2,6,33.3,2,2,100.0,0,2,2,1,3,1,0,0,0,1,1,-18,5,2532075,https://imagenes.feb.es/foto.aspx?c=2532075,1409
