Team,No,Starter,Player,Min,PTS,2PM,2PA,2P%,3PM,3PA,3P%,FGM,FGA,FG%,FTM,FTA,FT%,OREB,DREB,TREB,AST,TOV,STL,BLK,BLKA,DNK,PF,FD,+/-,PIR,Player_ID,Logo_URL,Min_Sec
CLOUD.GAL OURENSE BALONCESTO ,7,1,A. Vrabac,23:14,11,3,6,50.0,1,2,50.0,4,8,50.0,2,2,100.0,0,2,2,1,2,1,0,0,0,4,3,-4,8,2867056,https://imagenes.feb.es/foto.aspx?c=2867056,1394
CLOUD.GAL OURENSE BALONCESTO ,9,1,C. Okanu,15:41,7,3,4,75.0,0,0,0.0,3,4,75.0,1,2,50.0,1,3,4,0,2,0,0,0,2,2,4,1,9,2819330,https://imagenes.feb.es/foto.aspx?c=2819330,941
CLOUD.GAL OURENSE BALONCESTO ,10,0,I. Vazquez Perez,17:50,7,2,4,50.0,1,3,33.3,3,7,42.9,0,0,0.0,3,0,3,0,1,3,0,0,0,2,1,1,7,1778999,https://imagenes.feb.es/foto.aspx?c=1778999,1070
CLOUD.GAL OURENSE BALONCESTO ,11,0,M. Fernandez Carballo,12:44,7,1,4,25.0,0,2,0.0,1,6,16.7,5,6,83.3,0,1,1,1,0,1,0,0,0,0,3,5,7,1886852,https://imagenes.feb.es/foto.aspx?c=1886852,764
CLOUD.GAL OURENSE BALONCESTO ,12,0,S. Huguet Carrasco,00:00,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1765084,https://imagenes.feb.es/foto.aspx?c=1765084,0
CLOUD.GAL OURENSE BALONCESTO ,22,1,G. Kalscheur,25:04,12,1,3,33.3,3,4,75.0,4,7,57.1,1,2,50.0,0,3,3,1,0,1,0,0,0,3,3,-1,13,2819327,https://imagenes.feb.es/foto.aspx?c=2819327,1504
CLOUD.GAL OURENSE BALONCESTO ,23,0,D. Saraiva Seixas,16:46,5,1,3,33.3,1,2,50.0,2,5,40.0,0,0,0.0,0,2,2,1,1,0,0,0,0,1,0,6,3,2819332,https://imagenes.feb.es/foto.aspx?c=2819332,1006
CLOUD.GAL OURENSE BALONCESTO ,24,1,S. Mc Donnell,23:31,10,2,3,66.7,2,2,100.0,4,5,80.0,0,0,0.0,2,2,4,2,1,0,0,0,0,2,1,-2,13,2781800,https://imagenes.feb.es/foto.aspx?c=2781800,1411
CLOUD.GAL OURENSE BALONCESTO ,27,0,M. Iglesias Fernandez,11:48,6,3,5,60.0,0,0,0.0,3,5,60.0,0,0,0.0,3,1,4,1,1,0,0,0,1,2,1,5,7,1863291,https://imagenes.feb.es/foto.aspx?c=1863291,708
CLOUD.GAL OURENSE BALONCESTO ,28,1,R. Dias Marques Lisboa Santos,24:59,9,2,7,28.6,1,2,50.0,3,9,33.3,2,2,100.0,0,2,2,4,3,0,0,0,0,3,2,-1,5,2650871,https://imagenes.feb.es/foto.aspx?c=2650871,1499
CLOUD.GAL OURENSE BALONCESTO ,35,0,R. Gill,12:40,2,1,2,50.0,0,0,0.0,1,2,50.0,0,0,0.0,1,0,1,0,0,1,2,0,0,1,2,-4,6,2654188,https://imagenes.feb.es/foto.aspx?c=2654188,760
CLOUD.GAL OURENSE BALONCESTO ,41,0,C. Jürgens,15:43,3,1,3,33.3,0,3,0.0,1,6,16.7,1,2,50.0,0,1,1,2,0,1,0,0,1,1,1,4,1,2819335,https://imagenes.feb.es/foto.aspx?c=2819335,943
GRUPO URETA TIZONA BURGOS,5,1,M. Jackson,19:11,6,0,2,0.0,1,4,25.0,1,6,16.7,3,3,100.0,0,2,2,4,1,0,0,0,0,2,5,7,9,2814904,https://imagenes.feb.es/foto.aspx?c=2814904,1151
GRUPO URETA TIZONA BURGOS,8,1,F. Terins,25:05,11,4,5,80.0,0,3,0.0,4,8,50.0,3,4,75.0,2,5,7,6,4,1,0,0,0,2,6,7,20,2814906,https://imagenes.feb.es/foto.aspx?c=2814906,1505
