Team,No,Starter,Player,Min,PTS,2PM,2PA,2P%,3PM,3PA,3P%,FGM,FGA,FG%,FTM,FTA,FT%,OREB,DREB,TREB,AST,TOV,STL,BLK,BLKA,DNK,PF,FD,+/-,PIR,Player_ID,Logo_URL,Min_Sec
ALIMERKA OVIEDO BALONCESTO,3,1,M. Townes Villar,22:02,9,2,5,40.0,0,3,0.0,2,8,25.0,5,9,55.6,0,3,3,2,3,1,0,1,0,0,4,-10,6,2839186,https://imagenes.feb.es/foto.aspx?c=2839186,1322
ALIMERKA OVIEDO BALONCESTO,4,1,A. Faure Ribes,21:32,12,5,7,71.4,0,0,0.0,5,7,71.4,2,4,50.0,4,3,7,1,3,0,0,1,2,2,3,5,14,1853585,https://imagenes.feb.es/foto.aspx?c=1853585,1292
ALIMERKA OVIEDO BALONCESTO,5,1,G. Parham Ii,31:40,27,6,13,46.2,4,8,50.0,10,21,47.6,3,3,100.0,0,3,3,5,3,1,0,1,0,3,2,31,21,2815325,https://imagenes.feb.es/foto.aspx?c=2815325,1900
ALIMERKA OVIEDO BALONCESTO,7,0,D. Duscak,22:22,7,1,3,33.3,1,2,50.0,2,5,40.0,2,2,100.0,1,0,1,9,1,2,0,0,0,3,1,23,13,2822575,https://imagenes.feb.es/foto.aspx?c=2822575,1342
ALIMERKA OVIEDO BALONCESTO,11,0,F. Copes,02:46,0,0,1,0.0,0,0,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,1,0,-8,-2,2822577,https://imagenes.feb.es/foto.aspx?c=2822577,166
ALIMERKA OVIEDO BALONCESTO,14,0,D. Shelist,15:46,9,4,4,100.0,0,2,0.0,4,6,66.7,1,1,100.0,1,2,3,0,0,3,0,0,1,2,1,13,12,2822578,https://imagenes.feb.es/foto.aspx?c=2822578,946
ALIMERKA OVIEDO BALONCESTO,24,0,C. Hermanson,02:40,0,0,0,0.0,0,3,0.0,0,3,0.0,0,0,0.0,0,0,0,0,1,0,0,0,0,0,0,1,-4,2735658,https://imagenes.feb.es/foto.aspx?c=2735658,160
ALIMERKA OVIEDO BALONCESTO,35,1,F. Nwaokorie,25:02,6,3,3,100.0,0,3,0.0,3,6,50.0,0,1,0.0,2,1,3,1,0,0,0,0,1,1,1,2,6,2819514,https://imagenes.feb.es/foto.aspx?c=2819514,1502
ALIMERKA OVIEDO BALONCESTO,41,0,R. Cosialls Borras,17:40,0,0,0,0.0,0,0,0.0,0,0,0.0,0,2,0.0,4,3,7,2,0,1,0,0,0,3,4,18,9,1662155,https://imagenes.feb.es/foto.aspx?c=1662155,1060
ALIMERKA OVIEDO BALONCESTO,44,0,P. Gonzalez Longarela,00:00,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1821152,https://imagenes.feb.es/foto.aspx?c=1821152,0
ALIMERKA OVIEDO BALONCESTO,48,0,J. Arias Gonzalez,08:57,8,1,1,100.0,2,4,50.0,3,5,60.0,0,0,0.0,1,1,2,0,0,0,0,0,0,2,0,3,6,1981938,https://imagenes.feb.es/foto.aspx?c=1981938,537
ALIMERKA OVIEDO BALONCESTO,55,1,R. Lobaco Muñoz,29:33,12,1,2,50.0,2,6,33.3,3,8,37.5,4,4,100.0,4,2,6,1,0,1,0,0,0,2,3,17,16,1978545,https://imagenes.feb.es/foto.aspx?c=1978545,1773
INVEREADY GIPUZKOA,0,1,A. Ngom,20:23,5,2,6,33.3,0,0,0.0,2,6,33.3,1,2,50.0,1,5,6,0,3,0,1,0,1,2,1,-14,3,2640663,https://imagenes.feb.es/foto.aspx?c=2640663,1223
INVEREADY GIPUZKOA,1,0,J. Tate,00:00,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2862573,https://imagenes.feb.es/foto.aspx?c=2862573,0
INVEREADY GIPUZKOA,2,1,O. Hanzlik,23:28,12,2,3,66.7,1,6,16.7,3,9,33.3,5,5,100.0,0,1,1,1,0,1,0,0,0,2,2,-19,9,2678649,https://imagenes.feb.es/foto.aspx?c=2678649,1408
INVEREADY GIPUZKOA,6,0,A. Zubizarreta Aranbarri,18:34,4,1,2,50.0,0,0,0.0,1,2,50.0,2,2,100.0,1,3,4,6,5,0,0,0,0,0,7,3,15,1749125,https://imagenes.feb.es/foto.aspx?c=1749125,1114
INVEREADY GIPUZKOA,9,0,M. Motos Cabodevilla,20:59,2,1,2,50.0,0,0,0.0,1,2,50.0,0,0,0.0,0,1,1,1,2,1,0,0,0,2,0,-8,0,1447983,https://imagenes.feb.es/foto.aspx?c=1447983,1259
INVEREADY GIPUZKOA,10,0,M. Ansorregui Deba,19:43,2,1,4,25.0,0,1,0.0,1,5,20.0,0,0,0.0,1,4,5,2,2,2,0,0,0,2,0,-4,3,2082685,https://imagenes.feb.es/foto.aspx?c=2082685,1183
INVEREADY GIPUZKOA,11,1,G. Maiza Apecechea,16:32,7,2,3,66.7,1,2,50.0,3,5,60.0,0,1,0.0,1,0,1,2,0,0,0,0,0,2,1,-9,6,1822814,https://imagenes.feb.es/foto.aspx?c=1822814,992
INVEREADY GIPUZKOA,12,0,J. Nicolau Aledon,16:09,6,2,4,50.0,0,0,0.0,2,4,50.0,2,4,50.0,1,2,3,1,2,0,1,0,0,3,3,-6,5,1988355,https://imagenes.feb.es/foto.aspx?c=1988355,969
INVEREADY GIPUZKOA,13,0,T. Mcghie,29:01,18,1,2,50.0,5,10,50.0,6,12,50.0,1,1,100.0,1,2,3,1,0,1,0,0,0,1,2,-13,18,2814207,https://imagenes.feb.es/foto.aspx?c=2814207,1741
INVEREADY GIPUZKOA,22,1,G. Korsantia,19:39,13,5,6,83.3,0,1,0.0,5,7,71.4,3,3,100.0,4,1,5,0,3,2,1,0,0,5,3,-8,14,2813562,https://imagenes.feb.es/foto.aspx?c=2813562,1179
INVEREADY GIPUZKOA,24,1,I. Arroyo Varela,15:32,2,1,1,100.0,0,2,0.0,1,3,33.3,0,0,0.0,0,1,1,0,2,1,0,0,0,1,0,-17,-1,2275973,https://imagenes.feb.es/foto.aspx?c=2275973,932
