match_id,jornada,fecha_jornada,equipo_local,equipo_visitante,resultado
2486258,Jornada 1,26/09/2025,HLA ALICANTE,CLOUD.GAL OURENSE BALONCESTO,87-76
2486259,Jornada 1,26/09/2025,HESTIA MENORCA,MONBUS OBRADOIRO,97-77
2486260,Jornada 1,26/09/2025,PALMER BASKET MALLORCA PALMA,SÚPER AGROPAL PALENCIA,69-78
2486261,Jornada 1,26/09/2025,GRUPO URETA TIZONA BURGOS,MELILLA CIUDAD DEL DEPORTE,106-91
2486262,Jornada 1,26/09/2025,INVEREADY GIPUZKOA,LEYMA CORUÑA,63-79
2486264,Jornada 1,26/09/2025,GRUPO CAESA SEGUROS FC CARTAGENA CB,FIBWI MALLORCA BASQUET PALMA,72-70
2486265,Jornada 1,26/09/2025,ALIMERKA OVIEDO BALONCESTO,MOVISTAR ESTUDIANTES,87-101
2486266,Jornada 1,26/09/2025,GRUPO ALEGA CANTABRIA,CAJA RURAL CB ZAMORA,72-96
2486267,Jornada 2,03/10/2025,HESTIA MENORCA,FIBWI MALLORCA BASQUET PALMA,70-71
2486268,Jornada 2,03/10/2025,LEYMA CORUÑA,ALIMERKA OVIEDO BALONCESTO,87-72
2486269,Jornada 2,03/10/2025,MONBUS OBRADOIRO,GRUPO ALEGA CANTABRIA,82-87
2486270,Jornada 2,03/10/2025,MOVISTAR ESTUDIANTES,INVEREADY GIPUZKOA,93-88
2486271,Jornada 2,03/10/2025,FLEXICAR FUENLABRADA,MELILLA CIUDAD DEL DEPORTE,82-73
2486272,Jornada 2,03/10/2025,CLOUD.GAL OURENSE BALONCESTO,PALMER BASKET MALLORCA PALMA,82-69
2486273,Jornada 2,03/10/2025,SÚPER AGROPAL PALENCIA,GRUPO CAESA SEGUROS FC CARTAGENA CB,90-73
2486274,Jornada 2,03/10/2025,CAJA RURAL CB ZAMORA,GRUPO URETA TIZONA BURGOS,101-95
2486276,Jornada 3,10/10/2025,HLA ALICANTE,FIBWI MALLORCA BASQUET PALMA,81-74
2486277,Jornada 3,10/10/2025,HESTIA MENORCA,LEYMA CORUÑA,80-102
2486279,Jornada 3,10/10/2025,GRUPO URETA TIZONA BURGOS,FLEXICAR FUENLABRADA,89-93
2486280,Jornada 3,10/10/2025,INVEREADY GIPUZKOA,MONBUS OBRADOIRO,95-96
2486281,Jornada 3,10/10/2025,GRUPO CAESA SEGUROS FC CARTAGENA CB,ALIMERKA OVIEDO BALONCESTO,82-78
2486282,Jornada 3,10/10/2025,GRUPO ALEGA CANTABRIA,SÚPER AGROPAL PALENCIA,58-107
2486283,Jornada 3,10/10/2025,CAJA RURAL CB ZAMORA,CLOUD.GAL OURENSE BALONCESTO,84-94
2486284,Jornada 3,10/10/2025,MELILLA CIUDAD DEL DEPORTE,MOVISTAR ESTUDIANTES,70-82
2486285,Jornada 4,17/10/2025,FIBWI MALLORCA BASQUET PALMA,CAJA RURAL CB ZAMORA,88-83
2486286,Jornada 4,17/10/2025,LEYMA CORUÑA,PALMER BASKET MALLORCA PALMA,91-75
2486287,Jornada 4,17/10/2025,MONBUS OBRADOIRO,MELILLA CIUDAD DEL DEPORTE,79-59
2486288,Jornada 4,17/10/2025,INVEREADY GIPUZKOA,GRUPO CAESA SEGUROS FC CARTAGENA CB,75-69
2486289,Jornada 4,17/10/2025,MOVISTAR ESTUDIANTES,HLA ALICANTE,88-82
2486290,Jornada 4,17/10/2025,FLEXICAR FUENLABRADA,GRUPO ALEGA CANTABRIA,90-75
