Team,Player,Short_Name,Position,Height_cm,Nationality
ALIMERKA OVIEDO BALONCESTO,Federico Copes,F. Copes,Alero,197.0,Italia
ALIMERKA OVIEDO BALONCESTO,Robert Cosialls Borras,R. Cosialls,Ala Pívot,204.0,España
ALIMERKA OVIEDO BALONCESTO,Dan Duscak,D. Duscak,Base,185.0,Eslovenia
ALIMERKA OVIEDO BALONCESTO,Alonso Faure Ribes,A. Faure,Pívot,208.0,España
ALIMERKA OVIEDO BALONCESTO,Pablo Gonzalez Longarela,P. Gonzalez,Escolta,188.0,España
ALIMERKA OVIEDO BALONCESTO,Calvin Alexander Roden Hermanson,C. Hermanson,Alero,198.0,Estados Unidos
ALIMERKA OVIEDO BALONCESTO,Raul Lobaco Muñoz,R. Lobaco,Escolta,190.0,España
ALIMERKA OVIEDO BALONCESTO,Francis  Nwaokorie,F. Nwaokorie,Ala Pívot,201.0,Nigeria
ALIMERKA OVIEDO BALONCESTO,Gregory Alden Parham Ii,G. Ii,Base,192.0,Estados Unidos
ALIMERKA OVIEDO BALONCESTO,Daniil Shelist,D. Shelist,Pívot,203.0,Ucrania
ALIMERKA OVIEDO BALONCESTO,Marques Rashaad Townes Villar,M. Villar,Base,193.0,República Dominicana
CAJA RURAL CB ZAMORA,Omar Kabir Lo,O. Lo,Ala Pívot,206.0,Senegal
CAJA RURAL CB ZAMORA,Alvaro Martinez Clariana,A. Martinez,Alero,200.0,España
CAJA RURAL CB ZAMORA,Toni Naspler Peraire,T. Naspler,Base,198.0,España
CAJA RURAL CB ZAMORA,Jonas Paukstè,J. Paukstè,Pívot,224.0,Lituania
CAJA RURAL CB ZAMORA,Josep Peris Crespo,J. Peris,Escolta,192.0,España
CAJA RURAL CB ZAMORA,Bine Prepelic,B. Prepelic,Ala Pívot,200.0,Eslovenia
CAJA RURAL CB ZAMORA,Tyrell Paul Roberts,T. Roberts,Base,180.0,Estados Unidos
CAJA RURAL CB ZAMORA,Colby Allen Rogers,C. Rogers,Escolta,190.0,Estados Unidos
CAJA RURAL CB ZAMORA,Jacob Nathaniel Round,J. Round,Escolta,192.0,Gran Bretaña
CAJA RURAL CB ZAMORA,Stymir Snaer Thrastarson,S. Thrastarson,Alero,200.0,Islandia
CAJA RURAL CB ZAMORA,Johan Willem Van Zegeren,J. Van Zegeren,Pívot,208.0,Países Bajos
CLOUD.GAL OURENSE BALONCESTO,Rafael Dias Marques Lisboa Santos,R. Santos,Base,183.0,Portugal
CLOUD.GAL OURENSE BALONCESTO,Martín Fernandez Carballo,M. Fernandez,Escolta,194.0,España
CLOUD.GAL OURENSE BALONCESTO,Romaro Jilorney Gill,R. Gill,Pívot,218.0,Jamaica
CLOUD.GAL OURENSE BALONCESTO,Sergi Huguet Carrasco,S. Huguet,Alero,195.0,España
CLOUD.GAL OURENSE BALONCESTO,Martin Iglesias Fernandez,M. Iglesias,Pívot,202.0,España
CLOUD.GAL OURENSE BALONCESTO,Carlos Jürgens,C. Jürgens,Base,196.0,Estonia
CLOUD.GAL OURENSE BALONCESTO,Gabriel Marvin Kalscheur,G. Kalscheur,Escolta,193.0,Estados Unidos
CLOUD.GAL OURENSE BALONCESTO,Sean William Mc Donnell,S. Mc Donnell,Alero,203.0,Estados Unidos
CLOUD.GAL OURENSE BALONCESTO,Chinedu Kingsley Okanu,C. Okanu,Pívot,202.0,Nigeria
CLOUD.GAL OURENSE BALONCESTO,Diogo Jorge Saraiva Seixas,D. Seixas,Ala Pívot,203.0,Portugal
CLOUD.GAL OURENSE BALONCESTO,Isaac Vazquez Perez,I. Vazquez,Base,193.0,España
CLOUD.GAL OURENSE BALONCESTO,Adin Vrabac,A. Vrabac,Alero,,Bosnia-Herzergovina
FIBWI MALLORCA BASQUET PALMA,Jon Ander Aramburu Lamy,J. Ander,Ala Pívot,204.0,España
FIBWI MALLORCA BASQUET PALMA,Pedro Antonio Bombino Parada,P. Parada,Pívot,206.0,Cuba
FIBWI MALLORCA BASQUET PALMA,Albert Bosch Domingo,A. Bosch,Alero,,España
FIBWI MALLORCA BASQUET PALMA,Lysander Ameen Bracey,L. Bracey,Escolta,193.0,Estados Unidos
FIBWI MALLORCA BASQUET PALMA,Lucas Capalbo,L. Capalbo,Base,175.0,Italia
FIBWI MALLORCA BASQUET PALMA,Jorge Martinez Cabezudo,J. Martinez,Base,187.0,España
FIBWI MALLORCA BASQUET PALMA,Osvaldas Matulionis,O. Matulionis,Alero,200.0,Lituania
FIBWI MALLORCA BASQUET PALMA,Serigne Fallou Niang Beye,S. Fallou,Pívot,202.0,España
FIBWI MALLORCA BASQUET PALMA,Alessandro Scariolo Ares,A. Scariolo,Base,190.0,España
FIBWI MALLORCA BASQUET PALMA,Oscar Siquier Costa,O. Siquier,Base,188.0,España
FIBWI MALLORCA BASQUET PALMA,Laron De'Same Smith,L. Smith,Pívot,205.0,San Cristobal Y Nieves
FIBWI MALLORCA BASQUET PALMA,Brian Antonio Vazquez Arraiza,B. Antonio,Escolta,190.0,España
FLEXICAR FUENLABRADA,Prince Adams Ali,P. Ali,Escolta,193.0,Ghana
FLEXICAR FUENLABRADA,Vitor  Alves Benite,V. Benite,Escolta,194.0,Italia
FLEXICAR FUENLABRADA,Judicaël Romaric Belemene-Dzabatou,J. Belemene-Dzabatou,Alero,202.0,R. Del Congo
FLEXICAR FUENLABRADA,Brooks Lourdeaux De Bisschop,B. De Bisschop,Pívot,206.0,Estados Unidos
FLEXICAR FUENLABRADA,Mateo Diaz,M. Diaz,Base,186.0,Italia
FLEXICAR FUENLABRADA,Jonathan Kasibabu Shilala,J. Shilala,Ala Pívot,203.0,R. Del Congo
