Period,Time,Seconds,Score_Home,Score_Away,Team,Player,Action_Type,text,H1,H2,H3,H4,H5,A1,A2,A3,A4,A5
1,10:00,600,0,0,SÚPER AGROPAL PALENCIA,J. Vrankic,Substitution In,(SÚPER AGROPAL PALENCIA) J. VRANKIC: Sustitución (Entra a pista),A. Chapela Lage,G. Dike Egun,J. Carralero Martin,M. Frierson,N. Camacho De Sá,I. Jakovics,J. Gonzalez Calvo,J. Vrankic,M. Rodriguez Barrientos,T. Borg
1,10:00,600,0,0,PALMER BASKET MALLORCA PALMA,N. Camacho De Sá,Substitution In,(PALMER BASKET MALLORCA PALMA) N. CAMACHO DE SÁ: Sustitución (Entra a pista),A. Chapela Lage,G. Dike Egun,J. Carralero Martin,M. Frierson,N. Camacho De Sá,I. Jakovics,J. Gonzalez Calvo,J. Vrankic,M. Rodriguez Barrientos,T. Borg
1,10:00,600,0,0,PALMER BASKET MALLORCA PALMA,J. Carralero Martin,Substitution In,(PALMER BASKET MALLORCA PALMA) J. CARRALERO MARTIN: Sustitución (Entra a pista),A. Chapela Lage,G. Dike Egun,J. Carralero Martin,M. Frierson,N. Camacho De Sá,I. Jakovics,J. Gonzalez Calvo,J. Vrankic,M. Rodriguez Barrientos,T. Borg
1,10:00,600,0,0,SÚPER AGROPAL PALENCIA,I. Jakovics,Substitution In,(SÚPER AGROPAL PALENCIA) I. JAKOVICS: Sustitución (Entra a pista),A. Chapela Lage,G. Dike Egun,J. Carralero Martin,M. Frierson,N. Camacho De Sá,I. Jakovics,J. Gonzalez Calvo,J. Vrankic,M. Rodriguez Barrientos,T. Borg
1,10:00,600,0,0,PALMER BASKET MALLORCA PALMA,M. Frierson,Substitution In,(PALMER BASKET MALLORCA PALMA) M. FRIERSON: Sustitución (Entra a pista),A. Chapela Lage,G. Dike Egun,J. Carralero Martin,M. Frierson,N. Camacho De Sá,I. Jakovics,J. Gonzalez Calvo,J. Vrankic,M. Rodriguez Barrientos,T. Borg
1,10:00,600,0,0,PALMER BASKET MALLORCA PALMA,A. Chapela Lage,Substitution In,(PALMER BASKET MALLORCA PALMA) A. CHAPELA LAGE: Sustitución (Entra a pista),A. Chapela Lage,G. Dike Egun,J. Carralero Martin,M. Frierson,N. Camacho De Sá,I. Jakovics,J. Gonzalez Calvo,J. Vrankic,M. Rodriguez Barrientos,T. Borg
1,10:00,600,0,0,SÚPER AGROPAL PALENCIA,M. Rodriguez Barrientos,Substitution In,(SÚPER AGROPAL PALENCIA) M. RODRIGUEZ BARRIENTOS: Sustitución (Entra a pista),A. Chapela Lage,G. Dike Egun,J. Carralero Martin,M. Frierson,N. Camacho De Sá,I. Jakovics,J. Gonzalez Calvo,J. Vrankic,M. Rodriguez Barrientos,T. Borg
1,10:00,600,0,0,SÚPER AGROPAL PALENCIA,J. Gonzalez Calvo,Substitution In,(SÚPER AGROPAL PALENCIA) J. GONZALEZ CALVO: Sustitución (Entra a pista),A. Chapela Lage,G. Dike Egun,J. Carralero Martin,M. Frierson,N. Camacho De Sá,I. Jakovics,J. Gonzalez Calvo,J. Vrankic,M. Rodriguez Barrientos,T. Borg
1,10:00,600,0,0,PALMER BASKET MALLORCA PALMA,G. Dike Egun,Substitution In,(PALMER BASKET MALLORCA PALMA) G. DIKE EGUN: Sustitución (Entra a pista),A. Chapela Lage,G. Dike Egun,J. Carralero Martin,M. Frierson,N. Camacho De Sá,I. Jakovics,J. Gonzalez Calvo,J. Vrankic,M. Rodriguez Barrientos,T. Borg
1,10:00,600,0,0,SÚPER AGROPAL PALENCIA,T. Borg,Substitution In,(SÚPER AGROPAL PALENCIA) T. BORG: Sustitución (Entra a pista),A. Chapela Lage,G. Dike Egun,J. Carralero Martin,M. Frierson,N. Camacho De Sá,I. Jakovics,J. Gonzalez Calvo,J. Vrankic,M. Rodriguez Barrientos,T. Borg
1,10:00,600,0,0,,,Period,Comienzo del Cuarto 1,A. Chapela Lage,G. Dike Egun,J. Carralero Martin,M. Frierson,N. Camacho De Sá,I. Jakovics,J. Gonzalez Calvo,J. Vrankic,M. Rodriguez Barrientos,T. Borg
1,09:41,581,0,0,SÚPER AGROPAL PALENCIA,J. Gonzalez Calvo,Rebound,(SÚPER AGROPAL PALENCIA) J. GONZALEZ CALVO: REBOTE (Rebotes: 1),A. Chapela Lage,G. Dike Egun,J. Carralero Martin,M. Frierson,N. Camacho De Sá,I. Jakovics,J. Gonzalez Calvo,J. Vrankic,M. Rodriguez Barrientos,T. Borg
1,09:41,581,0,0,PALMER BASKET MALLORCA PALMA,A. Chapela Lage,2PT Missed,(PALMER BASKET MALLORCA PALMA) A. CHAPELA LAGE: TIRO DE 2 FALLADO,A. Chapela Lage,G. Dike Egun,J. Carralero Martin,M. Frierson,N. Camacho De Sá,I. Jakovics,J. Gonzalez Calvo,J. Vrankic,M. Rodriguez Barrientos,T. Borg
1,09:25,565,0,0,PALMER BASKET MALLORCA PALMA,A. Chapela Lage,Rebound,(PALMER BASKET MALLORCA PALMA) A. CHAPELA LAGE: REBOTE (Rebotes: 1),A. Chapela Lage,G. Dike Egun,J. Carralero Martin,M. Frierson,N. Camacho De Sá,I. Jakovics,J. Gonzalez Calvo,J. Vrankic,M. Rodriguez Barrientos,T. Borg
1,09:25,565,0,0,SÚPER AGROPAL PALENCIA,M. Rodriguez Barrientos,3PT Missed,(SÚPER AGROPAL PALENCIA) M. RODRIGUEZ BARRIENTOS: TIRO DE 3 FALLADO,A. Chapela Lage,G. Dike Egun,J. Carralero Martin,M. Frierson,N. Camacho De Sá,I. Jakovics,J. Gonzalez Calvo,J. Vrankic,M. Rodriguez Barrientos,T. Borg
1,09:00,540,2,0,PALMER BASKET MALLORCA PALMA,J. Carralero Martin,2PT Made,(PALMER BASKET MALLORCA PALMA) J. CARRALERO MARTIN: TIRO DE 2 ANOTADO (Puntos: 2),A. Chapela Lage,G. Dike Egun,J. Carralero Martin,M. Frierson,N. Camacho De Sá,I. Jakovics,J. Gonzalez Calvo,J. Vrankic,M. Rodriguez Barrientos,T. Borg
1,09:00,540,2,0,PALMER BASKET MALLORCA PALMA,G. Dike Egun,Assist,(PALMER BASKET MALLORCA PALMA) G. DIKE EGUN: ASISTENCIA (Asistencias: 1),A. Chapela Lage,G. Dike Egun,J. Carralero Martin,M. Frierson,N. Camacho De Sá,I. Jakovics,J. Gonzalez Calvo,J. Vrankic,M. Rodriguez Barrientos,T. Borg
1,08:44,524,2,0,PALMER BASKET MALLORCA PALMA,J. Carralero Martin,Rebound,(PALMER BASKET MALLORCA PALMA) J. CARRALERO MARTIN: REBOTE (Rebotes: 1),A. Chapela Lage,G. Dike Egun,J. Carralero Martin,M. Frierson,N. Camacho De Sá,I. Jakovics,J. Gonzalez Calvo,J. Vrankic,M. Rodriguez Barrientos,T. Borg
1,08:44,524,2,0,SÚPER AGROPAL PALENCIA,J. Gonzalez Calvo,2PT Missed,(SÚPER AGROPAL PALENCIA) J. GONZALEZ CALVO: TIRO DE 2 FALLADO,A. Chapela Lage,G. Dike Egun,J. Carralero Martin,M. Frierson,N. Camacho De Sá,I. Jakovics,J. Gonzalez Calvo,J. Vrankic,M. Rodriguez Barrientos,T. Borg
1,08:36,516,2,0,PALMER BASKET MALLORCA PALMA,N. Camacho De Sá,Substitution Out,(PALMER BASKET MALLORCA PALMA) N. CAMACHO DE SÁ: Sustitución (Sale de pista),A. Chapela Lage,G. Dike Egun,J. Carralero Martin,M. Frierson,,I. Jakovics,J. Gonzalez Calvo,J. Vrankic,M. Rodriguez Barrientos,T. Borg
1,08:36,516,2,0,PALMER BASKET MALLORCA PALMA,A. Urdiain Labayen,Substitution In,(PALMER BASKET MALLORCA PALMA) A. URDIAIN LABAYEN: Sustitución (Entra a pista),A. Chapela Lage,A. Urdiain Labayen,G. Dike Egun,J. Carralero Martin,M. Frierson,I. Jakovics,J. Gonzalez Calvo,J. Vrankic,M. Rodriguez Barrientos,T. Borg
