Period,Time,Seconds,Score_Home,Score_Away,Team,Player,Action_Type,text,H1,H2,H3,H4,H5,A1,A2,A3,A4,A5
1,10:00,600,0,0,GRUPO CAESA SEGUROS FC CARTAGENA CB,E. Idehen Idehen,Substitution In,(GRUPO CAESA SEGUROS FC CARTAGENA CB) E. IDEHEN IDEHEN: Sustitución (Entra a pista),A. Garuba Alari,A. Kelly,E. Idehen Idehen,I. Rivera Carroll,S. Thomas,J. Aramburu Lamy,L. Bracey,L. Capalbo,O. Matulionis,P. Bombino Parada
1,10:00,600,0,0,FIBWI MALLORCA BASQUET PALMA ,P. Bombino Parada,Substitution In,(FIBWI MALLORCA BASQUET PALMA ) P. BOMBINO PARADA: Sustitución (Entra a pista),A. Garuba Alari,A. Kelly,E. Idehen Idehen,I. Rivera Carroll,S. Thomas,J. Aramburu Lamy,L. Bracey,L. Capalbo,O. Matulionis,P. Bombino Parada
1,10:00,600,0,0,FIBWI MALLORCA BASQUET PALMA ,J. Aramburu Lamy,Substitution In,(FIBWI MALLORCA BASQUET PALMA ) J. ARAMBURU LAMY: Sustitución (Entra a pista),A. Garuba Alari,A. Kelly,E. Idehen Idehen,I. Rivera Carroll,S. Thomas,J. Aramburu Lamy,L. Bracey,L. Capalbo,O. Matulionis,P. Bombino Parada
1,10:00,600,0,0,GRUPO CAESA SEGUROS FC CARTAGENA CB,I. Rivera Carroll,Substitution In,(GRUPO CAESA SEGUROS FC CARTAGENA CB) I. RIVERA CARROLL: Sustitución (Entra a pista),A. Garuba Alari,A. Kelly,E. Idehen Idehen,I. Rivera Carroll,S. Thomas,J. Aramburu Lamy,L. Bracey,L. Capalbo,O. Matulionis,P. Bombino Parada
1,10:00,600,0,0,GRUPO CAESA SEGUROS FC CARTAGENA CB,A. Kelly,Substitution In,(GRUPO CAESA SEGUROS FC CARTAGENA CB) A. KELLY: Sustitución (Entra a pista),A. Garuba Alari,A. Kelly,E. Idehen Idehen,I. Rivera Carroll,S. Thomas,J. Aramburu Lamy,L. Bracey,L. Capalbo,O. Matulionis,P. Bombino Parada
1,10:00,600,0,0,FIBWI MALLORCA BASQUET PALMA ,L. Bracey,Substitution In,(FIBWI MALLORCA BASQUET PALMA ) L. BRACEY: Sustitución (Entra a pista),A. Garuba Alari,A. Kelly,E. Idehen Idehen,I. Rivera Carroll,S. Thomas,J. Aramburu Lamy,L. Bracey,L. Capalbo,O. Matulionis,P. Bombino Parada
1,10:00,600,0,0,FIBWI MALLORCA BASQUET PALMA ,L. Capalbo,Substitution In,(FIBWI MALLORCA BASQUET PALMA ) L. CAPALBO: Sustitución (Entra a pista),A. Garuba Alari,A. Kelly,E. Idehen Idehen,I. Rivera Carroll,S. Thomas,J. Aramburu Lamy,L. Bracey,L. Capalbo,O. Matulionis,P. Bombino Parada
1,10:00,600,0,0,GRUPO CAESA SEGUROS FC CARTAGENA CB,A. Garuba Alari,Substitution In,(GRUPO CAESA SEGUROS FC CARTAGENA CB) A. GARUBA ALARI: Sustitución (Entra a pista),A. Garuba Alari,A. Kelly,E. Idehen Idehen,I. Rivera Carroll,S. Thomas,J. Aramburu Lamy,L. Bracey,L. Capalbo,O. Matulionis,P. Bombino Parada
1,10:00,600,0,0,FIBWI MALLORCA BASQUET PALMA ,O. Matulionis,Substitution In,(FIBWI MALLORCA BASQUET PALMA ) O. MATULIONIS: Sustitución (Entra a pista),A. Garuba Alari,A. Kelly,E. Idehen Idehen,I. Rivera Carroll,S. Thomas,J. Aramburu Lamy,L. Bracey,L. Capalbo,O. Matulionis,P. Bombino Parada
1,10:00,600,0,0,GRUPO CAESA SEGUROS FC CARTAGENA CB,S. Thomas,Substitution In,(GRUPO CAESA SEGUROS FC CARTAGENA CB) S. THOMAS: Sustitución (Entra a pista),A. Garuba Alari,A. Kelly,E. Idehen Idehen,I. Rivera Carroll,S. Thomas,J. Aramburu Lamy,L. Bracey,L. Capalbo,O. Matulionis,P. Bombino Parada
1,10:00,600,0,0,,,Period,Comienzo del Cuarto 1,A. Garuba Alari,A. Kelly,E. Idehen Idehen,I. Rivera Carroll,S. Thomas,J. Aramburu Lamy,L. Bracey,L. Capalbo,O. Matulionis,P. Bombino Parada
1,09:47,587,0,2,FIBWI MALLORCA BASQUET PALMA ,P. Bombino Parada,2PT Made,(FIBWI MALLORCA BASQUET PALMA ) P. BOMBINO PARADA: TIRO DE 2 ANOTADO (Puntos: 2),A. Garuba Alari,A. Kelly,E. Idehen Idehen,I. Rivera Carroll,S. Thomas,J. Aramburu Lamy,L. Bracey,L. Capalbo,O. Matulionis,P. Bombino Parada
1,09:47,587,0,2,FIBWI MALLORCA BASQUET PALMA ,J. Aramburu Lamy,Assist,(FIBWI MALLORCA BASQUET PALMA ) J. ARAMBURU LAMY: ASISTENCIA (Asistencias: 1),A. Garuba Alari,A. Kelly,E. Idehen Idehen,I. Rivera Carroll,S. Thomas,J. Aramburu Lamy,L. Bracey,L. Capalbo,O. Matulionis,P. Bombino Parada
1,09:22,562,0,2,GRUPO CAESA SEGUROS FC CARTAGENA CB,E. Idehen Idehen,Turnover,(GRUPO CAESA SEGUROS FC CARTAGENA CB) E. IDEHEN IDEHEN: PÉRDIDA (Pérdidas: 1),A. Garuba Alari,A. Kelly,E. Idehen Idehen,I. Rivera Carroll,S. Thomas,J. Aramburu Lamy,L. Bracey,L. Capalbo,O. Matulionis,P. Bombino Parada
1,09:11,551,0,4,FIBWI MALLORCA BASQUET PALMA ,J. Aramburu Lamy,2PT Made,(FIBWI MALLORCA BASQUET PALMA ) J. ARAMBURU LAMY: TIRO DE 2 ANOTADO (Puntos: 2),A. Garuba Alari,A. Kelly,E. Idehen Idehen,I. Rivera Carroll,S. Thomas,J. Aramburu Lamy,L. Bracey,L. Capalbo,O. Matulionis,P. Bombino Parada
1,09:11,551,0,4,FIBWI MALLORCA BASQUET PALMA ,P. Bombino Parada,Assist,(FIBWI MALLORCA BASQUET PALMA ) P. BOMBINO PARADA: ASISTENCIA (Asistencias: 1),A. Garuba Alari,A. Kelly,E. Idehen Idehen,I. Rivera Carroll,S. Thomas,J. Aramburu Lamy,L. Bracey,L. Capalbo,O. Matulionis,P. Bombino Parada
1,08:58,538,0,4,GRUPO CAESA SEGUROS FC CARTAGENA CB,A. Garuba Alari,Rebound,(GRUPO CAESA SEGUROS FC CARTAGENA CB) A. GARUBA ALARI: REBOTE (Rebotes: 1),A. Garuba Alari,A. Kelly,E. Idehen Idehen,I. Rivera Carroll,S. Thomas,J. Aramburu Lamy,L. Bracey,L. Capalbo,O. Matulionis,P. Bombino Parada
