Period,Time,Seconds,Score_Home,Score_Away,Team,Player,Action_Type,text,H1,H2,H3,H4,H5,A1,A2,A3,A4,A5
1,10:00,600,0,0,GRUPO ALEGA CANTABRIA,B. Lugarini,Substitution In,(GRUPO ALEGA CANTABRIA) B. LUGARINI: Sustitución (Entra a pista),B. Lugarini,D. Alderete Diaz,G. Martinez Diaz,J. Yu,R. Johnson Jr,A. Martinez Clariana,C. Rogers,J. Van Zegeren,O. Lo       ,T. Roberts
1,10:00,600,0,0,GRUPO ALEGA CANTABRIA,R. Johnson Jr,Substitution In,(GRUPO ALEGA CANTABRIA) R. JOHNSON JR: Sustitución (Entra a pista),B. Lugarini,D. Alderete Diaz,G. Martinez Diaz,J. Yu,R. Johnson Jr,A. Martinez Clariana,C. Rogers,J. Van Zegeren,O. Lo       ,T. Roberts
1,10:00,600,0,0,CAJA RURAL CB ZAMORA,O. Lo       ,Substitution In,(CAJA RURAL CB ZAMORA) O. LO       : Sustitución (Entra a pista),B. Lugarini,D. Alderete Diaz,G. Martinez Diaz,J. Yu,R. Johnson Jr,A. Martinez Clariana,C. Rogers,J. Van Zegeren,O. Lo       ,T. Roberts
1,10:00,600,0,0,GRUPO ALEGA CANTABRIA,G. Martinez Diaz,Substitution In,(GRUPO ALEGA CANTABRIA) G. MARTINEZ DIAZ: Sustitución (Entra a pista),B. Lugarini,D. Alderete Diaz,G. Martinez Diaz,J. Yu,R. Johnson Jr,A. Martinez Clariana,C. Rogers,J. Van Zegeren,O. Lo       ,T. Roberts
1,10:00,600,0,0,CAJA RURAL CB ZAMORA,T. Roberts,Substitution In,(CAJA RURAL CB ZAMORA) T. ROBERTS: Sustitución (Entra a pista),B. Lugarini,D. Alderete Diaz,G. Martinez Diaz,J. Yu,R. Johnson Jr,A. Martinez Clariana,C. Rogers,J. Van Zegeren,O. Lo       ,T. Roberts
1,10:00,600,0,0,CAJA RURAL CB ZAMORA,A. Martinez Clariana,Substitution In,(CAJA RURAL CB ZAMORA) A. MARTINEZ CLARIANA: Sustitución (Entra a pista),B. Lugarini,D. Alderete Diaz,G. Martinez Diaz,J. Yu,R. Johnson Jr,A. Martinez Clariana,C. Rogers,J. Van Zegeren,O. Lo       ,T. Roberts
1,10:00,600,0,0,CAJA RURAL CB ZAMORA,J. Van Zegeren,Substitution In,(CAJA RURAL CB ZAMORA) J. VAN ZEGEREN: Sustitución (Entra a pista),B. Lugarini,D. Alderete Diaz,G. Martinez Diaz,J. Yu,R. Johnson Jr,A. Martinez Clariana,C. Rogers,J. Van Zegeren,O. Lo       ,T. Roberts
1,10:00,600,0,0,GRUPO ALEGA CANTABRIA,D. Alderete Diaz,Substitution In,(GRUPO ALEGA CANTABRIA) D. ALDERETE DIAZ: Sustitución (Entra a pista),B. Lugarini,D. Alderete Diaz,G. Martinez Diaz,J. Yu,R. Johnson Jr,A. Martinez Clariana,C. Rogers,J. Van Zegeren,O. Lo       ,T. Roberts
1,10:00,600,0,0,GRUPO ALEGA CANTABRIA,J. Yu,Substitution In,(GRUPO ALEGA CANTABRIA) J. YU: Sustitución (Entra a pista),B. Lugarini,D. Alderete Diaz,G. Martinez Diaz,J. Yu,R. Johnson Jr,A. Martinez Clariana,C. Rogers,J. Van Zegeren,O. Lo       ,T. Roberts
1,10:00,600,0,0,CAJA RURAL CB ZAMORA,C. Rogers,Substitution In,(CAJA RURAL CB ZAMORA) C. ROGERS: Sustitución (Entra a pista),B. Lugarini,D. Alderete Diaz,G. Martinez Diaz,J. Yu,R. Johnson Jr,A. Martinez Clariana,C. Rogers,J. Van Zegeren,O. Lo       ,T. Roberts
1,10:00,600,0,0,,,Period,Comienzo del Cuarto 1,B. Lugarini,D. Alderete Diaz,G. Martinez Diaz,J. Yu,R. Johnson Jr,A. Martinez Clariana,C. Rogers,J. Van Zegeren,O. Lo       ,T. Roberts
1,09:48,588,0,0,CAJA RURAL CB ZAMORA,J. Van Zegeren,Rebound,(CAJA RURAL CB ZAMORA) J. VAN ZEGEREN: REBOTE (Rebotes: 1),B. Lugarini,D. Alderete Diaz,G. Martinez Diaz,J. Yu,R. Johnson Jr,A. Martinez Clariana,C. Rogers,J. Van Zegeren,O. Lo       ,T. Roberts
1,09:48,588,0,0,GRUPO ALEGA CANTABRIA,B. Lugarini,2PT Missed,(GRUPO ALEGA CANTABRIA) B. LUGARINI: TIRO DE 2 FALLADO,B. Lugarini,D. Alderete Diaz,G. Martinez Diaz,J. Yu,R. Johnson Jr,A. Martinez Clariana,C. Rogers,J. Van Zegeren,O. Lo       ,T. Roberts
1,09:23,563,0,2,CAJA RURAL CB ZAMORA,O. Lo       ,2PT Made,(CAJA RURAL CB ZAMORA) O. LO       : TIRO DE 2 ANOTADO (Puntos: 2),B. Lugarini,D. Alderete Diaz,G. Martinez Diaz,J. Yu,R. Johnson Jr,A. Martinez Clariana,C. Rogers,J. Van Zegeren,O. Lo       ,T. Roberts
1,09:09,549,0,2,CAJA RURAL CB ZAMORA,T. Roberts,Foul,(CAJA RURAL CB ZAMORA) T. ROBERTS: FALTA Personal (Faltas: 1. Faltas de equipo: 1). Tiros libres: 2,B. Lugarini,D. Alderete Diaz,G. Martinez Diaz,J. Yu,R. Johnson Jr,A. Martinez Clariana,C. Rogers,J. Van Zegeren,O. Lo       ,T. Roberts
1,09:08,548,1,2,GRUPO ALEGA CANTABRIA,R. Johnson Jr,FT Made,(GRUPO ALEGA CANTABRIA) R. JOHNSON JR: TIRO DE 1 ANOTADO (Puntos: 1),B. Lugarini,D. Alderete Diaz,G. Martinez Diaz,J. Yu,R. Johnson Jr,A. Martinez Clariana,C. Rogers,J. Van Zegeren,O. Lo       ,T. Roberts
1,09:08,548,2,2,GRUPO ALEGA CANTABRIA,R. Johnson Jr,FT Made,(GRUPO ALEGA CANTABRIA) R. JOHNSON JR: TIRO DE 1 ANOTADO (Puntos: 2),B. Lugarini,D. Alderete Diaz,G. Martinez Diaz,J. Yu,R. Johnson Jr,A. Martinez Clariana,C. Rogers,J. Van Zegeren,O. Lo       ,T. Roberts
