Period,Time,Seconds,Score_Home,Score_Away,Team,Player,Action_Type,text,H1,H2,H3,H4,H5,A1,A2,A3,A4,A5
1,10:00,600,0,0,ALIMERKA OVIEDO BALONCESTO,C. Hermanson,Substitution In,(ALIMERKA OVIEDO BALONCESTO) C. HERMANSON: Sustitución (Entra a pista),A. Thiam,D. Cuevas Simarro,G. Jou Coll,J. Cremo,Y. Mencia Hernandez,A. Faure Ribes,C. Hermanson,D. Duscak,D. Shelist,F. Copes
1,10:00,600,0,0,LEYMA CORUÑA,Y. Mencia Hernandez,Substitution In,(LEYMA CORUÑA) Y. MENCIA HERNANDEZ: Sustitución (Entra a pista),A. Thiam,D. Cuevas Simarro,G. Jou Coll,J. Cremo,Y. Mencia Hernandez,A. Faure Ribes,C. Hermanson,D. Duscak,D. Shelist,F. Copes
1,10:00,600,0,0,LEYMA CORUÑA,A. Thiam,Substitution In,(LEYMA CORUÑA) A. THIAM: Sustitución (Entra a pista),A. Thiam,D. Cuevas Simarro,G. Jou Coll,J. Cremo,Y. Mencia Hernandez,A. Faure Ribes,C. Hermanson,D. Duscak,D. Shelist,F. Copes
1,10:00,600,0,0,LEYMA CORUÑA,J. Cremo,Substitution In,(LEYMA CORUÑA) J. CREMO: Sustitución (Entra a pista),A. Thiam,D. Cuevas Simarro,G. Jou Coll,J. Cremo,Y. Mencia Hernandez,A. Faure Ribes,C. Hermanson,D. Duscak,D. Shelist,F. Copes
1,10:00,600,0,0,LEYMA CORUÑA,D. Cuevas Simarro,Substitution In,(LEYMA CORUÑA) D. CUEVAS SIMARRO: Sustitución (Entra a pista),A. Thiam,D. Cuevas Simarro,G. Jou Coll,J. Cremo,Y. Mencia Hernandez,A. Faure Ribes,C. Hermanson,D. Duscak,D. Shelist,F. Copes
1,10:00,600,0,0,ALIMERKA OVIEDO BALONCESTO,F. Copes,Substitution In,(ALIMERKA OVIEDO BALONCESTO) F. COPES: Sustitución (Entra a pista),A. Thiam,D. Cuevas Simarro,G. Jou Coll,J. Cremo,Y. Mencia Hernandez,A. Faure Ribes,C. Hermanson,D. Duscak,D. Shelist,F. Copes
1,10:00,600,0,0,LEYMA CORUÑA,G. Jou Coll,Substitution In,(LEYMA CORUÑA) G. JOU COLL: Sustitución (Entra a pista),A. Thiam,D. Cuevas Simarro,G. Jou Coll,J. Cremo,Y. Mencia Hernandez,A. Faure Ribes,C. Hermanson,D. Duscak,D. Shelist,F. Copes
1,10:00,600,0,0,ALIMERKA OVIEDO BALONCESTO,D. Duscak,Substitution In,(ALIMERKA OVIEDO BALONCESTO) D. DUSCAK: Sustitución (Entra a pista),A. Thiam,D. Cuevas Simarro,G. Jou Coll,J. Cremo,Y. Mencia Hernandez,A. Faure Ribes,C. Hermanson,D. Duscak,D. Shelist,F. Copes
1,10:00,600,0,0,ALIMERKA OVIEDO BALONCESTO,A. Faure Ribes,Substitution In,(ALIMERKA OVIEDO BALONCESTO) A. FAURE RIBES: Sustitución (Entra a pista),A. Thiam,D. Cuevas Simarro,G. Jou Coll,J. Cremo,Y. Mencia Hernandez,A. Faure Ribes,C. Hermanson,D. Duscak,D. Shelist,F. Copes
1,10:00,600,0,0,ALIMERKA OVIEDO BALONCESTO,D. Shelist,Substitution In,(ALIMERKA OVIEDO BALONCESTO) D. SHELIST: Sustitución (Entra a pista),A. Thiam,D. Cuevas Simarro,G. Jou Coll,J. Cremo,Y. Mencia Hernandez,A. Faure Ribes,C. Hermanson,D. Duscak,D. Shelist,F. Copes
