Period,Time,Seconds,Score_Home,Score_Away,Team,Player,Action_Type,text,H1,H2,H3,H4,H5,A1,A2,A3,A4,A5
1,10:00,600,0,0,CLUB OURENSE BALONCESTO,R. Dias Marques Lisboa Santos,Substitution In,(CLUB OURENSE BALONCESTO) R. DIAS MARQUES LISBOA SANTOS: Sustitución (Entra a pista),C. Jürgens,G. Kalscheur,K. Smith,R. Dias Marques Lisboa Santos,R. Gill,A. Comendador Femenias,G. Dike Egun,J. Carralero Martin,M. Frierson,T. Hollowell
1,10:00,600,0,0,PALMER BASKET MALLORCA PALMA,G. Dike Egun,Substitution In,(PALMER BASKET MALLORCA PALMA) G. DIKE EGUN: Sustitución (Entra a pista),C. Jürgens,G. Kalscheur,K. Smith,R. Dias Marques Lisboa Santos,R. Gill,A. Comendador Femenias,G. Dike Egun,J. Carralero Martin,M. Frierson,T. Hollowell
1,10:00,600,0,0,PALMER BASKET MALLORCA PALMA,J. Carralero Martin,Substitution In,(PALMER BASKET MALLORCA PALMA) J. CARRALERO MARTIN: Sustitución (Entra a pista),C. Jürgens,G. Kalscheur,K. Smith,R. Dias Marques Lisboa Santos,R. Gill,A. Comendador Femenias,G. Dike Egun,J. Carralero Martin,M. Frierson,T. Hollowell
1,10:00,600,0,0,PALMER BASKET MALLORCA PALMA,A. Comendador Femenias,Substitution In,(PALMER BASKET MALLORCA PALMA) A. COMENDADOR FEMENIAS: Sustitución (Entra a pista),C. Jürgens,G. Kalscheur,K. Smith,R. Dias Marques Lisboa Santos,R. Gill,A. Comendador Femenias,G. Dike Egun,J. Carralero Martin,M. Frierson,T. Hollowell
1,10:00,600,0,0,PALMER BASKET MALLORCA PALMA,M. Frierson,Substitution In,(PALMER BASKET MALLORCA PALMA) M. FRIERSON: Sustitución (Entra a pista),C. Jürgens,G. Kalscheur,K. Smith,R. Dias Marques Lisboa Santos,R. Gill,A. Comendador Femenias,G. Dike Egun,J. Carralero Martin,M. Frierson,T. Hollowell
1,10:00,600,0,0,CLUB OURENSE BALONCESTO,R. Gill,Substitution In,(CLUB OURENSE BALONCESTO) R. GILL: Sustitución (Entra a pista),C. Jürgens,G. Kalscheur,K. Smith,R. Dias Marques Lisboa Santos,R. Gill,A. Comendador Femenias,G. Dike Egun,J. Carralero Martin,M. Frierson,T. Hollowell
1,10:00,600,0,0,CLUB OURENSE BALONCESTO,G. Kalscheur,Substitution In,(CLUB OURENSE BALONCESTO) G. KALSCHEUR: Sustitución (Entra a pista),C. Jürgens,G. Kalscheur,K. Smith,R. Dias Marques Lisboa Santos,R. Gill,A. Comendador Femenias,G. Dike Egun,J. Carralero Martin,M. Frierson,T. Hollowell
1,10:00,600,0,0,PALMER BASKET MALLORCA PALMA,T. Hollowell,Substitution In,(PALMER BASKET MALLORCA PALMA) T. HOLLOWELL: Sustitución (Entra a pista),C. Jürgens,G. Kalscheur,K. Smith,R. Dias Marques Lisboa Santos,R. Gill,A. Comendador Femenias,G. Dike Egun,J. Carralero Martin,M. Frierson,T. Hollowell
1,10:00,600,0,0,CLUB OURENSE BALONCESTO,K. Smith,Substitution In,(CLUB OURENSE BALONCESTO) K. SMITH: Sustitución (Entra a pista),C. Jürgens,G. Kalscheur,K. Smith,R. Dias Marques Lisboa Santos,R. Gill,A. Comendador Femenias,G. Dike Egun,J. Carralero Martin,M. Frierson,T. Hollowell
1,10:00,600,0,0,CLUB OURENSE BALONCESTO,C. Jürgens,Substitution In,(CLUB OURENSE BALONCESTO) C. JÜRGENS: Sustitución (Entra a pista),C. Jürgens,G. Kalscheur,K. Smith,R. Dias Marques Lisboa Santos,R. Gill,A. Comendador Femenias,G. Dike Egun,J. Carralero Martin,M. Frierson,T. Hollowell
1,10:00,600,0,0,,,Period,Comienzo del Cuarto 1,C. Jürgens,G. Kalscheur,K. Smith,R. Dias Marques Lisboa Santos,R. Gill,A. Comendador Femenias,G. Dike Egun,J. Carralero Martin,M. Frierson,T. Hollowell
1,09:49,589,0,0,CLUB OURENSE BALONCESTO,Rebote (Rebotes,Rebound,(CLUB OURENSE BALONCESTO) REBOTE (Rebotes: 0),C. Jürgens,G. Kalscheur,K. Smith,R. Dias Marques Lisboa Santos,R. Gill,A. Comendador Femenias,G. Dike Egun,J. Carralero Martin,M. Frierson,T. Hollowell
1,09:49,589,0,0,PALMER BASKET MALLORCA PALMA,J. Carralero Martin,3PT Missed,(PALMER BASKET MALLORCA PALMA) J. CARRALERO MARTIN: TIRO DE 3 FALLADO,C. Jürgens,G. Kalscheur,K. Smith,R. Dias Marques Lisboa Santos,R. Gill,A. Comendador Femenias,G. Dike Egun,J. Carralero Martin,M. Frierson,T. Hollowell
1,09:31,571,0,0,PALMER BASKET MALLORCA PALMA,G. Dike Egun,Foul,(PALMER BASKET MALLORCA PALMA) G. DIKE EGUN: FALTA Personal (Faltas: 1. Faltas de equipo: 1). Tiros libres: 0,C. Jürgens,G. Kalscheur,K. Smith,R. Dias Marques Lisboa Santos,R. Gill,A. Comendador Femenias,G. Dike Egun,J. Carralero Martin,M. Frierson,T. Hollowell
1,09:21,561,2,0,CLUB OURENSE BALONCESTO,G. Kalscheur,2PT Made,(CLUB OURENSE BALONCESTO) G. KALSCHEUR: TIRO DE 2 ANOTADO (Puntos: 2),C. Jürgens,G. Kalscheur,K. Smith,R. Dias Marques Lisboa Santos,R. Gill,A. Comendador Femenias,G. Dike Egun,J. Carralero Martin,M. Frierson,T. Hollowell
1,08:59,539,2,0,PALMER BASKET MALLORCA PALMA,A. Comendador Femenias,Turnover,(PALMER BASKET MALLORCA PALMA) A. COMENDADOR FEMENIAS: PÉRDIDA (Pérdidas: 1),C. Jürgens,G. Kalscheur,K. Smith,R. Dias Marques Lisboa Santos,R. Gill,A. Comendador Femenias,G. Dike Egun,J. Carralero Martin,M. Frierson,T. Hollowell
