Period,Time,Seconds,Score_Home,Score_Away,Team,Player,Action_Type,text,H1,H2,H3,H4,H5,A1,A2,A3,A4,A5
1,10:00,600,0,0,GRUPO URETA TIZONA BURGOS,A. Parrado Calabria,Substitution In,(GRUPO URETA TIZONA BURGOS) A. PARRADO CALABRIA: Sustitución (Entra a pista),A. Parrado Calabria,G. Jofresa Sarret,M. Jackson,R. Seoane Rodicio,R. Vila Soley,A. Murphy,D. Manchon Crespo,J. Kasibabu Shilala,M. Diaz,V. Alves Benite 
1,10:00,600,0,0,FLEXICAR FUENLABRADA,D. Manchon Crespo,Substitution In,(FLEXICAR FUENLABRADA) D. MANCHON CRESPO: Sustitución (Entra a pista),A. Parrado Calabria,G. Jofresa Sarret,M. Jackson,R. Seoane Rodicio,R. Vila Soley,A. Murphy,D. Manchon Crespo,J. Kasibabu Shilala,M. Diaz,V. Alves Benite 
1,10:00,600,0,0,FLEXICAR FUENLABRADA,V. Alves Benite ,Substitution In,(FLEXICAR FUENLABRADA) V. ALVES BENITE : Sustitución (Entra a pista),A. Parrado Calabria,G. Jofresa Sarret,M. Jackson,R. Seoane Rodicio,R. Vila Soley,A. Murphy,D. Manchon Crespo,J. Kasibabu Shilala,M. Diaz,V. Alves Benite 
1,10:00,600,0,0,FLEXICAR FUENLABRADA,J. Kasibabu Shilala,Substitution In,(FLEXICAR FUENLABRADA) J. KASIBABU SHILALA: Sustitución (Entra a pista),A. Parrado Calabria,G. Jofresa Sarret,M. Jackson,R. Seoane Rodicio,R. Vila Soley,A. Murphy,D. Manchon Crespo,J. Kasibabu Shilala,M. Diaz,V. Alves Benite 
1,10:00,600,0,0,GRUPO URETA TIZONA BURGOS,G. Jofresa Sarret,Substitution In,(GRUPO URETA TIZONA BURGOS) G. JOFRESA SARRET: Sustitución (Entra a pista),A. Parrado Calabria,G. Jofresa Sarret,M. Jackson,R. Seoane Rodicio,R. Vila Soley,A. Murphy,D. Manchon Crespo,J. Kasibabu Shilala,M. Diaz,V. Alves Benite 
1,10:00,600,0,0,GRUPO URETA TIZONA BURGOS,R. Seoane Rodicio,Substitution In,(GRUPO URETA TIZONA BURGOS) R. SEOANE RODICIO: Sustitución (Entra a pista),A. Parrado Calabria,G. Jofresa Sarret,M. Jackson,R. Seoane Rodicio,R. Vila Soley,A. Murphy,D. Manchon Crespo,J. Kasibabu Shilala,M. Diaz,V. Alves Benite 
1,10:00,600,0,0,GRUPO URETA TIZONA BURGOS,M. Jackson,Substitution In,(GRUPO URETA TIZONA BURGOS) M. JACKSON: Sustitución (Entra a pista),A. Parrado Calabria,G. Jofresa Sarret,M. Jackson,R. Seoane Rodicio,R. Vila Soley,A. Murphy,D. Manchon Crespo,J. Kasibabu Shilala,M. Diaz,V. Alves Benite 
1,10:00,600,0,0,FLEXICAR FUENLABRADA,M. Diaz,Substitution In,(FLEXICAR FUENLABRADA) M. DIAZ: Sustitución (Entra a pista),A. Parrado Calabria,G. Jofresa Sarret,M. Jackson,R. Seoane Rodicio,R. Vila Soley,A. Murphy,D. Manchon Crespo,J. Kasibabu Shilala,M. Diaz,V. Alves Benite 
1,10:00,600,0,0,FLEXICAR FUENLABRADA,A. Murphy,Substitution In,(FLEXICAR FUENLABRADA) A. MURPHY: Sustitución (Entra a pista),A. Parrado Calabria,G. Jofresa Sarret,M. Jackson,R. Seoane Rodicio,R. Vila Soley,A. Murphy,D. Manchon Crespo,J. Kasibabu Shilala,M. Diaz,V. Alves Benite 
1,10:00,600,0,0,GRUPO URETA TIZONA BURGOS,R. Vila Soley,Substitution In,(GRUPO URETA TIZONA BURGOS) R. VILA SOLEY: Sustitución (Entra a pista),A. Parrado Calabria,G. Jofresa Sarret,M. Jackson,R. Seoane Rodicio,R. Vila Soley,A. Murphy,D. Manchon Crespo,J. Kasibabu Shilala,M. Diaz,V. Alves Benite 
1,10:00,600,0,0,,,Period,Comienzo del Cuarto 1,A. Parrado Calabria,G. Jofresa Sarret,M. Jackson,R. Seoane Rodicio,R. Vila Soley,A. Murphy,D. Manchon Crespo,J. Kasibabu Shilala,M. Diaz,V. Alves Benite 
1,09:49,589,0,0,GRUPO URETA TIZONA BURGOS,R. Vila Soley,Rebound,(GRUPO URETA TIZONA BURGOS) R. VILA SOLEY: REBOTE (Rebotes: 1),A. Parrado Calabria,G. Jofresa Sarret,M. Jackson,R. Seoane Rodicio,R. Vila Soley,A. Murphy,D. Manchon Crespo,J. Kasibabu Shilala,M. Diaz,V. Alves Benite 
1,09:49,589,0,0,FLEXICAR FUENLABRADA,D. Manchon Crespo,2PT Missed,(FLEXICAR FUENLABRADA) D. MANCHON CRESPO: TIRO DE 2 FALLADO,A. Parrado Calabria,G. Jofresa Sarret,M. Jackson,R. Seoane Rodicio,R. Vila Soley,A. Murphy,D. Manchon Crespo,J. Kasibabu Shilala,M. Diaz,V. Alves Benite 
1,09:39,579,0,0,GRUPO URETA TIZONA BURGOS,R. Vila Soley,Foul,(GRUPO URETA TIZONA BURGOS) R. VILA SOLEY: FALTA Personal (Faltas: 1. Faltas de equipo: 1). Tiros libres: 0,A. Parrado Calabria,G. Jofresa Sarret,M. Jackson,R. Seoane Rodicio,R. Vila Soley,A. Murphy,D. Manchon Crespo,J. Kasibabu Shilala,M. Diaz,V. Alves Benite 
1,09:33,573,0,2,FLEXICAR FUENLABRADA,A. Murphy,2PT Made,(FLEXICAR FUENLABRADA) A. MURPHY: TIRO DE 2 ANOTADO (Puntos: 2),A. Parrado Calabria,G. Jofresa Sarret,M. Jackson,R. Seoane Rodicio,R. Vila Soley,A. Murphy,D. Manchon Crespo,J. Kasibabu Shilala,M. Diaz,V. Alves Benite 
1,09:14,554,2,2,GRUPO URETA TIZONA BURGOS,R. Vila Soley,2PT Made,(GRUPO URETA TIZONA BURGOS) R. VILA SOLEY: TIRO DE 2 ANOTADO (Puntos: 2),A. Parrado Calabria,G. Jofresa Sarret,M. Jackson,R. Seoane Rodicio,R. Vila Soley,A. Murphy,D. Manchon Crespo,J. Kasibabu Shilala,M. Diaz,V. Alves Benite 
1,08:51,531,2,2,FLEXICAR FUENLABRADA,Rebote (Rebotes,Rebound,(FLEXICAR FUENLABRADA) REBOTE (Rebotes: 0),A. Parrado Calabria,G. Jofresa Sarret,M. Jackson,R. Seoane Rodicio,R. Vila Soley,A. Murphy,D. Manchon Crespo,J. Kasibabu Shilala,M. Diaz,V. Alves Benite 
1,08:51,531,2,2,FLEXICAR FUENLABRADA,M. Diaz,2PT Missed,(FLEXICAR FUENLABRADA) M. DIAZ: TIRO DE 2 FALLADO,A. Parrado Calabria,G. Jofresa Sarret,M. Jackson,R. Seoane Rodicio,R. Vila Soley,A. Murphy,D. Manchon Crespo,J. Kasibabu Shilala,M. Diaz,V. Alves Benite 
1,08:35,515,2,4,FLEXICAR FUENLABRADA,V. Alves Benite ,2PT Made,(FLEXICAR FUENLABRADA) V. ALVES BENITE : TIRO DE 2 ANOTADO (Puntos: 2),A. Parrado Calabria,G. Jofresa Sarret,M. Jackson,R. Seoane Rodicio,R. Vila Soley,A. Murphy,D. Manchon Crespo,J. Kasibabu Shilala,M. Diaz,V. Alves Benite 
1,08:21,501,2,4,FLEXICAR FUENLABRADA,V. Alves Benite ,Rebound,(FLEXICAR FUENLABRADA) V. ALVES BENITE : REBOTE (Rebotes: 1),A. Parrado Calabria,G. Jofresa Sarret,M. Jackson,R. Seoane Rodicio,R. Vila Soley,A. Murphy,D. Manchon Crespo,J. Kasibabu Shilala,M. Diaz,V. Alves Benite 
1,08:21,501,2,4,GRUPO URETA TIZONA BURGOS,R. Vila Soley,3PT Missed,(GRUPO URETA TIZONA BURGOS) R. VILA SOLEY: TIRO DE 3 FALLADO,A. Parrado Calabria,G. Jofresa Sarret,M. Jackson,R. Seoane Rodicio,R. Vila Soley,A. Murphy,D. Manchon Crespo,J. Kasibabu Shilala,M. Diaz,V. Alves Benite 
1,08:00,480,2,7,FLEXICAR FUENLABRADA,A. Murphy,3PT Made,(FLEXICAR FUENLABRADA) A. MURPHY: TIRO DE 3 ANOTADO (Puntos: 5),A. Parrado Calabria,G. Jofresa Sarret,M. Jackson,R. Seoane Rodicio,R. Vila Soley,A. Murphy,D. Manchon Crespo,J. Kasibabu Shilala,M. Diaz,V. Alves Benite 
1,08:00,480,2,7,FLEXICAR FUENLABRADA,V. Alves Benite ,Assist,(FLEXICAR FUENLABRADA) V. ALVES BENITE : ASISTENCIA (Asistencias: 1),A. Parrado Calabria,G. Jofresa Sarret,M. Jackson,R. Seoane Rodicio,R. Vila Soley,A. Murphy,D. Manchon Crespo,J. Kasibabu Shilala,M. Diaz,V. Alves Benite 
1,07:41,461,2,7,GRUPO URETA TIZONA BURGOS,A. Parrado Calabria,Rebound,(GRUPO URETA TIZONA BURGOS) A. PARRADO CALABRIA: REBOTE (Rebotes: 1),A. Parrado Calabria,G. Jofresa Sarret,M. Jackson,R. Seoane Rodicio,R. Vila Soley,A. Murphy,D. Manchon Crespo,J. Kasibabu Shilala,M. Diaz,V. Alves Benite 
1,07:41,461,2,7,GRUPO URETA TIZONA BURGOS,M. Jackson,3PT Missed,(GRUPO URETA TIZONA BURGOS) M. JACKSON: TIRO DE 3 FALLADO,A. Parrado Calabria,G. Jofresa Sarret,M. Jackson,R. Seoane Rodicio,R. Vila Soley,A. Murphy,D. Manchon Crespo,J. Kasibabu Shilala,M. Diaz,V. Alves Benite 
1,07:35,455,4,7,GRUPO URETA TIZONA BURGOS,R. Vila Soley,2PT Made,(GRUPO URETA TIZONA BURGOS) R. VILA SOLEY: TIRO DE 2 ANOTADO (Puntos: 4),A. Parrado Calabria,G. Jofresa Sarret,M. Jackson,R. Seoane Rodicio,R. Vila Soley,A. Murphy,D. Manchon Crespo,J. Kasibabu Shilala,M. Diaz,V. Alves Benite 
1,07:26,446,4,7,GRUPO URETA TIZONA BURGOS,M. Jackson,Steal,(GRUPO URETA TIZONA BURGOS) M. JACKSON: ROBO (Robos: 1),A. Parrado Calabria,G. Jofresa Sarret,M. Jackson,R. Seoane Rodicio,R. Vila Soley,A. Murphy,D. Manchon Crespo,J. Kasibabu Shilala,M. Diaz,V. Alves Benite 
1,07:26,446,4,7,FLEXICAR FUENLABRADA,V. Alves Benite ,Turnover,(FLEXICAR FUENLABRADA) V. ALVES BENITE : PÉRDIDA (Pérdidas: 1),A. Parrado Calabria,G. Jofresa Sarret,M. Jackson,R. Seoane Rodicio,R. Vila Soley,A. Murphy,D. Manchon Crespo,J. Kasibabu Shilala,M. Diaz,V. Alves Benite 
1,07:22,442,4,7,FLEXICAR FUENLABRADA,M. Diaz,Foul,(FLEXICAR FUENLABRADA) M. DIAZ: FALTA Personal (Faltas: 1. Faltas de equipo: 1). Tiros libres: 0,A. Parrado Calabria,G. Jofresa Sarret,M. Jackson,R. Seoane Rodicio,R. Vila Soley,A. Murphy,D. Manchon Crespo,J. Kasibabu Shilala,M. Diaz,V. Alves Benite 
1,07:14,434,6,7,GRUPO URETA TIZONA BURGOS,R. Seoane Rodicio,2PT Made,(GRUPO URETA TIZONA BURGOS) R. SEOANE RODICIO: TIRO DE 2 ANOTADO (Puntos: 2),A. Parrado Calabria,G. Jofresa Sarret,M. Jackson,R. Seoane Rodicio,R. Vila Soley,A. Murphy,D. Manchon Crespo,J. Kasibabu Shilala,M. Diaz,V. Alves Benite 
1,07:02,422,6,7,GRUPO URETA TIZONA BURGOS,R. Vila Soley,Rebound,(GRUPO URETA TIZONA BURGOS) R. VILA SOLEY: REBOTE (Rebotes: 2),A. Parrado Calabria,G. Jofresa Sarret,M. Jackson,R. Seoane Rodicio,R. Vila Soley,A. Murphy,D. Manchon Crespo,J. Kasibabu Shilala,M. Diaz,V. Alves Benite 
1,07:02,422,6,7,FLEXICAR FUENLABRADA,J. Kasibabu Shilala,2PT Missed,(FLEXICAR FUENLABRADA) J. KASIBABU SHILALA: TIRO DE 2 FALLADO,A. Parrado Calabria,G. Jofresa Sarret,M. Jackson,R. Seoane Rodicio,R. Vila Soley,A. Murphy,D. Manchon Crespo,J. Kasibabu Shilala,M. Diaz,V. Alves Benite 
1,06:57,417,6,7,FLEXICAR FUENLABRADA,M. Diaz,Rebound,(FLEXICAR FUENLABRADA) M. DIAZ: REBOTE (Rebotes: 1),A. Parrado Calabria,G. Jofresa Sarret,M. Jackson,R. Seoane Rodicio,R. Vila Soley,A. Murphy,D. Manchon Crespo,J. Kasibabu Shilala,M. Diaz,V. Alves Benite 
1,06:57,417,6,7,GRUPO URETA TIZONA BURGOS,R. Seoane Rodicio,3PT Missed,(GRUPO URETA TIZONA BURGOS) R. SEOANE RODICIO: TIRO DE 3 FALLADO,A. Parrado Calabria,G. Jofresa Sarret,M. Jackson,R. Seoane Rodicio,R. Vila Soley,A. Murphy,D. Manchon Crespo,J. Kasibabu Shilala,M. Diaz,V. Alves Benite 
1,06:33,393,6,7,FLEXICAR FUENLABRADA,J. Kasibabu Shilala,Turnover,(FLEXICAR FUENLABRADA) J. KASIBABU SHILALA: PÉRDIDA (Pérdidas: 1),A. Parrado Calabria,G. Jofresa Sarret,M. Jackson,R. Seoane Rodicio,R. Vila Soley,A. Murphy,D. Manchon Crespo,J. Kasibabu Shilala,M. Diaz,V. Alves Benite 
1,06:14,374,6,7,FLEXICAR FUENLABRADA,D. Manchon Crespo,Rebound,(FLEXICAR FUENLABRADA) D. MANCHON CRESPO: REBOTE (Rebotes: 1),A. Parrado Calabria,G. Jofresa Sarret,M. Jackson,R. Seoane Rodicio,R. Vila Soley,A. Murphy,D. Manchon Crespo,J. Kasibabu Shilala,M. Diaz,V. Alves Benite 
1,06:14,374,6,7,GRUPO URETA TIZONA BURGOS,A. Parrado Calabria,3PT Missed,(GRUPO URETA TIZONA BURGOS) A. PARRADO CALABRIA: TIRO DE 3 FALLADO,A. Parrado Calabria,G. Jofresa Sarret,M. Jackson,R. Seoane Rodicio,R. Vila Soley,A. Murphy,D. Manchon Crespo,J. Kasibabu Shilala,M. Diaz,V. Alves Benite 
1,06:03,363,6,10,FLEXICAR FUENLABRADA,V. Alves Benite ,3PT Made,(FLEXICAR FUENLABRADA) V. ALVES BENITE : TIRO DE 3 ANOTADO (Puntos: 5),A. Parrado Calabria,G. Jofresa Sarret,M. Jackson,R. Seoane Rodicio,R. Vila Soley,A. Murphy,D. Manchon Crespo,J. Kasibabu Shilala,M. Diaz,V. Alves Benite 
1,05:49,349,9,10,GRUPO URETA TIZONA BURGOS,M. Jackson,3PT Made,(GRUPO URETA TIZONA BURGOS) M. JACKSON: TIRO DE 3 ANOTADO (Puntos: 3),A. Parrado Calabria,G. Jofresa Sarret,M. Jackson,R. Seoane Rodicio,R. Vila Soley,A. Murphy,D. Manchon Crespo,J. Kasibabu Shilala,M. Diaz,V. Alves Benite 
1,05:34,334,9,12,FLEXICAR FUENLABRADA,J. Kasibabu Shilala,2PT Made,(FLEXICAR FUENLABRADA) J. KASIBABU SHILALA: TIRO DE 2 ANOTADO (Puntos: 2),A. Parrado Calabria,G. Jofresa Sarret,M. Jackson,R. Seoane Rodicio,R. Vila Soley,A. Murphy,D. Manchon Crespo,J. Kasibabu Shilala,M. Diaz,V. Alves Benite 
1,05:26,326,9,12,GRUPO URETA TIZONA BURGOS,R. Vila Soley,Substitution Out,(GRUPO URETA TIZONA BURGOS) R. VILA SOLEY: Sustitución (Sale de pista),A. Parrado Calabria,G. Jofresa Sarret,M. Jackson,R. Seoane Rodicio,,A. Murphy,D. Manchon Crespo,J. Kasibabu Shilala,M. Diaz,V. Alves Benite 
