Period,Time,Seconds,Score_Home,Score_Away,Team,Player,Action_Type,text,H1,H2,H3,H4,H5,A1,A2,A3,A4,A5
1,10:00,600,0,0,ALIMERKA OVIEDO BALONCESTO,R. Lobaco Muñoz,Substitution In,(ALIMERKA OVIEDO BALONCESTO) R. LOBACO MUÑOZ: Sustitución (Entra a pista),A. Garuba Alari,A. Kelly,S. Svejcar,S. Thomas,V. Faverani Tatsch,C. Hermanson,D. Shelist,G. Parham Ii,R. Cosialls Borras,R. Lobaco Muñoz
1,10:00,600,0,0,GRUPO CAESA SEGUROS FC CARTAGENA CB,S. Svejcar,Substitution In,(GRUPO CAESA SEGUROS FC CARTAGENA CB) S. SVEJCAR: Sustitución (Entra a pista),A. Garuba Alari,A. Kelly,S. Svejcar,S. Thomas,V. Faverani Tatsch,C. Hermanson,D. Shelist,G. Parham Ii,R. Cosialls Borras,R. Lobaco Muñoz
1,10:00,600,0,0,ALIMERKA OVIEDO BALONCESTO,D. Shelist,Substitution In,(ALIMERKA OVIEDO BALONCESTO) D. SHELIST: Sustitución (Entra a pista),A. Garuba Alari,A. Kelly,S. Svejcar,S. Thomas,V. Faverani Tatsch,C. Hermanson,D. Shelist,G. Parham Ii,R. Cosialls Borras,R. Lobaco Muñoz
1,10:00,600,0,0,GRUPO CAESA SEGUROS FC CARTAGENA CB,V. Faverani Tatsch,Substitution In,(GRUPO CAESA SEGUROS FC CARTAGENA CB) V. FAVERANI TATSCH: Sustitución (Entra a pista),A. Garuba Alari,A. Kelly,S. Svejcar,S. Thomas,V. Faverani Tatsch,C. Hermanson,D. Shelist,G. Parham Ii,R. Cosialls Borras,R. Lobaco Muñoz
1,10:00,600,0,0,ALIMERKA OVIEDO BALONCESTO,C. Hermanson,Substitution In,(ALIMERKA OVIEDO BALONCESTO) C. HERMANSON: Sustitución (Entra a pista),A. Garuba Alari,A. Kelly,S. Svejcar,S. Thomas,V. Faverani Tatsch,C. Hermanson,D. Shelist,G. Parham Ii,R. Cosialls Borras,R. Lobaco Muñoz
1,10:00,600,0,0,GRUPO CAESA SEGUROS FC CARTAGENA CB,A. Garuba Alari,Substitution In,(GRUPO CAESA SEGUROS FC CARTAGENA CB) A. GARUBA ALARI: Sustitución (Entra a pista),A. Garuba Alari,A. Kelly,S. Svejcar,S. Thomas,V. Faverani Tatsch,C. Hermanson,D. Shelist,G. Parham Ii,R. Cosialls Borras,R. Lobaco Muñoz
1,10:00,600,0,0,GRUPO CAESA SEGUROS FC CARTAGENA CB,S. Thomas,Substitution In,(GRUPO CAESA SEGUROS FC CARTAGENA CB) S. THOMAS: Sustitución (Entra a pista),A. Garuba Alari,A. Kelly,S. Svejcar,S. Thomas,V. Faverani Tatsch,C. Hermanson,D. Shelist,G. Parham Ii,R. Cosialls Borras,R. Lobaco Muñoz
1,10:00,600,0,0,ALIMERKA OVIEDO BALONCESTO,R. Cosialls Borras,Substitution In,(ALIMERKA OVIEDO BALONCESTO) R. COSIALLS BORRAS: Sustitución (Entra a pista),A. Garuba Alari,A. Kelly,S. Svejcar,S. Thomas,V. Faverani Tatsch,C. Hermanson,D. Shelist,G. Parham Ii,R. Cosialls Borras,R. Lobaco Muñoz
1,10:00,600,0,0,ALIMERKA OVIEDO BALONCESTO,G. Parham Ii,Substitution In,(ALIMERKA OVIEDO BALONCESTO) G. PARHAM II: Sustitución (Entra a pista),A. Garuba Alari,A. Kelly,S. Svejcar,S. Thomas,V. Faverani Tatsch,C. Hermanson,D. Shelist,G. Parham Ii,R. Cosialls Borras,R. Lobaco Muñoz
1,10:00,600,0,0,GRUPO CAESA SEGUROS FC CARTAGENA CB,A. Kelly,Substitution In,(GRUPO CAESA SEGUROS FC CARTAGENA CB) A. KELLY: Sustitución (Entra a pista),A. Garuba Alari,A. Kelly,S. Svejcar,S. Thomas,V. Faverani Tatsch,C. Hermanson,D. Shelist,G. Parham Ii,R. Cosialls Borras,R. Lobaco Muñoz
1,10:00,600,0,0,,,Period,Comienzo del Cuarto 1,A. Garuba Alari,A. Kelly,S. Svejcar,S. Thomas,V. Faverani Tatsch,C. Hermanson,D. Shelist,G. Parham Ii,R. Cosialls Borras,R. Lobaco Muñoz
1,09:48,588,0,2,ALIMERKA OVIEDO BALONCESTO,C. Hermanson,2PT Made,(ALIMERKA OVIEDO BALONCESTO) C. HERMANSON: TIRO DE 2 ANOTADO (Puntos: 2),A. Garuba Alari,A. Kelly,S. Svejcar,S. Thomas,V. Faverani Tatsch,C. Hermanson,D. Shelist,G. Parham Ii,R. Cosialls Borras,R. Lobaco Muñoz
1,09:33,573,0,2,ALIMERKA OVIEDO BALONCESTO,C. Hermanson,Rebound,(ALIMERKA OVIEDO BALONCESTO) C. HERMANSON: REBOTE (Rebotes: 1),A. Garuba Alari,A. Kelly,S. Svejcar,S. Thomas,V. Faverani Tatsch,C. Hermanson,D. Shelist,G. Parham Ii,R. Cosialls Borras,R. Lobaco Muñoz
1,09:33,573,0,2,GRUPO CAESA SEGUROS FC CARTAGENA CB,S. Svejcar,3PT Missed,(GRUPO CAESA SEGUROS FC CARTAGENA CB) S. SVEJCAR: TIRO DE 3 FALLADO,A. Garuba Alari,A. Kelly,S. Svejcar,S. Thomas,V. Faverani Tatsch,C. Hermanson,D. Shelist,G. Parham Ii,R. Cosialls Borras,R. Lobaco Muñoz
1,09:20,560,0,2,GRUPO CAESA SEGUROS FC CARTAGENA CB,V. Faverani Tatsch,Rebound,(GRUPO CAESA SEGUROS FC CARTAGENA CB) V. FAVERANI TATSCH: REBOTE (Rebotes: 1),A. Garuba Alari,A. Kelly,S. Svejcar,S. Thomas,V. Faverani Tatsch,C. Hermanson,D. Shelist,G. Parham Ii,R. Cosialls Borras,R. Lobaco Muñoz
1,09:20,560,0,2,ALIMERKA OVIEDO BALONCESTO,D. Shelist,3PT Missed,(ALIMERKA OVIEDO BALONCESTO) D. SHELIST: TIRO DE 3 FALLADO,A. Garuba Alari,A. Kelly,S. Svejcar,S. Thomas,V. Faverani Tatsch,C. Hermanson,D. Shelist,G. Parham Ii,R. Cosialls Borras,R. Lobaco Muñoz
1,09:04,544,0,2,ALIMERKA OVIEDO BALONCESTO,C. Hermanson,Rebound,(ALIMERKA OVIEDO BALONCESTO) C. HERMANSON: REBOTE (Rebotes: 2),A. Garuba Alari,A. Kelly,S. Svejcar,S. Thomas,V. Faverani Tatsch,C. Hermanson,D. Shelist,G. Parham Ii,R. Cosialls Borras,R. Lobaco Muñoz
1,09:04,544,0,2,GRUPO CAESA SEGUROS FC CARTAGENA CB,V. Faverani Tatsch,3PT Missed,(GRUPO CAESA SEGUROS FC CARTAGENA CB) V. FAVERANI TATSCH: TIRO DE 3 FALLADO,A. Garuba Alari,A. Kelly,S. Svejcar,S. Thomas,V. Faverani Tatsch,C. Hermanson,D. Shelist,G. Parham Ii,R. Cosialls Borras,R. Lobaco Muñoz
1,08:53,533,0,2,ALIMERKA OVIEDO BALONCESTO,R. Cosialls Borras,Rebound,(ALIMERKA OVIEDO BALONCESTO) R. COSIALLS BORRAS: REBOTE (Rebotes: 1),A. Garuba Alari,A. Kelly,S. Svejcar,S. Thomas,V. Faverani Tatsch,C. Hermanson,D. Shelist,G. Parham Ii,R. Cosialls Borras,R. Lobaco Muñoz
1,08:53,533,0,2,ALIMERKA OVIEDO BALONCESTO,G. Parham Ii,2PT Missed,(ALIMERKA OVIEDO BALONCESTO) G. PARHAM II: TIRO DE 2 FALLADO,A. Garuba Alari,A. Kelly,S. Svejcar,S. Thomas,V. Faverani Tatsch,C. Hermanson,D. Shelist,G. Parham Ii,R. Cosialls Borras,R. Lobaco Muñoz
1,08:51,531,0,2,GRUPO CAESA SEGUROS FC CARTAGENA CB,A. Kelly,Foul,(GRUPO CAESA SEGUROS FC CARTAGENA CB) A. KELLY: FALTA Personal (Faltas: 1. Faltas de equipo: 1). Tiros libres: 0,A. Garuba Alari,A. Kelly,S. Svejcar,S. Thomas,V. Faverani Tatsch,C. Hermanson,D. Shelist,G. Parham Ii,R. Cosialls Borras,R. Lobaco Muñoz
1,08:40,520,0,2,GRUPO CAESA SEGUROS FC CARTAGENA CB,V. Faverani Tatsch,Rebound,(GRUPO CAESA SEGUROS FC CARTAGENA CB) V. FAVERANI TATSCH: REBOTE (Rebotes: 2),A. Garuba Alari,A. Kelly,S. Svejcar,S. Thomas,V. Faverani Tatsch,C. Hermanson,D. Shelist,G. Parham Ii,R. Cosialls Borras,R. Lobaco Muñoz
1,08:40,520,0,2,ALIMERKA OVIEDO BALONCESTO,R. Lobaco Muñoz,2PT Missed,(ALIMERKA OVIEDO BALONCESTO) R. LOBACO MUÑOZ: TIRO DE 2 FALLADO,A. Garuba Alari,A. Kelly,S. Svejcar,S. Thomas,V. Faverani Tatsch,C. Hermanson,D. Shelist,G. Parham Ii,R. Cosialls Borras,R. Lobaco Muñoz
