Period,Time,Seconds,Score_Home,Score_Away,Team,Player,Action_Type,text,H1,H2,H3,H4,H5,A1,A2,A3,A4,A5
1,10:00,600,0,0,GRUPO ALEGA CANTABRIA,R. Johnson Jr,Substitution In,(GRUPO ALEGA CANTABRIA) R. JOHNSON JR: Sustitución (Entra a pista),B. Lugarini,G. Martinez Diaz,J. Perez Perez,J. Yu,R. Johnson Jr,I. Jakovics,J. Vrankic,M. Armus,T. Borg,X. Oroz Uria
1,10:00,600,0,0,GRUPO ALEGA CANTABRIA,B. Lugarini,Substitution In,(GRUPO ALEGA CANTABRIA) B. LUGARINI: Sustitución (Entra a pista),B. Lugarini,G. Martinez Diaz,J. Perez Perez,J. Yu,R. Johnson Jr,I. Jakovics,J. Vrankic,M. Armus,T. Borg,X. Oroz Uria
1,10:00,600,0,0,GRUPO ALEGA CANTABRIA,J. Yu,Substitution In,(GRUPO ALEGA CANTABRIA) J. YU: Sustitución (Entra a pista),B. Lugarini,G. Martinez Diaz,J. Perez Perez,J. Yu,R. Johnson Jr,I. Jakovics,J. Vrankic,M. Armus,T. Borg,X. Oroz Uria
1,10:00,600,0,0,GRUPO ALEGA CANTABRIA,G. Martinez Diaz,Substitution In,(GRUPO ALEGA CANTABRIA) G. MARTINEZ DIAZ: Sustitución (Entra a pista),B. Lugarini,G. Martinez Diaz,J. Perez Perez,J. Yu,R. Johnson Jr,I. Jakovics,J. Vrankic,M. Armus,T. Borg,X. Oroz Uria
1,10:00,600,0,0,SÚPER AGROPAL PALENCIA,T. Borg,Substitution In,(SÚPER AGROPAL PALENCIA) T. BORG: Sustitución (Entra a pista),B. Lugarini,G. Martinez Diaz,J. Perez Perez,J. Yu,R. Johnson Jr,I. Jakovics,J. Vrankic,M. Armus,T. Borg,X. Oroz Uria
1,10:00,600,0,0,SÚPER AGROPAL PALENCIA,M. Armus,Substitution In,(SÚPER AGROPAL PALENCIA) M. ARMUS: Sustitución (Entra a pista),B. Lugarini,G. Martinez Diaz,J. Perez Perez,J. Yu,R. Johnson Jr,I. Jakovics,J. Vrankic,M. Armus,T. Borg,X. Oroz Uria
1,10:00,600,0,0,SÚPER AGROPAL PALENCIA,X. Oroz Uria,Substitution In,(SÚPER AGROPAL PALENCIA) X. OROZ URIA: Sustitución (Entra a pista),B. Lugarini,G. Martinez Diaz,J. Perez Perez,J. Yu,R. Johnson Jr,I. Jakovics,J. Vrankic,M. Armus,T. Borg,X. Oroz Uria
1,10:00,600,0,0,SÚPER AGROPAL PALENCIA,J. Vrankic,Substitution In,(SÚPER AGROPAL PALENCIA) J. VRANKIC: Sustitución (Entra a pista),B. Lugarini,G. Martinez Diaz,J. Perez Perez,J. Yu,R. Johnson Jr,I. Jakovics,J. Vrankic,M. Armus,T. Borg,X. Oroz Uria
1,10:00,600,0,0,SÚPER AGROPAL PALENCIA,I. Jakovics,Substitution In,(SÚPER AGROPAL PALENCIA) I. JAKOVICS: Sustitución (Entra a pista),B. Lugarini,G. Martinez Diaz,J. Perez Perez,J. Yu,R. Johnson Jr,I. Jakovics,J. Vrankic,M. Armus,T. Borg,X. Oroz Uria
1,10:00,600,0,0,GRUPO ALEGA CANTABRIA,J. Perez Perez,Substitution In,(GRUPO ALEGA CANTABRIA) J. PEREZ PEREZ: Sustitución (Entra a pista),B. Lugarini,G. Martinez Diaz,J. Perez Perez,J. Yu,R. Johnson Jr,I. Jakovics,J. Vrankic,M. Armus,T. Borg,X. Oroz Uria
1,10:00,600,0,0,,,Period,Comienzo del Cuarto 1,B. Lugarini,G. Martinez Diaz,J. Perez Perez,J. Yu,R. Johnson Jr,I. Jakovics,J. Vrankic,M. Armus,T. Borg,X. Oroz Uria
