Period,Time,Seconds,Score_Home,Score_Away,Team,Player,Action_Type,text,H1,H2,H3,H4,H5,A1,A2,A3,A4,A5
1,10:00,600,0,0,GRUPO CAESA SEGUROS FC CARTAGENA CB,A. Garuba Alari,Substitution In,(GRUPO CAESA SEGUROS FC CARTAGENA CB) A. GARUBA ALARI: Sustitución (Entra a pista),G. Korsantia,I. Arroyo Varela,J. Nicolau Aledon,L. Terry,O. Hanzlik,A. Garuba Alari,A. Kelly,S. Svejcar,S. Thomas,V. Faverani Tatsch
1,10:00,600,0,0,INVEREADY GIPUZKOA,O. Hanzlik,Substitution In,(INVEREADY GIPUZKOA) O. HANZLIK: Sustitución (Entra a pista),G. Korsantia,I. Arroyo Varela,J. Nicolau Aledon,L. Terry,O. Hanzlik,A. Garuba Alari,A. Kelly,S. Svejcar,S. Thomas,V. Faverani Tatsch
1,10:00,600,0,0,GRUPO CAESA SEGUROS FC CARTAGENA CB,S. Svejcar,Substitution In,(GRUPO CAESA SEGUROS FC CARTAGENA CB) S. SVEJCAR: Sustitución (Entra a pista),G. Korsantia,I. Arroyo Varela,J. Nicolau Aledon,L. Terry,O. Hanzlik,A. Garuba Alari,A. Kelly,S. Svejcar,S. Thomas,V. Faverani Tatsch
1,10:00,600,0,0,INVEREADY GIPUZKOA,I. Arroyo Varela,Substitution In,(INVEREADY GIPUZKOA) I. ARROYO VARELA: Sustitución (Entra a pista),G. Korsantia,I. Arroyo Varela,J. Nicolau Aledon,L. Terry,O. Hanzlik,A. Garuba Alari,A. Kelly,S. Svejcar,S. Thomas,V. Faverani Tatsch
1,10:00,600,0,0,INVEREADY GIPUZKOA,G. Korsantia,Substitution In,(INVEREADY GIPUZKOA) G. KORSANTIA: Sustitución (Entra a pista),G. Korsantia,I. Arroyo Varela,J. Nicolau Aledon,L. Terry,O. Hanzlik,A. Garuba Alari,A. Kelly,S. Svejcar,S. Thomas,V. Faverani Tatsch
1,10:00,600,0,0,INVEREADY GIPUZKOA,J. Nicolau Aledon,Substitution In,(INVEREADY GIPUZKOA) J. NICOLAU ALEDON: Sustitución (Entra a pista),G. Korsantia,I. Arroyo Varela,J. Nicolau Aledon,L. Terry,O. Hanzlik,A. Garuba Alari,A. Kelly,S. Svejcar,S. Thomas,V. Faverani Tatsch
1,10:00,600,0,0,GRUPO CAESA SEGUROS FC CARTAGENA CB,A. Kelly,Substitution In,(GRUPO CAESA SEGUROS FC CARTAGENA CB) A. KELLY: Sustitución (Entra a pista),G. Korsantia,I. Arroyo Varela,J. Nicolau Aledon,L. Terry,O. Hanzlik,A. Garuba Alari,A. Kelly,S. Svejcar,S. Thomas,V. Faverani Tatsch
1,10:00,600,0,0,GRUPO CAESA SEGUROS FC CARTAGENA CB,V. Faverani Tatsch,Substitution In,(GRUPO CAESA SEGUROS FC CARTAGENA CB) V. FAVERANI TATSCH: Sustitución (Entra a pista),G. Korsantia,I. Arroyo Varela,J. Nicolau Aledon,L. Terry,O. Hanzlik,A. Garuba Alari,A. Kelly,S. Svejcar,S. Thomas,V. Faverani Tatsch
1,10:00,600,0,0,INVEREADY GIPUZKOA,L. Terry,Substitution In,(INVEREADY GIPUZKOA) L. TERRY: Sustitución (Entra a pista),G. Korsantia,I. Arroyo Varela,J. Nicolau Aledon,L. Terry,O. Hanzlik,A. Garuba Alari,A. Kelly,S. Svejcar,S. Thomas,V. Faverani Tatsch
1,10:00,600,0,0,GRUPO CAESA SEGUROS FC CARTAGENA CB,S. Thomas,Substitution In,(GRUPO CAESA SEGUROS FC CARTAGENA CB) S. THOMAS: Sustitución (Entra a pista),G. Korsantia,I. Arroyo Varela,J. Nicolau Aledon,L. Terry,O. Hanzlik,A. Garuba Alari,A. Kelly,S. Svejcar,S. Thomas,V. Faverani Tatsch
1,10:00,600,0,0,,,Period,Comienzo del Cuarto 1,G. Korsantia,I. Arroyo Varela,J. Nicolau Aledon,L. Terry,O. Hanzlik,A. Garuba Alari,A. Kelly,S. Svejcar,S. Thomas,V. Faverani Tatsch
1,09:54,594,0,0,GRUPO CAESA SEGUROS FC CARTAGENA CB,A. Kelly,Foul,(GRUPO CAESA SEGUROS FC CARTAGENA CB) A. KELLY: FALTA Personal (Faltas: 1. Faltas de equipo: 1). Tiros libres: 0,G. Korsantia,I. Arroyo Varela,J. Nicolau Aledon,L. Terry,O. Hanzlik,A. Garuba Alari,A. Kelly,S. Svejcar,S. Thomas,V. Faverani Tatsch
1,09:39,579,0,0,GRUPO CAESA SEGUROS FC CARTAGENA CB,V. Faverani Tatsch,Rebound,(GRUPO CAESA SEGUROS FC CARTAGENA CB) V. FAVERANI TATSCH: REBOTE (Rebotes: 1),G. Korsantia,I. Arroyo Varela,J. Nicolau Aledon,L. Terry,O. Hanzlik,A. Garuba Alari,A. Kelly,S. Svejcar,S. Thomas,V. Faverani Tatsch
1,09:39,579,0,0,INVEREADY GIPUZKOA,G. Korsantia,3PT Missed,(INVEREADY GIPUZKOA) G. KORSANTIA: TIRO DE 3 FALLADO,G. Korsantia,I. Arroyo Varela,J. Nicolau Aledon,L. Terry,O. Hanzlik,A. Garuba Alari,A. Kelly,S. Svejcar,S. Thomas,V. Faverani Tatsch
1,09:27,567,0,0,INVEREADY GIPUZKOA,G. Korsantia,Rebound,(INVEREADY GIPUZKOA) G. KORSANTIA: REBOTE (Rebotes: 1),G. Korsantia,I. Arroyo Varela,J. Nicolau Aledon,L. Terry,O. Hanzlik,A. Garuba Alari,A. Kelly,S. Svejcar,S. Thomas,V. Faverani Tatsch
1,09:27,567,0,0,GRUPO CAESA SEGUROS FC CARTAGENA CB,S. Svejcar,2PT Missed,(GRUPO CAESA SEGUROS FC CARTAGENA CB) S. SVEJCAR: TIRO DE 2 FALLADO,G. Korsantia,I. Arroyo Varela,J. Nicolau Aledon,L. Terry,O. Hanzlik,A. Garuba Alari,A. Kelly,S. Svejcar,S. Thomas,V. Faverani Tatsch
1,09:10,550,0,0,GRUPO CAESA SEGUROS FC CARTAGENA CB,A. Kelly,Rebound,(GRUPO CAESA SEGUROS FC CARTAGENA CB) A. KELLY: REBOTE (Rebotes: 1),G. Korsantia,I. Arroyo Varela,J. Nicolau Aledon,L. Terry,O. Hanzlik,A. Garuba Alari,A. Kelly,S. Svejcar,S. Thomas,V. Faverani Tatsch
1,09:10,550,0,0,INVEREADY GIPUZKOA,G. Korsantia,,(INVEREADY GIPUZKOA) G. KORSANTIA: MATE FALLADO,G. Korsantia,I. Arroyo Varela,J. Nicolau Aledon,L. Terry,O. Hanzlik,A. Garuba Alari,A. Kelly,S. Svejcar,S. Thomas,V. Faverani Tatsch
1,09:03,543,0,2,GRUPO CAESA SEGUROS FC CARTAGENA CB,S. Thomas,2PT Made,(GRUPO CAESA SEGUROS FC CARTAGENA CB) S. THOMAS: TIRO DE 2 ANOTADO (Puntos: 2),G. Korsantia,I. Arroyo Varela,J. Nicolau Aledon,L. Terry,O. Hanzlik,A. Garuba Alari,A. Kelly,S. Svejcar,S. Thomas,V. Faverani Tatsch
1,08:44,524,0,2,INVEREADY GIPUZKOA,L. Terry,Turnover,(INVEREADY GIPUZKOA) L. TERRY: PÉRDIDA (Pérdidas: 1),G. Korsantia,I. Arroyo Varela,J. Nicolau Aledon,L. Terry,O. Hanzlik,A. Garuba Alari,A. Kelly,S. Svejcar,S. Thomas,V. Faverani Tatsch
1,08:29,509,0,2,INVEREADY GIPUZKOA,J. Nicolau Aledon,Rebound,(INVEREADY GIPUZKOA) J. NICOLAU ALEDON: REBOTE (Rebotes: 1),G. Korsantia,I. Arroyo Varela,J. Nicolau Aledon,L. Terry,O. Hanzlik,A. Garuba Alari,A. Kelly,S. Svejcar,S. Thomas,V. Faverani Tatsch
1,08:29,509,0,2,GRUPO CAESA SEGUROS FC CARTAGENA CB,S. Thomas,2PT Missed,(GRUPO CAESA SEGUROS FC CARTAGENA CB) S. THOMAS: TIRO DE 2 FALLADO,G. Korsantia,I. Arroyo Varela,J. Nicolau Aledon,L. Terry,O. Hanzlik,A. Garuba Alari,A. Kelly,S. Svejcar,S. Thomas,V. Faverani Tatsch
1,08:12,492,3,2,INVEREADY GIPUZKOA,O. Hanzlik,3PT Made,(INVEREADY GIPUZKOA) O. HANZLIK: TIRO DE 3 ANOTADO (Puntos: 3),G. Korsantia,I. Arroyo Varela,J. Nicolau Aledon,L. Terry,O. Hanzlik,A. Garuba Alari,A. Kelly,S. Svejcar,S. Thomas,V. Faverani Tatsch
1,08:12,492,3,2,INVEREADY GIPUZKOA,I. Arroyo Varela,Assist,(INVEREADY GIPUZKOA) I. ARROYO VARELA: ASISTENCIA (Asistencias: 1),G. Korsantia,I. Arroyo Varela,J. Nicolau Aledon,L. Terry,O. Hanzlik,A. Garuba Alari,A. Kelly,S. Svejcar,S. Thomas,V. Faverani Tatsch
1,08:04,484,3,2,INVEREADY GIPUZKOA,L. Terry,Steal,(INVEREADY GIPUZKOA) L. TERRY: ROBO (Robos: 1),G. Korsantia,I. Arroyo Varela,J. Nicolau Aledon,L. Terry,O. Hanzlik,A. Garuba Alari,A. Kelly,S. Svejcar,S. Thomas,V. Faverani Tatsch
1,08:04,484,3,2,GRUPO CAESA SEGUROS FC CARTAGENA CB,S. Svejcar,Turnover,(GRUPO CAESA SEGUROS FC CARTAGENA CB) S. SVEJCAR: PÉRDIDA (Pérdidas: 1),G. Korsantia,I. Arroyo Varela,J. Nicolau Aledon,L. Terry,O. Hanzlik,A. Garuba Alari,A. Kelly,S. Svejcar,S. Thomas,V. Faverani Tatsch
1,08:00,480,5,2,INVEREADY GIPUZKOA,L. Terry,2PT Made,(INVEREADY GIPUZKOA) L. TERRY: TIRO DE 2 ANOTADO (Puntos: 2),G. Korsantia,I. Arroyo Varela,J. Nicolau Aledon,L. Terry,O. Hanzlik,A. Garuba Alari,A. Kelly,S. Svejcar,S. Thomas,V. Faverani Tatsch
1,08:00,480,5,2,INVEREADY GIPUZKOA,G. Korsantia,Assist,(INVEREADY GIPUZKOA) G. KORSANTIA: ASISTENCIA (Asistencias: 1),G. Korsantia,I. Arroyo Varela,J. Nicolau Aledon,L. Terry,O. Hanzlik,A. Garuba Alari,A. Kelly,S. Svejcar,S. Thomas,V. Faverani Tatsch
1,07:45,465,5,3,GRUPO CAESA SEGUROS FC CARTAGENA CB,A. Garuba Alari,FT Made,(GRUPO CAESA SEGUROS FC CARTAGENA CB) A. GARUBA ALARI: TIRO DE 1 ANOTADO (Puntos: 1),G. Korsantia,I. Arroyo Varela,J. Nicolau Aledon,L. Terry,O. Hanzlik,A. Garuba Alari,A. Kelly,S. Svejcar,S. Thomas,V. Faverani Tatsch
1,07:45,465,5,4,GRUPO CAESA SEGUROS FC CARTAGENA CB,A. Garuba Alari,FT Made,(GRUPO CAESA SEGUROS FC CARTAGENA CB) A. GARUBA ALARI: TIRO DE 1 ANOTADO (Puntos: 2),G. Korsantia,I. Arroyo Varela,J. Nicolau Aledon,L. Terry,O. Hanzlik,A. Garuba Alari,A. Kelly,S. Svejcar,S. Thomas,V. Faverani Tatsch
1,07:45,465,5,4,INVEREADY GIPUZKOA,J. Nicolau Aledon,Foul,(INVEREADY GIPUZKOA) J. NICOLAU ALEDON: FALTA Personal (Faltas: 1. Faltas de equipo: 1). Tiros libres: 2,G. Korsantia,I. Arroyo Varela,J. Nicolau Aledon,L. Terry,O. Hanzlik,A. Garuba Alari,A. Kelly,S. Svejcar,S. Thomas,V. Faverani Tatsch
1,07:26,446,5,4,GRUPO CAESA SEGUROS FC CARTAGENA CB,S. Thomas,Rebound,(GRUPO CAESA SEGUROS FC CARTAGENA CB) S. THOMAS: REBOTE (Rebotes: 1),G. Korsantia,I. Arroyo Varela,J. Nicolau Aledon,L. Terry,O. Hanzlik,A. Garuba Alari,A. Kelly,S. Svejcar,S. Thomas,V. Faverani Tatsch
1,07:26,446,5,4,INVEREADY GIPUZKOA,L. Terry,3PT Missed,(INVEREADY GIPUZKOA) L. TERRY: TIRO DE 3 FALLADO,G. Korsantia,I. Arroyo Varela,J. Nicolau Aledon,L. Terry,O. Hanzlik,A. Garuba Alari,A. Kelly,S. Svejcar,S. Thomas,V. Faverani Tatsch
1,07:22,442,5,4,INVEREADY GIPUZKOA,G. Korsantia,Foul,(INVEREADY GIPUZKOA) G. KORSANTIA: FALTA Personal (Faltas: 1. Faltas de equipo: 2). Tiros libres: 0,G. Korsantia,I. Arroyo Varela,J. Nicolau Aledon,L. Terry,O. Hanzlik,A. Garuba Alari,A. Kelly,S. Svejcar,S. Thomas,V. Faverani Tatsch
1,07:06,426,5,6,GRUPO CAESA SEGUROS FC CARTAGENA CB,A. Garuba Alari,2PT Made,(GRUPO CAESA SEGUROS FC CARTAGENA CB) A. GARUBA ALARI: TIRO DE 2 ANOTADO (Puntos: 4),G. Korsantia,I. Arroyo Varela,J. Nicolau Aledon,L. Terry,O. Hanzlik,A. Garuba Alari,A. Kelly,S. Svejcar,S. Thomas,V. Faverani Tatsch
1,06:59,419,7,6,INVEREADY GIPUZKOA,G. Korsantia,2PT Made,(INVEREADY GIPUZKOA) G. KORSANTIA: TIRO DE 2 ANOTADO (Puntos: 2),G. Korsantia,I. Arroyo Varela,J. Nicolau Aledon,L. Terry,O. Hanzlik,A. Garuba Alari,A. Kelly,S. Svejcar,S. Thomas,V. Faverani Tatsch
1,06:59,419,7,6,INVEREADY GIPUZKOA,G. Korsantia,Rebound,(INVEREADY GIPUZKOA) G. KORSANTIA: REBOTE (Rebotes: 2),G. Korsantia,I. Arroyo Varela,J. Nicolau Aledon,L. Terry,O. Hanzlik,A. Garuba Alari,A. Kelly,S. Svejcar,S. Thomas,V. Faverani Tatsch
1,06:59,419,7,6,INVEREADY GIPUZKOA,L. Terry,2PT Missed,(INVEREADY GIPUZKOA) L. TERRY: TIRO DE 2 FALLADO,G. Korsantia,I. Arroyo Varela,J. Nicolau Aledon,L. Terry,O. Hanzlik,A. Garuba Alari,A. Kelly,S. Svejcar,S. Thomas,V. Faverani Tatsch
1,06:40,400,7,8,GRUPO CAESA SEGUROS FC CARTAGENA CB,A. Kelly,2PT Made,(GRUPO CAESA SEGUROS FC CARTAGENA CB) A. KELLY: TIRO DE 2 ANOTADO (Puntos: 2),G. Korsantia,I. Arroyo Varela,J. Nicolau Aledon,L. Terry,O. Hanzlik,A. Garuba Alari,A. Kelly,S. Svejcar,S. Thomas,V. Faverani Tatsch
