Period,Time,Seconds,Score_Home,Score_Away,Team,Player,Action_Type,text,H1,H2,H3,H4,H5,A1,A2,A3,A4,A5
1,10:00,600,0,0,ALIMERKA OVIEDO BALONCESTO,C. Hermanson,Substitution In,(ALIMERKA OVIEDO BALONCESTO) C. HERMANSON: Sustitución (Entra a pista),C. Hermanson,D. Duscak,F. Nwaokorie,R. Cosialls Borras,R. Lobaco Muñoz,A. Huelves Garcia,A. Parrado Calabria,G. Gil Garcia,M. Jackson,R. Vila Soley
1,10:00,600,0,0,ALIMERKA OVIEDO BALONCESTO,D. Duscak,Substitution In,(ALIMERKA OVIEDO BALONCESTO) D. DUSCAK: Sustitución (Entra a pista),C. Hermanson,D. Duscak,F. Nwaokorie,R. Cosialls Borras,R. Lobaco Muñoz,A. Huelves Garcia,A. Parrado Calabria,G. Gil Garcia,M. Jackson,R. Vila Soley
1,10:00,600,0,0,GRUPO URETA TIZONA BURGOS,R. Vila Soley,Substitution In,(GRUPO URETA TIZONA BURGOS) R. VILA SOLEY: Sustitución (Entra a pista),C. Hermanson,D. Duscak,F. Nwaokorie,R. Cosialls Borras,R. Lobaco Muñoz,A. Huelves Garcia,A. Parrado Calabria,G. Gil Garcia,M. Jackson,R. Vila Soley
1,10:00,600,0,0,GRUPO URETA TIZONA BURGOS,M. Jackson,Substitution In,(GRUPO URETA TIZONA BURGOS) M. JACKSON: Sustitución (Entra a pista),C. Hermanson,D. Duscak,F. Nwaokorie,R. Cosialls Borras,R. Lobaco Muñoz,A. Huelves Garcia,A. Parrado Calabria,G. Gil Garcia,M. Jackson,R. Vila Soley
1,10:00,600,0,0,GRUPO URETA TIZONA BURGOS,G. Gil Garcia,Substitution In,(GRUPO URETA TIZONA BURGOS) G. GIL GARCIA: Sustitución (Entra a pista),C. Hermanson,D. Duscak,F. Nwaokorie,R. Cosialls Borras,R. Lobaco Muñoz,A. Huelves Garcia,A. Parrado Calabria,G. Gil Garcia,M. Jackson,R. Vila Soley
1,10:00,600,0,0,ALIMERKA OVIEDO BALONCESTO,F. Nwaokorie,Substitution In,(ALIMERKA OVIEDO BALONCESTO) F. NWAOKORIE: Sustitución (Entra a pista),C. Hermanson,D. Duscak,F. Nwaokorie,R. Cosialls Borras,R. Lobaco Muñoz,A. Huelves Garcia,A. Parrado Calabria,G. Gil Garcia,M. Jackson,R. Vila Soley
1,10:00,600,0,0,ALIMERKA OVIEDO BALONCESTO,R. Lobaco Muñoz,Substitution In,(ALIMERKA OVIEDO BALONCESTO) R. LOBACO MUÑOZ: Sustitución (Entra a pista),C. Hermanson,D. Duscak,F. Nwaokorie,R. Cosialls Borras,R. Lobaco Muñoz,A. Huelves Garcia,A. Parrado Calabria,G. Gil Garcia,M. Jackson,R. Vila Soley
1,10:00,600,0,0,GRUPO URETA TIZONA BURGOS,A. Parrado Calabria,Substitution In,(GRUPO URETA TIZONA BURGOS) A. PARRADO CALABRIA: Sustitución (Entra a pista),C. Hermanson,D. Duscak,F. Nwaokorie,R. Cosialls Borras,R. Lobaco Muñoz,A. Huelves Garcia,A. Parrado Calabria,G. Gil Garcia,M. Jackson,R. Vila Soley
1,10:00,600,0,0,ALIMERKA OVIEDO BALONCESTO,R. Cosialls Borras,Substitution In,(ALIMERKA OVIEDO BALONCESTO) R. COSIALLS BORRAS: Sustitución (Entra a pista),C. Hermanson,D. Duscak,F. Nwaokorie,R. Cosialls Borras,R. Lobaco Muñoz,A. Huelves Garcia,A. Parrado Calabria,G. Gil Garcia,M. Jackson,R. Vila Soley
1,10:00,600,0,0,GRUPO URETA TIZONA BURGOS,A. Huelves Garcia,Substitution In,(GRUPO URETA TIZONA BURGOS) A. HUELVES GARCIA: Sustitución (Entra a pista),C. Hermanson,D. Duscak,F. Nwaokorie,R. Cosialls Borras,R. Lobaco Muñoz,A. Huelves Garcia,A. Parrado Calabria,G. Gil Garcia,M. Jackson,R. Vila Soley
