Period,Time,Seconds,Score_Home,Score_Away,Team,Player,Action_Type,text,H1,H2,H3,H4,H5,A1,A2,A3,A4,A5
1,10:00,600,0,0,HESTIA MENORCA,P. Figueras Lopez,Substitution In,(HESTIA MENORCA) P. FIGUERAS LOPEZ: Sustitución (Entra a pista),A. Wintering,J. Vrankic,M. Armus,M. Kamba,T. Borg,A. Sola Iddrisu,E. Vicedo Ayala,E. Wembi,P. Figueras Lopez,S. Littleson
1,10:00,600,0,0,HESTIA MENORCA,A. Sola Iddrisu,Substitution In,(HESTIA MENORCA) A. SOLA IDDRISU: Sustitución (Entra a pista),A. Wintering,J. Vrankic,M. Armus,M. Kamba,T. Borg,A. Sola Iddrisu,E. Vicedo Ayala,E. Wembi,P. Figueras Lopez,S. Littleson
1,10:00,600,0,0,HESTIA MENORCA,E. Wembi,Substitution In,(HESTIA MENORCA) E. WEMBI: Sustitución (Entra a pista),A. Wintering,J. Vrankic,M. Armus,M. Kamba,T. Borg,A. Sola Iddrisu,E. Vicedo Ayala,E. Wembi,P. Figueras Lopez,S. Littleson
1,10:00,600,0,0,SÚPER AGROPAL PALENCIA,A. Wintering,Substitution In,(SÚPER AGROPAL PALENCIA) A. WINTERING: Sustitución (Entra a pista),A. Wintering,J. Vrankic,M. Armus,M. Kamba,T. Borg,A. Sola Iddrisu,E. Vicedo Ayala,E. Wembi,P. Figueras Lopez,S. Littleson
1,10:00,600,0,0,SÚPER AGROPAL PALENCIA,M. Kamba,Substitution In,(SÚPER AGROPAL PALENCIA) M. KAMBA: Sustitución (Entra a pista),A. Wintering,J. Vrankic,M. Armus,M. Kamba,T. Borg,A. Sola Iddrisu,E. Vicedo Ayala,E. Wembi,P. Figueras Lopez,S. Littleson
1,10:00,600,0,0,SÚPER AGROPAL PALENCIA,M. Armus,Substitution In,(SÚPER AGROPAL PALENCIA) M. ARMUS: Sustitución (Entra a pista),A. Wintering,J. Vrankic,M. Armus,M. Kamba,T. Borg,A. Sola Iddrisu,E. Vicedo Ayala,E. Wembi,P. Figueras Lopez,S. Littleson
1,10:00,600,0,0,SÚPER AGROPAL PALENCIA,T. Borg,Substitution In,(SÚPER AGROPAL PALENCIA) T. BORG: Sustitución (Entra a pista),A. Wintering,J. Vrankic,M. Armus,M. Kamba,T. Borg,A. Sola Iddrisu,E. Vicedo Ayala,E. Wembi,P. Figueras Lopez,S. Littleson
1,10:00,600,0,0,SÚPER AGROPAL PALENCIA,J. Vrankic,Substitution In,(SÚPER AGROPAL PALENCIA) J. VRANKIC: Sustitución (Entra a pista),A. Wintering,J. Vrankic,M. Armus,M. Kamba,T. Borg,A. Sola Iddrisu,E. Vicedo Ayala,E. Wembi,P. Figueras Lopez,S. Littleson
1,10:00,600,0,0,HESTIA MENORCA,S. Littleson,Substitution In,(HESTIA MENORCA) S. LITTLESON: Sustitución (Entra a pista),A. Wintering,J. Vrankic,M. Armus,M. Kamba,T. Borg,A. Sola Iddrisu,E. Vicedo Ayala,E. Wembi,P. Figueras Lopez,S. Littleson
1,10:00,600,0,0,HESTIA MENORCA,E. Vicedo Ayala,Substitution In,(HESTIA MENORCA) E. VICEDO AYALA: Sustitución (Entra a pista),A. Wintering,J. Vrankic,M. Armus,M. Kamba,T. Borg,A. Sola Iddrisu,E. Vicedo Ayala,E. Wembi,P. Figueras Lopez,S. Littleson
