Period,Time,Seconds,Score_Home,Score_Away,Team,Player,Action_Type,text,H1,H2,H3,H4,H5,A1,A2,A3,A4,A5
1,10:00,600,0,0,HESTIA MENORCA,S. Littleson,Substitution In,(HESTIA MENORCA) S. LITTLESON: Sustitución (Entra a pista),A. Sola Iddrisu,E. Vicedo Ayala,E. Wembi,P. Molins Calderon,S. Littleson,A. Domenech Fontana,A. Garuba Alari,E. Idehen Idehen,S. Svejcar,S. Thomas
1,10:00,600,0,0,GRUPO CAESA SEGUROS FC CARTAGENA CB,A. Garuba Alari,Substitution In,(GRUPO CAESA SEGUROS FC CARTAGENA CB) A. GARUBA ALARI: Sustitución (Entra a pista),A. Sola Iddrisu,E. Vicedo Ayala,E. Wembi,P. Molins Calderon,S. Littleson,A. Domenech Fontana,A. Garuba Alari,E. Idehen Idehen,S. Svejcar,S. Thomas
1,10:00,600,0,0,HESTIA MENORCA,P. Molins Calderon,Substitution In,(HESTIA MENORCA) P. MOLINS CALDERON: Sustitución (Entra a pista),A. Sola Iddrisu,E. Vicedo Ayala,E. Wembi,P. Molins Calderon,S. Littleson,A. Domenech Fontana,A. Garuba Alari,E. Idehen Idehen,S. Svejcar,S. Thomas
1,10:00,600,0,0,HESTIA MENORCA,A. Sola Iddrisu,Substitution In,(HESTIA MENORCA) A. SOLA IDDRISU: Sustitución (Entra a pista),A. Sola Iddrisu,E. Vicedo Ayala,E. Wembi,P. Molins Calderon,S. Littleson,A. Domenech Fontana,A. Garuba Alari,E. Idehen Idehen,S. Svejcar,S. Thomas
1,10:00,600,0,0,HESTIA MENORCA,E. Vicedo Ayala,Substitution In,(HESTIA MENORCA) E. VICEDO AYALA: Sustitución (Entra a pista),A. Sola Iddrisu,E. Vicedo Ayala,E. Wembi,P. Molins Calderon,S. Littleson,A. Domenech Fontana,A. Garuba Alari,E. Idehen Idehen,S. Svejcar,S. Thomas
1,10:00,600,0,0,HESTIA MENORCA,E. Wembi,Substitution In,(HESTIA MENORCA) E. WEMBI: Sustitución (Entra a pista),A. Sola Iddrisu,E. Vicedo Ayala,E. Wembi,P. Molins Calderon,S. Littleson,A. Domenech Fontana,A. Garuba Alari,E. Idehen Idehen,S. Svejcar,S. Thomas
1,10:00,600,0,0,GRUPO CAESA SEGUROS FC CARTAGENA CB,E. Idehen Idehen,Substitution In,(GRUPO CAESA SEGUROS FC CARTAGENA CB) E. IDEHEN IDEHEN: Sustitución (Entra a pista),A. Sola Iddrisu,E. Vicedo Ayala,E. Wembi,P. Molins Calderon,S. Littleson,A. Domenech Fontana,A. Garuba Alari,E. Idehen Idehen,S. Svejcar,S. Thomas
1,10:00,600,0,0,GRUPO CAESA SEGUROS FC CARTAGENA CB,S. Thomas,Substitution In,(GRUPO CAESA SEGUROS FC CARTAGENA CB) S. THOMAS: Sustitución (Entra a pista),A. Sola Iddrisu,E. Vicedo Ayala,E. Wembi,P. Molins Calderon,S. Littleson,A. Domenech Fontana,A. Garuba Alari,E. Idehen Idehen,S. Svejcar,S. Thomas
1,10:00,600,0,0,GRUPO CAESA SEGUROS FC CARTAGENA CB,A. Domenech Fontana,Substitution In,(GRUPO CAESA SEGUROS FC CARTAGENA CB) A. DOMENECH FONTANA: Sustitución (Entra a pista),A. Sola Iddrisu,E. Vicedo Ayala,E. Wembi,P. Molins Calderon,S. Littleson,A. Domenech Fontana,A. Garuba Alari,E. Idehen Idehen,S. Svejcar,S. Thomas
1,10:00,600,0,0,GRUPO CAESA SEGUROS FC CARTAGENA CB,S. Svejcar,Substitution In,(GRUPO CAESA SEGUROS FC CARTAGENA CB) S. SVEJCAR: Sustitución (Entra a pista),A. Sola Iddrisu,E. Vicedo Ayala,E. Wembi,P. Molins Calderon,S. Littleson,A. Domenech Fontana,A. Garuba Alari,E. Idehen Idehen,S. Svejcar,S. Thomas
1,10:00,600,0,0,,,Period,Comienzo del Cuarto 1,A. Sola Iddrisu,E. Vicedo Ayala,E. Wembi,P. Molins Calderon,S. Littleson,A. Domenech Fontana,A. Garuba Alari,E. Idehen Idehen,S. Svejcar,S. Thomas
1,09:47,587,0,0,GRUPO CAESA SEGUROS FC CARTAGENA CB,S. Thomas,Foul,(GRUPO CAESA SEGUROS FC CARTAGENA CB) S. THOMAS: FALTA Personal (Faltas: 1. Faltas de equipo: 1). Tiros libres: 0,A. Sola Iddrisu,E. Vicedo Ayala,E. Wembi,P. Molins Calderon,S. Littleson,A. Domenech Fontana,A. Garuba Alari,E. Idehen Idehen,S. Svejcar,S. Thomas
1,09:41,581,2,0,HESTIA MENORCA,S. Littleson,2PT Made,(HESTIA MENORCA) S. LITTLESON: TIRO DE 2 ANOTADO (Puntos: 2),A. Sola Iddrisu,E. Vicedo Ayala,E. Wembi,P. Molins Calderon,S. Littleson,A. Domenech Fontana,A. Garuba Alari,E. Idehen Idehen,S. Svejcar,S. Thomas
1,09:19,559,2,0,HESTIA MENORCA,A. Sola Iddrisu,Rebound,(HESTIA MENORCA) A. SOLA IDDRISU: REBOTE (Rebotes: 1),A. Sola Iddrisu,E. Vicedo Ayala,E. Wembi,P. Molins Calderon,S. Littleson,A. Domenech Fontana,A. Garuba Alari,E. Idehen Idehen,S. Svejcar,S. Thomas
1,09:19,559,2,0,GRUPO CAESA SEGUROS FC CARTAGENA CB,A. Domenech Fontana,3PT Missed,(GRUPO CAESA SEGUROS FC CARTAGENA CB) A. DOMENECH FONTANA: TIRO DE 3 FALLADO,A. Sola Iddrisu,E. Vicedo Ayala,E. Wembi,P. Molins Calderon,S. Littleson,A. Domenech Fontana,A. Garuba Alari,E. Idehen Idehen,S. Svejcar,S. Thomas
