Period,Time,Seconds,Score_Home,Score_Away,Team,Player,Action_Type,text,H1,H2,H3,H4,H5,A1,A2,A3,A4,A5
1,10:00,600,0,0,HLA ALICANTE,J. Walker,Substitution In,(HLA ALICANTE) J. WALKER: Sustitución (Entra a pista),I. Jakovics,J. Vrankic,S. Ugochukwu,T. Borg,X. Oroz Uria,D. Geu,J. Mwema,J. Walker,K. Larsen,M. Torres Cuevas
1,10:00,600,0,0,SÚPER AGROPAL PALENCIA,S. Ugochukwu,Substitution In,(SÚPER AGROPAL PALENCIA) S. UGOCHUKWU: Sustitución (Entra a pista),I. Jakovics,J. Vrankic,S. Ugochukwu,T. Borg,X. Oroz Uria,D. Geu,J. Mwema,J. Walker,K. Larsen,M. Torres Cuevas
1,10:00,600,0,0,HLA ALICANTE,D. Geu,Substitution In,(HLA ALICANTE) D. GEU: Sustitución (Entra a pista),I. Jakovics,J. Vrankic,S. Ugochukwu,T. Borg,X. Oroz Uria,D. Geu,J. Mwema,J. Walker,K. Larsen,M. Torres Cuevas
1,10:00,600,0,0,SÚPER AGROPAL PALENCIA,T. Borg,Substitution In,(SÚPER AGROPAL PALENCIA) T. BORG: Sustitución (Entra a pista),I. Jakovics,J. Vrankic,S. Ugochukwu,T. Borg,X. Oroz Uria,D. Geu,J. Mwema,J. Walker,K. Larsen,M. Torres Cuevas
1,10:00,600,0,0,HLA ALICANTE,M. Torres Cuevas,Substitution In,(HLA ALICANTE) M. TORRES CUEVAS: Sustitución (Entra a pista),I. Jakovics,J. Vrankic,S. Ugochukwu,T. Borg,X. Oroz Uria,D. Geu,J. Mwema,J. Walker,K. Larsen,M. Torres Cuevas
1,10:00,600,0,0,SÚPER AGROPAL PALENCIA,J. Vrankic,Substitution In,(SÚPER AGROPAL PALENCIA) J. VRANKIC: Sustitución (Entra a pista),I. Jakovics,J. Vrankic,S. Ugochukwu,T. Borg,X. Oroz Uria,D. Geu,J. Mwema,J. Walker,K. Larsen,M. Torres Cuevas
1,10:00,600,0,0,HLA ALICANTE,K. Larsen,Substitution In,(HLA ALICANTE) K. LARSEN: Sustitución (Entra a pista),I. Jakovics,J. Vrankic,S. Ugochukwu,T. Borg,X. Oroz Uria,D. Geu,J. Mwema,J. Walker,K. Larsen,M. Torres Cuevas
1,10:00,600,0,0,SÚPER AGROPAL PALENCIA,X. Oroz Uria,Substitution In,(SÚPER AGROPAL PALENCIA) X. OROZ URIA: Sustitución (Entra a pista),I. Jakovics,J. Vrankic,S. Ugochukwu,T. Borg,X. Oroz Uria,D. Geu,J. Mwema,J. Walker,K. Larsen,M. Torres Cuevas
1,10:00,600,0,0,SÚPER AGROPAL PALENCIA,I. Jakovics,Substitution In,(SÚPER AGROPAL PALENCIA) I. JAKOVICS: Sustitución (Entra a pista),I. Jakovics,J. Vrankic,S. Ugochukwu,T. Borg,X. Oroz Uria,D. Geu,J. Mwema,J. Walker,K. Larsen,M. Torres Cuevas
1,10:00,600,0,0,HLA ALICANTE,J. Mwema,Substitution In,(HLA ALICANTE) J. MWEMA: Sustitución (Entra a pista),I. Jakovics,J. Vrankic,S. Ugochukwu,T. Borg,X. Oroz Uria,D. Geu,J. Mwema,J. Walker,K. Larsen,M. Torres Cuevas
1,10:00,600,0,0,,,Period,Comienzo del Cuarto 1,I. Jakovics,J. Vrankic,S. Ugochukwu,T. Borg,X. Oroz Uria,D. Geu,J. Mwema,J. Walker,K. Larsen,M. Torres Cuevas
1,09:52,592,0,0,SÚPER AGROPAL PALENCIA,I. Jakovics,Steal,(SÚPER AGROPAL PALENCIA) I. JAKOVICS: ROBO (Robos: 1),I. Jakovics,J. Vrankic,S. Ugochukwu,T. Borg,X. Oroz Uria,D. Geu,J. Mwema,J. Walker,K. Larsen,M. Torres Cuevas
1,09:52,592,0,0,HLA ALICANTE,D. Geu,Turnover,(HLA ALICANTE) D. GEU: PÉRDIDA (Pérdidas: 1),I. Jakovics,J. Vrankic,S. Ugochukwu,T. Borg,X. Oroz Uria,D. Geu,J. Mwema,J. Walker,K. Larsen,M. Torres Cuevas
1,09:27,567,2,0,SÚPER AGROPAL PALENCIA,S. Ugochukwu,2PT Made,(SÚPER AGROPAL PALENCIA) S. UGOCHUKWU: TIRO DE 2 ANOTADO (Puntos: 2),I. Jakovics,J. Vrankic,S. Ugochukwu,T. Borg,X. Oroz Uria,D. Geu,J. Mwema,J. Walker,K. Larsen,M. Torres Cuevas
1,09:27,567,2,0,SÚPER AGROPAL PALENCIA,I. Jakovics,Assist,(SÚPER AGROPAL PALENCIA) I. JAKOVICS: ASISTENCIA (Asistencias: 1),I. Jakovics,J. Vrankic,S. Ugochukwu,T. Borg,X. Oroz Uria,D. Geu,J. Mwema,J. Walker,K. Larsen,M. Torres Cuevas
1,09:03,543,2,0,SÚPER AGROPAL PALENCIA,I. Jakovics,Steal,(SÚPER AGROPAL PALENCIA) I. JAKOVICS: ROBO (Robos: 2),I. Jakovics,J. Vrankic,S. Ugochukwu,T. Borg,X. Oroz Uria,D. Geu,J. Mwema,J. Walker,K. Larsen,M. Torres Cuevas
1,09:03,543,2,0,HLA ALICANTE,J. Walker,Turnover,(HLA ALICANTE) J. WALKER: PÉRDIDA (Pérdidas: 1),I. Jakovics,J. Vrankic,S. Ugochukwu,T. Borg,X. Oroz Uria,D. Geu,J. Mwema,J. Walker,K. Larsen,M. Torres Cuevas
