Period,Time,Seconds,Score_Home,Score_Away,Team,Player,Action_Type,text,H1,H2,H3,H4,H5,A1,A2,A3,A4,A5
1,10:00,600,0,0,PALMER BASKET MALLORCA PALMA,G. Dike Egun,Substitution In,(PALMER BASKET MALLORCA PALMA) G. DIKE EGUN: Sustitución (Entra a pista),G. Dike Egun,H. Atencia Suarez,J. Carralero Martin,N. Camacho De Sá,T. Hollowell,A. Sola Iddrisu,F. Schott,J. Cone,T. Mcfadden,V. Arteaga Gonzalez
1,10:00,600,0,0,HESTIA MENORCA,V. Arteaga Gonzalez,Substitution In,(HESTIA MENORCA) V. ARTEAGA GONZALEZ: Sustitución (Entra a pista),G. Dike Egun,H. Atencia Suarez,J. Carralero Martin,N. Camacho De Sá,T. Hollowell,A. Sola Iddrisu,F. Schott,J. Cone,T. Mcfadden,V. Arteaga Gonzalez
1,10:00,600,0,0,HESTIA MENORCA,J. Cone,Substitution In,(HESTIA MENORCA) J. CONE: Sustitución (Entra a pista),G. Dike Egun,H. Atencia Suarez,J. Carralero Martin,N. Camacho De Sá,T. Hollowell,A. Sola Iddrisu,F. Schott,J. Cone,T. Mcfadden,V. Arteaga Gonzalez
1,10:00,600,0,0,HESTIA MENORCA,A. Sola Iddrisu,Substitution In,(HESTIA MENORCA) A. SOLA IDDRISU: Sustitución (Entra a pista),G. Dike Egun,H. Atencia Suarez,J. Carralero Martin,N. Camacho De Sá,T. Hollowell,A. Sola Iddrisu,F. Schott,J. Cone,T. Mcfadden,V. Arteaga Gonzalez
1,10:00,600,0,0,PALMER BASKET MALLORCA PALMA,N. Camacho De Sá,Substitution In,(PALMER BASKET MALLORCA PALMA) N. CAMACHO DE SÁ: Sustitución (Entra a pista),G. Dike Egun,H. Atencia Suarez,J. Carralero Martin,N. Camacho De Sá,T. Hollowell,A. Sola Iddrisu,F. Schott,J. Cone,T. Mcfadden,V. Arteaga Gonzalez
1,10:00,600,0,0,PALMER BASKET MALLORCA PALMA,J. Carralero Martin,Substitution In,(PALMER BASKET MALLORCA PALMA) J. CARRALERO MARTIN: Sustitución (Entra a pista),G. Dike Egun,H. Atencia Suarez,J. Carralero Martin,N. Camacho De Sá,T. Hollowell,A. Sola Iddrisu,F. Schott,J. Cone,T. Mcfadden,V. Arteaga Gonzalez
1,10:00,600,0,0,PALMER BASKET MALLORCA PALMA,H. Atencia Suarez,Substitution In,(PALMER BASKET MALLORCA PALMA) H. ATENCIA SUAREZ: Sustitución (Entra a pista),G. Dike Egun,H. Atencia Suarez,J. Carralero Martin,N. Camacho De Sá,T. Hollowell,A. Sola Iddrisu,F. Schott,J. Cone,T. Mcfadden,V. Arteaga Gonzalez
1,10:00,600,0,0,HESTIA MENORCA,T. Mcfadden,Substitution In,(HESTIA MENORCA) T. MCFADDEN: Sustitución (Entra a pista),G. Dike Egun,H. Atencia Suarez,J. Carralero Martin,N. Camacho De Sá,T. Hollowell,A. Sola Iddrisu,F. Schott,J. Cone,T. Mcfadden,V. Arteaga Gonzalez
1,10:00,600,0,0,PALMER BASKET MALLORCA PALMA,T. Hollowell,Substitution In,(PALMER BASKET MALLORCA PALMA) T. HOLLOWELL: Sustitución (Entra a pista),G. Dike Egun,H. Atencia Suarez,J. Carralero Martin,N. Camacho De Sá,T. Hollowell,A. Sola Iddrisu,F. Schott,J. Cone,T. Mcfadden,V. Arteaga Gonzalez
1,10:00,600,0,0,HESTIA MENORCA,F. Schott,Substitution In,(HESTIA MENORCA) F. SCHOTT: Sustitución (Entra a pista),G. Dike Egun,H. Atencia Suarez,J. Carralero Martin,N. Camacho De Sá,T. Hollowell,A. Sola Iddrisu,F. Schott,J. Cone,T. Mcfadden,V. Arteaga Gonzalez
