Period,Time,Seconds,Score_Home,Score_Away,Team,Player,Action_Type,text,H1,H2,H3,H4,H5,A1,A2,A3,A4,A5
1,10:00,600,0,0,MONBUS OBRADOIRO,F. Dos Anjos De Paula,Substitution In,(MONBUS OBRADOIRO) F. DOS ANJOS DE PAULA: Sustitución (Entra a pista),A. Barcello,F. Dos Anjos De Paula,L. Westermann,R. Andersson,Y. Barrueta,G. Gil Garcia,G. Jofresa Sarret,J. Brown-Ferguson,M. Jackson,R. Seoane Rodicio
1,10:00,600,0,0,MONBUS OBRADOIRO,Y. Barrueta,Substitution In,(MONBUS OBRADOIRO) Y. BARRUETA: Sustitución (Entra a pista),A. Barcello,F. Dos Anjos De Paula,L. Westermann,R. Andersson,Y. Barrueta,G. Gil Garcia,G. Jofresa Sarret,J. Brown-Ferguson,M. Jackson,R. Seoane Rodicio
1,10:00,600,0,0,GRUPO URETA TIZONA BURGOS,J. Brown-Ferguson,Substitution In,(GRUPO URETA TIZONA BURGOS) J. BROWN-FERGUSON: Sustitución (Entra a pista),A. Barcello,F. Dos Anjos De Paula,L. Westermann,R. Andersson,Y. Barrueta,G. Gil Garcia,G. Jofresa Sarret,J. Brown-Ferguson,M. Jackson,R. Seoane Rodicio
1,10:00,600,0,0,MONBUS OBRADOIRO,A. Barcello,Substitution In,(MONBUS OBRADOIRO) A. BARCELLO: Sustitución (Entra a pista),A. Barcello,F. Dos Anjos De Paula,L. Westermann,R. Andersson,Y. Barrueta,G. Gil Garcia,G. Jofresa Sarret,J. Brown-Ferguson,M. Jackson,R. Seoane Rodicio
1,10:00,600,0,0,GRUPO URETA TIZONA BURGOS,G. Gil Garcia,Substitution In,(GRUPO URETA TIZONA BURGOS) G. GIL GARCIA: Sustitución (Entra a pista),A. Barcello,F. Dos Anjos De Paula,L. Westermann,R. Andersson,Y. Barrueta,G. Gil Garcia,G. Jofresa Sarret,J. Brown-Ferguson,M. Jackson,R. Seoane Rodicio
1,10:00,600,0,0,GRUPO URETA TIZONA BURGOS,M. Jackson,Substitution In,(GRUPO URETA TIZONA BURGOS) M. JACKSON: Sustitución (Entra a pista),A. Barcello,F. Dos Anjos De Paula,L. Westermann,R. Andersson,Y. Barrueta,G. Gil Garcia,G. Jofresa Sarret,J. Brown-Ferguson,M. Jackson,R. Seoane Rodicio
1,10:00,600,0,0,GRUPO URETA TIZONA BURGOS,R. Seoane Rodicio,Substitution In,(GRUPO URETA TIZONA BURGOS) R. SEOANE RODICIO: Sustitución (Entra a pista),A. Barcello,F. Dos Anjos De Paula,L. Westermann,R. Andersson,Y. Barrueta,G. Gil Garcia,G. Jofresa Sarret,J. Brown-Ferguson,M. Jackson,R. Seoane Rodicio
1,10:00,600,0,0,GRUPO URETA TIZONA BURGOS,G. Jofresa Sarret,Substitution In,(GRUPO URETA TIZONA BURGOS) G. JOFRESA SARRET: Sustitución (Entra a pista),A. Barcello,F. Dos Anjos De Paula,L. Westermann,R. Andersson,Y. Barrueta,G. Gil Garcia,G. Jofresa Sarret,J. Brown-Ferguson,M. Jackson,R. Seoane Rodicio
1,10:00,600,0,0,MONBUS OBRADOIRO,R. Andersson,Substitution In,(MONBUS OBRADOIRO) R. ANDERSSON: Sustitución (Entra a pista),A. Barcello,F. Dos Anjos De Paula,L. Westermann,R. Andersson,Y. Barrueta,G. Gil Garcia,G. Jofresa Sarret,J. Brown-Ferguson,M. Jackson,R. Seoane Rodicio
1,10:00,600,0,0,MONBUS OBRADOIRO,L. Westermann,Substitution In,(MONBUS OBRADOIRO) L. WESTERMANN: Sustitución (Entra a pista),A. Barcello,F. Dos Anjos De Paula,L. Westermann,R. Andersson,Y. Barrueta,G. Gil Garcia,G. Jofresa Sarret,J. Brown-Ferguson,M. Jackson,R. Seoane Rodicio
1,10:00,600,0,0,,,Period,Comienzo del Cuarto 1,A. Barcello,F. Dos Anjos De Paula,L. Westermann,R. Andersson,Y. Barrueta,G. Gil Garcia,G. Jofresa Sarret,J. Brown-Ferguson,M. Jackson,R. Seoane Rodicio
1,09:44,584,2,0,MONBUS OBRADOIRO,F. Dos Anjos De Paula,2PT Made,(MONBUS OBRADOIRO) F. DOS ANJOS DE PAULA: MATE ANOTADO (Puntos: 2),A. Barcello,F. Dos Anjos De Paula,L. Westermann,R. Andersson,Y. Barrueta,G. Gil Garcia,G. Jofresa Sarret,J. Brown-Ferguson,M. Jackson,R. Seoane Rodicio
1,09:44,584,2,0,MONBUS OBRADOIRO,A. Barcello,Assist,(MONBUS OBRADOIRO) A. BARCELLO: ASISTENCIA (Asistencias: 1),A. Barcello,F. Dos Anjos De Paula,L. Westermann,R. Andersson,Y. Barrueta,G. Gil Garcia,G. Jofresa Sarret,J. Brown-Ferguson,M. Jackson,R. Seoane Rodicio
1,09:28,568,2,0,MONBUS OBRADOIRO,Y. Barrueta,Rebound,(MONBUS OBRADOIRO) Y. BARRUETA: REBOTE (Rebotes: 1),A. Barcello,F. Dos Anjos De Paula,L. Westermann,R. Andersson,Y. Barrueta,G. Gil Garcia,G. Jofresa Sarret,J. Brown-Ferguson,M. Jackson,R. Seoane Rodicio
1,09:28,568,2,0,GRUPO URETA TIZONA BURGOS,G. Jofresa Sarret,3PT Missed,(GRUPO URETA TIZONA BURGOS) G. JOFRESA SARRET: TIRO DE 3 FALLADO,A. Barcello,F. Dos Anjos De Paula,L. Westermann,R. Andersson,Y. Barrueta,G. Gil Garcia,G. Jofresa Sarret,J. Brown-Ferguson,M. Jackson,R. Seoane Rodicio
1,09:15,555,2,0,GRUPO URETA TIZONA BURGOS,R. Seoane Rodicio,Rebound,(GRUPO URETA TIZONA BURGOS) R. SEOANE RODICIO: REBOTE (Rebotes: 1),A. Barcello,F. Dos Anjos De Paula,L. Westermann,R. Andersson,Y. Barrueta,G. Gil Garcia,G. Jofresa Sarret,J. Brown-Ferguson,M. Jackson,R. Seoane Rodicio
1,09:15,555,2,0,MONBUS OBRADOIRO,L. Westermann,3PT Missed,(MONBUS OBRADOIRO) L. WESTERMANN: TIRO DE 3 FALLADO,A. Barcello,F. Dos Anjos De Paula,L. Westermann,R. Andersson,Y. Barrueta,G. Gil Garcia,G. Jofresa Sarret,J. Brown-Ferguson,M. Jackson,R. Seoane Rodicio
1,08:56,536,2,2,GRUPO URETA TIZONA BURGOS,M. Jackson,2PT Made,(GRUPO URETA TIZONA BURGOS) M. JACKSON: TIRO DE 2 ANOTADO (Puntos: 2),A. Barcello,F. Dos Anjos De Paula,L. Westermann,R. Andersson,Y. Barrueta,G. Gil Garcia,G. Jofresa Sarret,J. Brown-Ferguson,M. Jackson,R. Seoane Rodicio
1,08:40,520,4,2,MONBUS OBRADOIRO,A. Barcello,2PT Made,(MONBUS OBRADOIRO) A. BARCELLO: TIRO DE 2 ANOTADO (Puntos: 2),A. Barcello,F. Dos Anjos De Paula,L. Westermann,R. Andersson,Y. Barrueta,G. Gil Garcia,G. Jofresa Sarret,J. Brown-Ferguson,M. Jackson,R. Seoane Rodicio
