Period,Time,Seconds,Score_Home,Score_Away,Team,Player,Action_Type,text,H1,H2,H3,H4,H5,A1,A2,A3,A4,A5
1,10:00,600,0,0,FIBWI MALLORCA BASQUET PALMA ,P. Bombino Parada,Substitution In,(FIBWI MALLORCA BASQUET PALMA ) P. BOMBINO PARADA: Sustitución (Entra a pista),I. Arroyo Varela,J. Nicolau Aledon,L. Terry,M. Ansorregui Deba,O. Hanzlik,J. Aramburu Lamy,L. Bracey,L. Capalbo,O. Matulionis,P. Bombino Parada
1,10:00,600,0,0,INVEREADY GIPUZKOA,O. Hanzlik,Substitution In,(INVEREADY GIPUZKOA) O. HANZLIK: Sustitución (Entra a pista),I. Arroyo Varela,J. Nicolau Aledon,L. Terry,M. Ansorregui Deba,O. Hanzlik,J. Aramburu Lamy,L. Bracey,L. Capalbo,O. Matulionis,P. Bombino Parada
1,10:00,600,0,0,INVEREADY GIPUZKOA,M. Ansorregui Deba,Substitution In,(INVEREADY GIPUZKOA) M. ANSORREGUI DEBA: Sustitución (Entra a pista),I. Arroyo Varela,J. Nicolau Aledon,L. Terry,M. Ansorregui Deba,O. Hanzlik,J. Aramburu Lamy,L. Bracey,L. Capalbo,O. Matulionis,P. Bombino Parada
1,10:00,600,0,0,INVEREADY GIPUZKOA,I. Arroyo Varela,Substitution In,(INVEREADY GIPUZKOA) I. ARROYO VARELA: Sustitución (Entra a pista),I. Arroyo Varela,J. Nicolau Aledon,L. Terry,M. Ansorregui Deba,O. Hanzlik,J. Aramburu Lamy,L. Bracey,L. Capalbo,O. Matulionis,P. Bombino Parada
1,10:00,600,0,0,FIBWI MALLORCA BASQUET PALMA ,J. Aramburu Lamy,Substitution In,(FIBWI MALLORCA BASQUET PALMA ) J. ARAMBURU LAMY: Sustitución (Entra a pista),I. Arroyo Varela,J. Nicolau Aledon,L. Terry,M. Ansorregui Deba,O. Hanzlik,J. Aramburu Lamy,L. Bracey,L. Capalbo,O. Matulionis,P. Bombino Parada
1,10:00,600,0,0,FIBWI MALLORCA BASQUET PALMA ,L. Capalbo,Substitution In,(FIBWI MALLORCA BASQUET PALMA ) L. CAPALBO: Sustitución (Entra a pista),I. Arroyo Varela,J. Nicolau Aledon,L. Terry,M. Ansorregui Deba,O. Hanzlik,J. Aramburu Lamy,L. Bracey,L. Capalbo,O. Matulionis,P. Bombino Parada
1,10:00,600,0,0,FIBWI MALLORCA BASQUET PALMA ,O. Matulionis,Substitution In,(FIBWI MALLORCA BASQUET PALMA ) O. MATULIONIS: Sustitución (Entra a pista),I. Arroyo Varela,J. Nicolau Aledon,L. Terry,M. Ansorregui Deba,O. Hanzlik,J. Aramburu Lamy,L. Bracey,L. Capalbo,O. Matulionis,P. Bombino Parada
1,10:00,600,0,0,FIBWI MALLORCA BASQUET PALMA ,L. Bracey,Substitution In,(FIBWI MALLORCA BASQUET PALMA ) L. BRACEY: Sustitución (Entra a pista),I. Arroyo Varela,J. Nicolau Aledon,L. Terry,M. Ansorregui Deba,O. Hanzlik,J. Aramburu Lamy,L. Bracey,L. Capalbo,O. Matulionis,P. Bombino Parada
1,10:00,600,0,0,INVEREADY GIPUZKOA,J. Nicolau Aledon,Substitution In,(INVEREADY GIPUZKOA) J. NICOLAU ALEDON: Sustitución (Entra a pista),I. Arroyo Varela,J. Nicolau Aledon,L. Terry,M. Ansorregui Deba,O. Hanzlik,J. Aramburu Lamy,L. Bracey,L. Capalbo,O. Matulionis,P. Bombino Parada
1,10:00,600,0,0,INVEREADY GIPUZKOA,L. Terry,Substitution In,(INVEREADY GIPUZKOA) L. TERRY: Sustitución (Entra a pista),I. Arroyo Varela,J. Nicolau Aledon,L. Terry,M. Ansorregui Deba,O. Hanzlik,J. Aramburu Lamy,L. Bracey,L. Capalbo,O. Matulionis,P. Bombino Parada
