Period,Time,Seconds,Score_Home,Score_Away,Team,Player,Action_Type,text,H1,H2,H3,H4,H5,A1,A2,A3,A4,A5
1,10:00,600,0,0,HLA ALICANTE,T. Richardson,Substitution In,(HLA ALICANTE) T. RICHARDSON: Sustitución (Entra a pista),D. Geu,J. Walker,K. Larsen,S. Llorente Paz,T. Richardson,D. Agbelese ,D. Sanadze,H. Atencia Suarez,I. Massoud Rodríguez,N. Camacho De Sá
1,10:00,600,0,0,PALMER BASKET MALLORCA PALMA,I. Massoud Rodríguez,Substitution In,(PALMER BASKET MALLORCA PALMA) I. MASSOUD RODRÍGUEZ: Sustitución (Entra a pista),D. Geu,J. Walker,K. Larsen,S. Llorente Paz,T. Richardson,D. Agbelese ,D. Sanadze,H. Atencia Suarez,I. Massoud Rodríguez,N. Camacho De Sá
1,10:00,600,0,0,HLA ALICANTE,S. Llorente Paz,Substitution In,(HLA ALICANTE) S. LLORENTE PAZ: Sustitución (Entra a pista),D. Geu,J. Walker,K. Larsen,S. Llorente Paz,T. Richardson,D. Agbelese ,D. Sanadze,H. Atencia Suarez,I. Massoud Rodríguez,N. Camacho De Sá
1,10:00,600,0,0,PALMER BASKET MALLORCA PALMA,H. Atencia Suarez,Substitution In,(PALMER BASKET MALLORCA PALMA) H. ATENCIA SUAREZ: Sustitución (Entra a pista),D. Geu,J. Walker,K. Larsen,S. Llorente Paz,T. Richardson,D. Agbelese ,D. Sanadze,H. Atencia Suarez,I. Massoud Rodríguez,N. Camacho De Sá
1,10:00,600,0,0,HLA ALICANTE,K. Larsen,Substitution In,(HLA ALICANTE) K. LARSEN: Sustitución (Entra a pista),D. Geu,J. Walker,K. Larsen,S. Llorente Paz,T. Richardson,D. Agbelese ,D. Sanadze,H. Atencia Suarez,I. Massoud Rodríguez,N. Camacho De Sá
1,10:00,600,0,0,PALMER BASKET MALLORCA PALMA,D. Agbelese ,Substitution In,(PALMER BASKET MALLORCA PALMA) D. AGBELESE : Sustitución (Entra a pista),D. Geu,J. Walker,K. Larsen,S. Llorente Paz,T. Richardson,D. Agbelese ,D. Sanadze,H. Atencia Suarez,I. Massoud Rodríguez,N. Camacho De Sá
1,10:00,600,0,0,PALMER BASKET MALLORCA PALMA,D. Sanadze,Substitution In,(PALMER BASKET MALLORCA PALMA) D. SANADZE: Sustitución (Entra a pista),D. Geu,J. Walker,K. Larsen,S. Llorente Paz,T. Richardson,D. Agbelese ,D. Sanadze,H. Atencia Suarez,I. Massoud Rodríguez,N. Camacho De Sá
1,10:00,600,0,0,HLA ALICANTE,J. Walker,Substitution In,(HLA ALICANTE) J. WALKER: Sustitución (Entra a pista),D. Geu,J. Walker,K. Larsen,S. Llorente Paz,T. Richardson,D. Agbelese ,D. Sanadze,H. Atencia Suarez,I. Massoud Rodríguez,N. Camacho De Sá
1,10:00,600,0,0,HLA ALICANTE,D. Geu,Substitution In,(HLA ALICANTE) D. GEU: Sustitución (Entra a pista),D. Geu,J. Walker,K. Larsen,S. Llorente Paz,T. Richardson,D. Agbelese ,D. Sanadze,H. Atencia Suarez,I. Massoud Rodríguez,N. Camacho De Sá
1,10:00,600,0,0,PALMER BASKET MALLORCA PALMA,N. Camacho De Sá,Substitution In,(PALMER BASKET MALLORCA PALMA) N. CAMACHO DE SÁ: Sustitución (Entra a pista),D. Geu,J. Walker,K. Larsen,S. Llorente Paz,T. Richardson,D. Agbelese ,D. Sanadze,H. Atencia Suarez,I. Massoud Rodríguez,N. Camacho De Sá
1,10:00,600,0,0,,,Period,Comienzo del Cuarto 1,D. Geu,J. Walker,K. Larsen,S. Llorente Paz,T. Richardson,D. Agbelese ,D. Sanadze,H. Atencia Suarez,I. Massoud Rodríguez,N. Camacho De Sá
1,09:51,591,0,0,HLA ALICANTE,T. Richardson,Rebound,(HLA ALICANTE) T. RICHARDSON: REBOTE (Rebotes: 1),D. Geu,J. Walker,K. Larsen,S. Llorente Paz,T. Richardson,D. Agbelese ,D. Sanadze,H. Atencia Suarez,I. Massoud Rodríguez,N. Camacho De Sá
1,09:51,591,0,0,PALMER BASKET MALLORCA PALMA,I. Massoud Rodríguez,2PT Missed,(PALMER BASKET MALLORCA PALMA) I. MASSOUD RODRÍGUEZ: TIRO DE 2 FALLADO,D. Geu,J. Walker,K. Larsen,S. Llorente Paz,T. Richardson,D. Agbelese ,D. Sanadze,H. Atencia Suarez,I. Massoud Rodríguez,N. Camacho De Sá
1,09:35,575,0,0,HLA ALICANTE,J. Walker,Turnover,(HLA ALICANTE) J. WALKER: PÉRDIDA (Pérdidas: 1),D. Geu,J. Walker,K. Larsen,S. Llorente Paz,T. Richardson,D. Agbelese ,D. Sanadze,H. Atencia Suarez,I. Massoud Rodríguez,N. Camacho De Sá
1,09:22,562,0,1,PALMER BASKET MALLORCA PALMA,N. Camacho De Sá,FT Made,(PALMER BASKET MALLORCA PALMA) N. CAMACHO DE SÁ: TIRO DE 1 ANOTADO (Puntos: 1),D. Geu,J. Walker,K. Larsen,S. Llorente Paz,T. Richardson,D. Agbelese ,D. Sanadze,H. Atencia Suarez,I. Massoud Rodríguez,N. Camacho De Sá
1,09:22,562,0,1,HLA ALICANTE,T. Richardson,Rebound,(HLA ALICANTE) T. RICHARDSON: REBOTE (Rebotes: 2),D. Geu,J. Walker,K. Larsen,S. Llorente Paz,T. Richardson,D. Agbelese ,D. Sanadze,H. Atencia Suarez,I. Massoud Rodríguez,N. Camacho De Sá
1,09:22,562,0,1,PALMER BASKET MALLORCA PALMA,N. Camacho De Sá,FT Missed,(PALMER BASKET MALLORCA PALMA) N. CAMACHO DE SÁ: TIRO DE 1 FALLADO,D. Geu,J. Walker,K. Larsen,S. Llorente Paz,T. Richardson,D. Agbelese ,D. Sanadze,H. Atencia Suarez,I. Massoud Rodríguez,N. Camacho De Sá
1,09:22,562,0,1,HLA ALICANTE,T. Richardson,Foul,(HLA ALICANTE) T. RICHARDSON: FALTA Personal (Faltas: 1. Faltas de equipo: 1). Tiros libres: 2,D. Geu,J. Walker,K. Larsen,S. Llorente Paz,T. Richardson,D. Agbelese ,D. Sanadze,H. Atencia Suarez,I. Massoud Rodríguez,N. Camacho De Sá
1,09:16,556,0,1,PALMER BASKET MALLORCA PALMA,I. Massoud Rodríguez,Steal,(PALMER BASKET MALLORCA PALMA) I. MASSOUD RODRÍGUEZ: ROBO (Robos: 1),D. Geu,J. Walker,K. Larsen,S. Llorente Paz,T. Richardson,D. Agbelese ,D. Sanadze,H. Atencia Suarez,I. Massoud Rodríguez,N. Camacho De Sá
1,09:16,556,0,1,HLA ALICANTE,D. Geu,Turnover,(HLA ALICANTE) D. GEU: PÉRDIDA (Pérdidas: 1),D. Geu,J. Walker,K. Larsen,S. Llorente Paz,T. Richardson,D. Agbelese ,D. Sanadze,H. Atencia Suarez,I. Massoud Rodríguez,N. Camacho De Sá
