Period,Time,Seconds,Score_Home,Score_Away,Team,Player,Action_Type,text,H1,H2,H3,H4,H5,A1,A2,A3,A4,A5
1,10:00,600,0,0,HESTIA MENORCA,S. Littleson,Substitution In,(HESTIA MENORCA) S. LITTLESON: Sustitución (Entra a pista),A. Faure Ribes,F. Nwaokorie,G. Parham Ii,M. Townes Villar,R. Lobaco Muñoz,E. Vicedo Ayala,F. Schott,F. Zurbriggen,S. Littleson,T. Mcfadden
1,10:00,600,0,0,HESTIA MENORCA,E. Vicedo Ayala,Substitution In,(HESTIA MENORCA) E. VICEDO AYALA: Sustitución (Entra a pista),A. Faure Ribes,F. Nwaokorie,G. Parham Ii,M. Townes Villar,R. Lobaco Muñoz,E. Vicedo Ayala,F. Schott,F. Zurbriggen,S. Littleson,T. Mcfadden
1,10:00,600,0,0,HESTIA MENORCA,F. Schott,Substitution In,(HESTIA MENORCA) F. SCHOTT: Sustitución (Entra a pista),A. Faure Ribes,F. Nwaokorie,G. Parham Ii,M. Townes Villar,R. Lobaco Muñoz,E. Vicedo Ayala,F. Schott,F. Zurbriggen,S. Littleson,T. Mcfadden
1,10:00,600,0,0,HESTIA MENORCA,T. Mcfadden,Substitution In,(HESTIA MENORCA) T. MCFADDEN: Sustitución (Entra a pista),A. Faure Ribes,F. Nwaokorie,G. Parham Ii,M. Townes Villar,R. Lobaco Muñoz,E. Vicedo Ayala,F. Schott,F. Zurbriggen,S. Littleson,T. Mcfadden
1,10:00,600,0,0,ALIMERKA OVIEDO BALONCESTO,G. Parham Ii,Substitution In,(ALIMERKA OVIEDO BALONCESTO) G. PARHAM II: Sustitución (Entra a pista),A. Faure Ribes,F. Nwaokorie,G. Parham Ii,M. Townes Villar,R. Lobaco Muñoz,E. Vicedo Ayala,F. Schott,F. Zurbriggen,S. Littleson,T. Mcfadden
1,10:00,600,0,0,ALIMERKA OVIEDO BALONCESTO,M. Townes Villar,Substitution In,(ALIMERKA OVIEDO BALONCESTO) M. TOWNES VILLAR: Sustitución (Entra a pista),A. Faure Ribes,F. Nwaokorie,G. Parham Ii,M. Townes Villar,R. Lobaco Muñoz,E. Vicedo Ayala,F. Schott,F. Zurbriggen,S. Littleson,T. Mcfadden
1,10:00,600,0,0,HESTIA MENORCA,F. Zurbriggen,Substitution In,(HESTIA MENORCA) F. ZURBRIGGEN: Sustitución (Entra a pista),A. Faure Ribes,F. Nwaokorie,G. Parham Ii,M. Townes Villar,R. Lobaco Muñoz,E. Vicedo Ayala,F. Schott,F. Zurbriggen,S. Littleson,T. Mcfadden
1,10:00,600,0,0,ALIMERKA OVIEDO BALONCESTO,F. Nwaokorie,Substitution In,(ALIMERKA OVIEDO BALONCESTO) F. NWAOKORIE: Sustitución (Entra a pista),A. Faure Ribes,F. Nwaokorie,G. Parham Ii,M. Townes Villar,R. Lobaco Muñoz,E. Vicedo Ayala,F. Schott,F. Zurbriggen,S. Littleson,T. Mcfadden
1,10:00,600,0,0,ALIMERKA OVIEDO BALONCESTO,R. Lobaco Muñoz,Substitution In,(ALIMERKA OVIEDO BALONCESTO) R. LOBACO MUÑOZ: Sustitución (Entra a pista),A. Faure Ribes,F. Nwaokorie,G. Parham Ii,M. Townes Villar,R. Lobaco Muñoz,E. Vicedo Ayala,F. Schott,F. Zurbriggen,S. Littleson,T. Mcfadden
1,10:00,600,0,0,ALIMERKA OVIEDO BALONCESTO,A. Faure Ribes,Substitution In,(ALIMERKA OVIEDO BALONCESTO) A. FAURE RIBES: Sustitución (Entra a pista),A. Faure Ribes,F. Nwaokorie,G. Parham Ii,M. Townes Villar,R. Lobaco Muñoz,E. Vicedo Ayala,F. Schott,F. Zurbriggen,S. Littleson,T. Mcfadden
1,10:00,600,0,0,,,Period,Comienzo del Cuarto 1,A. Faure Ribes,F. Nwaokorie,G. Parham Ii,M. Townes Villar,R. Lobaco Muñoz,E. Vicedo Ayala,F. Schott,F. Zurbriggen,S. Littleson,T. Mcfadden
1,09:43,583,0,0,ALIMERKA OVIEDO BALONCESTO,F. Nwaokorie,Rebound,(ALIMERKA OVIEDO BALONCESTO) F. NWAOKORIE: REBOTE (Rebotes: 1),A. Faure Ribes,F. Nwaokorie,G. Parham Ii,M. Townes Villar,R. Lobaco Muñoz,E. Vicedo Ayala,F. Schott,F. Zurbriggen,S. Littleson,T. Mcfadden
1,09:43,583,0,0,ALIMERKA OVIEDO BALONCESTO,M. Townes Villar,2PT Missed,(ALIMERKA OVIEDO BALONCESTO) M. TOWNES VILLAR: TIRO DE 2 FALLADO,A. Faure Ribes,F. Nwaokorie,G. Parham Ii,M. Townes Villar,R. Lobaco Muñoz,E. Vicedo Ayala,F. Schott,F. Zurbriggen,S. Littleson,T. Mcfadden
1,09:36,576,0,0,ALIMERKA OVIEDO BALONCESTO,F. Nwaokorie,Rebound,(ALIMERKA OVIEDO BALONCESTO) F. NWAOKORIE: REBOTE (Rebotes: 2),A. Faure Ribes,F. Nwaokorie,G. Parham Ii,M. Townes Villar,R. Lobaco Muñoz,E. Vicedo Ayala,F. Schott,F. Zurbriggen,S. Littleson,T. Mcfadden
1,09:36,576,0,0,ALIMERKA OVIEDO BALONCESTO,R. Lobaco Muñoz,3PT Missed,(ALIMERKA OVIEDO BALONCESTO) R. LOBACO MUÑOZ: TIRO DE 3 FALLADO,A. Faure Ribes,F. Nwaokorie,G. Parham Ii,M. Townes Villar,R. Lobaco Muñoz,E. Vicedo Ayala,F. Schott,F. Zurbriggen,S. Littleson,T. Mcfadden
1,09:30,570,1,0,ALIMERKA OVIEDO BALONCESTO,F. Nwaokorie,FT Made,(ALIMERKA OVIEDO BALONCESTO) F. NWAOKORIE: TIRO DE 1 ANOTADO (Puntos: 1),A. Faure Ribes,F. Nwaokorie,G. Parham Ii,M. Townes Villar,R. Lobaco Muñoz,E. Vicedo Ayala,F. Schott,F. Zurbriggen,S. Littleson,T. Mcfadden
1,09:30,570,2,0,ALIMERKA OVIEDO BALONCESTO,F. Nwaokorie,FT Made,(ALIMERKA OVIEDO BALONCESTO) F. NWAOKORIE: TIRO DE 1 ANOTADO (Puntos: 2),A. Faure Ribes,F. Nwaokorie,G. Parham Ii,M. Townes Villar,R. Lobaco Muñoz,E. Vicedo Ayala,F. Schott,F. Zurbriggen,S. Littleson,T. Mcfadden
1,09:30,570,2,0,ALIMERKA OVIEDO BALONCESTO,R. Lobaco Muñoz,Assist,(ALIMERKA OVIEDO BALONCESTO) R. LOBACO MUÑOZ: ASISTENCIA (Asistencias: 1),A. Faure Ribes,F. Nwaokorie,G. Parham Ii,M. Townes Villar,R. Lobaco Muñoz,E. Vicedo Ayala,F. Schott,F. Zurbriggen,S. Littleson,T. Mcfadden
1,09:30,570,2,0,HESTIA MENORCA,E. Vicedo Ayala,Foul,(HESTIA MENORCA) E. VICEDO AYALA: FALTA Personal (Faltas: 1. Faltas de equipo: 1). Tiros libres: 2,A. Faure Ribes,F. Nwaokorie,G. Parham Ii,M. Townes Villar,R. Lobaco Muñoz,E. Vicedo Ayala,F. Schott,F. Zurbriggen,S. Littleson,T. Mcfadden
1,09:05,545,2,3,HESTIA MENORCA,E. Vicedo Ayala,3PT Made,(HESTIA MENORCA) E. VICEDO AYALA: TIRO DE 3 ANOTADO (Puntos: 3),A. Faure Ribes,F. Nwaokorie,G. Parham Ii,M. Townes Villar,R. Lobaco Muñoz,E. Vicedo Ayala,F. Schott,F. Zurbriggen,S. Littleson,T. Mcfadden
1,09:05,545,2,3,HESTIA MENORCA,F. Zurbriggen,Assist,(HESTIA MENORCA) F. ZURBRIGGEN: ASISTENCIA (Asistencias: 1),A. Faure Ribes,F. Nwaokorie,G. Parham Ii,M. Townes Villar,R. Lobaco Muñoz,E. Vicedo Ayala,F. Schott,F. Zurbriggen,S. Littleson,T. Mcfadden
1,08:48,528,4,3,ALIMERKA OVIEDO BALONCESTO,A. Faure Ribes,2PT Made,(ALIMERKA OVIEDO BALONCESTO) A. FAURE RIBES: MATE ANOTADO (Puntos: 2),A. Faure Ribes,F. Nwaokorie,G. Parham Ii,M. Townes Villar,R. Lobaco Muñoz,E. Vicedo Ayala,F. Schott,F. Zurbriggen,S. Littleson,T. Mcfadden
1,08:48,528,4,3,ALIMERKA OVIEDO BALONCESTO,R. Lobaco Muñoz,Assist,(ALIMERKA OVIEDO BALONCESTO) R. LOBACO MUÑOZ: ASISTENCIA (Asistencias: 2),A. Faure Ribes,F. Nwaokorie,G. Parham Ii,M. Townes Villar,R. Lobaco Muñoz,E. Vicedo Ayala,F. Schott,F. Zurbriggen,S. Littleson,T. Mcfadden
1,08:27,507,4,3,ALIMERKA OVIEDO BALONCESTO,A. Faure Ribes,Rebound,(ALIMERKA OVIEDO BALONCESTO) A. FAURE RIBES: REBOTE (Rebotes: 1),A. Faure Ribes,F. Nwaokorie,G. Parham Ii,M. Townes Villar,R. Lobaco Muñoz,E. Vicedo Ayala,F. Schott,F. Zurbriggen,S. Littleson,T. Mcfadden
1,08:27,507,4,3,HESTIA MENORCA,S. Littleson,2PT Missed,(HESTIA MENORCA) S. LITTLESON: TIRO DE 2 FALLADO,A. Faure Ribes,F. Nwaokorie,G. Parham Ii,M. Townes Villar,R. Lobaco Muñoz,E. Vicedo Ayala,F. Schott,F. Zurbriggen,S. Littleson,T. Mcfadden
1,08:11,491,7,3,ALIMERKA OVIEDO BALONCESTO,R. Lobaco Muñoz,3PT Made,(ALIMERKA OVIEDO BALONCESTO) R. LOBACO MUÑOZ: TIRO DE 3 ANOTADO (Puntos: 3),A. Faure Ribes,F. Nwaokorie,G. Parham Ii,M. Townes Villar,R. Lobaco Muñoz,E. Vicedo Ayala,F. Schott,F. Zurbriggen,S. Littleson,T. Mcfadden
1,08:11,491,7,3,ALIMERKA OVIEDO BALONCESTO,G. Parham Ii,Assist,(ALIMERKA OVIEDO BALONCESTO) G. PARHAM II: ASISTENCIA (Asistencias: 1),A. Faure Ribes,F. Nwaokorie,G. Parham Ii,M. Townes Villar,R. Lobaco Muñoz,E. Vicedo Ayala,F. Schott,F. Zurbriggen,S. Littleson,T. Mcfadden
1,07:49,469,7,5,HESTIA MENORCA,E. Vicedo Ayala,2PT Made,(HESTIA MENORCA) E. VICEDO AYALA: TIRO DE 2 ANOTADO (Puntos: 5),A. Faure Ribes,F. Nwaokorie,G. Parham Ii,M. Townes Villar,R. Lobaco Muñoz,E. Vicedo Ayala,F. Schott,F. Zurbriggen,S. Littleson,T. Mcfadden
