Period,Time,Seconds,Score_Home,Score_Away,Team,Player,Action_Type,text,H1,H2,H3,H4,H5,A1,A2,A3,A4,A5
1,10:00,600,0,0,MOVISTAR ESTUDIANTES,T. Mc Grew,Substitution In,(MOVISTAR ESTUDIANTES) T. MC GREW: Sustitución (Entra a pista),A. Kunkel,A. Wintering,J. Vrankic,M. Armus,T. Borg,A. Brimah,J. Granger,O. Silverio Grullon,P. Garino Gullotta ,T. Mc Grew
1,10:00,600,0,0,MOVISTAR ESTUDIANTES,A. Brimah,Substitution In,(MOVISTAR ESTUDIANTES) A. BRIMAH: Sustitución (Entra a pista),A. Kunkel,A. Wintering,J. Vrankic,M. Armus,T. Borg,A. Brimah,J. Granger,O. Silverio Grullon,P. Garino Gullotta ,T. Mc Grew
1,10:00,600,0,0,MOVISTAR ESTUDIANTES,P. Garino Gullotta ,Substitution In,(MOVISTAR ESTUDIANTES) P. GARINO GULLOTTA : Sustitución (Entra a pista),A. Kunkel,A. Wintering,J. Vrankic,M. Armus,T. Borg,A. Brimah,J. Granger,O. Silverio Grullon,P. Garino Gullotta ,T. Mc Grew
1,10:00,600,0,0,MOVISTAR ESTUDIANTES,J. Granger,Substitution In,(MOVISTAR ESTUDIANTES) J. GRANGER: Sustitución (Entra a pista),A. Kunkel,A. Wintering,J. Vrankic,M. Armus,T. Borg,A. Brimah,J. Granger,O. Silverio Grullon,P. Garino Gullotta ,T. Mc Grew
1,10:00,600,0,0,MOVISTAR ESTUDIANTES,O. Silverio Grullon,Substitution In,(MOVISTAR ESTUDIANTES) O. SILVERIO GRULLON: Sustitución (Entra a pista),A. Kunkel,A. Wintering,J. Vrankic,M. Armus,T. Borg,A. Brimah,J. Granger,O. Silverio Grullon,P. Garino Gullotta ,T. Mc Grew
1,10:00,600,0,0,SÚPER AGROPAL PALENCIA,A. Kunkel,Substitution In,(SÚPER AGROPAL PALENCIA) A. KUNKEL: Sustitución (Entra a pista),A. Kunkel,A. Wintering,J. Vrankic,M. Armus,T. Borg,A. Brimah,J. Granger,O. Silverio Grullon,P. Garino Gullotta ,T. Mc Grew
1,10:00,600,0,0,SÚPER AGROPAL PALENCIA,A. Wintering,Substitution In,(SÚPER AGROPAL PALENCIA) A. WINTERING: Sustitución (Entra a pista),A. Kunkel,A. Wintering,J. Vrankic,M. Armus,T. Borg,A. Brimah,J. Granger,O. Silverio Grullon,P. Garino Gullotta ,T. Mc Grew
1,10:00,600,0,0,SÚPER AGROPAL PALENCIA,J. Vrankic,Substitution In,(SÚPER AGROPAL PALENCIA) J. VRANKIC: Sustitución (Entra a pista),A. Kunkel,A. Wintering,J. Vrankic,M. Armus,T. Borg,A. Brimah,J. Granger,O. Silverio Grullon,P. Garino Gullotta ,T. Mc Grew
1,10:00,600,0,0,SÚPER AGROPAL PALENCIA,M. Armus,Substitution In,(SÚPER AGROPAL PALENCIA) M. ARMUS: Sustitución (Entra a pista),A. Kunkel,A. Wintering,J. Vrankic,M. Armus,T. Borg,A. Brimah,J. Granger,O. Silverio Grullon,P. Garino Gullotta ,T. Mc Grew
1,10:00,600,0,0,SÚPER AGROPAL PALENCIA,T. Borg,Substitution In,(SÚPER AGROPAL PALENCIA) T. BORG: Sustitución (Entra a pista),A. Kunkel,A. Wintering,J. Vrankic,M. Armus,T. Borg,A. Brimah,J. Granger,O. Silverio Grullon,P. Garino Gullotta ,T. Mc Grew
