Period,Time,Seconds,Score_Home,Score_Away,Team,Player,Action_Type,text,H1,H2,H3,H4,H5,A1,A2,A3,A4,A5
1,10:00,600,0,0,PALMER BASKET MALLORCA PALMA,J. Carralero Martin,Substitution In,(PALMER BASKET MALLORCA PALMA) J. CARRALERO MARTIN: Sustitución (Entra a pista),J. Garcia Sanchez,L. Debaut,M. Stilma,P. Cordoba Muro,P. Krutous,D. Agbelese ,D. Sanadze,H. Atencia Suarez,J. Carralero Martin,N. Camacho De Sá
1,10:00,600,0,0,MELILLA CIUDAD DEL DEPORTE,J. Garcia Sanchez,Substitution In,(MELILLA CIUDAD DEL DEPORTE) J. GARCIA SANCHEZ: Sustitución (Entra a pista),J. Garcia Sanchez,L. Debaut,M. Stilma,P. Cordoba Muro,P. Krutous,D. Agbelese ,D. Sanadze,H. Atencia Suarez,J. Carralero Martin,N. Camacho De Sá
1,10:00,600,0,0,PALMER BASKET MALLORCA PALMA,N. Camacho De Sá,Substitution In,(PALMER BASKET MALLORCA PALMA) N. CAMACHO DE SÁ: Sustitución (Entra a pista),J. Garcia Sanchez,L. Debaut,M. Stilma,P. Cordoba Muro,P. Krutous,D. Agbelese ,D. Sanadze,H. Atencia Suarez,J. Carralero Martin,N. Camacho De Sá
1,10:00,600,0,0,MELILLA CIUDAD DEL DEPORTE,L. Debaut,Substitution In,(MELILLA CIUDAD DEL DEPORTE) L. DEBAUT: Sustitución (Entra a pista),J. Garcia Sanchez,L. Debaut,M. Stilma,P. Cordoba Muro,P. Krutous,D. Agbelese ,D. Sanadze,H. Atencia Suarez,J. Carralero Martin,N. Camacho De Sá
1,10:00,600,0,0,MELILLA CIUDAD DEL DEPORTE,P. Cordoba Muro,Substitution In,(MELILLA CIUDAD DEL DEPORTE) P. CORDOBA MURO: Sustitución (Entra a pista),J. Garcia Sanchez,L. Debaut,M. Stilma,P. Cordoba Muro,P. Krutous,D. Agbelese ,D. Sanadze,H. Atencia Suarez,J. Carralero Martin,N. Camacho De Sá
1,10:00,600,0,0,PALMER BASKET MALLORCA PALMA,H. Atencia Suarez,Substitution In,(PALMER BASKET MALLORCA PALMA) H. ATENCIA SUAREZ: Sustitución (Entra a pista),J. Garcia Sanchez,L. Debaut,M. Stilma,P. Cordoba Muro,P. Krutous,D. Agbelese ,D. Sanadze,H. Atencia Suarez,J. Carralero Martin,N. Camacho De Sá
1,10:00,600,0,0,MELILLA CIUDAD DEL DEPORTE,P. Krutous,Substitution In,(MELILLA CIUDAD DEL DEPORTE) P. KRUTOUS: Sustitución (Entra a pista),J. Garcia Sanchez,L. Debaut,M. Stilma,P. Cordoba Muro,P. Krutous,D. Agbelese ,D. Sanadze,H. Atencia Suarez,J. Carralero Martin,N. Camacho De Sá
1,10:00,600,0,0,PALMER BASKET MALLORCA PALMA,D. Agbelese ,Substitution In,(PALMER BASKET MALLORCA PALMA) D. AGBELESE : Sustitución (Entra a pista),J. Garcia Sanchez,L. Debaut,M. Stilma,P. Cordoba Muro,P. Krutous,D. Agbelese ,D. Sanadze,H. Atencia Suarez,J. Carralero Martin,N. Camacho De Sá
1,10:00,600,0,0,MELILLA CIUDAD DEL DEPORTE,M. Stilma,Substitution In,(MELILLA CIUDAD DEL DEPORTE) M. STILMA: Sustitución (Entra a pista),J. Garcia Sanchez,L. Debaut,M. Stilma,P. Cordoba Muro,P. Krutous,D. Agbelese ,D. Sanadze,H. Atencia Suarez,J. Carralero Martin,N. Camacho De Sá
1,10:00,600,0,0,PALMER BASKET MALLORCA PALMA,D. Sanadze,Substitution In,(PALMER BASKET MALLORCA PALMA) D. SANADZE: Sustitución (Entra a pista),J. Garcia Sanchez,L. Debaut,M. Stilma,P. Cordoba Muro,P. Krutous,D. Agbelese ,D. Sanadze,H. Atencia Suarez,J. Carralero Martin,N. Camacho De Sá
