Period,Time,Seconds,Score_Home,Score_Away,Team,Player,Action_Type,text,H1,H2,H3,H4,H5,A1,A2,A3,A4,A5
1,10:00,600,0,0,SÚPER AGROPAL PALENCIA,I. Jakovics,Substitution In,(SÚPER AGROPAL PALENCIA) I. JAKOVICS: Sustitución (Entra a pista),D. Cuevas Simarro,D. Radoncic,G. Jou Coll,I. Diop Gaye,J. Cremo,A. Kunkel,I. Jakovics,M. Armus,M. Kamba,X. Oroz Uria
1,10:00,600,0,0,SÚPER AGROPAL PALENCIA,X. Oroz Uria,Substitution In,(SÚPER AGROPAL PALENCIA) X. OROZ URIA: Sustitución (Entra a pista),D. Cuevas Simarro,D. Radoncic,G. Jou Coll,I. Diop Gaye,J. Cremo,A. Kunkel,I. Jakovics,M. Armus,M. Kamba,X. Oroz Uria
1,10:00,600,0,0,SÚPER AGROPAL PALENCIA,M. Kamba,Substitution In,(SÚPER AGROPAL PALENCIA) M. KAMBA: Sustitución (Entra a pista),D. Cuevas Simarro,D. Radoncic,G. Jou Coll,I. Diop Gaye,J. Cremo,A. Kunkel,I. Jakovics,M. Armus,M. Kamba,X. Oroz Uria
1,10:00,600,0,0,LEYMA CORUÑA,J. Cremo,Substitution In,(LEYMA CORUÑA) J. CREMO: Sustitución (Entra a pista),D. Cuevas Simarro,D. Radoncic,G. Jou Coll,I. Diop Gaye,J. Cremo,A. Kunkel,I. Jakovics,M. Armus,M. Kamba,X. Oroz Uria
1,10:00,600,0,0,LEYMA CORUÑA,D. Cuevas Simarro,Substitution In,(LEYMA CORUÑA) D. CUEVAS SIMARRO: Sustitución (Entra a pista),D. Cuevas Simarro,D. Radoncic,G. Jou Coll,I. Diop Gaye,J. Cremo,A. Kunkel,I. Jakovics,M. Armus,M. Kamba,X. Oroz Uria
1,10:00,600,0,0,LEYMA CORUÑA,D. Radoncic,Substitution In,(LEYMA CORUÑA) D. RADONCIC: Sustitución (Entra a pista),D. Cuevas Simarro,D. Radoncic,G. Jou Coll,I. Diop Gaye,J. Cremo,A. Kunkel,I. Jakovics,M. Armus,M. Kamba,X. Oroz Uria
1,10:00,600,0,0,LEYMA CORUÑA,G. Jou Coll,Substitution In,(LEYMA CORUÑA) G. JOU COLL: Sustitución (Entra a pista),D. Cuevas Simarro,D. Radoncic,G. Jou Coll,I. Diop Gaye,J. Cremo,A. Kunkel,I. Jakovics,M. Armus,M. Kamba,X. Oroz Uria
1,10:00,600,0,0,SÚPER AGROPAL PALENCIA,A. Kunkel,Substitution In,(SÚPER AGROPAL PALENCIA) A. KUNKEL: Sustitución (Entra a pista),D. Cuevas Simarro,D. Radoncic,G. Jou Coll,I. Diop Gaye,J. Cremo,A. Kunkel,I. Jakovics,M. Armus,M. Kamba,X. Oroz Uria
1,10:00,600,0,0,SÚPER AGROPAL PALENCIA,M. Armus,Substitution In,(SÚPER AGROPAL PALENCIA) M. ARMUS: Sustitución (Entra a pista),D. Cuevas Simarro,D. Radoncic,G. Jou Coll,I. Diop Gaye,J. Cremo,A. Kunkel,I. Jakovics,M. Armus,M. Kamba,X. Oroz Uria
1,10:00,600,0,0,LEYMA CORUÑA,I. Diop Gaye,Substitution In,(LEYMA CORUÑA) I. DIOP GAYE: Sustitución (Entra a pista),D. Cuevas Simarro,D. Radoncic,G. Jou Coll,I. Diop Gaye,J. Cremo,A. Kunkel,I. Jakovics,M. Armus,M. Kamba,X. Oroz Uria
1,10:00,600,0,0,,,Period,Comienzo del Cuarto 1,D. Cuevas Simarro,D. Radoncic,G. Jou Coll,I. Diop Gaye,J. Cremo,A. Kunkel,I. Jakovics,M. Armus,M. Kamba,X. Oroz Uria
1,09:45,585,0,0,LEYMA CORUÑA,I. Diop Gaye,Rebound,(LEYMA CORUÑA) I. DIOP GAYE: REBOTE (Rebotes: 1),D. Cuevas Simarro,D. Radoncic,G. Jou Coll,I. Diop Gaye,J. Cremo,A. Kunkel,I. Jakovics,M. Armus,M. Kamba,X. Oroz Uria
1,09:45,585,0,0,SÚPER AGROPAL PALENCIA,I. Jakovics,3PT Missed,(SÚPER AGROPAL PALENCIA) I. JAKOVICS: TIRO DE 3 FALLADO,D. Cuevas Simarro,D. Radoncic,G. Jou Coll,I. Diop Gaye,J. Cremo,A. Kunkel,I. Jakovics,M. Armus,M. Kamba,X. Oroz Uria
1,09:23,563,0,0,SÚPER AGROPAL PALENCIA,M. Kamba,Rebound,(SÚPER AGROPAL PALENCIA) M. KAMBA: REBOTE (Rebotes: 1),D. Cuevas Simarro,D. Radoncic,G. Jou Coll,I. Diop Gaye,J. Cremo,A. Kunkel,I. Jakovics,M. Armus,M. Kamba,X. Oroz Uria
1,09:23,563,0,0,LEYMA CORUÑA,J. Cremo,2PT Missed,(LEYMA CORUÑA) J. CREMO: TIRO DE 2 FALLADO,D. Cuevas Simarro,D. Radoncic,G. Jou Coll,I. Diop Gaye,J. Cremo,A. Kunkel,I. Jakovics,M. Armus,M. Kamba,X. Oroz Uria
1,09:17,557,0,0,SÚPER AGROPAL PALENCIA,A. Kunkel,Turnover,(SÚPER AGROPAL PALENCIA) A. KUNKEL: PÉRDIDA (Pérdidas: 1),D. Cuevas Simarro,D. Radoncic,G. Jou Coll,I. Diop Gaye,J. Cremo,A. Kunkel,I. Jakovics,M. Armus,M. Kamba,X. Oroz Uria
1,09:10,550,0,0,SÚPER AGROPAL PALENCIA,I. Jakovics,Foul,(SÚPER AGROPAL PALENCIA) I. JAKOVICS: FALTA Personal (Faltas: 1. Faltas de equipo: 1). Tiros libres: 0,D. Cuevas Simarro,D. Radoncic,G. Jou Coll,I. Diop Gaye,J. Cremo,A. Kunkel,I. Jakovics,M. Armus,M. Kamba,X. Oroz Uria
1,08:59,539,0,0,LEYMA CORUÑA,G. Jou Coll,Rebound,(LEYMA CORUÑA) G. JOU COLL: REBOTE (Rebotes: 1),D. Cuevas Simarro,D. Radoncic,G. Jou Coll,I. Diop Gaye,J. Cremo,A. Kunkel,I. Jakovics,M. Armus,M. Kamba,X. Oroz Uria
1,08:59,539,0,0,LEYMA CORUÑA,G. Jou Coll,2PT Missed,(LEYMA CORUÑA) G. JOU COLL: TIRO DE 2 FALLADO,D. Cuevas Simarro,D. Radoncic,G. Jou Coll,I. Diop Gaye,J. Cremo,A. Kunkel,I. Jakovics,M. Armus,M. Kamba,X. Oroz Uria
