Period,Time,Seconds,Score_Home,Score_Away,Team,Player,Action_Type,text,H1,H2,H3,H4,H5,A1,A2,A3,A4,A5
1,10:00,600,0,0,SÚPER AGROPAL PALENCIA,M. Armus,Substitution In,(SÚPER AGROPAL PALENCIA) M. ARMUS: Sustitución (Entra a pista),A. Wintering,J. Vrankic,M. Armus,T. Borg,X. Oroz Uria,G. Korsantia,I. Arroyo Varela,J. Nicolau Aledon,M. Motos Cabodevilla,T. Mcghie
1,10:00,600,0,0,INVEREADY GIPUZKOA,T. Mcghie,Substitution In,(INVEREADY GIPUZKOA) T. MCGHIE: Sustitución (Entra a pista),A. Wintering,J. Vrankic,M. Armus,T. Borg,X. Oroz Uria,G. Korsantia,I. Arroyo Varela,J. Nicolau Aledon,M. Motos Cabodevilla,T. Mcghie
1,10:00,600,0,0,SÚPER AGROPAL PALENCIA,J. Vrankic,Substitution In,(SÚPER AGROPAL PALENCIA) J. VRANKIC: Sustitución (Entra a pista),A. Wintering,J. Vrankic,M. Armus,T. Borg,X. Oroz Uria,G. Korsantia,I. Arroyo Varela,J. Nicolau Aledon,M. Motos Cabodevilla,T. Mcghie
1,10:00,600,0,0,SÚPER AGROPAL PALENCIA,T. Borg,Substitution In,(SÚPER AGROPAL PALENCIA) T. BORG: Sustitución (Entra a pista),A. Wintering,J. Vrankic,M. Armus,T. Borg,X. Oroz Uria,G. Korsantia,I. Arroyo Varela,J. Nicolau Aledon,M. Motos Cabodevilla,T. Mcghie
1,10:00,600,0,0,INVEREADY GIPUZKOA,G. Korsantia,Substitution In,(INVEREADY GIPUZKOA) G. KORSANTIA: Sustitución (Entra a pista),A. Wintering,J. Vrankic,M. Armus,T. Borg,X. Oroz Uria,G. Korsantia,I. Arroyo Varela,J. Nicolau Aledon,M. Motos Cabodevilla,T. Mcghie
1,10:00,600,0,0,SÚPER AGROPAL PALENCIA,A. Wintering,Substitution In,(SÚPER AGROPAL PALENCIA) A. WINTERING: Sustitución (Entra a pista),A. Wintering,J. Vrankic,M. Armus,T. Borg,X. Oroz Uria,G. Korsantia,I. Arroyo Varela,J. Nicolau Aledon,M. Motos Cabodevilla,T. Mcghie
1,10:00,600,0,0,INVEREADY GIPUZKOA,I. Arroyo Varela,Substitution In,(INVEREADY GIPUZKOA) I. ARROYO VARELA: Sustitución (Entra a pista),A. Wintering,J. Vrankic,M. Armus,T. Borg,X. Oroz Uria,G. Korsantia,I. Arroyo Varela,J. Nicolau Aledon,M. Motos Cabodevilla,T. Mcghie
1,10:00,600,0,0,INVEREADY GIPUZKOA,M. Motos Cabodevilla,Substitution In,(INVEREADY GIPUZKOA) M. MOTOS CABODEVILLA: Sustitución (Entra a pista),A. Wintering,J. Vrankic,M. Armus,T. Borg,X. Oroz Uria,G. Korsantia,I. Arroyo Varela,J. Nicolau Aledon,M. Motos Cabodevilla,T. Mcghie
1,10:00,600,0,0,SÚPER AGROPAL PALENCIA,X. Oroz Uria,Substitution In,(SÚPER AGROPAL PALENCIA) X. OROZ URIA: Sustitución (Entra a pista),A. Wintering,J. Vrankic,M. Armus,T. Borg,X. Oroz Uria,G. Korsantia,I. Arroyo Varela,J. Nicolau Aledon,M. Motos Cabodevilla,T. Mcghie
1,10:00,600,0,0,INVEREADY GIPUZKOA,J. Nicolau Aledon,Substitution In,(INVEREADY GIPUZKOA) J. NICOLAU ALEDON: Sustitución (Entra a pista),A. Wintering,J. Vrankic,M. Armus,T. Borg,X. Oroz Uria,G. Korsantia,I. Arroyo Varela,J. Nicolau Aledon,M. Motos Cabodevilla,T. Mcghie
1,10:00,600,0,0,,,Period,Comienzo del Cuarto 1,A. Wintering,J. Vrankic,M. Armus,T. Borg,X. Oroz Uria,G. Korsantia,I. Arroyo Varela,J. Nicolau Aledon,M. Motos Cabodevilla,T. Mcghie
1,09:46,586,2,0,SÚPER AGROPAL PALENCIA,A. Wintering,2PT Made,(SÚPER AGROPAL PALENCIA) A. WINTERING: TIRO DE 2 ANOTADO (Puntos: 2),A. Wintering,J. Vrankic,M. Armus,T. Borg,X. Oroz Uria,G. Korsantia,I. Arroyo Varela,J. Nicolau Aledon,M. Motos Cabodevilla,T. Mcghie
1,09:28,568,2,0,SÚPER AGROPAL PALENCIA,M. Armus,Rebound,(SÚPER AGROPAL PALENCIA) M. ARMUS: REBOTE (Rebotes: 1),A. Wintering,J. Vrankic,M. Armus,T. Borg,X. Oroz Uria,G. Korsantia,I. Arroyo Varela,J. Nicolau Aledon,M. Motos Cabodevilla,T. Mcghie
1,09:28,568,2,0,INVEREADY GIPUZKOA,G. Korsantia,2PT Missed,(INVEREADY GIPUZKOA) G. KORSANTIA: TIRO DE 2 FALLADO,A. Wintering,J. Vrankic,M. Armus,T. Borg,X. Oroz Uria,G. Korsantia,I. Arroyo Varela,J. Nicolau Aledon,M. Motos Cabodevilla,T. Mcghie
1,09:09,549,2,0,INVEREADY GIPUZKOA,I. Arroyo Varela,Steal,(INVEREADY GIPUZKOA) I. ARROYO VARELA: ROBO (Robos: 1),A. Wintering,J. Vrankic,M. Armus,T. Borg,X. Oroz Uria,G. Korsantia,I. Arroyo Varela,J. Nicolau Aledon,M. Motos Cabodevilla,T. Mcghie
1,09:09,549,2,0,SÚPER AGROPAL PALENCIA,M. Armus,Turnover,(SÚPER AGROPAL PALENCIA) M. ARMUS: PÉRDIDA (Pérdidas: 1),A. Wintering,J. Vrankic,M. Armus,T. Borg,X. Oroz Uria,G. Korsantia,I. Arroyo Varela,J. Nicolau Aledon,M. Motos Cabodevilla,T. Mcghie
1,08:57,537,2,0,SÚPER AGROPAL PALENCIA,T. Borg,Block,(SÚPER AGROPAL PALENCIA) T. BORG: TAPÓN (Tapones: 1),A. Wintering,J. Vrankic,M. Armus,T. Borg,X. Oroz Uria,G. Korsantia,I. Arroyo Varela,J. Nicolau Aledon,M. Motos Cabodevilla,T. Mcghie
1,08:57,537,2,0,INVEREADY GIPUZKOA,G. Korsantia,2PT Missed,(INVEREADY GIPUZKOA) G. KORSANTIA: TIRO DE 2 FALLADO,A. Wintering,J. Vrankic,M. Armus,T. Borg,X. Oroz Uria,G. Korsantia,I. Arroyo Varela,J. Nicolau Aledon,M. Motos Cabodevilla,T. Mcghie
1,08:44,524,2,3,INVEREADY GIPUZKOA,I. Arroyo Varela,3PT Made,(INVEREADY GIPUZKOA) I. ARROYO VARELA: TIRO DE 3 ANOTADO (Puntos: 3),A. Wintering,J. Vrankic,M. Armus,T. Borg,X. Oroz Uria,G. Korsantia,I. Arroyo Varela,J. Nicolau Aledon,M. Motos Cabodevilla,T. Mcghie
1,08:27,507,2,3,INVEREADY GIPUZKOA,T. Mcghie,Rebound,(INVEREADY GIPUZKOA) T. MCGHIE: REBOTE (Rebotes: 1),A. Wintering,J. Vrankic,M. Armus,T. Borg,X. Oroz Uria,G. Korsantia,I. Arroyo Varela,J. Nicolau Aledon,M. Motos Cabodevilla,T. Mcghie
1,08:27,507,2,3,SÚPER AGROPAL PALENCIA,A. Wintering,2PT Missed,(SÚPER AGROPAL PALENCIA) A. WINTERING: TIRO DE 2 FALLADO,A. Wintering,J. Vrankic,M. Armus,T. Borg,X. Oroz Uria,G. Korsantia,I. Arroyo Varela,J. Nicolau Aledon,M. Motos Cabodevilla,T. Mcghie
1,08:15,495,2,5,INVEREADY GIPUZKOA,J. Nicolau Aledon,2PT Made,(INVEREADY GIPUZKOA) J. NICOLAU ALEDON: TIRO DE 2 ANOTADO (Puntos: 2),A. Wintering,J. Vrankic,M. Armus,T. Borg,X. Oroz Uria,G. Korsantia,I. Arroyo Varela,J. Nicolau Aledon,M. Motos Cabodevilla,T. Mcghie
1,08:15,495,2,5,INVEREADY GIPUZKOA,I. Arroyo Varela,Assist,(INVEREADY GIPUZKOA) I. ARROYO VARELA: ASISTENCIA (Asistencias: 1),A. Wintering,J. Vrankic,M. Armus,T. Borg,X. Oroz Uria,G. Korsantia,I. Arroyo Varela,J. Nicolau Aledon,M. Motos Cabodevilla,T. Mcghie
1,08:00,480,2,5,INVEREADY GIPUZKOA,J. Nicolau Aledon,Foul,(INVEREADY GIPUZKOA) J. NICOLAU ALEDON: FALTA Personal (Faltas: 1. Faltas de equipo: 1). Tiros libres: 0,A. Wintering,J. Vrankic,M. Armus,T. Borg,X. Oroz Uria,G. Korsantia,I. Arroyo Varela,J. Nicolau Aledon,M. Motos Cabodevilla,T. Mcghie
1,07:48,468,2,5,INVEREADY GIPUZKOA,T. Mcghie,Rebound,(INVEREADY GIPUZKOA) T. MCGHIE: REBOTE (Rebotes: 2),A. Wintering,J. Vrankic,M. Armus,T. Borg,X. Oroz Uria,G. Korsantia,I. Arroyo Varela,J. Nicolau Aledon,M. Motos Cabodevilla,T. Mcghie
1,07:48,468,2,5,SÚPER AGROPAL PALENCIA,J. Vrankic,3PT Missed,(SÚPER AGROPAL PALENCIA) J. VRANKIC: TIRO DE 3 FALLADO,A. Wintering,J. Vrankic,M. Armus,T. Borg,X. Oroz Uria,G. Korsantia,I. Arroyo Varela,J. Nicolau Aledon,M. Motos Cabodevilla,T. Mcghie
1,07:27,447,2,5,SÚPER AGROPAL PALENCIA,A. Wintering,Rebound,(SÚPER AGROPAL PALENCIA) A. WINTERING: REBOTE (Rebotes: 1),A. Wintering,J. Vrankic,M. Armus,T. Borg,X. Oroz Uria,G. Korsantia,I. Arroyo Varela,J. Nicolau Aledon,M. Motos Cabodevilla,T. Mcghie
1,07:27,447,2,5,INVEREADY GIPUZKOA,T. Mcghie,3PT Missed,(INVEREADY GIPUZKOA) T. MCGHIE: TIRO DE 3 FALLADO,A. Wintering,J. Vrankic,M. Armus,T. Borg,X. Oroz Uria,G. Korsantia,I. Arroyo Varela,J. Nicolau Aledon,M. Motos Cabodevilla,T. Mcghie
1,07:23,443,2,5,INVEREADY GIPUZKOA,I. Arroyo Varela,Foul,(INVEREADY GIPUZKOA) I. ARROYO VARELA: FALTA Personal (Faltas: 1. Faltas de equipo: 2). Tiros libres: 0,A. Wintering,J. Vrankic,M. Armus,T. Borg,X. Oroz Uria,G. Korsantia,I. Arroyo Varela,J. Nicolau Aledon,M. Motos Cabodevilla,T. Mcghie
1,07:08,428,2,5,INVEREADY GIPUZKOA,G. Korsantia,Rebound,(INVEREADY GIPUZKOA) G. KORSANTIA: REBOTE (Rebotes: 1),A. Wintering,J. Vrankic,M. Armus,T. Borg,X. Oroz Uria,G. Korsantia,I. Arroyo Varela,J. Nicolau Aledon,M. Motos Cabodevilla,T. Mcghie
1,07:08,428,2,5,SÚPER AGROPAL PALENCIA,J. Vrankic,2PT Missed,(SÚPER AGROPAL PALENCIA) J. VRANKIC: TIRO DE 2 FALLADO,A. Wintering,J. Vrankic,M. Armus,T. Borg,X. Oroz Uria,G. Korsantia,I. Arroyo Varela,J. Nicolau Aledon,M. Motos Cabodevilla,T. Mcghie
1,07:08,428,2,5,SÚPER AGROPAL PALENCIA,J. Vrankic,Rebound,(SÚPER AGROPAL PALENCIA) J. VRANKIC: REBOTE (Rebotes: 1),A. Wintering,J. Vrankic,M. Armus,T. Borg,X. Oroz Uria,G. Korsantia,I. Arroyo Varela,J. Nicolau Aledon,M. Motos Cabodevilla,T. Mcghie
1,07:08,428,2,5,SÚPER AGROPAL PALENCIA,A. Wintering,2PT Missed,(SÚPER AGROPAL PALENCIA) A. WINTERING: TIRO DE 2 FALLADO,A. Wintering,J. Vrankic,M. Armus,T. Borg,X. Oroz Uria,G. Korsantia,I. Arroyo Varela,J. Nicolau Aledon,M. Motos Cabodevilla,T. Mcghie
