Period,Time,Seconds,Score_Home,Score_Away,Team,Player,Action_Type,text,H1,H2,H3,H4,H5,A1,A2,A3,A4,A5
1,10:00,600,0,0,GRUPO URETA TIZONA BURGOS,M. Jackson,Substitution In,(GRUPO URETA TIZONA BURGOS) M. JACKSON: Sustitución (Entra a pista),A. Alonso Cuevas,A. Parrado Calabria,G. Jofresa Sarret,M. Jackson,R. Vila Soley,A. Izaw Bolavie,D. Sanadze,H. Atencia Suarez,J. Roberts,N. Camacho De Sá
1,10:00,600,0,0,PALMER BASKET MALLORCA PALMA,N. Camacho De Sá,Substitution In,(PALMER BASKET MALLORCA PALMA) N. CAMACHO DE SÁ: Sustitución (Entra a pista),A. Alonso Cuevas,A. Parrado Calabria,G. Jofresa Sarret,M. Jackson,R. Vila Soley,A. Izaw Bolavie,D. Sanadze,H. Atencia Suarez,J. Roberts,N. Camacho De Sá
1,10:00,600,0,0,GRUPO URETA TIZONA BURGOS,R. Vila Soley,Substitution In,(GRUPO URETA TIZONA BURGOS) R. VILA SOLEY: Sustitución (Entra a pista),A. Alonso Cuevas,A. Parrado Calabria,G. Jofresa Sarret,M. Jackson,R. Vila Soley,A. Izaw Bolavie,D. Sanadze,H. Atencia Suarez,J. Roberts,N. Camacho De Sá
1,10:00,600,0,0,GRUPO URETA TIZONA BURGOS,A. Alonso Cuevas,Substitution In,(GRUPO URETA TIZONA BURGOS) A. ALONSO CUEVAS: Sustitución (Entra a pista),A. Alonso Cuevas,A. Parrado Calabria,G. Jofresa Sarret,M. Jackson,R. Vila Soley,A. Izaw Bolavie,D. Sanadze,H. Atencia Suarez,J. Roberts,N. Camacho De Sá
1,10:00,600,0,0,PALMER BASKET MALLORCA PALMA,J. Roberts,Substitution In,(PALMER BASKET MALLORCA PALMA) J. ROBERTS: Sustitución (Entra a pista),A. Alonso Cuevas,A. Parrado Calabria,G. Jofresa Sarret,M. Jackson,R. Vila Soley,A. Izaw Bolavie,D. Sanadze,H. Atencia Suarez,J. Roberts,N. Camacho De Sá
1,10:00,600,0,0,PALMER BASKET MALLORCA PALMA,H. Atencia Suarez,Substitution In,(PALMER BASKET MALLORCA PALMA) H. ATENCIA SUAREZ: Sustitución (Entra a pista),A. Alonso Cuevas,A. Parrado Calabria,G. Jofresa Sarret,M. Jackson,R. Vila Soley,A. Izaw Bolavie,D. Sanadze,H. Atencia Suarez,J. Roberts,N. Camacho De Sá
1,10:00,600,0,0,GRUPO URETA TIZONA BURGOS,A. Parrado Calabria,Substitution In,(GRUPO URETA TIZONA BURGOS) A. PARRADO CALABRIA: Sustitución (Entra a pista),A. Alonso Cuevas,A. Parrado Calabria,G. Jofresa Sarret,M. Jackson,R. Vila Soley,A. Izaw Bolavie,D. Sanadze,H. Atencia Suarez,J. Roberts,N. Camacho De Sá
1,10:00,600,0,0,PALMER BASKET MALLORCA PALMA,A. Izaw Bolavie,Substitution In,(PALMER BASKET MALLORCA PALMA) A. IZAW BOLAVIE: Sustitución (Entra a pista),A. Alonso Cuevas,A. Parrado Calabria,G. Jofresa Sarret,M. Jackson,R. Vila Soley,A. Izaw Bolavie,D. Sanadze,H. Atencia Suarez,J. Roberts,N. Camacho De Sá
1,10:00,600,0,0,PALMER BASKET MALLORCA PALMA,D. Sanadze,Substitution In,(PALMER BASKET MALLORCA PALMA) D. SANADZE: Sustitución (Entra a pista),A. Alonso Cuevas,A. Parrado Calabria,G. Jofresa Sarret,M. Jackson,R. Vila Soley,A. Izaw Bolavie,D. Sanadze,H. Atencia Suarez,J. Roberts,N. Camacho De Sá
1,10:00,600,0,0,GRUPO URETA TIZONA BURGOS,G. Jofresa Sarret,Substitution In,(GRUPO URETA TIZONA BURGOS) G. JOFRESA SARRET: Sustitución (Entra a pista),A. Alonso Cuevas,A. Parrado Calabria,G. Jofresa Sarret,M. Jackson,R. Vila Soley,A. Izaw Bolavie,D. Sanadze,H. Atencia Suarez,J. Roberts,N. Camacho De Sá
