Period,Time,Seconds,Score_Home,Score_Away,Team,Player,Action_Type,text,H1,H2,H3,H4,H5,A1,A2,A3,A4,A5
1,10:00,600,0,0,CLUB OURENSE BALONCESTO,C. Jürgens,Substitution In,(CLUB OURENSE BALONCESTO) C. JÜRGENS: Sustitución (Entra a pista),C. De Souza Pacheco,D. Radoncic,G. Jou Coll,I. Diop Gaye,P. Jorgensen,C. Jürgens,C. Okanu,G. Kalscheur,I. Vazquez Perez,S. Mc Donnell
1,10:00,600,0,0,LEYMA CORUÑA,C. De Souza Pacheco,Substitution In,(LEYMA CORUÑA) C. DE SOUZA PACHECO: Sustitución (Entra a pista),C. De Souza Pacheco,D. Radoncic,G. Jou Coll,I. Diop Gaye,P. Jorgensen,C. Jürgens,C. Okanu,G. Kalscheur,I. Vazquez Perez,S. Mc Donnell
1,10:00,600,0,0,LEYMA CORUÑA,G. Jou Coll,Substitution In,(LEYMA CORUÑA) G. JOU COLL: Sustitución (Entra a pista),C. De Souza Pacheco,D. Radoncic,G. Jou Coll,I. Diop Gaye,P. Jorgensen,C. Jürgens,C. Okanu,G. Kalscheur,I. Vazquez Perez,S. Mc Donnell
1,10:00,600,0,0,LEYMA CORUÑA,I. Diop Gaye,Substitution In,(LEYMA CORUÑA) I. DIOP GAYE: Sustitución (Entra a pista),C. De Souza Pacheco,D. Radoncic,G. Jou Coll,I. Diop Gaye,P. Jorgensen,C. Jürgens,C. Okanu,G. Kalscheur,I. Vazquez Perez,S. Mc Donnell
1,10:00,600,0,0,LEYMA CORUÑA,P. Jorgensen,Substitution In,(LEYMA CORUÑA) P. JORGENSEN: Sustitución (Entra a pista),C. De Souza Pacheco,D. Radoncic,G. Jou Coll,I. Diop Gaye,P. Jorgensen,C. Jürgens,C. Okanu,G. Kalscheur,I. Vazquez Perez,S. Mc Donnell
1,10:00,600,0,0,CLUB OURENSE BALONCESTO,I. Vazquez Perez,Substitution In,(CLUB OURENSE BALONCESTO) I. VAZQUEZ PEREZ: Sustitución (Entra a pista),C. De Souza Pacheco,D. Radoncic,G. Jou Coll,I. Diop Gaye,P. Jorgensen,C. Jürgens,C. Okanu,G. Kalscheur,I. Vazquez Perez,S. Mc Donnell
1,10:00,600,0,0,CLUB OURENSE BALONCESTO,G. Kalscheur,Substitution In,(CLUB OURENSE BALONCESTO) G. KALSCHEUR: Sustitución (Entra a pista),C. De Souza Pacheco,D. Radoncic,G. Jou Coll,I. Diop Gaye,P. Jorgensen,C. Jürgens,C. Okanu,G. Kalscheur,I. Vazquez Perez,S. Mc Donnell
1,10:00,600,0,0,CLUB OURENSE BALONCESTO,C. Okanu,Substitution In,(CLUB OURENSE BALONCESTO) C. OKANU: Sustitución (Entra a pista),C. De Souza Pacheco,D. Radoncic,G. Jou Coll,I. Diop Gaye,P. Jorgensen,C. Jürgens,C. Okanu,G. Kalscheur,I. Vazquez Perez,S. Mc Donnell
1,10:00,600,0,0,CLUB OURENSE BALONCESTO,S. Mc Donnell,Substitution In,(CLUB OURENSE BALONCESTO) S. MC DONNELL: Sustitución (Entra a pista),C. De Souza Pacheco,D. Radoncic,G. Jou Coll,I. Diop Gaye,P. Jorgensen,C. Jürgens,C. Okanu,G. Kalscheur,I. Vazquez Perez,S. Mc Donnell
1,10:00,600,0,0,LEYMA CORUÑA,D. Radoncic,Substitution In,(LEYMA CORUÑA) D. RADONCIC: Sustitución (Entra a pista),C. De Souza Pacheco,D. Radoncic,G. Jou Coll,I. Diop Gaye,P. Jorgensen,C. Jürgens,C. Okanu,G. Kalscheur,I. Vazquez Perez,S. Mc Donnell
