Period,Time,Seconds,Score_Home,Score_Away,Team,Player,Action_Type,text,H1,H2,H3,H4,H5,A1,A2,A3,A4,A5
1,10:00,600,0,0,GRUPO CAESA SEGUROS FC CARTAGENA CB,J. Davis,Substitution In,(GRUPO CAESA SEGUROS FC CARTAGENA CB) J. DAVIS: Sustitución (Entra a pista),D. Geu,J. Walker,K. Larsen,M. Torres Cuevas,T. Richardson,A. Domenech Fontana,E. Idehen Idehen,J. Davis,K. Webster,S. Svejcar
1,10:00,600,0,0,HLA ALICANTE,J. Walker,Substitution In,(HLA ALICANTE) J. WALKER: Sustitución (Entra a pista),D. Geu,J. Walker,K. Larsen,M. Torres Cuevas,T. Richardson,A. Domenech Fontana,E. Idehen Idehen,J. Davis,K. Webster,S. Svejcar
1,10:00,600,0,0,GRUPO CAESA SEGUROS FC CARTAGENA CB,A. Domenech Fontana,Substitution In,(GRUPO CAESA SEGUROS FC CARTAGENA CB) A. DOMENECH FONTANA: Sustitución (Entra a pista),D. Geu,J. Walker,K. Larsen,M. Torres Cuevas,T. Richardson,A. Domenech Fontana,E. Idehen Idehen,J. Davis,K. Webster,S. Svejcar
1,10:00,600,0,0,GRUPO CAESA SEGUROS FC CARTAGENA CB,K. Webster,Substitution In,(GRUPO CAESA SEGUROS FC CARTAGENA CB) K. WEBSTER: Sustitución (Entra a pista),D. Geu,J. Walker,K. Larsen,M. Torres Cuevas,T. Richardson,A. Domenech Fontana,E. Idehen Idehen,J. Davis,K. Webster,S. Svejcar
1,10:00,600,0,0,HLA ALICANTE,T. Richardson,Substitution In,(HLA ALICANTE) T. RICHARDSON: Sustitución (Entra a pista),D. Geu,J. Walker,K. Larsen,M. Torres Cuevas,T. Richardson,A. Domenech Fontana,E. Idehen Idehen,J. Davis,K. Webster,S. Svejcar
1,10:00,600,0,0,HLA ALICANTE,D. Geu,Substitution In,(HLA ALICANTE) D. GEU: Sustitución (Entra a pista),D. Geu,J. Walker,K. Larsen,M. Torres Cuevas,T. Richardson,A. Domenech Fontana,E. Idehen Idehen,J. Davis,K. Webster,S. Svejcar
1,10:00,600,0,0,HLA ALICANTE,K. Larsen,Substitution In,(HLA ALICANTE) K. LARSEN: Sustitución (Entra a pista),D. Geu,J. Walker,K. Larsen,M. Torres Cuevas,T. Richardson,A. Domenech Fontana,E. Idehen Idehen,J. Davis,K. Webster,S. Svejcar
1,10:00,600,0,0,GRUPO CAESA SEGUROS FC CARTAGENA CB,E. Idehen Idehen,Substitution In,(GRUPO CAESA SEGUROS FC CARTAGENA CB) E. IDEHEN IDEHEN: Sustitución (Entra a pista),D. Geu,J. Walker,K. Larsen,M. Torres Cuevas,T. Richardson,A. Domenech Fontana,E. Idehen Idehen,J. Davis,K. Webster,S. Svejcar
1,10:00,600,0,0,HLA ALICANTE,M. Torres Cuevas,Substitution In,(HLA ALICANTE) M. TORRES CUEVAS: Sustitución (Entra a pista),D. Geu,J. Walker,K. Larsen,M. Torres Cuevas,T. Richardson,A. Domenech Fontana,E. Idehen Idehen,J. Davis,K. Webster,S. Svejcar
1,10:00,600,0,0,GRUPO CAESA SEGUROS FC CARTAGENA CB,S. Svejcar,Substitution In,(GRUPO CAESA SEGUROS FC CARTAGENA CB) S. SVEJCAR: Sustitución (Entra a pista),D. Geu,J. Walker,K. Larsen,M. Torres Cuevas,T. Richardson,A. Domenech Fontana,E. Idehen Idehen,J. Davis,K. Webster,S. Svejcar
1,10:00,600,0,0,,,Period,Comienzo del Cuarto 1,D. Geu,J. Walker,K. Larsen,M. Torres Cuevas,T. Richardson,A. Domenech Fontana,E. Idehen Idehen,J. Davis,K. Webster,S. Svejcar
1,09:48,588,2,0,HLA ALICANTE,D. Geu,2PT Made,(HLA ALICANTE) D. GEU: MATE ANOTADO (Puntos: 2),D. Geu,J. Walker,K. Larsen,M. Torres Cuevas,T. Richardson,A. Domenech Fontana,E. Idehen Idehen,J. Davis,K. Webster,S. Svejcar
1,09:48,588,2,0,HLA ALICANTE,T. Richardson,Assist,(HLA ALICANTE) T. RICHARDSON: ASISTENCIA (Asistencias: 1),D. Geu,J. Walker,K. Larsen,M. Torres Cuevas,T. Richardson,A. Domenech Fontana,E. Idehen Idehen,J. Davis,K. Webster,S. Svejcar
1,09:24,564,2,0,HLA ALICANTE,Rebote (Rebotes,Rebound,(HLA ALICANTE) REBOTE (Rebotes: 0),D. Geu,J. Walker,K. Larsen,M. Torres Cuevas,T. Richardson,A. Domenech Fontana,E. Idehen Idehen,J. Davis,K. Webster,S. Svejcar
1,09:24,564,2,0,GRUPO CAESA SEGUROS FC CARTAGENA CB,S. Svejcar,3PT Missed,(GRUPO CAESA SEGUROS FC CARTAGENA CB) S. SVEJCAR: TIRO DE 3 FALLADO,D. Geu,J. Walker,K. Larsen,M. Torres Cuevas,T. Richardson,A. Domenech Fontana,E. Idehen Idehen,J. Davis,K. Webster,S. Svejcar
1,09:07,547,5,0,HLA ALICANTE,T. Richardson,3PT Made,(HLA ALICANTE) T. RICHARDSON: TIRO DE 3 ANOTADO (Puntos: 3),D. Geu,J. Walker,K. Larsen,M. Torres Cuevas,T. Richardson,A. Domenech Fontana,E. Idehen Idehen,J. Davis,K. Webster,S. Svejcar
1,09:07,547,5,0,HLA ALICANTE,D. Geu,Assist,(HLA ALICANTE) D. GEU: ASISTENCIA (Asistencias: 1),D. Geu,J. Walker,K. Larsen,M. Torres Cuevas,T. Richardson,A. Domenech Fontana,E. Idehen Idehen,J. Davis,K. Webster,S. Svejcar
1,08:38,518,5,0,HLA ALICANTE,D. Geu,Rebound,(HLA ALICANTE) D. GEU: REBOTE (Rebotes: 1),D. Geu,J. Walker,K. Larsen,M. Torres Cuevas,T. Richardson,A. Domenech Fontana,E. Idehen Idehen,J. Davis,K. Webster,S. Svejcar
1,08:38,518,5,0,GRUPO CAESA SEGUROS FC CARTAGENA CB,E. Idehen Idehen,2PT Missed,(GRUPO CAESA SEGUROS FC CARTAGENA CB) E. IDEHEN IDEHEN: TIRO DE 2 FALLADO,D. Geu,J. Walker,K. Larsen,M. Torres Cuevas,T. Richardson,A. Domenech Fontana,E. Idehen Idehen,J. Davis,K. Webster,S. Svejcar
1,08:25,505,8,0,HLA ALICANTE,M. Torres Cuevas,3PT Made,(HLA ALICANTE) M. TORRES CUEVAS: TIRO DE 3 ANOTADO (Puntos: 3),D. Geu,J. Walker,K. Larsen,M. Torres Cuevas,T. Richardson,A. Domenech Fontana,E. Idehen Idehen,J. Davis,K. Webster,S. Svejcar
1,08:25,505,8,0,HLA ALICANTE,K. Larsen,Assist,(HLA ALICANTE) K. LARSEN: ASISTENCIA (Asistencias: 1),D. Geu,J. Walker,K. Larsen,M. Torres Cuevas,T. Richardson,A. Domenech Fontana,E. Idehen Idehen,J. Davis,K. Webster,S. Svejcar
