Period,Time,Seconds,Score_Home,Score_Away,Team,Player,Action_Type,text,H1,H2,H3,H4,H5,A1,A2,A3,A4,A5
1,10:00,600,0,0,PALMER BASKET MALLORCA PALMA,H. Atencia Suarez,Substitution In,(PALMER BASKET MALLORCA PALMA) H. ATENCIA SUAREZ: Sustitución (Entra a pista),J. Aramburu Lamy,J. Bocca,L. Bracey,O. Matulionis,P. Bombino Parada,G. Dike Egun,H. Atencia Suarez,J. Carralero Martin,N. Camacho De Sá,P. Scrubb
1,10:00,600,0,0,PALMER BASKET MALLORCA PALMA,P. Scrubb,Substitution In,(PALMER BASKET MALLORCA PALMA) P. SCRUBB: Sustitución (Entra a pista),J. Aramburu Lamy,J. Bocca,L. Bracey,O. Matulionis,P. Bombino Parada,G. Dike Egun,H. Atencia Suarez,J. Carralero Martin,N. Camacho De Sá,P. Scrubb
1,10:00,600,0,0,PALMER BASKET MALLORCA PALMA,J. Carralero Martin,Substitution In,(PALMER BASKET MALLORCA PALMA) J. CARRALERO MARTIN: Sustitución (Entra a pista),J. Aramburu Lamy,J. Bocca,L. Bracey,O. Matulionis,P. Bombino Parada,G. Dike Egun,H. Atencia Suarez,J. Carralero Martin,N. Camacho De Sá,P. Scrubb
1,10:00,600,0,0,FIBWI MALLORCA BASQUET PALMA ,J. Aramburu Lamy,Substitution In,(FIBWI MALLORCA BASQUET PALMA ) J. ARAMBURU LAMY: Sustitución (Entra a pista),J. Aramburu Lamy,J. Bocca,L. Bracey,O. Matulionis,P. Bombino Parada,G. Dike Egun,H. Atencia Suarez,J. Carralero Martin,N. Camacho De Sá,P. Scrubb
1,10:00,600,0,0,FIBWI MALLORCA BASQUET PALMA ,P. Bombino Parada,Substitution In,(FIBWI MALLORCA BASQUET PALMA ) P. BOMBINO PARADA: Sustitución (Entra a pista),J. Aramburu Lamy,J. Bocca,L. Bracey,O. Matulionis,P. Bombino Parada,G. Dike Egun,H. Atencia Suarez,J. Carralero Martin,N. Camacho De Sá,P. Scrubb
1,10:00,600,0,0,PALMER BASKET MALLORCA PALMA,N. Camacho De Sá,Substitution In,(PALMER BASKET MALLORCA PALMA) N. CAMACHO DE SÁ: Sustitución (Entra a pista),J. Aramburu Lamy,J. Bocca,L. Bracey,O. Matulionis,P. Bombino Parada,G. Dike Egun,H. Atencia Suarez,J. Carralero Martin,N. Camacho De Sá,P. Scrubb
1,10:00,600,0,0,PALMER BASKET MALLORCA PALMA,G. Dike Egun,Substitution In,(PALMER BASKET MALLORCA PALMA) G. DIKE EGUN: Sustitución (Entra a pista),J. Aramburu Lamy,J. Bocca,L. Bracey,O. Matulionis,P. Bombino Parada,G. Dike Egun,H. Atencia Suarez,J. Carralero Martin,N. Camacho De Sá,P. Scrubb
1,10:00,600,0,0,FIBWI MALLORCA BASQUET PALMA ,J. Bocca,Substitution In,(FIBWI MALLORCA BASQUET PALMA ) J. BOCCA: Sustitución (Entra a pista),J. Aramburu Lamy,J. Bocca,L. Bracey,O. Matulionis,P. Bombino Parada,G. Dike Egun,H. Atencia Suarez,J. Carralero Martin,N. Camacho De Sá,P. Scrubb
1,10:00,600,0,0,FIBWI MALLORCA BASQUET PALMA ,L. Bracey,Substitution In,(FIBWI MALLORCA BASQUET PALMA ) L. BRACEY: Sustitución (Entra a pista),J. Aramburu Lamy,J. Bocca,L. Bracey,O. Matulionis,P. Bombino Parada,G. Dike Egun,H. Atencia Suarez,J. Carralero Martin,N. Camacho De Sá,P. Scrubb
1,10:00,600,0,0,FIBWI MALLORCA BASQUET PALMA ,O. Matulionis,Substitution In,(FIBWI MALLORCA BASQUET PALMA ) O. MATULIONIS: Sustitución (Entra a pista),J. Aramburu Lamy,J. Bocca,L. Bracey,O. Matulionis,P. Bombino Parada,G. Dike Egun,H. Atencia Suarez,J. Carralero Martin,N. Camacho De Sá,P. Scrubb
1,10:00,600,0,0,FIBWI MALLORCA BASQUET PALMA ,L. Bracey,Rebound,(FIBWI MALLORCA BASQUET PALMA ) L. BRACEY: REBOTE (Rebotes: 1),J. Aramburu Lamy,J. Bocca,L. Bracey,O. Matulionis,P. Bombino Parada,G. Dike Egun,H. Atencia Suarez,J. Carralero Martin,N. Camacho De Sá,P. Scrubb
1,10:00,600,0,0,PALMER BASKET MALLORCA PALMA,H. Atencia Suarez,2PT Missed,(PALMER BASKET MALLORCA PALMA) H. ATENCIA SUAREZ: TIRO DE 2 FALLADO,J. Aramburu Lamy,J. Bocca,L. Bracey,O. Matulionis,P. Bombino Parada,G. Dike Egun,H. Atencia Suarez,J. Carralero Martin,N. Camacho De Sá,P. Scrubb
1,10:00,600,0,0,,,Period,Comienzo del Cuarto 1,J. Aramburu Lamy,J. Bocca,L. Bracey,O. Matulionis,P. Bombino Parada,G. Dike Egun,H. Atencia Suarez,J. Carralero Martin,N. Camacho De Sá,P. Scrubb
1,09:54,594,2,0,FIBWI MALLORCA BASQUET PALMA ,P. Bombino Parada,2PT Made,(FIBWI MALLORCA BASQUET PALMA ) P. BOMBINO PARADA: TIRO DE 2 ANOTADO (Puntos: 2),J. Aramburu Lamy,J. Bocca,L. Bracey,O. Matulionis,P. Bombino Parada,G. Dike Egun,H. Atencia Suarez,J. Carralero Martin,N. Camacho De Sá,P. Scrubb
1,09:54,594,2,0,FIBWI MALLORCA BASQUET PALMA ,L. Bracey,2PT Missed,(FIBWI MALLORCA BASQUET PALMA ) L. BRACEY: TIRO DE 2 FALLADO,J. Aramburu Lamy,J. Bocca,L. Bracey,O. Matulionis,P. Bombino Parada,G. Dike Egun,H. Atencia Suarez,J. Carralero Martin,N. Camacho De Sá,P. Scrubb
1,09:54,594,2,0,FIBWI MALLORCA BASQUET PALMA ,L. Bracey,,(FIBWI MALLORCA BASQUET PALMA ) L. BRACEY: TIRO DE 2 ,J. Aramburu Lamy,J. Bocca,L. Bracey,O. Matulionis,P. Bombino Parada,G. Dike Egun,H. Atencia Suarez,J. Carralero Martin,N. Camacho De Sá,P. Scrubb
1,09:34,574,2,2,PALMER BASKET MALLORCA PALMA,P. Scrubb,2PT Made,(PALMER BASKET MALLORCA PALMA) P. SCRUBB: TIRO DE 2 ANOTADO (Puntos: 2),J. Aramburu Lamy,J. Bocca,L. Bracey,O. Matulionis,P. Bombino Parada,G. Dike Egun,H. Atencia Suarez,J. Carralero Martin,N. Camacho De Sá,P. Scrubb
1,09:15,555,2,2,PALMER BASKET MALLORCA PALMA,H. Atencia Suarez,Rebound,(PALMER BASKET MALLORCA PALMA) H. ATENCIA SUAREZ: REBOTE (Rebotes: 1),J. Aramburu Lamy,J. Bocca,L. Bracey,O. Matulionis,P. Bombino Parada,G. Dike Egun,H. Atencia Suarez,J. Carralero Martin,N. Camacho De Sá,P. Scrubb
1,09:15,555,2,2,FIBWI MALLORCA BASQUET PALMA ,J. Aramburu Lamy,3PT Missed,(FIBWI MALLORCA BASQUET PALMA ) J. ARAMBURU LAMY: TIRO DE 3 FALLADO,J. Aramburu Lamy,J. Bocca,L. Bracey,O. Matulionis,P. Bombino Parada,G. Dike Egun,H. Atencia Suarez,J. Carralero Martin,N. Camacho De Sá,P. Scrubb
1,09:08,548,2,4,PALMER BASKET MALLORCA PALMA,N. Camacho De Sá,2PT Made,(PALMER BASKET MALLORCA PALMA) N. CAMACHO DE SÁ: TIRO DE 2 ANOTADO (Puntos: 2),J. Aramburu Lamy,J. Bocca,L. Bracey,O. Matulionis,P. Bombino Parada,G. Dike Egun,H. Atencia Suarez,J. Carralero Martin,N. Camacho De Sá,P. Scrubb
1,08:56,536,2,4,PALMER BASKET MALLORCA PALMA,P. Scrubb,Rebound,(PALMER BASKET MALLORCA PALMA) P. SCRUBB: REBOTE (Rebotes: 1),J. Aramburu Lamy,J. Bocca,L. Bracey,O. Matulionis,P. Bombino Parada,G. Dike Egun,H. Atencia Suarez,J. Carralero Martin,N. Camacho De Sá,P. Scrubb
1,08:56,536,2,4,FIBWI MALLORCA BASQUET PALMA ,O. Matulionis,2PT Missed,(FIBWI MALLORCA BASQUET PALMA ) O. MATULIONIS: TIRO DE 2 FALLADO,J. Aramburu Lamy,J. Bocca,L. Bracey,O. Matulionis,P. Bombino Parada,G. Dike Egun,H. Atencia Suarez,J. Carralero Martin,N. Camacho De Sá,P. Scrubb
1,08:42,522,2,4,FIBWI MALLORCA BASQUET PALMA ,P. Bombino Parada,Rebound,(FIBWI MALLORCA BASQUET PALMA ) P. BOMBINO PARADA: REBOTE (Rebotes: 1),J. Aramburu Lamy,J. Bocca,L. Bracey,O. Matulionis,P. Bombino Parada,G. Dike Egun,H. Atencia Suarez,J. Carralero Martin,N. Camacho De Sá,P. Scrubb
1,08:42,522,2,4,PALMER BASKET MALLORCA PALMA,N. Camacho De Sá,FT Missed,(PALMER BASKET MALLORCA PALMA) N. CAMACHO DE SÁ: TIRO DE 1 FALLADO,J. Aramburu Lamy,J. Bocca,L. Bracey,O. Matulionis,P. Bombino Parada,G. Dike Egun,H. Atencia Suarez,J. Carralero Martin,N. Camacho De Sá,P. Scrubb
1,08:42,522,2,4,PALMER BASKET MALLORCA PALMA,N. Camacho De Sá,FT Missed,(PALMER BASKET MALLORCA PALMA) N. CAMACHO DE SÁ: TIRO DE 1 FALLADO,J. Aramburu Lamy,J. Bocca,L. Bracey,O. Matulionis,P. Bombino Parada,G. Dike Egun,H. Atencia Suarez,J. Carralero Martin,N. Camacho De Sá,P. Scrubb
1,08:42,522,2,4,FIBWI MALLORCA BASQUET PALMA ,O. Matulionis,Foul,(FIBWI MALLORCA BASQUET PALMA ) O. MATULIONIS: FALTA Personal (Faltas: 1. Faltas de equipo: 1). Tiros libres: 2,J. Aramburu Lamy,J. Bocca,L. Bracey,O. Matulionis,P. Bombino Parada,G. Dike Egun,H. Atencia Suarez,J. Carralero Martin,N. Camacho De Sá,P. Scrubb
1,08:34,514,2,4,FIBWI MALLORCA BASQUET PALMA ,P. Bombino Parada,Turnover,(FIBWI MALLORCA BASQUET PALMA ) P. BOMBINO PARADA: PÉRDIDA (Pérdidas: 1),J. Aramburu Lamy,J. Bocca,L. Bracey,O. Matulionis,P. Bombino Parada,G. Dike Egun,H. Atencia Suarez,J. Carralero Martin,N. Camacho De Sá,P. Scrubb
1,08:34,514,2,4,FIBWI MALLORCA BASQUET PALMA ,P. Bombino Parada,Foul,(FIBWI MALLORCA BASQUET PALMA ) P. BOMBINO PARADA: FALTA Ofensiva (Faltas: 1. Faltas de equipo: 2). Tiros libres: 0,J. Aramburu Lamy,J. Bocca,L. Bracey,O. Matulionis,P. Bombino Parada,G. Dike Egun,H. Atencia Suarez,J. Carralero Martin,N. Camacho De Sá,P. Scrubb
1,08:21,501,2,4,PALMER BASKET MALLORCA PALMA,G. Dike Egun,Rebound,(PALMER BASKET MALLORCA PALMA) G. DIKE EGUN: REBOTE (Rebotes: 1),J. Aramburu Lamy,J. Bocca,L. Bracey,O. Matulionis,P. Bombino Parada,G. Dike Egun,H. Atencia Suarez,J. Carralero Martin,N. Camacho De Sá,P. Scrubb
1,08:21,501,2,4,PALMER BASKET MALLORCA PALMA,P. Scrubb,2PT Missed,(PALMER BASKET MALLORCA PALMA) P. SCRUBB: TIRO DE 2 FALLADO,J. Aramburu Lamy,J. Bocca,L. Bracey,O. Matulionis,P. Bombino Parada,G. Dike Egun,H. Atencia Suarez,J. Carralero Martin,N. Camacho De Sá,P. Scrubb
1,08:10,490,2,4,FIBWI MALLORCA BASQUET PALMA ,J. Bocca,Foul,(FIBWI MALLORCA BASQUET PALMA ) J. BOCCA: FALTA Personal (Faltas: 1. Faltas de equipo: 3). Tiros libres: 0,J. Aramburu Lamy,J. Bocca,L. Bracey,O. Matulionis,P. Bombino Parada,G. Dike Egun,H. Atencia Suarez,J. Carralero Martin,N. Camacho De Sá,P. Scrubb
1,08:01,481,2,6,PALMER BASKET MALLORCA PALMA,J. Carralero Martin,2PT Made,(PALMER BASKET MALLORCA PALMA) J. CARRALERO MARTIN: TIRO DE 2 ANOTADO (Puntos: 2),J. Aramburu Lamy,J. Bocca,L. Bracey,O. Matulionis,P. Bombino Parada,G. Dike Egun,H. Atencia Suarez,J. Carralero Martin,N. Camacho De Sá,P. Scrubb
1,08:01,481,2,6,PALMER BASKET MALLORCA PALMA,P. Scrubb,Assist,(PALMER BASKET MALLORCA PALMA) P. SCRUBB: ASISTENCIA (Asistencias: 1),J. Aramburu Lamy,J. Bocca,L. Bracey,O. Matulionis,P. Bombino Parada,G. Dike Egun,H. Atencia Suarez,J. Carralero Martin,N. Camacho De Sá,P. Scrubb
1,07:52,472,2,6,PALMER BASKET MALLORCA PALMA,H. Atencia Suarez,Foul,(PALMER BASKET MALLORCA PALMA) H. ATENCIA SUAREZ: FALTA Personal (Faltas: 1. Faltas de equipo: 1). Tiros libres: 0,J. Aramburu Lamy,J. Bocca,L. Bracey,O. Matulionis,P. Bombino Parada,G. Dike Egun,H. Atencia Suarez,J. Carralero Martin,N. Camacho De Sá,P. Scrubb
1,07:43,463,4,6,FIBWI MALLORCA BASQUET PALMA ,P. Bombino Parada,2PT Made,(FIBWI MALLORCA BASQUET PALMA ) P. BOMBINO PARADA: TIRO DE 2 ANOTADO (Puntos: 4),J. Aramburu Lamy,J. Bocca,L. Bracey,O. Matulionis,P. Bombino Parada,G. Dike Egun,H. Atencia Suarez,J. Carralero Martin,N. Camacho De Sá,P. Scrubb
1,07:16,436,4,6,FIBWI MALLORCA BASQUET PALMA ,P. Bombino Parada,Rebound,(FIBWI MALLORCA BASQUET PALMA ) P. BOMBINO PARADA: REBOTE (Rebotes: 2),J. Aramburu Lamy,J. Bocca,L. Bracey,O. Matulionis,P. Bombino Parada,G. Dike Egun,H. Atencia Suarez,J. Carralero Martin,N. Camacho De Sá,P. Scrubb
