Period,Time,Seconds,Score_Home,Score_Away,Team,Player,Action_Type,text,H1,H2,H3,H4,H5,A1,A2,A3,A4,A5
1,10:00,600,0,0,ALIMERKA OVIEDO BALONCESTO,G. Parham Ii,Substitution In,(ALIMERKA OVIEDO BALONCESTO) G. PARHAM II: Sustitución (Entra a pista),F. Nwaokorie,G. Parham Ii,M. Townes Villar,R. Cosialls Borras,R. Lobaco Muñoz,G. Kalscheur,K. Smith,R. Dias Marques Lisboa Santos,R. Gill,S. Mc Donnell
1,10:00,600,0,0,CLUB OURENSE BALONCESTO,G. Kalscheur,Substitution In,(CLUB OURENSE BALONCESTO) G. KALSCHEUR: Sustitución (Entra a pista),F. Nwaokorie,G. Parham Ii,M. Townes Villar,R. Cosialls Borras,R. Lobaco Muñoz,G. Kalscheur,K. Smith,R. Dias Marques Lisboa Santos,R. Gill,S. Mc Donnell
1,10:00,600,0,0,CLUB OURENSE BALONCESTO,S. Mc Donnell,Substitution In,(CLUB OURENSE BALONCESTO) S. MC DONNELL: Sustitución (Entra a pista),F. Nwaokorie,G. Parham Ii,M. Townes Villar,R. Cosialls Borras,R. Lobaco Muñoz,G. Kalscheur,K. Smith,R. Dias Marques Lisboa Santos,R. Gill,S. Mc Donnell
1,10:00,600,0,0,ALIMERKA OVIEDO BALONCESTO,R. Cosialls Borras,Substitution In,(ALIMERKA OVIEDO BALONCESTO) R. COSIALLS BORRAS: Sustitución (Entra a pista),F. Nwaokorie,G. Parham Ii,M. Townes Villar,R. Cosialls Borras,R. Lobaco Muñoz,G. Kalscheur,K. Smith,R. Dias Marques Lisboa Santos,R. Gill,S. Mc Donnell
1,10:00,600,0,0,ALIMERKA OVIEDO BALONCESTO,M. Townes Villar,Substitution In,(ALIMERKA OVIEDO BALONCESTO) M. TOWNES VILLAR: Sustitución (Entra a pista),F. Nwaokorie,G. Parham Ii,M. Townes Villar,R. Cosialls Borras,R. Lobaco Muñoz,G. Kalscheur,K. Smith,R. Dias Marques Lisboa Santos,R. Gill,S. Mc Donnell
1,10:00,600,0,0,CLUB OURENSE BALONCESTO,R. Gill,Substitution In,(CLUB OURENSE BALONCESTO) R. GILL: Sustitución (Entra a pista),F. Nwaokorie,G. Parham Ii,M. Townes Villar,R. Cosialls Borras,R. Lobaco Muñoz,G. Kalscheur,K. Smith,R. Dias Marques Lisboa Santos,R. Gill,S. Mc Donnell
1,10:00,600,0,0,CLUB OURENSE BALONCESTO,R. Dias Marques Lisboa Santos,Substitution In,(CLUB OURENSE BALONCESTO) R. DIAS MARQUES LISBOA SANTOS: Sustitución (Entra a pista),F. Nwaokorie,G. Parham Ii,M. Townes Villar,R. Cosialls Borras,R. Lobaco Muñoz,G. Kalscheur,K. Smith,R. Dias Marques Lisboa Santos,R. Gill,S. Mc Donnell
1,10:00,600,0,0,ALIMERKA OVIEDO BALONCESTO,F. Nwaokorie,Substitution In,(ALIMERKA OVIEDO BALONCESTO) F. NWAOKORIE: Sustitución (Entra a pista),F. Nwaokorie,G. Parham Ii,M. Townes Villar,R. Cosialls Borras,R. Lobaco Muñoz,G. Kalscheur,K. Smith,R. Dias Marques Lisboa Santos,R. Gill,S. Mc Donnell
1,10:00,600,0,0,CLUB OURENSE BALONCESTO,K. Smith,Substitution In,(CLUB OURENSE BALONCESTO) K. SMITH: Sustitución (Entra a pista),F. Nwaokorie,G. Parham Ii,M. Townes Villar,R. Cosialls Borras,R. Lobaco Muñoz,G. Kalscheur,K. Smith,R. Dias Marques Lisboa Santos,R. Gill,S. Mc Donnell
1,10:00,600,0,0,ALIMERKA OVIEDO BALONCESTO,R. Lobaco Muñoz,Substitution In,(ALIMERKA OVIEDO BALONCESTO) R. LOBACO MUÑOZ: Sustitución (Entra a pista),F. Nwaokorie,G. Parham Ii,M. Townes Villar,R. Cosialls Borras,R. Lobaco Muñoz,G. Kalscheur,K. Smith,R. Dias Marques Lisboa Santos,R. Gill,S. Mc Donnell
1,10:00,600,0,0,,,Period,Comienzo del Cuarto 1,F. Nwaokorie,G. Parham Ii,M. Townes Villar,R. Cosialls Borras,R. Lobaco Muñoz,G. Kalscheur,K. Smith,R. Dias Marques Lisboa Santos,R. Gill,S. Mc Donnell
1,09:48,588,0,0,ALIMERKA OVIEDO BALONCESTO,R. Cosialls Borras,Rebound,(ALIMERKA OVIEDO BALONCESTO) R. COSIALLS BORRAS: REBOTE (Rebotes: 1),F. Nwaokorie,G. Parham Ii,M. Townes Villar,R. Cosialls Borras,R. Lobaco Muñoz,G. Kalscheur,K. Smith,R. Dias Marques Lisboa Santos,R. Gill,S. Mc Donnell
1,09:48,588,0,0,CLUB OURENSE BALONCESTO,G. Kalscheur,2PT Missed,(CLUB OURENSE BALONCESTO) G. KALSCHEUR: TIRO DE 2 FALLADO,F. Nwaokorie,G. Parham Ii,M. Townes Villar,R. Cosialls Borras,R. Lobaco Muñoz,G. Kalscheur,K. Smith,R. Dias Marques Lisboa Santos,R. Gill,S. Mc Donnell
1,09:27,567,3,0,ALIMERKA OVIEDO BALONCESTO,F. Nwaokorie,3PT Made,(ALIMERKA OVIEDO BALONCESTO) F. NWAOKORIE: TIRO DE 3 ANOTADO (Puntos: 3),F. Nwaokorie,G. Parham Ii,M. Townes Villar,R. Cosialls Borras,R. Lobaco Muñoz,G. Kalscheur,K. Smith,R. Dias Marques Lisboa Santos,R. Gill,S. Mc Donnell
1,09:27,567,3,0,ALIMERKA OVIEDO BALONCESTO,R. Lobaco Muñoz,Assist,(ALIMERKA OVIEDO BALONCESTO) R. LOBACO MUÑOZ: ASISTENCIA (Asistencias: 1),F. Nwaokorie,G. Parham Ii,M. Townes Villar,R. Cosialls Borras,R. Lobaco Muñoz,G. Kalscheur,K. Smith,R. Dias Marques Lisboa Santos,R. Gill,S. Mc Donnell
1,09:17,557,3,2,CLUB OURENSE BALONCESTO,R. Gill,2PT Made,(CLUB OURENSE BALONCESTO) R. GILL: TIRO DE 2 ANOTADO (Puntos: 2),F. Nwaokorie,G. Parham Ii,M. Townes Villar,R. Cosialls Borras,R. Lobaco Muñoz,G. Kalscheur,K. Smith,R. Dias Marques Lisboa Santos,R. Gill,S. Mc Donnell
1,09:17,557,3,2,CLUB OURENSE BALONCESTO,R. Dias Marques Lisboa Santos,Assist,(CLUB OURENSE BALONCESTO) R. DIAS MARQUES LISBOA SANTOS: ASISTENCIA (Asistencias: 1),F. Nwaokorie,G. Parham Ii,M. Townes Villar,R. Cosialls Borras,R. Lobaco Muñoz,G. Kalscheur,K. Smith,R. Dias Marques Lisboa Santos,R. Gill,S. Mc Donnell
1,08:59,539,3,2,ALIMERKA OVIEDO BALONCESTO,F. Nwaokorie,Rebound,(ALIMERKA OVIEDO BALONCESTO) F. NWAOKORIE: REBOTE (Rebotes: 1),F. Nwaokorie,G. Parham Ii,M. Townes Villar,R. Cosialls Borras,R. Lobaco Muñoz,G. Kalscheur,K. Smith,R. Dias Marques Lisboa Santos,R. Gill,S. Mc Donnell
1,08:59,539,3,2,ALIMERKA OVIEDO BALONCESTO,R. Lobaco Muñoz,3PT Missed,(ALIMERKA OVIEDO BALONCESTO) R. LOBACO MUÑOZ: TIRO DE 3 FALLADO,F. Nwaokorie,G. Parham Ii,M. Townes Villar,R. Cosialls Borras,R. Lobaco Muñoz,G. Kalscheur,K. Smith,R. Dias Marques Lisboa Santos,R. Gill,S. Mc Donnell
1,08:45,525,5,2,ALIMERKA OVIEDO BALONCESTO,R. Lobaco Muñoz,2PT Made,(ALIMERKA OVIEDO BALONCESTO) R. LOBACO MUÑOZ: TIRO DE 2 ANOTADO (Puntos: 2),F. Nwaokorie,G. Parham Ii,M. Townes Villar,R. Cosialls Borras,R. Lobaco Muñoz,G. Kalscheur,K. Smith,R. Dias Marques Lisboa Santos,R. Gill,S. Mc Donnell
1,08:27,507,5,4,CLUB OURENSE BALONCESTO,G. Kalscheur,2PT Made,(CLUB OURENSE BALONCESTO) G. KALSCHEUR: TIRO DE 2 ANOTADO (Puntos: 2),F. Nwaokorie,G. Parham Ii,M. Townes Villar,R. Cosialls Borras,R. Lobaco Muñoz,G. Kalscheur,K. Smith,R. Dias Marques Lisboa Santos,R. Gill,S. Mc Donnell
1,08:05,485,7,4,ALIMERKA OVIEDO BALONCESTO,M. Townes Villar,2PT Made,(ALIMERKA OVIEDO BALONCESTO) M. TOWNES VILLAR: TIRO DE 2 ANOTADO (Puntos: 2),F. Nwaokorie,G. Parham Ii,M. Townes Villar,R. Cosialls Borras,R. Lobaco Muñoz,G. Kalscheur,K. Smith,R. Dias Marques Lisboa Santos,R. Gill,S. Mc Donnell
1,08:05,485,7,4,ALIMERKA OVIEDO BALONCESTO,R. Cosialls Borras,Assist,(ALIMERKA OVIEDO BALONCESTO) R. COSIALLS BORRAS: ASISTENCIA (Asistencias: 1),F. Nwaokorie,G. Parham Ii,M. Townes Villar,R. Cosialls Borras,R. Lobaco Muñoz,G. Kalscheur,K. Smith,R. Dias Marques Lisboa Santos,R. Gill,S. Mc Donnell
1,07:38,458,7,4,ALIMERKA OVIEDO BALONCESTO,R. Cosialls Borras,Rebound,(ALIMERKA OVIEDO BALONCESTO) R. COSIALLS BORRAS: REBOTE (Rebotes: 2),F. Nwaokorie,G. Parham Ii,M. Townes Villar,R. Cosialls Borras,R. Lobaco Muñoz,G. Kalscheur,K. Smith,R. Dias Marques Lisboa Santos,R. Gill,S. Mc Donnell
1,07:38,458,7,4,CLUB OURENSE BALONCESTO,K. Smith,2PT Missed,(CLUB OURENSE BALONCESTO) K. SMITH: TIRO DE 2 FALLADO,F. Nwaokorie,G. Parham Ii,M. Townes Villar,R. Cosialls Borras,R. Lobaco Muñoz,G. Kalscheur,K. Smith,R. Dias Marques Lisboa Santos,R. Gill,S. Mc Donnell
1,07:23,443,7,4,ALIMERKA OVIEDO BALONCESTO,R. Lobaco Muñoz,Rebound,(ALIMERKA OVIEDO BALONCESTO) R. LOBACO MUÑOZ: REBOTE (Rebotes: 1),F. Nwaokorie,G. Parham Ii,M. Townes Villar,R. Cosialls Borras,R. Lobaco Muñoz,G. Kalscheur,K. Smith,R. Dias Marques Lisboa Santos,R. Gill,S. Mc Donnell
1,07:23,443,7,4,ALIMERKA OVIEDO BALONCESTO,F. Nwaokorie,3PT Missed,(ALIMERKA OVIEDO BALONCESTO) F. NWAOKORIE: TIRO DE 3 FALLADO,F. Nwaokorie,G. Parham Ii,M. Townes Villar,R. Cosialls Borras,R. Lobaco Muñoz,G. Kalscheur,K. Smith,R. Dias Marques Lisboa Santos,R. Gill,S. Mc Donnell
1,07:12,432,7,4,CLUB OURENSE BALONCESTO,S. Mc Donnell,Foul,(CLUB OURENSE BALONCESTO) S. MC DONNELL: FALTA Personal (Faltas: 1. Faltas de equipo: 1). Tiros libres: 0,F. Nwaokorie,G. Parham Ii,M. Townes Villar,R. Cosialls Borras,R. Lobaco Muñoz,G. Kalscheur,K. Smith,R. Dias Marques Lisboa Santos,R. Gill,S. Mc Donnell
1,07:10,430,7,4,ALIMERKA OVIEDO BALONCESTO,R. Lobaco Muñoz,Turnover,(ALIMERKA OVIEDO BALONCESTO) R. LOBACO MUÑOZ: PÉRDIDA (Pérdidas: 1),F. Nwaokorie,G. Parham Ii,M. Townes Villar,R. Cosialls Borras,R. Lobaco Muñoz,G. Kalscheur,K. Smith,R. Dias Marques Lisboa Santos,R. Gill,S. Mc Donnell
1,06:54,414,7,4,ALIMERKA OVIEDO BALONCESTO,M. Townes Villar,Rebound,(ALIMERKA OVIEDO BALONCESTO) M. TOWNES VILLAR: REBOTE (Rebotes: 1),F. Nwaokorie,G. Parham Ii,M. Townes Villar,R. Cosialls Borras,R. Lobaco Muñoz,G. Kalscheur,K. Smith,R. Dias Marques Lisboa Santos,R. Gill,S. Mc Donnell
1,06:54,414,7,4,ALIMERKA OVIEDO BALONCESTO,R. Lobaco Muñoz,Block,(ALIMERKA OVIEDO BALONCESTO) R. LOBACO MUÑOZ: TAPÓN (Tapones: 1),F. Nwaokorie,G. Parham Ii,M. Townes Villar,R. Cosialls Borras,R. Lobaco Muñoz,G. Kalscheur,K. Smith,R. Dias Marques Lisboa Santos,R. Gill,S. Mc Donnell
1,06:54,414,7,4,CLUB OURENSE BALONCESTO,S. Mc Donnell,2PT Missed,(CLUB OURENSE BALONCESTO) S. MC DONNELL: TIRO DE 2 FALLADO,F. Nwaokorie,G. Parham Ii,M. Townes Villar,R. Cosialls Borras,R. Lobaco Muñoz,G. Kalscheur,K. Smith,R. Dias Marques Lisboa Santos,R. Gill,S. Mc Donnell
1,06:47,407,7,4,CLUB OURENSE BALONCESTO,Rebote (Rebotes,Rebound,(CLUB OURENSE BALONCESTO) REBOTE (Rebotes: 0),F. Nwaokorie,G. Parham Ii,M. Townes Villar,R. Cosialls Borras,R. Lobaco Muñoz,G. Kalscheur,K. Smith,R. Dias Marques Lisboa Santos,R. Gill,S. Mc Donnell
1,06:47,407,7,4,ALIMERKA OVIEDO BALONCESTO,M. Townes Villar,2PT Missed,(ALIMERKA OVIEDO BALONCESTO) M. TOWNES VILLAR: TIRO DE 2 FALLADO,F. Nwaokorie,G. Parham Ii,M. Townes Villar,R. Cosialls Borras,R. Lobaco Muñoz,G. Kalscheur,K. Smith,R. Dias Marques Lisboa Santos,R. Gill,S. Mc Donnell
1,06:37,397,7,6,CLUB OURENSE BALONCESTO,R. Dias Marques Lisboa Santos,2PT Made,(CLUB OURENSE BALONCESTO) R. DIAS MARQUES LISBOA SANTOS: TIRO DE 2 ANOTADO (Puntos: 2),F. Nwaokorie,G. Parham Ii,M. Townes Villar,R. Cosialls Borras,R. Lobaco Muñoz,G. Kalscheur,K. Smith,R. Dias Marques Lisboa Santos,R. Gill,S. Mc Donnell
1,06:23,383,7,6,ALIMERKA OVIEDO BALONCESTO,F. Nwaokorie,Rebound,(ALIMERKA OVIEDO BALONCESTO) F. NWAOKORIE: REBOTE (Rebotes: 2),F. Nwaokorie,G. Parham Ii,M. Townes Villar,R. Cosialls Borras,R. Lobaco Muñoz,G. Kalscheur,K. Smith,R. Dias Marques Lisboa Santos,R. Gill,S. Mc Donnell
1,06:23,383,7,6,ALIMERKA OVIEDO BALONCESTO,G. Parham Ii,3PT Missed,(ALIMERKA OVIEDO BALONCESTO) G. PARHAM II: TIRO DE 3 FALLADO,F. Nwaokorie,G. Parham Ii,M. Townes Villar,R. Cosialls Borras,R. Lobaco Muñoz,G. Kalscheur,K. Smith,R. Dias Marques Lisboa Santos,R. Gill,S. Mc Donnell
1,06:15,375,7,6,ALIMERKA OVIEDO BALONCESTO,R. Cosialls Borras,Substitution Out,(ALIMERKA OVIEDO BALONCESTO) R. COSIALLS BORRAS: Sustitución (Sale de pista),F. Nwaokorie,G. Parham Ii,M. Townes Villar,R. Lobaco Muñoz,,G. Kalscheur,K. Smith,R. Dias Marques Lisboa Santos,R. Gill,S. Mc Donnell
1,06:15,375,7,6,CLUB OURENSE BALONCESTO,R. Gill,Substitution Out,(CLUB OURENSE BALONCESTO) R. GILL: Sustitución (Sale de pista),F. Nwaokorie,G. Parham Ii,M. Townes Villar,R. Lobaco Muñoz,,G. Kalscheur,K. Smith,R. Dias Marques Lisboa Santos,S. Mc Donnell,
1,06:15,375,7,6,ALIMERKA OVIEDO BALONCESTO,M. Townes Villar,Substitution Out,(ALIMERKA OVIEDO BALONCESTO) M. TOWNES VILLAR: Sustitución (Sale de pista),F. Nwaokorie,G. Parham Ii,R. Lobaco Muñoz,,,G. Kalscheur,K. Smith,R. Dias Marques Lisboa Santos,S. Mc Donnell,
1,06:15,375,7,6,ALIMERKA OVIEDO BALONCESTO,A. Faure Ribes,Substitution In,(ALIMERKA OVIEDO BALONCESTO) A. FAURE RIBES: Sustitución (Entra a pista),A. Faure Ribes,F. Nwaokorie,G. Parham Ii,R. Lobaco Muñoz,,G. Kalscheur,K. Smith,R. Dias Marques Lisboa Santos,S. Mc Donnell,
1,06:15,375,7,6,CLUB OURENSE BALONCESTO,C. Okanu,Substitution In,(CLUB OURENSE BALONCESTO) C. OKANU: Sustitución (Entra a pista),A. Faure Ribes,F. Nwaokorie,G. Parham Ii,R. Lobaco Muñoz,,C. Okanu,G. Kalscheur,K. Smith,R. Dias Marques Lisboa Santos,S. Mc Donnell
1,06:15,375,7,6,ALIMERKA OVIEDO BALONCESTO,D. Duscak,Substitution In,(ALIMERKA OVIEDO BALONCESTO) D. DUSCAK: Sustitución (Entra a pista),A. Faure Ribes,D. Duscak,F. Nwaokorie,G. Parham Ii,R. Lobaco Muñoz,C. Okanu,G. Kalscheur,K. Smith,R. Dias Marques Lisboa Santos,S. Mc Donnell
1,06:15,375,7,6,ALIMERKA OVIEDO BALONCESTO,M. Townes Villar,Turnover,(ALIMERKA OVIEDO BALONCESTO) M. TOWNES VILLAR: PÉRDIDA (Pérdidas: 1),A. Faure Ribes,D. Duscak,F. Nwaokorie,G. Parham Ii,R. Lobaco Muñoz,C. Okanu,G. Kalscheur,K. Smith,R. Dias Marques Lisboa Santos,S. Mc Donnell
