Period,Time,Seconds,Score_Home,Score_Away,Team,Player,Action_Type,text,H1,H2,H3,H4,H5,A1,A2,A3,A4,A5
1,10:00,600,0,0,PALMER BASKET MALLORCA PALMA,G. Dike Egun,Substitution In,(PALMER BASKET MALLORCA PALMA) G. DIKE EGUN: Sustitución (Entra a pista),G. Dike Egun,H. Atencia Suarez,J. Carralero Martin,N. Camacho De Sá,P. Scrubb,G. Korsantia,G. Maiza Apecechea,J. Nicolau Aledon,M. Motos Cabodevilla,T. Mcghie
1,10:00,600,0,0,PALMER BASKET MALLORCA PALMA,N. Camacho De Sá,Substitution In,(PALMER BASKET MALLORCA PALMA) N. CAMACHO DE SÁ: Sustitución (Entra a pista),G. Dike Egun,H. Atencia Suarez,J. Carralero Martin,N. Camacho De Sá,P. Scrubb,G. Korsantia,G. Maiza Apecechea,J. Nicolau Aledon,M. Motos Cabodevilla,T. Mcghie
1,10:00,600,0,0,INVEREADY GIPUZKOA,J. Nicolau Aledon,Substitution In,(INVEREADY GIPUZKOA) J. NICOLAU ALEDON: Sustitución (Entra a pista),G. Dike Egun,H. Atencia Suarez,J. Carralero Martin,N. Camacho De Sá,P. Scrubb,G. Korsantia,G. Maiza Apecechea,J. Nicolau Aledon,M. Motos Cabodevilla,T. Mcghie
1,10:00,600,0,0,INVEREADY GIPUZKOA,T. Mcghie,Substitution In,(INVEREADY GIPUZKOA) T. MCGHIE: Sustitución (Entra a pista),G. Dike Egun,H. Atencia Suarez,J. Carralero Martin,N. Camacho De Sá,P. Scrubb,G. Korsantia,G. Maiza Apecechea,J. Nicolau Aledon,M. Motos Cabodevilla,T. Mcghie
1,10:00,600,0,0,INVEREADY GIPUZKOA,G. Maiza Apecechea,Substitution In,(INVEREADY GIPUZKOA) G. MAIZA APECECHEA: Sustitución (Entra a pista),G. Dike Egun,H. Atencia Suarez,J. Carralero Martin,N. Camacho De Sá,P. Scrubb,G. Korsantia,G. Maiza Apecechea,J. Nicolau Aledon,M. Motos Cabodevilla,T. Mcghie
1,10:00,600,0,0,PALMER BASKET MALLORCA PALMA,J. Carralero Martin,Substitution In,(PALMER BASKET MALLORCA PALMA) J. CARRALERO MARTIN: Sustitución (Entra a pista),G. Dike Egun,H. Atencia Suarez,J. Carralero Martin,N. Camacho De Sá,P. Scrubb,G. Korsantia,G. Maiza Apecechea,J. Nicolau Aledon,M. Motos Cabodevilla,T. Mcghie
1,10:00,600,0,0,INVEREADY GIPUZKOA,M. Motos Cabodevilla,Substitution In,(INVEREADY GIPUZKOA) M. MOTOS CABODEVILLA: Sustitución (Entra a pista),G. Dike Egun,H. Atencia Suarez,J. Carralero Martin,N. Camacho De Sá,P. Scrubb,G. Korsantia,G. Maiza Apecechea,J. Nicolau Aledon,M. Motos Cabodevilla,T. Mcghie
1,10:00,600,0,0,PALMER BASKET MALLORCA PALMA,H. Atencia Suarez,Substitution In,(PALMER BASKET MALLORCA PALMA) H. ATENCIA SUAREZ: Sustitución (Entra a pista),G. Dike Egun,H. Atencia Suarez,J. Carralero Martin,N. Camacho De Sá,P. Scrubb,G. Korsantia,G. Maiza Apecechea,J. Nicolau Aledon,M. Motos Cabodevilla,T. Mcghie
1,10:00,600,0,0,INVEREADY GIPUZKOA,G. Korsantia,Substitution In,(INVEREADY GIPUZKOA) G. KORSANTIA: Sustitución (Entra a pista),G. Dike Egun,H. Atencia Suarez,J. Carralero Martin,N. Camacho De Sá,P. Scrubb,G. Korsantia,G. Maiza Apecechea,J. Nicolau Aledon,M. Motos Cabodevilla,T. Mcghie
1,10:00,600,0,0,PALMER BASKET MALLORCA PALMA,P. Scrubb,Substitution In,(PALMER BASKET MALLORCA PALMA) P. SCRUBB: Sustitución (Entra a pista),G. Dike Egun,H. Atencia Suarez,J. Carralero Martin,N. Camacho De Sá,P. Scrubb,G. Korsantia,G. Maiza Apecechea,J. Nicolau Aledon,M. Motos Cabodevilla,T. Mcghie
