Period,Time,Seconds,Score_Home,Score_Away,Team,Player,Action_Type,text,H1,H2,H3,H4,H5,A1,A2,A3,A4,A5
1,10:00,600,0,0,MELILLA CIUDAD DEL DEPORTE,M. Heron,Substitution In,(MELILLA CIUDAD DEL DEPORTE) M. HERON: Sustitución (Entra a pista),A. Martinez Clariana,C. Rogers,J. Van Zegeren,O. Lo       ,T. Roberts,C. Diaz Rodriguez,I. Cruz Uceda,M. Heron,P. Cordoba Muro,R. Stumbris
1,10:00,600,0,0,CAJA RURAL CB ZAMORA,A. Martinez Clariana,Substitution In,(CAJA RURAL CB ZAMORA) A. MARTINEZ CLARIANA: Sustitución (Entra a pista),A. Martinez Clariana,C. Rogers,J. Van Zegeren,O. Lo       ,T. Roberts,C. Diaz Rodriguez,I. Cruz Uceda,M. Heron,P. Cordoba Muro,R. Stumbris
1,10:00,600,0,0,MELILLA CIUDAD DEL DEPORTE,C. Diaz Rodriguez,Substitution In,(MELILLA CIUDAD DEL DEPORTE) C. DIAZ RODRIGUEZ: Sustitución (Entra a pista),A. Martinez Clariana,C. Rogers,J. Van Zegeren,O. Lo       ,T. Roberts,C. Diaz Rodriguez,I. Cruz Uceda,M. Heron,P. Cordoba Muro,R. Stumbris
1,10:00,600,0,0,CAJA RURAL CB ZAMORA,O. Lo       ,Substitution In,(CAJA RURAL CB ZAMORA) O. LO       : Sustitución (Entra a pista),A. Martinez Clariana,C. Rogers,J. Van Zegeren,O. Lo       ,T. Roberts,C. Diaz Rodriguez,I. Cruz Uceda,M. Heron,P. Cordoba Muro,R. Stumbris
1,10:00,600,0,0,CAJA RURAL CB ZAMORA,T. Roberts,Substitution In,(CAJA RURAL CB ZAMORA) T. ROBERTS: Sustitución (Entra a pista),A. Martinez Clariana,C. Rogers,J. Van Zegeren,O. Lo       ,T. Roberts,C. Diaz Rodriguez,I. Cruz Uceda,M. Heron,P. Cordoba Muro,R. Stumbris
1,10:00,600,0,0,CAJA RURAL CB ZAMORA,C. Rogers,Substitution In,(CAJA RURAL CB ZAMORA) C. ROGERS: Sustitución (Entra a pista),A. Martinez Clariana,C. Rogers,J. Van Zegeren,O. Lo       ,T. Roberts,C. Diaz Rodriguez,I. Cruz Uceda,M. Heron,P. Cordoba Muro,R. Stumbris
1,10:00,600,0,0,MELILLA CIUDAD DEL DEPORTE,I. Cruz Uceda,Substitution In,(MELILLA CIUDAD DEL DEPORTE) I. CRUZ UCEDA: Sustitución (Entra a pista),A. Martinez Clariana,C. Rogers,J. Van Zegeren,O. Lo       ,T. Roberts,C. Diaz Rodriguez,I. Cruz Uceda,M. Heron,P. Cordoba Muro,R. Stumbris
1,10:00,600,0,0,MELILLA CIUDAD DEL DEPORTE,R. Stumbris,Substitution In,(MELILLA CIUDAD DEL DEPORTE) R. STUMBRIS: Sustitución (Entra a pista),A. Martinez Clariana,C. Rogers,J. Van Zegeren,O. Lo       ,T. Roberts,C. Diaz Rodriguez,I. Cruz Uceda,M. Heron,P. Cordoba Muro,R. Stumbris
1,10:00,600,0,0,CAJA RURAL CB ZAMORA,J. Van Zegeren,Substitution In,(CAJA RURAL CB ZAMORA) J. VAN ZEGEREN: Sustitución (Entra a pista),A. Martinez Clariana,C. Rogers,J. Van Zegeren,O. Lo       ,T. Roberts,C. Diaz Rodriguez,I. Cruz Uceda,M. Heron,P. Cordoba Muro,R. Stumbris
1,10:00,600,0,0,MELILLA CIUDAD DEL DEPORTE,P. Cordoba Muro,Substitution In,(MELILLA CIUDAD DEL DEPORTE) P. CORDOBA MURO: Sustitución (Entra a pista),A. Martinez Clariana,C. Rogers,J. Van Zegeren,O. Lo       ,T. Roberts,C. Diaz Rodriguez,I. Cruz Uceda,M. Heron,P. Cordoba Muro,R. Stumbris
1,10:00,600,0,0,,,Period,Comienzo del Cuarto 1,A. Martinez Clariana,C. Rogers,J. Van Zegeren,O. Lo       ,T. Roberts,C. Diaz Rodriguez,I. Cruz Uceda,M. Heron,P. Cordoba Muro,R. Stumbris
1,09:52,592,0,0,CAJA RURAL CB ZAMORA,T. Roberts,Turnover,(CAJA RURAL CB ZAMORA) T. ROBERTS: PÉRDIDA (Pérdidas: 1),A. Martinez Clariana,C. Rogers,J. Van Zegeren,O. Lo       ,T. Roberts,C. Diaz Rodriguez,I. Cruz Uceda,M. Heron,P. Cordoba Muro,R. Stumbris
1,09:44,584,0,0,MELILLA CIUDAD DEL DEPORTE,P. Cordoba Muro,Rebound,(MELILLA CIUDAD DEL DEPORTE) P. CORDOBA MURO: REBOTE (Rebotes: 1),A. Martinez Clariana,C. Rogers,J. Van Zegeren,O. Lo       ,T. Roberts,C. Diaz Rodriguez,I. Cruz Uceda,M. Heron,P. Cordoba Muro,R. Stumbris
1,09:44,584,0,0,MELILLA CIUDAD DEL DEPORTE,R. Stumbris,3PT Missed,(MELILLA CIUDAD DEL DEPORTE) R. STUMBRIS: TIRO DE 3 FALLADO,A. Martinez Clariana,C. Rogers,J. Van Zegeren,O. Lo       ,T. Roberts,C. Diaz Rodriguez,I. Cruz Uceda,M. Heron,P. Cordoba Muro,R. Stumbris
1,09:37,577,0,0,MELILLA CIUDAD DEL DEPORTE,M. Heron,Rebound,(MELILLA CIUDAD DEL DEPORTE) M. HERON: REBOTE (Rebotes: 1),A. Martinez Clariana,C. Rogers,J. Van Zegeren,O. Lo       ,T. Roberts,C. Diaz Rodriguez,I. Cruz Uceda,M. Heron,P. Cordoba Muro,R. Stumbris
