Period,Time,Seconds,Score_Home,Score_Away,Team,Player,Action_Type,text,H1,H2,H3,H4,H5,A1,A2,A3,A4,A5
1,10:00,600,0,0,GRUPO URETA TIZONA BURGOS,R. Vila Soley,Substitution In,(GRUPO URETA TIZONA BURGOS) R. VILA SOLEY: Sustitución (Entra a pista),A. Alonso Cuevas,A. Parrado Calabria,M. Jackson,R. Seoane Rodicio,R. Vila Soley,F. Schott,F. Zurbriggen,N. Galette,S. Littleson,T. Mcfadden
1,10:00,600,0,0,GRUPO URETA TIZONA BURGOS,A. Parrado Calabria,Substitution In,(GRUPO URETA TIZONA BURGOS) A. PARRADO CALABRIA: Sustitución (Entra a pista),A. Alonso Cuevas,A. Parrado Calabria,M. Jackson,R. Seoane Rodicio,R. Vila Soley,F. Schott,F. Zurbriggen,N. Galette,S. Littleson,T. Mcfadden
1,10:00,600,0,0,HESTIA MENORCA,F. Zurbriggen,Substitution In,(HESTIA MENORCA) F. ZURBRIGGEN: Sustitución (Entra a pista),A. Alonso Cuevas,A. Parrado Calabria,M. Jackson,R. Seoane Rodicio,R. Vila Soley,F. Schott,F. Zurbriggen,N. Galette,S. Littleson,T. Mcfadden
1,10:00,600,0,0,HESTIA MENORCA,T. Mcfadden,Substitution In,(HESTIA MENORCA) T. MCFADDEN: Sustitución (Entra a pista),A. Alonso Cuevas,A. Parrado Calabria,M. Jackson,R. Seoane Rodicio,R. Vila Soley,F. Schott,F. Zurbriggen,N. Galette,S. Littleson,T. Mcfadden
1,10:00,600,0,0,GRUPO URETA TIZONA BURGOS,M. Jackson,Substitution In,(GRUPO URETA TIZONA BURGOS) M. JACKSON: Sustitución (Entra a pista),A. Alonso Cuevas,A. Parrado Calabria,M. Jackson,R. Seoane Rodicio,R. Vila Soley,F. Schott,F. Zurbriggen,N. Galette,S. Littleson,T. Mcfadden
1,10:00,600,0,0,GRUPO URETA TIZONA BURGOS,A. Alonso Cuevas,Substitution In,(GRUPO URETA TIZONA BURGOS) A. ALONSO CUEVAS: Sustitución (Entra a pista),A. Alonso Cuevas,A. Parrado Calabria,M. Jackson,R. Seoane Rodicio,R. Vila Soley,F. Schott,F. Zurbriggen,N. Galette,S. Littleson,T. Mcfadden
1,10:00,600,0,0,HESTIA MENORCA,N. Galette,Substitution In,(HESTIA MENORCA) N. GALETTE: Sustitución (Entra a pista),A. Alonso Cuevas,A. Parrado Calabria,M. Jackson,R. Seoane Rodicio,R. Vila Soley,F. Schott,F. Zurbriggen,N. Galette,S. Littleson,T. Mcfadden
1,10:00,600,0,0,HESTIA MENORCA,F. Schott,Substitution In,(HESTIA MENORCA) F. SCHOTT: Sustitución (Entra a pista),A. Alonso Cuevas,A. Parrado Calabria,M. Jackson,R. Seoane Rodicio,R. Vila Soley,F. Schott,F. Zurbriggen,N. Galette,S. Littleson,T. Mcfadden
1,10:00,600,0,0,HESTIA MENORCA,S. Littleson,Substitution In,(HESTIA MENORCA) S. LITTLESON: Sustitución (Entra a pista),A. Alonso Cuevas,A. Parrado Calabria,M. Jackson,R. Seoane Rodicio,R. Vila Soley,F. Schott,F. Zurbriggen,N. Galette,S. Littleson,T. Mcfadden
1,10:00,600,0,0,GRUPO URETA TIZONA BURGOS,R. Seoane Rodicio,Substitution In,(GRUPO URETA TIZONA BURGOS) R. SEOANE RODICIO: Sustitución (Entra a pista),A. Alonso Cuevas,A. Parrado Calabria,M. Jackson,R. Seoane Rodicio,R. Vila Soley,F. Schott,F. Zurbriggen,N. Galette,S. Littleson,T. Mcfadden
1,10:00,600,0,0,,,Period,Comienzo del Cuarto 1,A. Alonso Cuevas,A. Parrado Calabria,M. Jackson,R. Seoane Rodicio,R. Vila Soley,F. Schott,F. Zurbriggen,N. Galette,S. Littleson,T. Mcfadden
