Period,Time,Seconds,Score_Home,Score_Away,Team,Player,Action_Type,text,H1,H2,H3,H4,H5,A1,A2,A3,A4,A5
1,10:00,600,0,0,ALIMERKA OVIEDO BALONCESTO,R. Cosialls Borras,Substitution In,(ALIMERKA OVIEDO BALONCESTO) R. COSIALLS BORRAS: Sustitución (Entra a pista),G. Korsantia,G. Maiza Apecechea,J. Nicolau Aledon,M. Ansorregui Deba,T. Mcghie,D. Shelist,F. Nwaokorie,G. Parham Ii,M. Townes Villar,R. Cosialls Borras
1,10:00,600,0,0,ALIMERKA OVIEDO BALONCESTO,G. Parham Ii,Substitution In,(ALIMERKA OVIEDO BALONCESTO) G. PARHAM II: Sustitución (Entra a pista),G. Korsantia,G. Maiza Apecechea,J. Nicolau Aledon,M. Ansorregui Deba,T. Mcghie,D. Shelist,F. Nwaokorie,G. Parham Ii,M. Townes Villar,R. Cosialls Borras
1,10:00,600,0,0,ALIMERKA OVIEDO BALONCESTO,D. Shelist,Substitution In,(ALIMERKA OVIEDO BALONCESTO) D. SHELIST: Sustitución (Entra a pista),G. Korsantia,G. Maiza Apecechea,J. Nicolau Aledon,M. Ansorregui Deba,T. Mcghie,D. Shelist,F. Nwaokorie,G. Parham Ii,M. Townes Villar,R. Cosialls Borras
1,10:00,600,0,0,ALIMERKA OVIEDO BALONCESTO,M. Townes Villar,Substitution In,(ALIMERKA OVIEDO BALONCESTO) M. TOWNES VILLAR: Sustitución (Entra a pista),G. Korsantia,G. Maiza Apecechea,J. Nicolau Aledon,M. Ansorregui Deba,T. Mcghie,D. Shelist,F. Nwaokorie,G. Parham Ii,M. Townes Villar,R. Cosialls Borras
1,10:00,600,0,0,INVEREADY GIPUZKOA,M. Ansorregui Deba,Substitution In,(INVEREADY GIPUZKOA) M. ANSORREGUI DEBA: Sustitución (Entra a pista),G. Korsantia,G. Maiza Apecechea,J. Nicolau Aledon,M. Ansorregui Deba,T. Mcghie,D. Shelist,F. Nwaokorie,G. Parham Ii,M. Townes Villar,R. Cosialls Borras
1,10:00,600,0,0,ALIMERKA OVIEDO BALONCESTO,F. Nwaokorie,Substitution In,(ALIMERKA OVIEDO BALONCESTO) F. NWAOKORIE: Sustitución (Entra a pista),G. Korsantia,G. Maiza Apecechea,J. Nicolau Aledon,M. Ansorregui Deba,T. Mcghie,D. Shelist,F. Nwaokorie,G. Parham Ii,M. Townes Villar,R. Cosialls Borras
1,10:00,600,0,0,INVEREADY GIPUZKOA,J. Nicolau Aledon,Substitution In,(INVEREADY GIPUZKOA) J. NICOLAU ALEDON: Sustitución (Entra a pista),G. Korsantia,G. Maiza Apecechea,J. Nicolau Aledon,M. Ansorregui Deba,T. Mcghie,D. Shelist,F. Nwaokorie,G. Parham Ii,M. Townes Villar,R. Cosialls Borras
1,10:00,600,0,0,INVEREADY GIPUZKOA,T. Mcghie,Substitution In,(INVEREADY GIPUZKOA) T. MCGHIE: Sustitución (Entra a pista),G. Korsantia,G. Maiza Apecechea,J. Nicolau Aledon,M. Ansorregui Deba,T. Mcghie,D. Shelist,F. Nwaokorie,G. Parham Ii,M. Townes Villar,R. Cosialls Borras
1,10:00,600,0,0,INVEREADY GIPUZKOA,G. Maiza Apecechea,Substitution In,(INVEREADY GIPUZKOA) G. MAIZA APECECHEA: Sustitución (Entra a pista),G. Korsantia,G. Maiza Apecechea,J. Nicolau Aledon,M. Ansorregui Deba,T. Mcghie,D. Shelist,F. Nwaokorie,G. Parham Ii,M. Townes Villar,R. Cosialls Borras
1,10:00,600,0,0,INVEREADY GIPUZKOA,G. Korsantia,Substitution In,(INVEREADY GIPUZKOA) G. KORSANTIA: Sustitución (Entra a pista),G. Korsantia,G. Maiza Apecechea,J. Nicolau Aledon,M. Ansorregui Deba,T. Mcghie,D. Shelist,F. Nwaokorie,G. Parham Ii,M. Townes Villar,R. Cosialls Borras
1,10:00,600,0,0,,,Period,Comienzo del Cuarto 1,G. Korsantia,G. Maiza Apecechea,J. Nicolau Aledon,M. Ansorregui Deba,T. Mcghie,D. Shelist,F. Nwaokorie,G. Parham Ii,M. Townes Villar,R. Cosialls Borras
1,09:50,590,0,0,ALIMERKA OVIEDO BALONCESTO,M. Townes Villar,Rebound,(ALIMERKA OVIEDO BALONCESTO) M. TOWNES VILLAR: REBOTE (Rebotes: 1),G. Korsantia,G. Maiza Apecechea,J. Nicolau Aledon,M. Ansorregui Deba,T. Mcghie,D. Shelist,F. Nwaokorie,G. Parham Ii,M. Townes Villar,R. Cosialls Borras
1,09:50,590,0,0,INVEREADY GIPUZKOA,T. Mcghie,3PT Missed,(INVEREADY GIPUZKOA) T. MCGHIE: TIRO DE 3 FALLADO,G. Korsantia,G. Maiza Apecechea,J. Nicolau Aledon,M. Ansorregui Deba,T. Mcghie,D. Shelist,F. Nwaokorie,G. Parham Ii,M. Townes Villar,R. Cosialls Borras
