Period,Time,Seconds,Score_Home,Score_Away,Team,Player,Action_Type,text,H1,H2,H3,H4,H5,A1,A2,A3,A4,A5
1,10:00,600,0,0,GRUPO ALEGA CANTABRIA,G. Kande Kieli,Substitution In,(GRUPO ALEGA CANTABRIA) G. KANDE KIELI: Sustitución (Entra a pista),C. Lutete Iv,D. Alderete Diaz,G. Kande Kieli,R. Johnson Jr,S. Rodríguez Ramos,A. Comendador Femenias,A. Izaw Bolavie,D. Sanadze,N. Camacho De Sá,P. Scrubb
1,10:00,600,0,0,PALMER BASKET MALLORCA PALMA,N. Camacho De Sá,Substitution In,(PALMER BASKET MALLORCA PALMA) N. CAMACHO DE SÁ: Sustitución (Entra a pista),C. Lutete Iv,D. Alderete Diaz,G. Kande Kieli,R. Johnson Jr,S. Rodríguez Ramos,A. Comendador Femenias,A. Izaw Bolavie,D. Sanadze,N. Camacho De Sá,P. Scrubb
1,10:00,600,0,0,PALMER BASKET MALLORCA PALMA,D. Sanadze,Substitution In,(PALMER BASKET MALLORCA PALMA) D. SANADZE: Sustitución (Entra a pista),C. Lutete Iv,D. Alderete Diaz,G. Kande Kieli,R. Johnson Jr,S. Rodríguez Ramos,A. Comendador Femenias,A. Izaw Bolavie,D. Sanadze,N. Camacho De Sá,P. Scrubb
1,10:00,600,0,0,PALMER BASKET MALLORCA PALMA,P. Scrubb,Substitution In,(PALMER BASKET MALLORCA PALMA) P. SCRUBB: Sustitución (Entra a pista),C. Lutete Iv,D. Alderete Diaz,G. Kande Kieli,R. Johnson Jr,S. Rodríguez Ramos,A. Comendador Femenias,A. Izaw Bolavie,D. Sanadze,N. Camacho De Sá,P. Scrubb
1,10:00,600,0,0,PALMER BASKET MALLORCA PALMA,A. Comendador Femenias,Substitution In,(PALMER BASKET MALLORCA PALMA) A. COMENDADOR FEMENIAS: Sustitución (Entra a pista),C. Lutete Iv,D. Alderete Diaz,G. Kande Kieli,R. Johnson Jr,S. Rodríguez Ramos,A. Comendador Femenias,A. Izaw Bolavie,D. Sanadze,N. Camacho De Sá,P. Scrubb
1,10:00,600,0,0,PALMER BASKET MALLORCA PALMA,A. Izaw Bolavie,Substitution In,(PALMER BASKET MALLORCA PALMA) A. IZAW BOLAVIE: Sustitución (Entra a pista),C. Lutete Iv,D. Alderete Diaz,G. Kande Kieli,R. Johnson Jr,S. Rodríguez Ramos,A. Comendador Femenias,A. Izaw Bolavie,D. Sanadze,N. Camacho De Sá,P. Scrubb
1,10:00,600,0,0,GRUPO ALEGA CANTABRIA,S. Rodríguez Ramos,Substitution In,(GRUPO ALEGA CANTABRIA) S. RODRÍGUEZ RAMOS: Sustitución (Entra a pista),C. Lutete Iv,D. Alderete Diaz,G. Kande Kieli,R. Johnson Jr,S. Rodríguez Ramos,A. Comendador Femenias,A. Izaw Bolavie,D. Sanadze,N. Camacho De Sá,P. Scrubb
1,10:00,600,0,0,GRUPO ALEGA CANTABRIA,R. Johnson Jr,Substitution In,(GRUPO ALEGA CANTABRIA) R. JOHNSON JR: Sustitución (Entra a pista),C. Lutete Iv,D. Alderete Diaz,G. Kande Kieli,R. Johnson Jr,S. Rodríguez Ramos,A. Comendador Femenias,A. Izaw Bolavie,D. Sanadze,N. Camacho De Sá,P. Scrubb
1,10:00,600,0,0,GRUPO ALEGA CANTABRIA,D. Alderete Diaz,Substitution In,(GRUPO ALEGA CANTABRIA) D. ALDERETE DIAZ: Sustitución (Entra a pista),C. Lutete Iv,D. Alderete Diaz,G. Kande Kieli,R. Johnson Jr,S. Rodríguez Ramos,A. Comendador Femenias,A. Izaw Bolavie,D. Sanadze,N. Camacho De Sá,P. Scrubb
1,10:00,600,0,0,GRUPO ALEGA CANTABRIA,C. Lutete Iv,Substitution In,(GRUPO ALEGA CANTABRIA) C. LUTETE IV: Sustitución (Entra a pista),C. Lutete Iv,D. Alderete Diaz,G. Kande Kieli,R. Johnson Jr,S. Rodríguez Ramos,A. Comendador Femenias,A. Izaw Bolavie,D. Sanadze,N. Camacho De Sá,P. Scrubb
1,10:00,600,0,0,,,Period,Comienzo del Cuarto 1,C. Lutete Iv,D. Alderete Diaz,G. Kande Kieli,R. Johnson Jr,S. Rodríguez Ramos,A. Comendador Femenias,A. Izaw Bolavie,D. Sanadze,N. Camacho De Sá,P. Scrubb
1,09:41,581,0,0,PALMER BASKET MALLORCA PALMA,N. Camacho De Sá,Rebound,(PALMER BASKET MALLORCA PALMA) N. CAMACHO DE SÁ: REBOTE (Rebotes: 1),C. Lutete Iv,D. Alderete Diaz,G. Kande Kieli,R. Johnson Jr,S. Rodríguez Ramos,A. Comendador Femenias,A. Izaw Bolavie,D. Sanadze,N. Camacho De Sá,P. Scrubb
1,09:41,581,0,0,GRUPO ALEGA CANTABRIA,S. Rodríguez Ramos,3PT Missed,(GRUPO ALEGA CANTABRIA) S. RODRÍGUEZ RAMOS: TIRO DE 3 FALLADO,C. Lutete Iv,D. Alderete Diaz,G. Kande Kieli,R. Johnson Jr,S. Rodríguez Ramos,A. Comendador Femenias,A. Izaw Bolavie,D. Sanadze,N. Camacho De Sá,P. Scrubb
1,09:22,562,0,0,GRUPO ALEGA CANTABRIA,R. Johnson Jr,Rebound,(GRUPO ALEGA CANTABRIA) R. JOHNSON JR: REBOTE (Rebotes: 1),C. Lutete Iv,D. Alderete Diaz,G. Kande Kieli,R. Johnson Jr,S. Rodríguez Ramos,A. Comendador Femenias,A. Izaw Bolavie,D. Sanadze,N. Camacho De Sá,P. Scrubb
1,09:22,562,0,0,PALMER BASKET MALLORCA PALMA,N. Camacho De Sá,3PT Missed,(PALMER BASKET MALLORCA PALMA) N. CAMACHO DE SÁ: TIRO DE 3 FALLADO,C. Lutete Iv,D. Alderete Diaz,G. Kande Kieli,R. Johnson Jr,S. Rodríguez Ramos,A. Comendador Femenias,A. Izaw Bolavie,D. Sanadze,N. Camacho De Sá,P. Scrubb
1,09:15,555,2,0,GRUPO ALEGA CANTABRIA,C. Lutete Iv,2PT Made,(GRUPO ALEGA CANTABRIA) C. LUTETE IV: TIRO DE 2 ANOTADO (Puntos: 2),C. Lutete Iv,D. Alderete Diaz,G. Kande Kieli,R. Johnson Jr,S. Rodríguez Ramos,A. Comendador Femenias,A. Izaw Bolavie,D. Sanadze,N. Camacho De Sá,P. Scrubb
1,09:15,555,2,0,GRUPO ALEGA CANTABRIA,R. Johnson Jr,Assist,(GRUPO ALEGA CANTABRIA) R. JOHNSON JR: ASISTENCIA (Asistencias: 1),C. Lutete Iv,D. Alderete Diaz,G. Kande Kieli,R. Johnson Jr,S. Rodríguez Ramos,A. Comendador Femenias,A. Izaw Bolavie,D. Sanadze,N. Camacho De Sá,P. Scrubb
1,09:00,540,2,0,GRUPO ALEGA CANTABRIA,C. Lutete Iv,Rebound,(GRUPO ALEGA CANTABRIA) C. LUTETE IV: REBOTE (Rebotes: 1),C. Lutete Iv,D. Alderete Diaz,G. Kande Kieli,R. Johnson Jr,S. Rodríguez Ramos,A. Comendador Femenias,A. Izaw Bolavie,D. Sanadze,N. Camacho De Sá,P. Scrubb
1,09:00,540,2,0,PALMER BASKET MALLORCA PALMA,D. Sanadze,2PT Missed,(PALMER BASKET MALLORCA PALMA) D. SANADZE: TIRO DE 2 FALLADO,C. Lutete Iv,D. Alderete Diaz,G. Kande Kieli,R. Johnson Jr,S. Rodríguez Ramos,A. Comendador Femenias,A. Izaw Bolavie,D. Sanadze,N. Camacho De Sá,P. Scrubb
1,08:39,519,2,0,PALMER BASKET MALLORCA PALMA,A. Comendador Femenias,Rebound,(PALMER BASKET MALLORCA PALMA) A. COMENDADOR FEMENIAS: REBOTE (Rebotes: 1),C. Lutete Iv,D. Alderete Diaz,G. Kande Kieli,R. Johnson Jr,S. Rodríguez Ramos,A. Comendador Femenias,A. Izaw Bolavie,D. Sanadze,N. Camacho De Sá,P. Scrubb
1,08:39,519,2,0,PALMER BASKET MALLORCA PALMA,A. Izaw Bolavie,Block,(PALMER BASKET MALLORCA PALMA) A. IZAW BOLAVIE: TAPÓN (Tapones: 1),C. Lutete Iv,D. Alderete Diaz,G. Kande Kieli,R. Johnson Jr,S. Rodríguez Ramos,A. Comendador Femenias,A. Izaw Bolavie,D. Sanadze,N. Camacho De Sá,P. Scrubb
1,08:39,519,2,0,GRUPO ALEGA CANTABRIA,C. Lutete Iv,2PT Missed,(GRUPO ALEGA CANTABRIA) C. LUTETE IV: TIRO DE 2 FALLADO,C. Lutete Iv,D. Alderete Diaz,G. Kande Kieli,R. Johnson Jr,S. Rodríguez Ramos,A. Comendador Femenias,A. Izaw Bolavie,D. Sanadze,N. Camacho De Sá,P. Scrubb
1,08:32,512,2,1,PALMER BASKET MALLORCA PALMA,D. Sanadze,FT Made,(PALMER BASKET MALLORCA PALMA) D. SANADZE: TIRO DE 1 ANOTADO (Puntos: 1),C. Lutete Iv,D. Alderete Diaz,G. Kande Kieli,R. Johnson Jr,S. Rodríguez Ramos,A. Comendador Femenias,A. Izaw Bolavie,D. Sanadze,N. Camacho De Sá,P. Scrubb
