Period,Time,Seconds,Score_Home,Score_Away,Team,Player,Action_Type,text,H1,H2,H3,H4,H5,A1,A2,A3,A4,A5
1,10:00,600,0,0,HESTIA MENORCA,A. Sola Iddrisu,Substitution In,(HESTIA MENORCA) A. SOLA IDDRISU: Sustitución (Entra a pista),A. Sola Iddrisu,E. Vicedo Ayala,F. Schott,F. Zurbriggen,T. Mcfadden,G. Korsantia,G. Maiza Apecechea,J. Nicolau Aledon,M. Ansorregui Deba,T. Mcghie
1,10:00,600,0,0,HESTIA MENORCA,F. Zurbriggen,Substitution In,(HESTIA MENORCA) F. ZURBRIGGEN: Sustitución (Entra a pista),A. Sola Iddrisu,E. Vicedo Ayala,F. Schott,F. Zurbriggen,T. Mcfadden,G. Korsantia,G. Maiza Apecechea,J. Nicolau Aledon,M. Ansorregui Deba,T. Mcghie
1,10:00,600,0,0,INVEREADY GIPUZKOA,T. Mcghie,Substitution In,(INVEREADY GIPUZKOA) T. MCGHIE: Sustitución (Entra a pista),A. Sola Iddrisu,E. Vicedo Ayala,F. Schott,F. Zurbriggen,T. Mcfadden,G. Korsantia,G. Maiza Apecechea,J. Nicolau Aledon,M. Ansorregui Deba,T. Mcghie
1,10:00,600,0,0,INVEREADY GIPUZKOA,G. Korsantia,Substitution In,(INVEREADY GIPUZKOA) G. KORSANTIA: Sustitución (Entra a pista),A. Sola Iddrisu,E. Vicedo Ayala,F. Schott,F. Zurbriggen,T. Mcfadden,G. Korsantia,G. Maiza Apecechea,J. Nicolau Aledon,M. Ansorregui Deba,T. Mcghie
1,10:00,600,0,0,HESTIA MENORCA,F. Schott,Substitution In,(HESTIA MENORCA) F. SCHOTT: Sustitución (Entra a pista),A. Sola Iddrisu,E. Vicedo Ayala,F. Schott,F. Zurbriggen,T. Mcfadden,G. Korsantia,G. Maiza Apecechea,J. Nicolau Aledon,M. Ansorregui Deba,T. Mcghie
1,10:00,600,0,0,HESTIA MENORCA,E. Vicedo Ayala,Substitution In,(HESTIA MENORCA) E. VICEDO AYALA: Sustitución (Entra a pista),A. Sola Iddrisu,E. Vicedo Ayala,F. Schott,F. Zurbriggen,T. Mcfadden,G. Korsantia,G. Maiza Apecechea,J. Nicolau Aledon,M. Ansorregui Deba,T. Mcghie
1,10:00,600,0,0,INVEREADY GIPUZKOA,M. Ansorregui Deba,Substitution In,(INVEREADY GIPUZKOA) M. ANSORREGUI DEBA: Sustitución (Entra a pista),A. Sola Iddrisu,E. Vicedo Ayala,F. Schott,F. Zurbriggen,T. Mcfadden,G. Korsantia,G. Maiza Apecechea,J. Nicolau Aledon,M. Ansorregui Deba,T. Mcghie
1,10:00,600,0,0,HESTIA MENORCA,T. Mcfadden,Substitution In,(HESTIA MENORCA) T. MCFADDEN: Sustitución (Entra a pista),A. Sola Iddrisu,E. Vicedo Ayala,F. Schott,F. Zurbriggen,T. Mcfadden,G. Korsantia,G. Maiza Apecechea,J. Nicolau Aledon,M. Ansorregui Deba,T. Mcghie
1,10:00,600,0,0,INVEREADY GIPUZKOA,J. Nicolau Aledon,Substitution In,(INVEREADY GIPUZKOA) J. NICOLAU ALEDON: Sustitución (Entra a pista),A. Sola Iddrisu,E. Vicedo Ayala,F. Schott,F. Zurbriggen,T. Mcfadden,G. Korsantia,G. Maiza Apecechea,J. Nicolau Aledon,M. Ansorregui Deba,T. Mcghie
1,10:00,600,0,0,INVEREADY GIPUZKOA,G. Maiza Apecechea,Substitution In,(INVEREADY GIPUZKOA) G. MAIZA APECECHEA: Sustitución (Entra a pista),A. Sola Iddrisu,E. Vicedo Ayala,F. Schott,F. Zurbriggen,T. Mcfadden,G. Korsantia,G. Maiza Apecechea,J. Nicolau Aledon,M. Ansorregui Deba,T. Mcghie
1,10:00,600,0,0,,,Period,Comienzo del Cuarto 1,A. Sola Iddrisu,E. Vicedo Ayala,F. Schott,F. Zurbriggen,T. Mcfadden,G. Korsantia,G. Maiza Apecechea,J. Nicolau Aledon,M. Ansorregui Deba,T. Mcghie
1,09:52,592,0,0,INVEREADY GIPUZKOA,Rebote (Rebotes,Rebound,(INVEREADY GIPUZKOA) REBOTE (Rebotes: 0),A. Sola Iddrisu,E. Vicedo Ayala,F. Schott,F. Zurbriggen,T. Mcfadden,G. Korsantia,G. Maiza Apecechea,J. Nicolau Aledon,M. Ansorregui Deba,T. Mcghie
1,09:52,592,0,0,HESTIA MENORCA,E. Vicedo Ayala,Block,(HESTIA MENORCA) E. VICEDO AYALA: TAPÓN (Tapones: 1),A. Sola Iddrisu,E. Vicedo Ayala,F. Schott,F. Zurbriggen,T. Mcfadden,G. Korsantia,G. Maiza Apecechea,J. Nicolau Aledon,M. Ansorregui Deba,T. Mcghie
1,09:52,592,0,0,INVEREADY GIPUZKOA,G. Korsantia,2PT Missed,(INVEREADY GIPUZKOA) G. KORSANTIA: TIRO DE 2 FALLADO,A. Sola Iddrisu,E. Vicedo Ayala,F. Schott,F. Zurbriggen,T. Mcfadden,G. Korsantia,G. Maiza Apecechea,J. Nicolau Aledon,M. Ansorregui Deba,T. Mcghie
1,09:43,583,0,3,INVEREADY GIPUZKOA,T. Mcghie,3PT Made,(INVEREADY GIPUZKOA) T. MCGHIE: TIRO DE 3 ANOTADO (Puntos: 3),A. Sola Iddrisu,E. Vicedo Ayala,F. Schott,F. Zurbriggen,T. Mcfadden,G. Korsantia,G. Maiza Apecechea,J. Nicolau Aledon,M. Ansorregui Deba,T. Mcghie
