Period,Time,Seconds,Score_Home,Score_Away,Team,Player,Action_Type,text,H1,H2,H3,H4,H5,A1,A2,A3,A4,A5
1,10:00,600,0,0,HLA ALICANTE,D. Geu,Substitution In,(HLA ALICANTE) D. GEU: Sustitución (Entra a pista),D. Geu,E. Polanco Tavarez,J. Mwema,K. Larsen,M. Torres Cuevas,A. Muñoz Borchers,I. Jakovics,M. Armus,M. Kamba,T. Borg
1,10:00,600,0,0,SÚPER AGROPAL PALENCIA,M. Kamba,Substitution In,(SÚPER AGROPAL PALENCIA) M. KAMBA: Sustitución (Entra a pista),D. Geu,E. Polanco Tavarez,J. Mwema,K. Larsen,M. Torres Cuevas,A. Muñoz Borchers,I. Jakovics,M. Armus,M. Kamba,T. Borg
1,10:00,600,0,0,SÚPER AGROPAL PALENCIA,I. Jakovics,Substitution In,(SÚPER AGROPAL PALENCIA) I. JAKOVICS: Sustitución (Entra a pista),D. Geu,E. Polanco Tavarez,J. Mwema,K. Larsen,M. Torres Cuevas,A. Muñoz Borchers,I. Jakovics,M. Armus,M. Kamba,T. Borg
1,10:00,600,0,0,HLA ALICANTE,E. Polanco Tavarez,Substitution In,(HLA ALICANTE) E. POLANCO TAVAREZ: Sustitución (Entra a pista),D. Geu,E. Polanco Tavarez,J. Mwema,K. Larsen,M. Torres Cuevas,A. Muñoz Borchers,I. Jakovics,M. Armus,M. Kamba,T. Borg
1,10:00,600,0,0,HLA ALICANTE,M. Torres Cuevas,Substitution In,(HLA ALICANTE) M. TORRES CUEVAS: Sustitución (Entra a pista),D. Geu,E. Polanco Tavarez,J. Mwema,K. Larsen,M. Torres Cuevas,A. Muñoz Borchers,I. Jakovics,M. Armus,M. Kamba,T. Borg
1,10:00,600,0,0,SÚPER AGROPAL PALENCIA,M. Armus,Substitution In,(SÚPER AGROPAL PALENCIA) M. ARMUS: Sustitución (Entra a pista),D. Geu,E. Polanco Tavarez,J. Mwema,K. Larsen,M. Torres Cuevas,A. Muñoz Borchers,I. Jakovics,M. Armus,M. Kamba,T. Borg
1,10:00,600,0,0,HLA ALICANTE,K. Larsen,Substitution In,(HLA ALICANTE) K. LARSEN: Sustitución (Entra a pista),D. Geu,E. Polanco Tavarez,J. Mwema,K. Larsen,M. Torres Cuevas,A. Muñoz Borchers,I. Jakovics,M. Armus,M. Kamba,T. Borg
1,10:00,600,0,0,HLA ALICANTE,J. Mwema,Substitution In,(HLA ALICANTE) J. MWEMA: Sustitución (Entra a pista),D. Geu,E. Polanco Tavarez,J. Mwema,K. Larsen,M. Torres Cuevas,A. Muñoz Borchers,I. Jakovics,M. Armus,M. Kamba,T. Borg
1,10:00,600,0,0,SÚPER AGROPAL PALENCIA,A. Muñoz Borchers,Substitution In,(SÚPER AGROPAL PALENCIA) A. MUÑOZ BORCHERS: Sustitución (Entra a pista),D. Geu,E. Polanco Tavarez,J. Mwema,K. Larsen,M. Torres Cuevas,A. Muñoz Borchers,I. Jakovics,M. Armus,M. Kamba,T. Borg
1,10:00,600,0,0,SÚPER AGROPAL PALENCIA,T. Borg,Substitution In,(SÚPER AGROPAL PALENCIA) T. BORG: Sustitución (Entra a pista),D. Geu,E. Polanco Tavarez,J. Mwema,K. Larsen,M. Torres Cuevas,A. Muñoz Borchers,I. Jakovics,M. Armus,M. Kamba,T. Borg
1,10:00,600,0,0,,,Period,Comienzo del Cuarto 1,D. Geu,E. Polanco Tavarez,J. Mwema,K. Larsen,M. Torres Cuevas,A. Muñoz Borchers,I. Jakovics,M. Armus,M. Kamba,T. Borg
1,09:48,588,0,2,SÚPER AGROPAL PALENCIA,T. Borg,2PT Made,(SÚPER AGROPAL PALENCIA) T. BORG: TIRO DE 2 ANOTADO (Puntos: 2),D. Geu,E. Polanco Tavarez,J. Mwema,K. Larsen,M. Torres Cuevas,A. Muñoz Borchers,I. Jakovics,M. Armus,M. Kamba,T. Borg
1,09:22,562,3,2,HLA ALICANTE,J. Mwema,3PT Made,(HLA ALICANTE) J. MWEMA: TIRO DE 3 ANOTADO (Puntos: 3),D. Geu,E. Polanco Tavarez,J. Mwema,K. Larsen,M. Torres Cuevas,A. Muñoz Borchers,I. Jakovics,M. Armus,M. Kamba,T. Borg
