Period,Time,Seconds,Score_Home,Score_Away,Team,Player,Action_Type,text,H1,H2,H3,H4,H5,A1,A2,A3,A4,A5
1,10:00,600,0,0,GRUPO ALEGA CANTABRIA,R. Johnson Jr,Substitution In,(GRUPO ALEGA CANTABRIA) R. JOHNSON JR: Sustitución (Entra a pista),G. Kande Kieli,G. Martinez Diaz,P. Hernandez Montenegro,R. Johnson Jr,S. Rodríguez Ramos,A. Domenech Fontana,A. Garuba Alari,E. Idehen Idehen,I. Rivera Carroll,K. Webster
1,10:00,600,0,0,GRUPO ALEGA CANTABRIA,P. Hernandez Montenegro,Substitution In,(GRUPO ALEGA CANTABRIA) P. HERNANDEZ MONTENEGRO: Sustitución (Entra a pista),G. Kande Kieli,G. Martinez Diaz,P. Hernandez Montenegro,R. Johnson Jr,S. Rodríguez Ramos,A. Domenech Fontana,A. Garuba Alari,E. Idehen Idehen,I. Rivera Carroll,K. Webster
1,10:00,600,0,0,GRUPO CAESA SEGUROS FC CARTAGENA CB,I. Rivera Carroll,Substitution In,(GRUPO CAESA SEGUROS FC CARTAGENA CB) I. RIVERA CARROLL: Sustitución (Entra a pista),G. Kande Kieli,G. Martinez Diaz,P. Hernandez Montenegro,R. Johnson Jr,S. Rodríguez Ramos,A. Domenech Fontana,A. Garuba Alari,E. Idehen Idehen,I. Rivera Carroll,K. Webster
1,10:00,600,0,0,GRUPO ALEGA CANTABRIA,G. Martinez Diaz,Substitution In,(GRUPO ALEGA CANTABRIA) G. MARTINEZ DIAZ: Sustitución (Entra a pista),G. Kande Kieli,G. Martinez Diaz,P. Hernandez Montenegro,R. Johnson Jr,S. Rodríguez Ramos,A. Domenech Fontana,A. Garuba Alari,E. Idehen Idehen,I. Rivera Carroll,K. Webster
1,10:00,600,0,0,GRUPO ALEGA CANTABRIA,S. Rodríguez Ramos,Substitution In,(GRUPO ALEGA CANTABRIA) S. RODRÍGUEZ RAMOS: Sustitución (Entra a pista),G. Kande Kieli,G. Martinez Diaz,P. Hernandez Montenegro,R. Johnson Jr,S. Rodríguez Ramos,A. Domenech Fontana,A. Garuba Alari,E. Idehen Idehen,I. Rivera Carroll,K. Webster
1,10:00,600,0,0,GRUPO CAESA SEGUROS FC CARTAGENA CB,A. Garuba Alari,Substitution In,(GRUPO CAESA SEGUROS FC CARTAGENA CB) A. GARUBA ALARI: Sustitución (Entra a pista),G. Kande Kieli,G. Martinez Diaz,P. Hernandez Montenegro,R. Johnson Jr,S. Rodríguez Ramos,A. Domenech Fontana,A. Garuba Alari,E. Idehen Idehen,I. Rivera Carroll,K. Webster
1,10:00,600,0,0,GRUPO CAESA SEGUROS FC CARTAGENA CB,K. Webster,Substitution In,(GRUPO CAESA SEGUROS FC CARTAGENA CB) K. WEBSTER: Sustitución (Entra a pista),G. Kande Kieli,G. Martinez Diaz,P. Hernandez Montenegro,R. Johnson Jr,S. Rodríguez Ramos,A. Domenech Fontana,A. Garuba Alari,E. Idehen Idehen,I. Rivera Carroll,K. Webster
1,10:00,600,0,0,GRUPO CAESA SEGUROS FC CARTAGENA CB,A. Domenech Fontana,Substitution In,(GRUPO CAESA SEGUROS FC CARTAGENA CB) A. DOMENECH FONTANA: Sustitución (Entra a pista),G. Kande Kieli,G. Martinez Diaz,P. Hernandez Montenegro,R. Johnson Jr,S. Rodríguez Ramos,A. Domenech Fontana,A. Garuba Alari,E. Idehen Idehen,I. Rivera Carroll,K. Webster
1,10:00,600,0,0,GRUPO ALEGA CANTABRIA,G. Kande Kieli,Substitution In,(GRUPO ALEGA CANTABRIA) G. KANDE KIELI: Sustitución (Entra a pista),G. Kande Kieli,G. Martinez Diaz,P. Hernandez Montenegro,R. Johnson Jr,S. Rodríguez Ramos,A. Domenech Fontana,A. Garuba Alari,E. Idehen Idehen,I. Rivera Carroll,K. Webster
1,10:00,600,0,0,GRUPO CAESA SEGUROS FC CARTAGENA CB,E. Idehen Idehen,Substitution In,(GRUPO CAESA SEGUROS FC CARTAGENA CB) E. IDEHEN IDEHEN: Sustitución (Entra a pista),G. Kande Kieli,G. Martinez Diaz,P. Hernandez Montenegro,R. Johnson Jr,S. Rodríguez Ramos,A. Domenech Fontana,A. Garuba Alari,E. Idehen Idehen,I. Rivera Carroll,K. Webster
1,10:00,600,0,0,,,Period,Comienzo del Cuarto 1,G. Kande Kieli,G. Martinez Diaz,P. Hernandez Montenegro,R. Johnson Jr,S. Rodríguez Ramos,A. Domenech Fontana,A. Garuba Alari,E. Idehen Idehen,I. Rivera Carroll,K. Webster
1,09:49,589,2,0,GRUPO ALEGA CANTABRIA,G. Kande Kieli,2PT Made,(GRUPO ALEGA CANTABRIA) G. KANDE KIELI: MATE ANOTADO (Puntos: 2),G. Kande Kieli,G. Martinez Diaz,P. Hernandez Montenegro,R. Johnson Jr,S. Rodríguez Ramos,A. Domenech Fontana,A. Garuba Alari,E. Idehen Idehen,I. Rivera Carroll,K. Webster
1,09:49,589,2,0,GRUPO ALEGA CANTABRIA,P. Hernandez Montenegro,Assist,(GRUPO ALEGA CANTABRIA) P. HERNANDEZ MONTENEGRO: ASISTENCIA (Asistencias: 1),G. Kande Kieli,G. Martinez Diaz,P. Hernandez Montenegro,R. Johnson Jr,S. Rodríguez Ramos,A. Domenech Fontana,A. Garuba Alari,E. Idehen Idehen,I. Rivera Carroll,K. Webster
1,09:32,572,2,0,GRUPO ALEGA CANTABRIA,S. Rodríguez Ramos,Rebound,(GRUPO ALEGA CANTABRIA) S. RODRÍGUEZ RAMOS: REBOTE (Rebotes: 1),G. Kande Kieli,G. Martinez Diaz,P. Hernandez Montenegro,R. Johnson Jr,S. Rodríguez Ramos,A. Domenech Fontana,A. Garuba Alari,E. Idehen Idehen,I. Rivera Carroll,K. Webster
1,09:32,572,2,0,GRUPO CAESA SEGUROS FC CARTAGENA CB,E. Idehen Idehen,2PT Missed,(GRUPO CAESA SEGUROS FC CARTAGENA CB) E. IDEHEN IDEHEN: TIRO DE 2 FALLADO,G. Kande Kieli,G. Martinez Diaz,P. Hernandez Montenegro,R. Johnson Jr,S. Rodríguez Ramos,A. Domenech Fontana,A. Garuba Alari,E. Idehen Idehen,I. Rivera Carroll,K. Webster
1,09:19,559,2,0,GRUPO CAESA SEGUROS FC CARTAGENA CB,E. Idehen Idehen,Rebound,(GRUPO CAESA SEGUROS FC CARTAGENA CB) E. IDEHEN IDEHEN: REBOTE (Rebotes: 1),G. Kande Kieli,G. Martinez Diaz,P. Hernandez Montenegro,R. Johnson Jr,S. Rodríguez Ramos,A. Domenech Fontana,A. Garuba Alari,E. Idehen Idehen,I. Rivera Carroll,K. Webster
1,09:19,559,2,0,GRUPO ALEGA CANTABRIA,P. Hernandez Montenegro,3PT Missed,(GRUPO ALEGA CANTABRIA) P. HERNANDEZ MONTENEGRO: TIRO DE 3 FALLADO,G. Kande Kieli,G. Martinez Diaz,P. Hernandez Montenegro,R. Johnson Jr,S. Rodríguez Ramos,A. Domenech Fontana,A. Garuba Alari,E. Idehen Idehen,I. Rivera Carroll,K. Webster
1,09:09,549,2,0,GRUPO CAESA SEGUROS FC CARTAGENA CB,A. Domenech Fontana,Turnover,(GRUPO CAESA SEGUROS FC CARTAGENA CB) A. DOMENECH FONTANA: PÉRDIDA (Pérdidas: 1),G. Kande Kieli,G. Martinez Diaz,P. Hernandez Montenegro,R. Johnson Jr,S. Rodríguez Ramos,A. Domenech Fontana,A. Garuba Alari,E. Idehen Idehen,I. Rivera Carroll,K. Webster
1,09:09,549,2,0,GRUPO CAESA SEGUROS FC CARTAGENA CB,A. Domenech Fontana,Foul,(GRUPO CAESA SEGUROS FC CARTAGENA CB) A. DOMENECH FONTANA: FALTA Ofensiva (Faltas: 1. Faltas de equipo: 1). Tiros libres: 0,G. Kande Kieli,G. Martinez Diaz,P. Hernandez Montenegro,R. Johnson Jr,S. Rodríguez Ramos,A. Domenech Fontana,A. Garuba Alari,E. Idehen Idehen,I. Rivera Carroll,K. Webster
1,09:02,542,2,0,GRUPO CAESA SEGUROS FC CARTAGENA CB,A. Garuba Alari,Foul,(GRUPO CAESA SEGUROS FC CARTAGENA CB) A. GARUBA ALARI: FALTA Personal (Faltas: 1. Faltas de equipo: 2). Tiros libres: 0,G. Kande Kieli,G. Martinez Diaz,P. Hernandez Montenegro,R. Johnson Jr,S. Rodríguez Ramos,A. Domenech Fontana,A. Garuba Alari,E. Idehen Idehen,I. Rivera Carroll,K. Webster
1,08:55,535,2,0,GRUPO CAESA SEGUROS FC CARTAGENA CB,E. Idehen Idehen,Rebound,(GRUPO CAESA SEGUROS FC CARTAGENA CB) E. IDEHEN IDEHEN: REBOTE (Rebotes: 2),G. Kande Kieli,G. Martinez Diaz,P. Hernandez Montenegro,R. Johnson Jr,S. Rodríguez Ramos,A. Domenech Fontana,A. Garuba Alari,E. Idehen Idehen,I. Rivera Carroll,K. Webster
1,08:55,535,2,0,GRUPO ALEGA CANTABRIA,P. Hernandez Montenegro,3PT Missed,(GRUPO ALEGA CANTABRIA) P. HERNANDEZ MONTENEGRO: TIRO DE 3 FALLADO,G. Kande Kieli,G. Martinez Diaz,P. Hernandez Montenegro,R. Johnson Jr,S. Rodríguez Ramos,A. Domenech Fontana,A. Garuba Alari,E. Idehen Idehen,I. Rivera Carroll,K. Webster
1,08:44,524,2,0,GRUPO ALEGA CANTABRIA,G. Martinez Diaz,Steal,(GRUPO ALEGA CANTABRIA) G. MARTINEZ DIAZ: ROBO (Robos: 1),G. Kande Kieli,G. Martinez Diaz,P. Hernandez Montenegro,R. Johnson Jr,S. Rodríguez Ramos,A. Domenech Fontana,A. Garuba Alari,E. Idehen Idehen,I. Rivera Carroll,K. Webster
1,08:44,524,2,0,GRUPO CAESA SEGUROS FC CARTAGENA CB,A. Garuba Alari,Turnover,(GRUPO CAESA SEGUROS FC CARTAGENA CB) A. GARUBA ALARI: PÉRDIDA (Pérdidas: 1),G. Kande Kieli,G. Martinez Diaz,P. Hernandez Montenegro,R. Johnson Jr,S. Rodríguez Ramos,A. Domenech Fontana,A. Garuba Alari,E. Idehen Idehen,I. Rivera Carroll,K. Webster
1,08:40,520,4,0,GRUPO ALEGA CANTABRIA,G. Martinez Diaz,2PT Made,(GRUPO ALEGA CANTABRIA) G. MARTINEZ DIAZ: TIRO DE 2 ANOTADO (Puntos: 2),G. Kande Kieli,G. Martinez Diaz,P. Hernandez Montenegro,R. Johnson Jr,S. Rodríguez Ramos,A. Domenech Fontana,A. Garuba Alari,E. Idehen Idehen,I. Rivera Carroll,K. Webster
1,08:17,497,4,0,GRUPO ALEGA CANTABRIA,G. Kande Kieli,Rebound,(GRUPO ALEGA CANTABRIA) G. KANDE KIELI: REBOTE (Rebotes: 1),G. Kande Kieli,G. Martinez Diaz,P. Hernandez Montenegro,R. Johnson Jr,S. Rodríguez Ramos,A. Domenech Fontana,A. Garuba Alari,E. Idehen Idehen,I. Rivera Carroll,K. Webster
1,08:17,497,4,0,GRUPO CAESA SEGUROS FC CARTAGENA CB,A. Garuba Alari,3PT Missed,(GRUPO CAESA SEGUROS FC CARTAGENA CB) A. GARUBA ALARI: TIRO DE 3 FALLADO,G. Kande Kieli,G. Martinez Diaz,P. Hernandez Montenegro,R. Johnson Jr,S. Rodríguez Ramos,A. Domenech Fontana,A. Garuba Alari,E. Idehen Idehen,I. Rivera Carroll,K. Webster
1,08:01,481,4,0,GRUPO ALEGA CANTABRIA,G. Martinez Diaz,Turnover,(GRUPO ALEGA CANTABRIA) G. MARTINEZ DIAZ: PÉRDIDA (Pérdidas: 1),G. Kande Kieli,G. Martinez Diaz,P. Hernandez Montenegro,R. Johnson Jr,S. Rodríguez Ramos,A. Domenech Fontana,A. Garuba Alari,E. Idehen Idehen,I. Rivera Carroll,K. Webster
1,07:52,472,4,2,GRUPO CAESA SEGUROS FC CARTAGENA CB,E. Idehen Idehen,2PT Made,(GRUPO CAESA SEGUROS FC CARTAGENA CB) E. IDEHEN IDEHEN: TIRO DE 2 ANOTADO (Puntos: 2),G. Kande Kieli,G. Martinez Diaz,P. Hernandez Montenegro,R. Johnson Jr,S. Rodríguez Ramos,A. Domenech Fontana,A. Garuba Alari,E. Idehen Idehen,I. Rivera Carroll,K. Webster
1,07:52,472,4,2,GRUPO CAESA SEGUROS FC CARTAGENA CB,E. Idehen Idehen,Rebound,(GRUPO CAESA SEGUROS FC CARTAGENA CB) E. IDEHEN IDEHEN: REBOTE (Rebotes: 3),G. Kande Kieli,G. Martinez Diaz,P. Hernandez Montenegro,R. Johnson Jr,S. Rodríguez Ramos,A. Domenech Fontana,A. Garuba Alari,E. Idehen Idehen,I. Rivera Carroll,K. Webster
1,07:52,472,4,2,GRUPO CAESA SEGUROS FC CARTAGENA CB,A. Garuba Alari,2PT Missed,(GRUPO CAESA SEGUROS FC CARTAGENA CB) A. GARUBA ALARI: TIRO DE 2 FALLADO,G. Kande Kieli,G. Martinez Diaz,P. Hernandez Montenegro,R. Johnson Jr,S. Rodríguez Ramos,A. Domenech Fontana,A. Garuba Alari,E. Idehen Idehen,I. Rivera Carroll,K. Webster
1,07:38,458,6,2,GRUPO ALEGA CANTABRIA,R. Johnson Jr,2PT Made,(GRUPO ALEGA CANTABRIA) R. JOHNSON JR: TIRO DE 2 ANOTADO (Puntos: 2),G. Kande Kieli,G. Martinez Diaz,P. Hernandez Montenegro,R. Johnson Jr,S. Rodríguez Ramos,A. Domenech Fontana,A. Garuba Alari,E. Idehen Idehen,I. Rivera Carroll,K. Webster
1,07:20,440,6,5,GRUPO CAESA SEGUROS FC CARTAGENA CB,A. Domenech Fontana,3PT Made,(GRUPO CAESA SEGUROS FC CARTAGENA CB) A. DOMENECH FONTANA: TIRO DE 3 ANOTADO (Puntos: 3),G. Kande Kieli,G. Martinez Diaz,P. Hernandez Montenegro,R. Johnson Jr,S. Rodríguez Ramos,A. Domenech Fontana,A. Garuba Alari,E. Idehen Idehen,I. Rivera Carroll,K. Webster
1,07:20,440,6,5,GRUPO CAESA SEGUROS FC CARTAGENA CB,A. Garuba Alari,Assist,(GRUPO CAESA SEGUROS FC CARTAGENA CB) A. GARUBA ALARI: ASISTENCIA (Asistencias: 1),G. Kande Kieli,G. Martinez Diaz,P. Hernandez Montenegro,R. Johnson Jr,S. Rodríguez Ramos,A. Domenech Fontana,A. Garuba Alari,E. Idehen Idehen,I. Rivera Carroll,K. Webster
1,07:02,422,6,5,GRUPO ALEGA CANTABRIA,G. Kande Kieli,Turnover,(GRUPO ALEGA CANTABRIA) G. KANDE KIELI: PÉRDIDA (Pérdidas: 1),G. Kande Kieli,G. Martinez Diaz,P. Hernandez Montenegro,R. Johnson Jr,S. Rodríguez Ramos,A. Domenech Fontana,A. Garuba Alari,E. Idehen Idehen,I. Rivera Carroll,K. Webster
1,07:02,422,6,5,GRUPO ALEGA CANTABRIA,G. Kande Kieli,Foul,(GRUPO ALEGA CANTABRIA) G. KANDE KIELI: FALTA Ofensiva (Faltas: 1. Faltas de equipo: 1). Tiros libres: 0,G. Kande Kieli,G. Martinez Diaz,P. Hernandez Montenegro,R. Johnson Jr,S. Rodríguez Ramos,A. Domenech Fontana,A. Garuba Alari,E. Idehen Idehen,I. Rivera Carroll,K. Webster
1,06:49,409,6,5,GRUPO ALEGA CANTABRIA,Rebote (Rebotes,Rebound,(GRUPO ALEGA CANTABRIA) REBOTE (Rebotes: 2),G. Kande Kieli,G. Martinez Diaz,P. Hernandez Montenegro,R. Johnson Jr,S. Rodríguez Ramos,A. Domenech Fontana,A. Garuba Alari,E. Idehen Idehen,I. Rivera Carroll,K. Webster
1,06:49,409,6,5,GRUPO CAESA SEGUROS FC CARTAGENA CB,K. Webster,3PT Missed,(GRUPO CAESA SEGUROS FC CARTAGENA CB) K. WEBSTER: TIRO DE 3 FALLADO,G. Kande Kieli,G. Martinez Diaz,P. Hernandez Montenegro,R. Johnson Jr,S. Rodríguez Ramos,A. Domenech Fontana,A. Garuba Alari,E. Idehen Idehen,I. Rivera Carroll,K. Webster
1,06:33,393,8,5,GRUPO ALEGA CANTABRIA,P. Hernandez Montenegro,2PT Made,(GRUPO ALEGA CANTABRIA) P. HERNANDEZ MONTENEGRO: TIRO DE 2 ANOTADO (Puntos: 2),G. Kande Kieli,G. Martinez Diaz,P. Hernandez Montenegro,R. Johnson Jr,S. Rodríguez Ramos,A. Domenech Fontana,A. Garuba Alari,E. Idehen Idehen,I. Rivera Carroll,K. Webster
1,06:33,393,8,5,GRUPO ALEGA CANTABRIA,R. Johnson Jr,Assist,(GRUPO ALEGA CANTABRIA) R. JOHNSON JR: ASISTENCIA (Asistencias: 1),G. Kande Kieli,G. Martinez Diaz,P. Hernandez Montenegro,R. Johnson Jr,S. Rodríguez Ramos,A. Domenech Fontana,A. Garuba Alari,E. Idehen Idehen,I. Rivera Carroll,K. Webster
1,06:22,382,8,5,GRUPO ALEGA CANTABRIA,P. Hernandez Montenegro,Foul,(GRUPO ALEGA CANTABRIA) P. HERNANDEZ MONTENEGRO: FALTA Personal (Faltas: 1. Faltas de equipo: 2). Tiros libres: 0,G. Kande Kieli,G. Martinez Diaz,P. Hernandez Montenegro,R. Johnson Jr,S. Rodríguez Ramos,A. Domenech Fontana,A. Garuba Alari,E. Idehen Idehen,I. Rivera Carroll,K. Webster
1,06:20,380,8,5,GRUPO ALEGA CANTABRIA,Rebote (Rebotes,Rebound,(GRUPO ALEGA CANTABRIA) REBOTE (Rebotes: 2),G. Kande Kieli,G. Martinez Diaz,P. Hernandez Montenegro,R. Johnson Jr,S. Rodríguez Ramos,A. Domenech Fontana,A. Garuba Alari,E. Idehen Idehen,I. Rivera Carroll,K. Webster
1,06:20,380,8,5,GRUPO CAESA SEGUROS FC CARTAGENA CB,I. Rivera Carroll,3PT Missed,(GRUPO CAESA SEGUROS FC CARTAGENA CB) I. RIVERA CARROLL: TIRO DE 3 FALLADO,G. Kande Kieli,G. Martinez Diaz,P. Hernandez Montenegro,R. Johnson Jr,S. Rodríguez Ramos,A. Domenech Fontana,A. Garuba Alari,E. Idehen Idehen,I. Rivera Carroll,K. Webster
1,06:17,377,8,5,GRUPO CAESA SEGUROS FC CARTAGENA CB,A. Garuba Alari,Substitution Out,(GRUPO CAESA SEGUROS FC CARTAGENA CB) A. GARUBA ALARI: Sustitución (Sale de pista),G. Kande Kieli,G. Martinez Diaz,P. Hernandez Montenegro,R. Johnson Jr,S. Rodríguez Ramos,A. Domenech Fontana,E. Idehen Idehen,I. Rivera Carroll,K. Webster,
1,06:17,377,8,5,GRUPO CAESA SEGUROS FC CARTAGENA CB,S. Svejcar,Substitution In,(GRUPO CAESA SEGUROS FC CARTAGENA CB) S. SVEJCAR: Sustitución (Entra a pista),G. Kande Kieli,G. Martinez Diaz,P. Hernandez Montenegro,R. Johnson Jr,S. Rodríguez Ramos,A. Domenech Fontana,E. Idehen Idehen,I. Rivera Carroll,K. Webster,S. Svejcar
1,06:17,377,8,5,GRUPO CAESA SEGUROS FC CARTAGENA CB,A. Garuba Alari,Foul,(GRUPO CAESA SEGUROS FC CARTAGENA CB) A. GARUBA ALARI: FALTA Personal (Faltas: 2. Faltas de equipo: 3). Tiros libres: 0,G. Kande Kieli,G. Martinez Diaz,P. Hernandez Montenegro,R. Johnson Jr,S. Rodríguez Ramos,A. Domenech Fontana,E. Idehen Idehen,I. Rivera Carroll,K. Webster,S. Svejcar
1,05:59,359,10,5,GRUPO ALEGA CANTABRIA,G. Kande Kieli,2PT Made,(GRUPO ALEGA CANTABRIA) G. KANDE KIELI: TIRO DE 2 ANOTADO (Puntos: 4),G. Kande Kieli,G. Martinez Diaz,P. Hernandez Montenegro,R. Johnson Jr,S. Rodríguez Ramos,A. Domenech Fontana,E. Idehen Idehen,I. Rivera Carroll,K. Webster,S. Svejcar
