Period,Time,Seconds,Score_Home,Score_Away,Team,Player,Action_Type,text,H1,H2,H3,H4,H5,A1,A2,A3,A4,A5
1,10:00,600,0,0,MELILLA CIUDAD DEL DEPORTE,I. Cruz Uceda,Substitution In,(MELILLA CIUDAD DEL DEPORTE) I. CRUZ UCEDA: Sustitución (Entra a pista),I. Cruz Uceda,J. Bergstedt,J. Ezquerra Trelles,M. Heron,S. Rodriguez Febles,D. Cuevas Simarro,D. Radoncic,J. Cremo,J. Diaz Alejano,S. Barro
1,10:00,600,0,0,LEYMA CORUÑA,S. Barro,Substitution In,(LEYMA CORUÑA) S. BARRO: Sustitución (Entra a pista),I. Cruz Uceda,J. Bergstedt,J. Ezquerra Trelles,M. Heron,S. Rodriguez Febles,D. Cuevas Simarro,D. Radoncic,J. Cremo,J. Diaz Alejano,S. Barro
1,10:00,600,0,0,MELILLA CIUDAD DEL DEPORTE,J. Bergstedt,Substitution In,(MELILLA CIUDAD DEL DEPORTE) J. BERGSTEDT: Sustitución (Entra a pista),I. Cruz Uceda,J. Bergstedt,J. Ezquerra Trelles,M. Heron,S. Rodriguez Febles,D. Cuevas Simarro,D. Radoncic,J. Cremo,J. Diaz Alejano,S. Barro
1,10:00,600,0,0,LEYMA CORUÑA,J. Cremo,Substitution In,(LEYMA CORUÑA) J. CREMO: Sustitución (Entra a pista),I. Cruz Uceda,J. Bergstedt,J. Ezquerra Trelles,M. Heron,S. Rodriguez Febles,D. Cuevas Simarro,D. Radoncic,J. Cremo,J. Diaz Alejano,S. Barro
1,10:00,600,0,0,MELILLA CIUDAD DEL DEPORTE,M. Heron,Substitution In,(MELILLA CIUDAD DEL DEPORTE) M. HERON: Sustitución (Entra a pista),I. Cruz Uceda,J. Bergstedt,J. Ezquerra Trelles,M. Heron,S. Rodriguez Febles,D. Cuevas Simarro,D. Radoncic,J. Cremo,J. Diaz Alejano,S. Barro
1,10:00,600,0,0,LEYMA CORUÑA,D. Radoncic,Substitution In,(LEYMA CORUÑA) D. RADONCIC: Sustitución (Entra a pista),I. Cruz Uceda,J. Bergstedt,J. Ezquerra Trelles,M. Heron,S. Rodriguez Febles,D. Cuevas Simarro,D. Radoncic,J. Cremo,J. Diaz Alejano,S. Barro
1,10:00,600,0,0,MELILLA CIUDAD DEL DEPORTE,S. Rodriguez Febles,Substitution In,(MELILLA CIUDAD DEL DEPORTE) S. RODRIGUEZ FEBLES: Sustitución (Entra a pista),I. Cruz Uceda,J. Bergstedt,J. Ezquerra Trelles,M. Heron,S. Rodriguez Febles,D. Cuevas Simarro,D. Radoncic,J. Cremo,J. Diaz Alejano,S. Barro
1,10:00,600,0,0,MELILLA CIUDAD DEL DEPORTE,J. Ezquerra Trelles,Substitution In,(MELILLA CIUDAD DEL DEPORTE) J. EZQUERRA TRELLES: Sustitución (Entra a pista),I. Cruz Uceda,J. Bergstedt,J. Ezquerra Trelles,M. Heron,S. Rodriguez Febles,D. Cuevas Simarro,D. Radoncic,J. Cremo,J. Diaz Alejano,S. Barro
1,10:00,600,0,0,LEYMA CORUÑA,D. Cuevas Simarro,Substitution In,(LEYMA CORUÑA) D. CUEVAS SIMARRO: Sustitución (Entra a pista),I. Cruz Uceda,J. Bergstedt,J. Ezquerra Trelles,M. Heron,S. Rodriguez Febles,D. Cuevas Simarro,D. Radoncic,J. Cremo,J. Diaz Alejano,S. Barro
1,10:00,600,0,0,LEYMA CORUÑA,J. Diaz Alejano,Substitution In,(LEYMA CORUÑA) J. DIAZ ALEJANO: Sustitución (Entra a pista),I. Cruz Uceda,J. Bergstedt,J. Ezquerra Trelles,M. Heron,S. Rodriguez Febles,D. Cuevas Simarro,D. Radoncic,J. Cremo,J. Diaz Alejano,S. Barro
