Period,Time,Seconds,Score_Home,Score_Away,Team,Player,Action_Type,text,H1,H2,H3,H4,H5,A1,A2,A3,A4,A5
1,10:00,600,0,0,MOVISTAR ESTUDIANTES,P. Garino Gullotta ,Substitution In,(MOVISTAR ESTUDIANTES) P. GARINO GULLOTTA : Sustitución (Entra a pista),A. González Pérez,J. Vaulet,O. Silverio Grullon,P. Garino Gullotta ,S. Garcia Calvo,A. Muñoz Borchers,I. Jakovics,M. Armus,M. Kamba,T. Borg
1,10:00,600,0,0,SÚPER AGROPAL PALENCIA,M. Armus,Substitution In,(SÚPER AGROPAL PALENCIA) M. ARMUS: Sustitución (Entra a pista),A. González Pérez,J. Vaulet,O. Silverio Grullon,P. Garino Gullotta ,S. Garcia Calvo,A. Muñoz Borchers,I. Jakovics,M. Armus,M. Kamba,T. Borg
1,10:00,600,0,0,MOVISTAR ESTUDIANTES,J. Vaulet,Substitution In,(MOVISTAR ESTUDIANTES) J. VAULET: Sustitución (Entra a pista),A. González Pérez,J. Vaulet,O. Silverio Grullon,P. Garino Gullotta ,S. Garcia Calvo,A. Muñoz Borchers,I. Jakovics,M. Armus,M. Kamba,T. Borg
1,10:00,600,0,0,MOVISTAR ESTUDIANTES,O. Silverio Grullon,Substitution In,(MOVISTAR ESTUDIANTES) O. SILVERIO GRULLON: Sustitución (Entra a pista),A. González Pérez,J. Vaulet,O. Silverio Grullon,P. Garino Gullotta ,S. Garcia Calvo,A. Muñoz Borchers,I. Jakovics,M. Armus,M. Kamba,T. Borg
1,10:00,600,0,0,SÚPER AGROPAL PALENCIA,I. Jakovics,Substitution In,(SÚPER AGROPAL PALENCIA) I. JAKOVICS: Sustitución (Entra a pista),A. González Pérez,J. Vaulet,O. Silverio Grullon,P. Garino Gullotta ,S. Garcia Calvo,A. Muñoz Borchers,I. Jakovics,M. Armus,M. Kamba,T. Borg
1,10:00,600,0,0,SÚPER AGROPAL PALENCIA,A. Muñoz Borchers,Substitution In,(SÚPER AGROPAL PALENCIA) A. MUÑOZ BORCHERS: Sustitución (Entra a pista),A. González Pérez,J. Vaulet,O. Silverio Grullon,P. Garino Gullotta ,S. Garcia Calvo,A. Muñoz Borchers,I. Jakovics,M. Armus,M. Kamba,T. Borg
1,10:00,600,0,0,SÚPER AGROPAL PALENCIA,M. Kamba,Substitution In,(SÚPER AGROPAL PALENCIA) M. KAMBA: Sustitución (Entra a pista),A. González Pérez,J. Vaulet,O. Silverio Grullon,P. Garino Gullotta ,S. Garcia Calvo,A. Muñoz Borchers,I. Jakovics,M. Armus,M. Kamba,T. Borg
1,10:00,600,0,0,MOVISTAR ESTUDIANTES,S. Garcia Calvo,Substitution In,(MOVISTAR ESTUDIANTES) S. GARCIA CALVO: Sustitución (Entra a pista),A. González Pérez,J. Vaulet,O. Silverio Grullon,P. Garino Gullotta ,S. Garcia Calvo,A. Muñoz Borchers,I. Jakovics,M. Armus,M. Kamba,T. Borg
1,10:00,600,0,0,SÚPER AGROPAL PALENCIA,T. Borg,Substitution In,(SÚPER AGROPAL PALENCIA) T. BORG: Sustitución (Entra a pista),A. González Pérez,J. Vaulet,O. Silverio Grullon,P. Garino Gullotta ,S. Garcia Calvo,A. Muñoz Borchers,I. Jakovics,M. Armus,M. Kamba,T. Borg
1,10:00,600,0,0,MOVISTAR ESTUDIANTES,A. González Pérez,Substitution In,(MOVISTAR ESTUDIANTES) A. GONZÁLEZ PÉREZ: Sustitución (Entra a pista),A. González Pérez,J. Vaulet,O. Silverio Grullon,P. Garino Gullotta ,S. Garcia Calvo,A. Muñoz Borchers,I. Jakovics,M. Armus,M. Kamba,T. Borg
1,10:00,600,0,0,,,Period,Comienzo del Cuarto 1,A. González Pérez,J. Vaulet,O. Silverio Grullon,P. Garino Gullotta ,S. Garcia Calvo,A. Muñoz Borchers,I. Jakovics,M. Armus,M. Kamba,T. Borg
1,09:50,590,0,0,SÚPER AGROPAL PALENCIA,T. Borg,Rebound,(SÚPER AGROPAL PALENCIA) T. BORG: REBOTE (Rebotes: 1),A. González Pérez,J. Vaulet,O. Silverio Grullon,P. Garino Gullotta ,S. Garcia Calvo,A. Muñoz Borchers,I. Jakovics,M. Armus,M. Kamba,T. Borg
1,09:50,590,0,0,MOVISTAR ESTUDIANTES,P. Garino Gullotta ,3PT Missed,(MOVISTAR ESTUDIANTES) P. GARINO GULLOTTA : TIRO DE 3 FALLADO,A. González Pérez,J. Vaulet,O. Silverio Grullon,P. Garino Gullotta ,S. Garcia Calvo,A. Muñoz Borchers,I. Jakovics,M. Armus,M. Kamba,T. Borg
1,09:24,564,0,0,MOVISTAR ESTUDIANTES,S. Garcia Calvo,Rebound,(MOVISTAR ESTUDIANTES) S. GARCIA CALVO: REBOTE (Rebotes: 1),A. González Pérez,J. Vaulet,O. Silverio Grullon,P. Garino Gullotta ,S. Garcia Calvo,A. Muñoz Borchers,I. Jakovics,M. Armus,M. Kamba,T. Borg
1,09:24,564,0,0,SÚPER AGROPAL PALENCIA,M. Armus,2PT Missed,(SÚPER AGROPAL PALENCIA) M. ARMUS: TIRO DE 2 FALLADO,A. González Pérez,J. Vaulet,O. Silverio Grullon,P. Garino Gullotta ,S. Garcia Calvo,A. Muñoz Borchers,I. Jakovics,M. Armus,M. Kamba,T. Borg
1,09:18,558,0,0,SÚPER AGROPAL PALENCIA,M. Kamba,Steal,(SÚPER AGROPAL PALENCIA) M. KAMBA: ROBO (Robos: 1),A. González Pérez,J. Vaulet,O. Silverio Grullon,P. Garino Gullotta ,S. Garcia Calvo,A. Muñoz Borchers,I. Jakovics,M. Armus,M. Kamba,T. Borg
1,09:18,558,0,0,MOVISTAR ESTUDIANTES,O. Silverio Grullon,Turnover,(MOVISTAR ESTUDIANTES) O. SILVERIO GRULLON: PÉRDIDA (Pérdidas: 1),A. González Pérez,J. Vaulet,O. Silverio Grullon,P. Garino Gullotta ,S. Garcia Calvo,A. Muñoz Borchers,I. Jakovics,M. Armus,M. Kamba,T. Borg
1,09:16,556,0,0,MOVISTAR ESTUDIANTES,P. Garino Gullotta ,Steal,(MOVISTAR ESTUDIANTES) P. GARINO GULLOTTA : ROBO (Robos: 1),A. González Pérez,J. Vaulet,O. Silverio Grullon,P. Garino Gullotta ,S. Garcia Calvo,A. Muñoz Borchers,I. Jakovics,M. Armus,M. Kamba,T. Borg
1,09:16,556,0,0,SÚPER AGROPAL PALENCIA,M. Kamba,Turnover,(SÚPER AGROPAL PALENCIA) M. KAMBA: PÉRDIDA (Pérdidas: 1),A. González Pérez,J. Vaulet,O. Silverio Grullon,P. Garino Gullotta ,S. Garcia Calvo,A. Muñoz Borchers,I. Jakovics,M. Armus,M. Kamba,T. Borg
1,09:12,552,2,0,MOVISTAR ESTUDIANTES,J. Vaulet,2PT Made,(MOVISTAR ESTUDIANTES) J. VAULET: TIRO DE 2 ANOTADO (Puntos: 2),A. González Pérez,J. Vaulet,O. Silverio Grullon,P. Garino Gullotta ,S. Garcia Calvo,A. Muñoz Borchers,I. Jakovics,M. Armus,M. Kamba,T. Borg
1,09:12,552,2,0,MOVISTAR ESTUDIANTES,P. Garino Gullotta ,Assist,(MOVISTAR ESTUDIANTES) P. GARINO GULLOTTA : ASISTENCIA (Asistencias: 1),A. González Pérez,J. Vaulet,O. Silverio Grullon,P. Garino Gullotta ,S. Garcia Calvo,A. Muñoz Borchers,I. Jakovics,M. Armus,M. Kamba,T. Borg
1,08:59,539,2,2,SÚPER AGROPAL PALENCIA,A. Muñoz Borchers,2PT Made,(SÚPER AGROPAL PALENCIA) A. MUÑOZ BORCHERS: TIRO DE 2 ANOTADO (Puntos: 2),A. González Pérez,J. Vaulet,O. Silverio Grullon,P. Garino Gullotta ,S. Garcia Calvo,A. Muñoz Borchers,I. Jakovics,M. Armus,M. Kamba,T. Borg
