Period,Time,Seconds,Score_Home,Score_Away,Team,Player,Action_Type,text,H1,H2,H3,H4,H5,A1,A2,A3,A4,A5
1,10:00,600,0,0,LEYMA CORUÑA,G. Jou Coll,Substitution In,(LEYMA CORUÑA) G. JOU COLL: Sustitución (Entra a pista),C. Hermanson,D. Duscak,D. Shelist,R. Cosialls Borras,R. Lobaco Muñoz,D. Cuevas Simarro,D. Radoncic,G. Jou Coll,J. Cremo,S. Barro
1,10:00,600,0,0,LEYMA CORUÑA,D. Cuevas Simarro,Substitution In,(LEYMA CORUÑA) D. CUEVAS SIMARRO: Sustitución (Entra a pista),C. Hermanson,D. Duscak,D. Shelist,R. Cosialls Borras,R. Lobaco Muñoz,D. Cuevas Simarro,D. Radoncic,G. Jou Coll,J. Cremo,S. Barro
1,10:00,600,0,0,LEYMA CORUÑA,J. Cremo,Substitution In,(LEYMA CORUÑA) J. CREMO: Sustitución (Entra a pista),C. Hermanson,D. Duscak,D. Shelist,R. Cosialls Borras,R. Lobaco Muñoz,D. Cuevas Simarro,D. Radoncic,G. Jou Coll,J. Cremo,S. Barro
1,10:00,600,0,0,LEYMA CORUÑA,S. Barro,Substitution In,(LEYMA CORUÑA) S. BARRO: Sustitución (Entra a pista),C. Hermanson,D. Duscak,D. Shelist,R. Cosialls Borras,R. Lobaco Muñoz,D. Cuevas Simarro,D. Radoncic,G. Jou Coll,J. Cremo,S. Barro
1,10:00,600,0,0,ALIMERKA OVIEDO BALONCESTO,C. Hermanson,Substitution In,(ALIMERKA OVIEDO BALONCESTO) C. HERMANSON: Sustitución (Entra a pista),C. Hermanson,D. Duscak,D. Shelist,R. Cosialls Borras,R. Lobaco Muñoz,D. Cuevas Simarro,D. Radoncic,G. Jou Coll,J. Cremo,S. Barro
1,10:00,600,0,0,LEYMA CORUÑA,D. Radoncic,Substitution In,(LEYMA CORUÑA) D. RADONCIC: Sustitución (Entra a pista),C. Hermanson,D. Duscak,D. Shelist,R. Cosialls Borras,R. Lobaco Muñoz,D. Cuevas Simarro,D. Radoncic,G. Jou Coll,J. Cremo,S. Barro
1,10:00,600,0,0,ALIMERKA OVIEDO BALONCESTO,R. Lobaco Muñoz,Substitution In,(ALIMERKA OVIEDO BALONCESTO) R. LOBACO MUÑOZ: Sustitución (Entra a pista),C. Hermanson,D. Duscak,D. Shelist,R. Cosialls Borras,R. Lobaco Muñoz,D. Cuevas Simarro,D. Radoncic,G. Jou Coll,J. Cremo,S. Barro
1,10:00,600,0,0,ALIMERKA OVIEDO BALONCESTO,D. Shelist,Substitution In,(ALIMERKA OVIEDO BALONCESTO) D. SHELIST: Sustitución (Entra a pista),C. Hermanson,D. Duscak,D. Shelist,R. Cosialls Borras,R. Lobaco Muñoz,D. Cuevas Simarro,D. Radoncic,G. Jou Coll,J. Cremo,S. Barro
1,10:00,600,0,0,ALIMERKA OVIEDO BALONCESTO,R. Cosialls Borras,Substitution In,(ALIMERKA OVIEDO BALONCESTO) R. COSIALLS BORRAS: Sustitución (Entra a pista),C. Hermanson,D. Duscak,D. Shelist,R. Cosialls Borras,R. Lobaco Muñoz,D. Cuevas Simarro,D. Radoncic,G. Jou Coll,J. Cremo,S. Barro
1,10:00,600,0,0,ALIMERKA OVIEDO BALONCESTO,D. Duscak,Substitution In,(ALIMERKA OVIEDO BALONCESTO) D. DUSCAK: Sustitución (Entra a pista),C. Hermanson,D. Duscak,D. Shelist,R. Cosialls Borras,R. Lobaco Muñoz,D. Cuevas Simarro,D. Radoncic,G. Jou Coll,J. Cremo,S. Barro
1,10:00,600,0,0,,,Period,Comienzo del Cuarto 1,C. Hermanson,D. Duscak,D. Shelist,R. Cosialls Borras,R. Lobaco Muñoz,D. Cuevas Simarro,D. Radoncic,G. Jou Coll,J. Cremo,S. Barro
1,09:53,593,0,0,ALIMERKA OVIEDO BALONCESTO,R. Cosialls Borras,Rebound,(ALIMERKA OVIEDO BALONCESTO) R. COSIALLS BORRAS: REBOTE (Rebotes: 1),C. Hermanson,D. Duscak,D. Shelist,R. Cosialls Borras,R. Lobaco Muñoz,D. Cuevas Simarro,D. Radoncic,G. Jou Coll,J. Cremo,S. Barro
1,09:53,593,0,0,LEYMA CORUÑA,D. Cuevas Simarro,3PT Missed,(LEYMA CORUÑA) D. CUEVAS SIMARRO: TIRO DE 3 FALLADO,C. Hermanson,D. Duscak,D. Shelist,R. Cosialls Borras,R. Lobaco Muñoz,D. Cuevas Simarro,D. Radoncic,G. Jou Coll,J. Cremo,S. Barro
1,09:49,589,0,0,ALIMERKA OVIEDO BALONCESTO,R. Cosialls Borras,Foul,(ALIMERKA OVIEDO BALONCESTO) R. COSIALLS BORRAS: FALTA Personal (Faltas: 1. Faltas de equipo: 1). Tiros libres: 0,C. Hermanson,D. Duscak,D. Shelist,R. Cosialls Borras,R. Lobaco Muñoz,D. Cuevas Simarro,D. Radoncic,G. Jou Coll,J. Cremo,S. Barro
