Period,Time,Seconds,Score_Home,Score_Away,Team,Player,Action_Type,text,H1,H2,H3,H4,H5,A1,A2,A3,A4,A5
1,10:00,600,0,0,GRUPO URETA TIZONA BURGOS,A. Parrado Calabria,Substitution In,(GRUPO URETA TIZONA BURGOS) A. PARRADO CALABRIA: Sustitución (Entra a pista),I. Arroyo Varela,J. Nicolau Aledon,J. Tate,M. Ansorregui Deba,O. Hanzlik,A. Parrado Calabria,F. Terins,M. Jackson,R. Seoane Rodicio,R. Vila Soley
1,10:00,600,0,0,INVEREADY GIPUZKOA,J. Tate,Substitution In,(INVEREADY GIPUZKOA) J. TATE: Sustitución (Entra a pista),I. Arroyo Varela,J. Nicolau Aledon,J. Tate,M. Ansorregui Deba,O. Hanzlik,A. Parrado Calabria,F. Terins,M. Jackson,R. Seoane Rodicio,R. Vila Soley
1,10:00,600,0,0,INVEREADY GIPUZKOA,M. Ansorregui Deba,Substitution In,(INVEREADY GIPUZKOA) M. ANSORREGUI DEBA: Sustitución (Entra a pista),I. Arroyo Varela,J. Nicolau Aledon,J. Tate,M. Ansorregui Deba,O. Hanzlik,A. Parrado Calabria,F. Terins,M. Jackson,R. Seoane Rodicio,R. Vila Soley
1,10:00,600,0,0,GRUPO URETA TIZONA BURGOS,R. Vila Soley,Substitution In,(GRUPO URETA TIZONA BURGOS) R. VILA SOLEY: Sustitución (Entra a pista),I. Arroyo Varela,J. Nicolau Aledon,J. Tate,M. Ansorregui Deba,O. Hanzlik,A. Parrado Calabria,F. Terins,M. Jackson,R. Seoane Rodicio,R. Vila Soley
1,10:00,600,0,0,INVEREADY GIPUZKOA,O. Hanzlik,Substitution In,(INVEREADY GIPUZKOA) O. HANZLIK: Sustitución (Entra a pista),I. Arroyo Varela,J. Nicolau Aledon,J. Tate,M. Ansorregui Deba,O. Hanzlik,A. Parrado Calabria,F. Terins,M. Jackson,R. Seoane Rodicio,R. Vila Soley
1,10:00,600,0,0,GRUPO URETA TIZONA BURGOS,F. Terins,Substitution In,(GRUPO URETA TIZONA BURGOS) F. TERINS: Sustitución (Entra a pista),I. Arroyo Varela,J. Nicolau Aledon,J. Tate,M. Ansorregui Deba,O. Hanzlik,A. Parrado Calabria,F. Terins,M. Jackson,R. Seoane Rodicio,R. Vila Soley
1,10:00,600,0,0,GRUPO URETA TIZONA BURGOS,M. Jackson,Substitution In,(GRUPO URETA TIZONA BURGOS) M. JACKSON: Sustitución (Entra a pista),I. Arroyo Varela,J. Nicolau Aledon,J. Tate,M. Ansorregui Deba,O. Hanzlik,A. Parrado Calabria,F. Terins,M. Jackson,R. Seoane Rodicio,R. Vila Soley
1,10:00,600,0,0,GRUPO URETA TIZONA BURGOS,R. Seoane Rodicio,Substitution In,(GRUPO URETA TIZONA BURGOS) R. SEOANE RODICIO: Sustitución (Entra a pista),I. Arroyo Varela,J. Nicolau Aledon,J. Tate,M. Ansorregui Deba,O. Hanzlik,A. Parrado Calabria,F. Terins,M. Jackson,R. Seoane Rodicio,R. Vila Soley
1,10:00,600,0,0,INVEREADY GIPUZKOA,I. Arroyo Varela,Substitution In,(INVEREADY GIPUZKOA) I. ARROYO VARELA: Sustitución (Entra a pista),I. Arroyo Varela,J. Nicolau Aledon,J. Tate,M. Ansorregui Deba,O. Hanzlik,A. Parrado Calabria,F. Terins,M. Jackson,R. Seoane Rodicio,R. Vila Soley
1,10:00,600,0,0,INVEREADY GIPUZKOA,J. Nicolau Aledon,Substitution In,(INVEREADY GIPUZKOA) J. NICOLAU ALEDON: Sustitución (Entra a pista),I. Arroyo Varela,J. Nicolau Aledon,J. Tate,M. Ansorregui Deba,O. Hanzlik,A. Parrado Calabria,F. Terins,M. Jackson,R. Seoane Rodicio,R. Vila Soley
1,10:00,600,0,0,,,Period,Comienzo del Cuarto 1,I. Arroyo Varela,J. Nicolau Aledon,J. Tate,M. Ansorregui Deba,O. Hanzlik,A. Parrado Calabria,F. Terins,M. Jackson,R. Seoane Rodicio,R. Vila Soley
1,09:46,586,0,0,GRUPO URETA TIZONA BURGOS,A. Parrado Calabria,Rebound,(GRUPO URETA TIZONA BURGOS) A. PARRADO CALABRIA: REBOTE (Rebotes: 1),I. Arroyo Varela,J. Nicolau Aledon,J. Tate,M. Ansorregui Deba,O. Hanzlik,A. Parrado Calabria,F. Terins,M. Jackson,R. Seoane Rodicio,R. Vila Soley
