Period,Time,Seconds,Score_Home,Score_Away,Team,Player,Action_Type,text,H1,H2,H3,H4,H5,A1,A2,A3,A4,A5
1,10:00,600,0,0,CLOUD.GAL OURENSE BALONCESTO ,S. Mc Donnell,Substitution In,(CLOUD.GAL OURENSE BALONCESTO ) S. MC DONNELL: Sustitución (Entra a pista),A. Vrabac,G. Kalscheur,I. Vazquez Perez,R. Gill,S. Mc Donnell,J. Vaulet,P. Garino Gullotta ,S. Garcia Calvo,S. Salin,T. Mc Grew
1,10:00,600,0,0,MOVISTAR ESTUDIANTES,S. Garcia Calvo,Substitution In,(MOVISTAR ESTUDIANTES) S. GARCIA CALVO: Sustitución (Entra a pista),A. Vrabac,G. Kalscheur,I. Vazquez Perez,R. Gill,S. Mc Donnell,J. Vaulet,P. Garino Gullotta ,S. Garcia Calvo,S. Salin,T. Mc Grew
1,10:00,600,0,0,CLOUD.GAL OURENSE BALONCESTO ,A. Vrabac,Substitution In,(CLOUD.GAL OURENSE BALONCESTO ) A. VRABAC: Sustitución (Entra a pista),A. Vrabac,G. Kalscheur,I. Vazquez Perez,R. Gill,S. Mc Donnell,J. Vaulet,P. Garino Gullotta ,S. Garcia Calvo,S. Salin,T. Mc Grew
1,10:00,600,0,0,MOVISTAR ESTUDIANTES,T. Mc Grew,Substitution In,(MOVISTAR ESTUDIANTES) T. MC GREW: Sustitución (Entra a pista),A. Vrabac,G. Kalscheur,I. Vazquez Perez,R. Gill,S. Mc Donnell,J. Vaulet,P. Garino Gullotta ,S. Garcia Calvo,S. Salin,T. Mc Grew
1,10:00,600,0,0,MOVISTAR ESTUDIANTES,J. Vaulet,Substitution In,(MOVISTAR ESTUDIANTES) J. VAULET: Sustitución (Entra a pista),A. Vrabac,G. Kalscheur,I. Vazquez Perez,R. Gill,S. Mc Donnell,J. Vaulet,P. Garino Gullotta ,S. Garcia Calvo,S. Salin,T. Mc Grew
1,10:00,600,0,0,CLOUD.GAL OURENSE BALONCESTO ,R. Gill,Substitution In,(CLOUD.GAL OURENSE BALONCESTO ) R. GILL: Sustitución (Entra a pista),A. Vrabac,G. Kalscheur,I. Vazquez Perez,R. Gill,S. Mc Donnell,J. Vaulet,P. Garino Gullotta ,S. Garcia Calvo,S. Salin,T. Mc Grew
1,10:00,600,0,0,CLOUD.GAL OURENSE BALONCESTO ,G. Kalscheur,Substitution In,(CLOUD.GAL OURENSE BALONCESTO ) G. KALSCHEUR: Sustitución (Entra a pista),A. Vrabac,G. Kalscheur,I. Vazquez Perez,R. Gill,S. Mc Donnell,J. Vaulet,P. Garino Gullotta ,S. Garcia Calvo,S. Salin,T. Mc Grew
1,10:00,600,0,0,CLOUD.GAL OURENSE BALONCESTO ,I. Vazquez Perez,Substitution In,(CLOUD.GAL OURENSE BALONCESTO ) I. VAZQUEZ PEREZ: Sustitución (Entra a pista),A. Vrabac,G. Kalscheur,I. Vazquez Perez,R. Gill,S. Mc Donnell,J. Vaulet,P. Garino Gullotta ,S. Garcia Calvo,S. Salin,T. Mc Grew
1,10:00,600,0,0,MOVISTAR ESTUDIANTES,P. Garino Gullotta ,Substitution In,(MOVISTAR ESTUDIANTES) P. GARINO GULLOTTA : Sustitución (Entra a pista),A. Vrabac,G. Kalscheur,I. Vazquez Perez,R. Gill,S. Mc Donnell,J. Vaulet,P. Garino Gullotta ,S. Garcia Calvo,S. Salin,T. Mc Grew
1,10:00,600,0,0,MOVISTAR ESTUDIANTES,S. Salin,Substitution In,(MOVISTAR ESTUDIANTES) S. SALIN: Sustitución (Entra a pista),A. Vrabac,G. Kalscheur,I. Vazquez Perez,R. Gill,S. Mc Donnell,J. Vaulet,P. Garino Gullotta ,S. Garcia Calvo,S. Salin,T. Mc Grew
1,10:00,600,0,0,,,Period,Comienzo del Cuarto 1,A. Vrabac,G. Kalscheur,I. Vazquez Perez,R. Gill,S. Mc Donnell,J. Vaulet,P. Garino Gullotta ,S. Garcia Calvo,S. Salin,T. Mc Grew
1,09:47,587,0,0,MOVISTAR ESTUDIANTES,S. Garcia Calvo,Rebound,(MOVISTAR ESTUDIANTES) S. GARCIA CALVO: REBOTE (Rebotes: 1),A. Vrabac,G. Kalscheur,I. Vazquez Perez,R. Gill,S. Mc Donnell,J. Vaulet,P. Garino Gullotta ,S. Garcia Calvo,S. Salin,T. Mc Grew
1,09:47,587,0,0,CLOUD.GAL OURENSE BALONCESTO ,G. Kalscheur,2PT Missed,(CLOUD.GAL OURENSE BALONCESTO ) G. KALSCHEUR: TIRO DE 2 FALLADO,A. Vrabac,G. Kalscheur,I. Vazquez Perez,R. Gill,S. Mc Donnell,J. Vaulet,P. Garino Gullotta ,S. Garcia Calvo,S. Salin,T. Mc Grew
1,09:42,582,0,0,CLOUD.GAL OURENSE BALONCESTO ,I. Vazquez Perez,Steal,(CLOUD.GAL OURENSE BALONCESTO ) I. VAZQUEZ PEREZ: ROBO (Robos: 1),A. Vrabac,G. Kalscheur,I. Vazquez Perez,R. Gill,S. Mc Donnell,J. Vaulet,P. Garino Gullotta ,S. Garcia Calvo,S. Salin,T. Mc Grew
1,09:42,582,0,0,MOVISTAR ESTUDIANTES,S. Garcia Calvo,Turnover,(MOVISTAR ESTUDIANTES) S. GARCIA CALVO: PÉRDIDA (Pérdidas: 1),A. Vrabac,G. Kalscheur,I. Vazquez Perez,R. Gill,S. Mc Donnell,J. Vaulet,P. Garino Gullotta ,S. Garcia Calvo,S. Salin,T. Mc Grew
1,09:38,578,2,0,CLOUD.GAL OURENSE BALONCESTO ,G. Kalscheur,2PT Made,(CLOUD.GAL OURENSE BALONCESTO ) G. KALSCHEUR: TIRO DE 2 ANOTADO (Puntos: 2),A. Vrabac,G. Kalscheur,I. Vazquez Perez,R. Gill,S. Mc Donnell,J. Vaulet,P. Garino Gullotta ,S. Garcia Calvo,S. Salin,T. Mc Grew
1,09:38,578,2,0,CLOUD.GAL OURENSE BALONCESTO ,I. Vazquez Perez,Assist,(CLOUD.GAL OURENSE BALONCESTO ) I. VAZQUEZ PEREZ: ASISTENCIA (Asistencias: 1),A. Vrabac,G. Kalscheur,I. Vazquez Perez,R. Gill,S. Mc Donnell,J. Vaulet,P. Garino Gullotta ,S. Garcia Calvo,S. Salin,T. Mc Grew
1,09:24,564,2,0,CLOUD.GAL OURENSE BALONCESTO ,S. Mc Donnell,Rebound,(CLOUD.GAL OURENSE BALONCESTO ) S. MC DONNELL: REBOTE (Rebotes: 1),A. Vrabac,G. Kalscheur,I. Vazquez Perez,R. Gill,S. Mc Donnell,J. Vaulet,P. Garino Gullotta ,S. Garcia Calvo,S. Salin,T. Mc Grew
1,09:24,564,2,0,CLOUD.GAL OURENSE BALONCESTO ,A. Vrabac,Block,(CLOUD.GAL OURENSE BALONCESTO ) A. VRABAC: TAPÓN (Tapones: 1),A. Vrabac,G. Kalscheur,I. Vazquez Perez,R. Gill,S. Mc Donnell,J. Vaulet,P. Garino Gullotta ,S. Garcia Calvo,S. Salin,T. Mc Grew
1,09:24,564,2,0,MOVISTAR ESTUDIANTES,S. Salin,3PT Missed,(MOVISTAR ESTUDIANTES) S. SALIN: TIRO DE 3 FALLADO,A. Vrabac,G. Kalscheur,I. Vazquez Perez,R. Gill,S. Mc Donnell,J. Vaulet,P. Garino Gullotta ,S. Garcia Calvo,S. Salin,T. Mc Grew
1,09:15,555,4,0,CLOUD.GAL OURENSE BALONCESTO ,I. Vazquez Perez,2PT Made,(CLOUD.GAL OURENSE BALONCESTO ) I. VAZQUEZ PEREZ: TIRO DE 2 ANOTADO (Puntos: 2),A. Vrabac,G. Kalscheur,I. Vazquez Perez,R. Gill,S. Mc Donnell,J. Vaulet,P. Garino Gullotta ,S. Garcia Calvo,S. Salin,T. Mc Grew
1,08:47,527,4,0,MOVISTAR ESTUDIANTES,P. Garino Gullotta ,Turnover,(MOVISTAR ESTUDIANTES) P. GARINO GULLOTTA : PÉRDIDA (Pérdidas: 1),A. Vrabac,G. Kalscheur,I. Vazquez Perez,R. Gill,S. Mc Donnell,J. Vaulet,P. Garino Gullotta ,S. Garcia Calvo,S. Salin,T. Mc Grew
1,08:37,517,7,0,CLOUD.GAL OURENSE BALONCESTO ,G. Kalscheur,3PT Made,(CLOUD.GAL OURENSE BALONCESTO ) G. KALSCHEUR: TIRO DE 3 ANOTADO (Puntos: 5),A. Vrabac,G. Kalscheur,I. Vazquez Perez,R. Gill,S. Mc Donnell,J. Vaulet,P. Garino Gullotta ,S. Garcia Calvo,S. Salin,T. Mc Grew
1,08:37,517,7,0,CLOUD.GAL OURENSE BALONCESTO ,A. Vrabac,Assist,(CLOUD.GAL OURENSE BALONCESTO ) A. VRABAC: ASISTENCIA (Asistencias: 1),A. Vrabac,G. Kalscheur,I. Vazquez Perez,R. Gill,S. Mc Donnell,J. Vaulet,P. Garino Gullotta ,S. Garcia Calvo,S. Salin,T. Mc Grew
1,08:32,512,7,0,CLOUD.GAL OURENSE BALONCESTO ,A. Vrabac,Foul,(CLOUD.GAL OURENSE BALONCESTO ) A. VRABAC: FALTA Personal (Faltas: 1. Faltas de equipo: 1). Tiros libres: 0,A. Vrabac,G. Kalscheur,I. Vazquez Perez,R. Gill,S. Mc Donnell,J. Vaulet,P. Garino Gullotta ,S. Garcia Calvo,S. Salin,T. Mc Grew
1,08:16,496,7,3,MOVISTAR ESTUDIANTES,S. Garcia Calvo,3PT Made,(MOVISTAR ESTUDIANTES) S. GARCIA CALVO: TIRO DE 3 ANOTADO (Puntos: 3),A. Vrabac,G. Kalscheur,I. Vazquez Perez,R. Gill,S. Mc Donnell,J. Vaulet,P. Garino Gullotta ,S. Garcia Calvo,S. Salin,T. Mc Grew
1,08:16,496,7,3,MOVISTAR ESTUDIANTES,T. Mc Grew,Assist,(MOVISTAR ESTUDIANTES) T. MC GREW: ASISTENCIA (Asistencias: 1),A. Vrabac,G. Kalscheur,I. Vazquez Perez,R. Gill,S. Mc Donnell,J. Vaulet,P. Garino Gullotta ,S. Garcia Calvo,S. Salin,T. Mc Grew
1,07:48,468,7,3,MOVISTAR ESTUDIANTES,S. Salin,Rebound,(MOVISTAR ESTUDIANTES) S. SALIN: REBOTE (Rebotes: 1),A. Vrabac,G. Kalscheur,I. Vazquez Perez,R. Gill,S. Mc Donnell,J. Vaulet,P. Garino Gullotta ,S. Garcia Calvo,S. Salin,T. Mc Grew
1,07:48,468,7,3,CLOUD.GAL OURENSE BALONCESTO ,S. Mc Donnell,3PT Missed,(CLOUD.GAL OURENSE BALONCESTO ) S. MC DONNELL: TIRO DE 3 FALLADO,A. Vrabac,G. Kalscheur,I. Vazquez Perez,R. Gill,S. Mc Donnell,J. Vaulet,P. Garino Gullotta ,S. Garcia Calvo,S. Salin,T. Mc Grew
1,07:40,460,7,5,MOVISTAR ESTUDIANTES,J. Vaulet,2PT Made,(MOVISTAR ESTUDIANTES) J. VAULET: TIRO DE 2 ANOTADO (Puntos: 2),A. Vrabac,G. Kalscheur,I. Vazquez Perez,R. Gill,S. Mc Donnell,J. Vaulet,P. Garino Gullotta ,S. Garcia Calvo,S. Salin,T. Mc Grew
1,07:40,460,7,5,MOVISTAR ESTUDIANTES,J. Vaulet,Substitution Out,(MOVISTAR ESTUDIANTES) J. VAULET: Sustitución (Sale de pista),A. Vrabac,G. Kalscheur,I. Vazquez Perez,R. Gill,S. Mc Donnell,P. Garino Gullotta ,S. Garcia Calvo,S. Salin,T. Mc Grew,
