Period,Time,Seconds,Score_Home,Score_Away,Team,Player,Action_Type,text,H1,H2,H3,H4,H5,A1,A2,A3,A4,A5
1,10:00,600,0,0,HESTIA MENORCA,N. Galette,Substitution In,(HESTIA MENORCA) N. GALETTE: Sustitución (Entra a pista),E. Polanco Tavarez,I. Tamba Villen,M. Torres Cuevas,S. Hollanders,U. Mendicote Rubio,A. Sola Iddrisu,E. Wembi,F. Zurbriggen,N. Galette,S. Littleson
1,10:00,600,0,0,HESTIA MENORCA,F. Zurbriggen,Substitution In,(HESTIA MENORCA) F. ZURBRIGGEN: Sustitución (Entra a pista),E. Polanco Tavarez,I. Tamba Villen,M. Torres Cuevas,S. Hollanders,U. Mendicote Rubio,A. Sola Iddrisu,E. Wembi,F. Zurbriggen,N. Galette,S. Littleson
1,10:00,600,0,0,HLA ALICANTE,U. Mendicote Rubio,Substitution In,(HLA ALICANTE) U. MENDICOTE RUBIO: Sustitución (Entra a pista),E. Polanco Tavarez,I. Tamba Villen,M. Torres Cuevas,S. Hollanders,U. Mendicote Rubio,A. Sola Iddrisu,E. Wembi,F. Zurbriggen,N. Galette,S. Littleson
1,10:00,600,0,0,HESTIA MENORCA,S. Littleson,Substitution In,(HESTIA MENORCA) S. LITTLESON: Sustitución (Entra a pista),E. Polanco Tavarez,I. Tamba Villen,M. Torres Cuevas,S. Hollanders,U. Mendicote Rubio,A. Sola Iddrisu,E. Wembi,F. Zurbriggen,N. Galette,S. Littleson
1,10:00,600,0,0,HLA ALICANTE,M. Torres Cuevas,Substitution In,(HLA ALICANTE) M. TORRES CUEVAS: Sustitución (Entra a pista),E. Polanco Tavarez,I. Tamba Villen,M. Torres Cuevas,S. Hollanders,U. Mendicote Rubio,A. Sola Iddrisu,E. Wembi,F. Zurbriggen,N. Galette,S. Littleson
1,10:00,600,0,0,HLA ALICANTE,I. Tamba Villen,Substitution In,(HLA ALICANTE) I. TAMBA VILLEN: Sustitución (Entra a pista),E. Polanco Tavarez,I. Tamba Villen,M. Torres Cuevas,S. Hollanders,U. Mendicote Rubio,A. Sola Iddrisu,E. Wembi,F. Zurbriggen,N. Galette,S. Littleson
1,10:00,600,0,0,HLA ALICANTE,E. Polanco Tavarez,Substitution In,(HLA ALICANTE) E. POLANCO TAVAREZ: Sustitución (Entra a pista),E. Polanco Tavarez,I. Tamba Villen,M. Torres Cuevas,S. Hollanders,U. Mendicote Rubio,A. Sola Iddrisu,E. Wembi,F. Zurbriggen,N. Galette,S. Littleson
1,10:00,600,0,0,HESTIA MENORCA,A. Sola Iddrisu,Substitution In,(HESTIA MENORCA) A. SOLA IDDRISU: Sustitución (Entra a pista),E. Polanco Tavarez,I. Tamba Villen,M. Torres Cuevas,S. Hollanders,U. Mendicote Rubio,A. Sola Iddrisu,E. Wembi,F. Zurbriggen,N. Galette,S. Littleson
1,10:00,600,0,0,HESTIA MENORCA,E. Wembi,Substitution In,(HESTIA MENORCA) E. WEMBI: Sustitución (Entra a pista),E. Polanco Tavarez,I. Tamba Villen,M. Torres Cuevas,S. Hollanders,U. Mendicote Rubio,A. Sola Iddrisu,E. Wembi,F. Zurbriggen,N. Galette,S. Littleson
1,10:00,600,0,0,HLA ALICANTE,S. Hollanders,Substitution In,(HLA ALICANTE) S. HOLLANDERS: Sustitución (Entra a pista),E. Polanco Tavarez,I. Tamba Villen,M. Torres Cuevas,S. Hollanders,U. Mendicote Rubio,A. Sola Iddrisu,E. Wembi,F. Zurbriggen,N. Galette,S. Littleson
1,10:00,600,0,0,,,Period,Comienzo del Cuarto 1,E. Polanco Tavarez,I. Tamba Villen,M. Torres Cuevas,S. Hollanders,U. Mendicote Rubio,A. Sola Iddrisu,E. Wembi,F. Zurbriggen,N. Galette,S. Littleson
