Period,Time,Seconds,Score_Home,Score_Away,Team,Player,Action_Type,text,H1,H2,H3,H4,H5,A1,A2,A3,A4,A5
1,10:00,600,0,0,PALMER BASKET MALLORCA PALMA,N. Camacho De Sá,Substitution In,(PALMER BASKET MALLORCA PALMA) N. CAMACHO DE SÁ: Sustitución (Entra a pista),A. Izaw Bolavie,A. Urdiain Labayen,D. Sanadze,N. Camacho De Sá,P. Scrubb,A. Parrado Calabria,F. Terins,J. Brown-Ferguson,M. Jackson,R. Seoane Rodicio
1,10:00,600,0,0,GRUPO URETA TIZONA BURGOS,J. Brown-Ferguson,Substitution In,(GRUPO URETA TIZONA BURGOS) J. BROWN-FERGUSON: Sustitución (Entra a pista),A. Izaw Bolavie,A. Urdiain Labayen,D. Sanadze,N. Camacho De Sá,P. Scrubb,A. Parrado Calabria,F. Terins,J. Brown-Ferguson,M. Jackson,R. Seoane Rodicio
1,10:00,600,0,0,PALMER BASKET MALLORCA PALMA,A. Izaw Bolavie,Substitution In,(PALMER BASKET MALLORCA PALMA) A. IZAW BOLAVIE: Sustitución (Entra a pista),A. Izaw Bolavie,A. Urdiain Labayen,D. Sanadze,N. Camacho De Sá,P. Scrubb,A. Parrado Calabria,F. Terins,J. Brown-Ferguson,M. Jackson,R. Seoane Rodicio
1,10:00,600,0,0,PALMER BASKET MALLORCA PALMA,A. Urdiain Labayen,Substitution In,(PALMER BASKET MALLORCA PALMA) A. URDIAIN LABAYEN: Sustitución (Entra a pista),A. Izaw Bolavie,A. Urdiain Labayen,D. Sanadze,N. Camacho De Sá,P. Scrubb,A. Parrado Calabria,F. Terins,J. Brown-Ferguson,M. Jackson,R. Seoane Rodicio
1,10:00,600,0,0,GRUPO URETA TIZONA BURGOS,M. Jackson,Substitution In,(GRUPO URETA TIZONA BURGOS) M. JACKSON: Sustitución (Entra a pista),A. Izaw Bolavie,A. Urdiain Labayen,D. Sanadze,N. Camacho De Sá,P. Scrubb,A. Parrado Calabria,F. Terins,J. Brown-Ferguson,M. Jackson,R. Seoane Rodicio
1,10:00,600,0,0,PALMER BASKET MALLORCA PALMA,D. Sanadze,Substitution In,(PALMER BASKET MALLORCA PALMA) D. SANADZE: Sustitución (Entra a pista),A. Izaw Bolavie,A. Urdiain Labayen,D. Sanadze,N. Camacho De Sá,P. Scrubb,A. Parrado Calabria,F. Terins,J. Brown-Ferguson,M. Jackson,R. Seoane Rodicio
1,10:00,600,0,0,GRUPO URETA TIZONA BURGOS,A. Parrado Calabria,Substitution In,(GRUPO URETA TIZONA BURGOS) A. PARRADO CALABRIA: Sustitución (Entra a pista),A. Izaw Bolavie,A. Urdiain Labayen,D. Sanadze,N. Camacho De Sá,P. Scrubb,A. Parrado Calabria,F. Terins,J. Brown-Ferguson,M. Jackson,R. Seoane Rodicio
1,10:00,600,0,0,GRUPO URETA TIZONA BURGOS,R. Seoane Rodicio,Substitution In,(GRUPO URETA TIZONA BURGOS) R. SEOANE RODICIO: Sustitución (Entra a pista),A. Izaw Bolavie,A. Urdiain Labayen,D. Sanadze,N. Camacho De Sá,P. Scrubb,A. Parrado Calabria,F. Terins,J. Brown-Ferguson,M. Jackson,R. Seoane Rodicio
1,10:00,600,0,0,PALMER BASKET MALLORCA PALMA,P. Scrubb,Substitution In,(PALMER BASKET MALLORCA PALMA) P. SCRUBB: Sustitución (Entra a pista),A. Izaw Bolavie,A. Urdiain Labayen,D. Sanadze,N. Camacho De Sá,P. Scrubb,A. Parrado Calabria,F. Terins,J. Brown-Ferguson,M. Jackson,R. Seoane Rodicio
1,10:00,600,0,0,GRUPO URETA TIZONA BURGOS,F. Terins,Substitution In,(GRUPO URETA TIZONA BURGOS) F. TERINS: Sustitución (Entra a pista),A. Izaw Bolavie,A. Urdiain Labayen,D. Sanadze,N. Camacho De Sá,P. Scrubb,A. Parrado Calabria,F. Terins,J. Brown-Ferguson,M. Jackson,R. Seoane Rodicio
