Period,Time,Seconds,Score_Home,Score_Away,Team,Player,Action_Type,text,H1,H2,H3,H4,H5,A1,A2,A3,A4,A5
1,10:00,600,0,0,MOVISTAR ESTUDIANTES,T. Mc Grew,Substitution In,(MOVISTAR ESTUDIANTES) T. MC GREW: Sustitución (Entra a pista),A. Martinez Clariana,B. Prepelic,J. Paukstè,T. Naspler Peraire,T. Roberts,A. González Pérez,O. Silverio Grullon,P. Garino Gullotta ,S. Garcia Calvo,T. Mc Grew
1,10:00,600,0,0,CAJA RURAL CB ZAMORA,T. Roberts,Substitution In,(CAJA RURAL CB ZAMORA) T. ROBERTS: Sustitución (Entra a pista),A. Martinez Clariana,B. Prepelic,J. Paukstè,T. Naspler Peraire,T. Roberts,A. González Pérez,O. Silverio Grullon,P. Garino Gullotta ,S. Garcia Calvo,T. Mc Grew
1,10:00,600,0,0,MOVISTAR ESTUDIANTES,A. González Pérez,Substitution In,(MOVISTAR ESTUDIANTES) A. GONZÁLEZ PÉREZ: Sustitución (Entra a pista),A. Martinez Clariana,B. Prepelic,J. Paukstè,T. Naspler Peraire,T. Roberts,A. González Pérez,O. Silverio Grullon,P. Garino Gullotta ,S. Garcia Calvo,T. Mc Grew
1,10:00,600,0,0,MOVISTAR ESTUDIANTES,P. Garino Gullotta ,Substitution In,(MOVISTAR ESTUDIANTES) P. GARINO GULLOTTA : Sustitución (Entra a pista),A. Martinez Clariana,B. Prepelic,J. Paukstè,T. Naspler Peraire,T. Roberts,A. González Pérez,O. Silverio Grullon,P. Garino Gullotta ,S. Garcia Calvo,T. Mc Grew
1,10:00,600,0,0,CAJA RURAL CB ZAMORA,J. Paukstè,Substitution In,(CAJA RURAL CB ZAMORA) J. PAUKSTÈ: Sustitución (Entra a pista),A. Martinez Clariana,B. Prepelic,J. Paukstè,T. Naspler Peraire,T. Roberts,A. González Pérez,O. Silverio Grullon,P. Garino Gullotta ,S. Garcia Calvo,T. Mc Grew
1,10:00,600,0,0,MOVISTAR ESTUDIANTES,O. Silverio Grullon,Substitution In,(MOVISTAR ESTUDIANTES) O. SILVERIO GRULLON: Sustitución (Entra a pista),A. Martinez Clariana,B. Prepelic,J. Paukstè,T. Naspler Peraire,T. Roberts,A. González Pérez,O. Silverio Grullon,P. Garino Gullotta ,S. Garcia Calvo,T. Mc Grew
1,10:00,600,0,0,CAJA RURAL CB ZAMORA,T. Naspler Peraire,Substitution In,(CAJA RURAL CB ZAMORA) T. NASPLER PERAIRE: Sustitución (Entra a pista),A. Martinez Clariana,B. Prepelic,J. Paukstè,T. Naspler Peraire,T. Roberts,A. González Pérez,O. Silverio Grullon,P. Garino Gullotta ,S. Garcia Calvo,T. Mc Grew
1,10:00,600,0,0,MOVISTAR ESTUDIANTES,S. Garcia Calvo,Substitution In,(MOVISTAR ESTUDIANTES) S. GARCIA CALVO: Sustitución (Entra a pista),A. Martinez Clariana,B. Prepelic,J. Paukstè,T. Naspler Peraire,T. Roberts,A. González Pérez,O. Silverio Grullon,P. Garino Gullotta ,S. Garcia Calvo,T. Mc Grew
1,10:00,600,0,0,CAJA RURAL CB ZAMORA,B. Prepelic,Substitution In,(CAJA RURAL CB ZAMORA) B. PREPELIC: Sustitución (Entra a pista),A. Martinez Clariana,B. Prepelic,J. Paukstè,T. Naspler Peraire,T. Roberts,A. González Pérez,O. Silverio Grullon,P. Garino Gullotta ,S. Garcia Calvo,T. Mc Grew
1,10:00,600,0,0,CAJA RURAL CB ZAMORA,A. Martinez Clariana,Substitution In,(CAJA RURAL CB ZAMORA) A. MARTINEZ CLARIANA: Sustitución (Entra a pista),A. Martinez Clariana,B. Prepelic,J. Paukstè,T. Naspler Peraire,T. Roberts,A. González Pérez,O. Silverio Grullon,P. Garino Gullotta ,S. Garcia Calvo,T. Mc Grew
1,10:00,600,0,0,,,Period,Comienzo del Cuarto 1,A. Martinez Clariana,B. Prepelic,J. Paukstè,T. Naspler Peraire,T. Roberts,A. González Pérez,O. Silverio Grullon,P. Garino Gullotta ,S. Garcia Calvo,T. Mc Grew
1,09:55,595,0,0,CAJA RURAL CB ZAMORA,T. Naspler Peraire,Steal,(CAJA RURAL CB ZAMORA) T. NASPLER PERAIRE: ROBO (Robos: 1),A. Martinez Clariana,B. Prepelic,J. Paukstè,T. Naspler Peraire,T. Roberts,A. González Pérez,O. Silverio Grullon,P. Garino Gullotta ,S. Garcia Calvo,T. Mc Grew
1,09:55,595,0,0,MOVISTAR ESTUDIANTES,S. Garcia Calvo,Turnover,(MOVISTAR ESTUDIANTES) S. GARCIA CALVO: PÉRDIDA (Pérdidas: 1),A. Martinez Clariana,B. Prepelic,J. Paukstè,T. Naspler Peraire,T. Roberts,A. González Pérez,O. Silverio Grullon,P. Garino Gullotta ,S. Garcia Calvo,T. Mc Grew
1,09:37,577,3,0,CAJA RURAL CB ZAMORA,A. Martinez Clariana,3PT Made,(CAJA RURAL CB ZAMORA) A. MARTINEZ CLARIANA: TIRO DE 3 ANOTADO (Puntos: 3),A. Martinez Clariana,B. Prepelic,J. Paukstè,T. Naspler Peraire,T. Roberts,A. González Pérez,O. Silverio Grullon,P. Garino Gullotta ,S. Garcia Calvo,T. Mc Grew
1,09:37,577,3,0,CAJA RURAL CB ZAMORA,B. Prepelic,Assist,(CAJA RURAL CB ZAMORA) B. PREPELIC: ASISTENCIA (Asistencias: 1),A. Martinez Clariana,B. Prepelic,J. Paukstè,T. Naspler Peraire,T. Roberts,A. González Pérez,O. Silverio Grullon,P. Garino Gullotta ,S. Garcia Calvo,T. Mc Grew
1,09:13,553,3,0,CAJA RURAL CB ZAMORA,J. Paukstè,Rebound,(CAJA RURAL CB ZAMORA) J. PAUKSTÈ: REBOTE (Rebotes: 1),A. Martinez Clariana,B. Prepelic,J. Paukstè,T. Naspler Peraire,T. Roberts,A. González Pérez,O. Silverio Grullon,P. Garino Gullotta ,S. Garcia Calvo,T. Mc Grew
1,09:13,553,3,0,MOVISTAR ESTUDIANTES,S. Garcia Calvo,3PT Missed,(MOVISTAR ESTUDIANTES) S. GARCIA CALVO: TIRO DE 3 FALLADO,A. Martinez Clariana,B. Prepelic,J. Paukstè,T. Naspler Peraire,T. Roberts,A. González Pérez,O. Silverio Grullon,P. Garino Gullotta ,S. Garcia Calvo,T. Mc Grew
1,08:58,538,3,0,MOVISTAR ESTUDIANTES,P. Garino Gullotta ,Rebound,(MOVISTAR ESTUDIANTES) P. GARINO GULLOTTA : REBOTE (Rebotes: 1),A. Martinez Clariana,B. Prepelic,J. Paukstè,T. Naspler Peraire,T. Roberts,A. González Pérez,O. Silverio Grullon,P. Garino Gullotta ,S. Garcia Calvo,T. Mc Grew
1,08:58,538,3,0,CAJA RURAL CB ZAMORA,J. Paukstè,2PT Missed,(CAJA RURAL CB ZAMORA) J. PAUKSTÈ: TIRO DE 2 FALLADO,A. Martinez Clariana,B. Prepelic,J. Paukstè,T. Naspler Peraire,T. Roberts,A. González Pérez,O. Silverio Grullon,P. Garino Gullotta ,S. Garcia Calvo,T. Mc Grew
1,08:58,538,3,0,CAJA RURAL CB ZAMORA,J. Paukstè,Rebound,(CAJA RURAL CB ZAMORA) J. PAUKSTÈ: REBOTE (Rebotes: 2),A. Martinez Clariana,B. Prepelic,J. Paukstè,T. Naspler Peraire,T. Roberts,A. González Pérez,O. Silverio Grullon,P. Garino Gullotta ,S. Garcia Calvo,T. Mc Grew
1,08:58,538,3,0,CAJA RURAL CB ZAMORA,B. Prepelic,2PT Missed,(CAJA RURAL CB ZAMORA) B. PREPELIC: TIRO DE 2 FALLADO,A. Martinez Clariana,B. Prepelic,J. Paukstè,T. Naspler Peraire,T. Roberts,A. González Pérez,O. Silverio Grullon,P. Garino Gullotta ,S. Garcia Calvo,T. Mc Grew
1,08:49,529,3,0,MOVISTAR ESTUDIANTES,P. Garino Gullotta ,Turnover,(MOVISTAR ESTUDIANTES) P. GARINO GULLOTTA : PÉRDIDA (Pérdidas: 1),A. Martinez Clariana,B. Prepelic,J. Paukstè,T. Naspler Peraire,T. Roberts,A. González Pérez,O. Silverio Grullon,P. Garino Gullotta ,S. Garcia Calvo,T. Mc Grew
1,08:29,509,3,0,MOVISTAR ESTUDIANTES,S. Garcia Calvo,Rebound,(MOVISTAR ESTUDIANTES) S. GARCIA CALVO: REBOTE (Rebotes: 1),A. Martinez Clariana,B. Prepelic,J. Paukstè,T. Naspler Peraire,T. Roberts,A. González Pérez,O. Silverio Grullon,P. Garino Gullotta ,S. Garcia Calvo,T. Mc Grew
1,08:29,509,3,0,CAJA RURAL CB ZAMORA,T. Roberts,2PT Missed,(CAJA RURAL CB ZAMORA) T. ROBERTS: TIRO DE 2 FALLADO,A. Martinez Clariana,B. Prepelic,J. Paukstè,T. Naspler Peraire,T. Roberts,A. González Pérez,O. Silverio Grullon,P. Garino Gullotta ,S. Garcia Calvo,T. Mc Grew
1,08:18,498,3,0,CAJA RURAL CB ZAMORA,T. Naspler Peraire,Rebound,(CAJA RURAL CB ZAMORA) T. NASPLER PERAIRE: REBOTE (Rebotes: 1),A. Martinez Clariana,B. Prepelic,J. Paukstè,T. Naspler Peraire,T. Roberts,A. González Pérez,O. Silverio Grullon,P. Garino Gullotta ,S. Garcia Calvo,T. Mc Grew
1,08:18,498,3,0,MOVISTAR ESTUDIANTES,T. Mc Grew,3PT Missed,(MOVISTAR ESTUDIANTES) T. MC GREW: TIRO DE 3 FALLADO,A. Martinez Clariana,B. Prepelic,J. Paukstè,T. Naspler Peraire,T. Roberts,A. González Pérez,O. Silverio Grullon,P. Garino Gullotta ,S. Garcia Calvo,T. Mc Grew
