Period,Time,Seconds,Score_Home,Score_Away,Team,Player,Action_Type,text,H1,H2,H3,H4,H5,A1,A2,A3,A4,A5
1,10:00,600,0,0,MONBUS OBRADOIRO,Y. Barrueta,Substitution In,(MONBUS OBRADOIRO) Y. BARRUETA: Sustitución (Entra a pista),D. Geu,J. Bone,K. Larsen,M. Torres Cuevas,S. Hollanders,A. Barcello,A. Galan Pozo ,F. Dos Anjos De Paula,L. Westermann,Y. Barrueta
1,10:00,600,0,0,MONBUS OBRADOIRO,A. Galan Pozo ,Substitution In,(MONBUS OBRADOIRO) A. GALAN POZO : Sustitución (Entra a pista),D. Geu,J. Bone,K. Larsen,M. Torres Cuevas,S. Hollanders,A. Barcello,A. Galan Pozo ,F. Dos Anjos De Paula,L. Westermann,Y. Barrueta
1,10:00,600,0,0,MONBUS OBRADOIRO,F. Dos Anjos De Paula,Substitution In,(MONBUS OBRADOIRO) F. DOS ANJOS DE PAULA: Sustitución (Entra a pista),D. Geu,J. Bone,K. Larsen,M. Torres Cuevas,S. Hollanders,A. Barcello,A. Galan Pozo ,F. Dos Anjos De Paula,L. Westermann,Y. Barrueta
1,10:00,600,0,0,HLA ALICANTE,S. Hollanders,Substitution In,(HLA ALICANTE) S. HOLLANDERS: Sustitución (Entra a pista),D. Geu,J. Bone,K. Larsen,M. Torres Cuevas,S. Hollanders,A. Barcello,A. Galan Pozo ,F. Dos Anjos De Paula,L. Westermann,Y. Barrueta
1,10:00,600,0,0,HLA ALICANTE,M. Torres Cuevas,Substitution In,(HLA ALICANTE) M. TORRES CUEVAS: Sustitución (Entra a pista),D. Geu,J. Bone,K. Larsen,M. Torres Cuevas,S. Hollanders,A. Barcello,A. Galan Pozo ,F. Dos Anjos De Paula,L. Westermann,Y. Barrueta
1,10:00,600,0,0,HLA ALICANTE,D. Geu,Substitution In,(HLA ALICANTE) D. GEU: Sustitución (Entra a pista),D. Geu,J. Bone,K. Larsen,M. Torres Cuevas,S. Hollanders,A. Barcello,A. Galan Pozo ,F. Dos Anjos De Paula,L. Westermann,Y. Barrueta
1,10:00,600,0,0,HLA ALICANTE,J. Bone,Substitution In,(HLA ALICANTE) J. BONE: Sustitución (Entra a pista),D. Geu,J. Bone,K. Larsen,M. Torres Cuevas,S. Hollanders,A. Barcello,A. Galan Pozo ,F. Dos Anjos De Paula,L. Westermann,Y. Barrueta
1,10:00,600,0,0,MONBUS OBRADOIRO,A. Barcello,Substitution In,(MONBUS OBRADOIRO) A. BARCELLO: Sustitución (Entra a pista),D. Geu,J. Bone,K. Larsen,M. Torres Cuevas,S. Hollanders,A. Barcello,A. Galan Pozo ,F. Dos Anjos De Paula,L. Westermann,Y. Barrueta
1,10:00,600,0,0,MONBUS OBRADOIRO,L. Westermann,Substitution In,(MONBUS OBRADOIRO) L. WESTERMANN: Sustitución (Entra a pista),D. Geu,J. Bone,K. Larsen,M. Torres Cuevas,S. Hollanders,A. Barcello,A. Galan Pozo ,F. Dos Anjos De Paula,L. Westermann,Y. Barrueta
1,10:00,600,0,0,HLA ALICANTE,K. Larsen,Substitution In,(HLA ALICANTE) K. LARSEN: Sustitución (Entra a pista),D. Geu,J. Bone,K. Larsen,M. Torres Cuevas,S. Hollanders,A. Barcello,A. Galan Pozo ,F. Dos Anjos De Paula,L. Westermann,Y. Barrueta
1,10:00,600,0,0,,,Period,Comienzo del Cuarto 1,D. Geu,J. Bone,K. Larsen,M. Torres Cuevas,S. Hollanders,A. Barcello,A. Galan Pozo ,F. Dos Anjos De Paula,L. Westermann,Y. Barrueta
1,09:49,589,0,2,MONBUS OBRADOIRO,L. Westermann,2PT Made,(MONBUS OBRADOIRO) L. WESTERMANN: TIRO DE 2 ANOTADO (Puntos: 2),D. Geu,J. Bone,K. Larsen,M. Torres Cuevas,S. Hollanders,A. Barcello,A. Galan Pozo ,F. Dos Anjos De Paula,L. Westermann,Y. Barrueta
1,09:29,569,0,2,HLA ALICANTE,S. Hollanders,Rebound,(HLA ALICANTE) S. HOLLANDERS: REBOTE (Rebotes: 1),D. Geu,J. Bone,K. Larsen,M. Torres Cuevas,S. Hollanders,A. Barcello,A. Galan Pozo ,F. Dos Anjos De Paula,L. Westermann,Y. Barrueta
1,09:29,569,0,2,HLA ALICANTE,J. Bone,3PT Missed,(HLA ALICANTE) J. BONE: TIRO DE 3 FALLADO,D. Geu,J. Bone,K. Larsen,M. Torres Cuevas,S. Hollanders,A. Barcello,A. Galan Pozo ,F. Dos Anjos De Paula,L. Westermann,Y. Barrueta
1,09:22,562,0,2,MONBUS OBRADOIRO,L. Westermann,Foul,(MONBUS OBRADOIRO) L. WESTERMANN: FALTA Personal (Faltas: 1. Faltas de equipo: 1). Tiros libres: 0,D. Geu,J. Bone,K. Larsen,M. Torres Cuevas,S. Hollanders,A. Barcello,A. Galan Pozo ,F. Dos Anjos De Paula,L. Westermann,Y. Barrueta
1,09:11,551,0,2,MONBUS OBRADOIRO,F. Dos Anjos De Paula,Rebound,(MONBUS OBRADOIRO) F. DOS ANJOS DE PAULA: REBOTE (Rebotes: 1),D. Geu,J. Bone,K. Larsen,M. Torres Cuevas,S. Hollanders,A. Barcello,A. Galan Pozo ,F. Dos Anjos De Paula,L. Westermann,Y. Barrueta
1,09:11,551,0,2,HLA ALICANTE,S. Hollanders,3PT Missed,(HLA ALICANTE) S. HOLLANDERS: TIRO DE 3 FALLADO,D. Geu,J. Bone,K. Larsen,M. Torres Cuevas,S. Hollanders,A. Barcello,A. Galan Pozo ,F. Dos Anjos De Paula,L. Westermann,Y. Barrueta
1,08:58,538,0,4,MONBUS OBRADOIRO,F. Dos Anjos De Paula,2PT Made,(MONBUS OBRADOIRO) F. DOS ANJOS DE PAULA: TIRO DE 2 ANOTADO (Puntos: 2),D. Geu,J. Bone,K. Larsen,M. Torres Cuevas,S. Hollanders,A. Barcello,A. Galan Pozo ,F. Dos Anjos De Paula,L. Westermann,Y. Barrueta
1,08:58,538,0,4,MONBUS OBRADOIRO,A. Barcello,Assist,(MONBUS OBRADOIRO) A. BARCELLO: ASISTENCIA (Asistencias: 1),D. Geu,J. Bone,K. Larsen,M. Torres Cuevas,S. Hollanders,A. Barcello,A. Galan Pozo ,F. Dos Anjos De Paula,L. Westermann,Y. Barrueta
1,08:36,516,0,4,MONBUS OBRADOIRO,Rebote (Rebotes,Rebound,(MONBUS OBRADOIRO) REBOTE (Rebotes: 1),D. Geu,J. Bone,K. Larsen,M. Torres Cuevas,S. Hollanders,A. Barcello,A. Galan Pozo ,F. Dos Anjos De Paula,L. Westermann,Y. Barrueta
1,08:36,516,0,4,HLA ALICANTE,K. Larsen,3PT Missed,(HLA ALICANTE) K. LARSEN: TIRO DE 3 FALLADO,D. Geu,J. Bone,K. Larsen,M. Torres Cuevas,S. Hollanders,A. Barcello,A. Galan Pozo ,F. Dos Anjos De Paula,L. Westermann,Y. Barrueta
1,08:20,500,0,6,MONBUS OBRADOIRO,A. Barcello,2PT Made,(MONBUS OBRADOIRO) A. BARCELLO: TIRO DE 2 ANOTADO (Puntos: 2),D. Geu,J. Bone,K. Larsen,M. Torres Cuevas,S. Hollanders,A. Barcello,A. Galan Pozo ,F. Dos Anjos De Paula,L. Westermann,Y. Barrueta
1,08:02,482,3,6,HLA ALICANTE,D. Geu,3PT Made,(HLA ALICANTE) D. GEU: TIRO DE 3 ANOTADO (Puntos: 3),D. Geu,J. Bone,K. Larsen,M. Torres Cuevas,S. Hollanders,A. Barcello,A. Galan Pozo ,F. Dos Anjos De Paula,L. Westermann,Y. Barrueta
1,08:02,482,3,6,HLA ALICANTE,M. Torres Cuevas,Assist,(HLA ALICANTE) M. TORRES CUEVAS: ASISTENCIA (Asistencias: 1),D. Geu,J. Bone,K. Larsen,M. Torres Cuevas,S. Hollanders,A. Barcello,A. Galan Pozo ,F. Dos Anjos De Paula,L. Westermann,Y. Barrueta
1,07:50,470,3,8,MONBUS OBRADOIRO,A. Galan Pozo ,2PT Made,(MONBUS OBRADOIRO) A. GALAN POZO : TIRO DE 2 ANOTADO (Puntos: 2),D. Geu,J. Bone,K. Larsen,M. Torres Cuevas,S. Hollanders,A. Barcello,A. Galan Pozo ,F. Dos Anjos De Paula,L. Westermann,Y. Barrueta
1,07:50,470,3,8,MONBUS OBRADOIRO,L. Westermann,Assist,(MONBUS OBRADOIRO) L. WESTERMANN: ASISTENCIA (Asistencias: 1),D. Geu,J. Bone,K. Larsen,M. Torres Cuevas,S. Hollanders,A. Barcello,A. Galan Pozo ,F. Dos Anjos De Paula,L. Westermann,Y. Barrueta
1,07:37,457,4,8,HLA ALICANTE,J. Bone,FT Made,(HLA ALICANTE) J. BONE: TIRO DE 1 ANOTADO (Puntos: 1),D. Geu,J. Bone,K. Larsen,M. Torres Cuevas,S. Hollanders,A. Barcello,A. Galan Pozo ,F. Dos Anjos De Paula,L. Westermann,Y. Barrueta
1,07:37,457,5,8,HLA ALICANTE,J. Bone,FT Made,(HLA ALICANTE) J. BONE: TIRO DE 1 ANOTADO (Puntos: 2),D. Geu,J. Bone,K. Larsen,M. Torres Cuevas,S. Hollanders,A. Barcello,A. Galan Pozo ,F. Dos Anjos De Paula,L. Westermann,Y. Barrueta
