Period,Time,Seconds,Score_Home,Score_Away,Team,Player,Action_Type,text,H1,H2,H3,H4,H5,A1,A2,A3,A4,A5
1,10:00,600,0,0,GRUPO ALEGA CANTABRIA,S. Rodríguez Ramos,Substitution In,(GRUPO ALEGA CANTABRIA) S. RODRÍGUEZ RAMOS: Sustitución (Entra a pista),A. Comendador Femenias,A. Izaw Bolavie,D. Sanadze,N. Camacho De Sá,P. Scrubb,D. Alderete Diaz,G. Martinez Diaz,J. Yu,R. Johnson Jr,S. Rodríguez Ramos
1,10:00,600,0,0,GRUPO ALEGA CANTABRIA,J. Yu,Substitution In,(GRUPO ALEGA CANTABRIA) J. YU: Sustitución (Entra a pista),A. Comendador Femenias,A. Izaw Bolavie,D. Sanadze,N. Camacho De Sá,P. Scrubb,D. Alderete Diaz,G. Martinez Diaz,J. Yu,R. Johnson Jr,S. Rodríguez Ramos
1,10:00,600,0,0,GRUPO ALEGA CANTABRIA,D. Alderete Diaz,Substitution In,(GRUPO ALEGA CANTABRIA) D. ALDERETE DIAZ: Sustitución (Entra a pista),A. Comendador Femenias,A. Izaw Bolavie,D. Sanadze,N. Camacho De Sá,P. Scrubb,D. Alderete Diaz,G. Martinez Diaz,J. Yu,R. Johnson Jr,S. Rodríguez Ramos
1,10:00,600,0,0,PALMER BASKET MALLORCA PALMA,A. Comendador Femenias,Substitution In,(PALMER BASKET MALLORCA PALMA) A. COMENDADOR FEMENIAS: Sustitución (Entra a pista),A. Comendador Femenias,A. Izaw Bolavie,D. Sanadze,N. Camacho De Sá,P. Scrubb,D. Alderete Diaz,G. Martinez Diaz,J. Yu,R. Johnson Jr,S. Rodríguez Ramos
1,10:00,600,0,0,PALMER BASKET MALLORCA PALMA,D. Sanadze,Substitution In,(PALMER BASKET MALLORCA PALMA) D. SANADZE: Sustitución (Entra a pista),A. Comendador Femenias,A. Izaw Bolavie,D. Sanadze,N. Camacho De Sá,P. Scrubb,D. Alderete Diaz,G. Martinez Diaz,J. Yu,R. Johnson Jr,S. Rodríguez Ramos
1,10:00,600,0,0,GRUPO ALEGA CANTABRIA,G. Martinez Diaz,Substitution In,(GRUPO ALEGA CANTABRIA) G. MARTINEZ DIAZ: Sustitución (Entra a pista),A. Comendador Femenias,A. Izaw Bolavie,D. Sanadze,N. Camacho De Sá,P. Scrubb,D. Alderete Diaz,G. Martinez Diaz,J. Yu,R. Johnson Jr,S. Rodríguez Ramos
1,10:00,600,0,0,PALMER BASKET MALLORCA PALMA,N. Camacho De Sá,Substitution In,(PALMER BASKET MALLORCA PALMA) N. CAMACHO DE SÁ: Sustitución (Entra a pista),A. Comendador Femenias,A. Izaw Bolavie,D. Sanadze,N. Camacho De Sá,P. Scrubb,D. Alderete Diaz,G. Martinez Diaz,J. Yu,R. Johnson Jr,S. Rodríguez Ramos
1,10:00,600,0,0,GRUPO ALEGA CANTABRIA,R. Johnson Jr,Substitution In,(GRUPO ALEGA CANTABRIA) R. JOHNSON JR: Sustitución (Entra a pista),A. Comendador Femenias,A. Izaw Bolavie,D. Sanadze,N. Camacho De Sá,P. Scrubb,D. Alderete Diaz,G. Martinez Diaz,J. Yu,R. Johnson Jr,S. Rodríguez Ramos
1,10:00,600,0,0,PALMER BASKET MALLORCA PALMA,P. Scrubb,Substitution In,(PALMER BASKET MALLORCA PALMA) P. SCRUBB: Sustitución (Entra a pista),A. Comendador Femenias,A. Izaw Bolavie,D. Sanadze,N. Camacho De Sá,P. Scrubb,D. Alderete Diaz,G. Martinez Diaz,J. Yu,R. Johnson Jr,S. Rodríguez Ramos
1,10:00,600,0,0,PALMER BASKET MALLORCA PALMA,A. Izaw Bolavie,Substitution In,(PALMER BASKET MALLORCA PALMA) A. IZAW BOLAVIE: Sustitución (Entra a pista),A. Comendador Femenias,A. Izaw Bolavie,D. Sanadze,N. Camacho De Sá,P. Scrubb,D. Alderete Diaz,G. Martinez Diaz,J. Yu,R. Johnson Jr,S. Rodríguez Ramos
1,10:00,600,0,0,,,Period,Comienzo del Cuarto 1,A. Comendador Femenias,A. Izaw Bolavie,D. Sanadze,N. Camacho De Sá,P. Scrubb,D. Alderete Diaz,G. Martinez Diaz,J. Yu,R. Johnson Jr,S. Rodríguez Ramos
1,09:47,587,0,0,PALMER BASKET MALLORCA PALMA,A. Izaw Bolavie,Rebound,(PALMER BASKET MALLORCA PALMA) A. IZAW BOLAVIE: REBOTE (Rebotes: 1),A. Comendador Femenias,A. Izaw Bolavie,D. Sanadze,N. Camacho De Sá,P. Scrubb,D. Alderete Diaz,G. Martinez Diaz,J. Yu,R. Johnson Jr,S. Rodríguez Ramos
1,09:47,587,0,0,GRUPO ALEGA CANTABRIA,J. Yu,2PT Missed,(GRUPO ALEGA CANTABRIA) J. YU: TIRO DE 2 FALLADO,A. Comendador Femenias,A. Izaw Bolavie,D. Sanadze,N. Camacho De Sá,P. Scrubb,D. Alderete Diaz,G. Martinez Diaz,J. Yu,R. Johnson Jr,S. Rodríguez Ramos
1,09:26,566,0,0,GRUPO ALEGA CANTABRIA,S. Rodríguez Ramos,Steal,(GRUPO ALEGA CANTABRIA) S. RODRÍGUEZ RAMOS: ROBO (Robos: 1),A. Comendador Femenias,A. Izaw Bolavie,D. Sanadze,N. Camacho De Sá,P. Scrubb,D. Alderete Diaz,G. Martinez Diaz,J. Yu,R. Johnson Jr,S. Rodríguez Ramos
1,09:26,566,0,0,PALMER BASKET MALLORCA PALMA,A. Izaw Bolavie,Turnover,(PALMER BASKET MALLORCA PALMA) A. IZAW BOLAVIE: PÉRDIDA (Pérdidas: 1),A. Comendador Femenias,A. Izaw Bolavie,D. Sanadze,N. Camacho De Sá,P. Scrubb,D. Alderete Diaz,G. Martinez Diaz,J. Yu,R. Johnson Jr,S. Rodríguez Ramos
