Period,Time,Seconds,Score_Home,Score_Away,Team,Player,Action_Type,text,H1,H2,H3,H4,H5,A1,A2,A3,A4,A5
1,10:00,600,0,0,ALIMERKA OVIEDO BALONCESTO,F. Nwaokorie,Substitution In,(ALIMERKA OVIEDO BALONCESTO) F. NWAOKORIE: Sustitución (Entra a pista),A. Faure Ribes,F. Nwaokorie,G. Parham Ii,M. Townes Villar,R. Lobaco Muñoz,A. Ngom,G. Korsantia,G. Maiza Apecechea,I. Arroyo Varela,O. Hanzlik
1,10:00,600,0,0,INVEREADY GIPUZKOA,A. Ngom,Substitution In,(INVEREADY GIPUZKOA) A. NGOM: Sustitución (Entra a pista),A. Faure Ribes,F. Nwaokorie,G. Parham Ii,M. Townes Villar,R. Lobaco Muñoz,A. Ngom,G. Korsantia,G. Maiza Apecechea,I. Arroyo Varela,O. Hanzlik
1,10:00,600,0,0,INVEREADY GIPUZKOA,O. Hanzlik,Substitution In,(INVEREADY GIPUZKOA) O. HANZLIK: Sustitución (Entra a pista),A. Faure Ribes,F. Nwaokorie,G. Parham Ii,M. Townes Villar,R. Lobaco Muñoz,A. Ngom,G. Korsantia,G. Maiza Apecechea,I. Arroyo Varela,O. Hanzlik
1,10:00,600,0,0,INVEREADY GIPUZKOA,I. Arroyo Varela,Substitution In,(INVEREADY GIPUZKOA) I. ARROYO VARELA: Sustitución (Entra a pista),A. Faure Ribes,F. Nwaokorie,G. Parham Ii,M. Townes Villar,R. Lobaco Muñoz,A. Ngom,G. Korsantia,G. Maiza Apecechea,I. Arroyo Varela,O. Hanzlik
1,10:00,600,0,0,ALIMERKA OVIEDO BALONCESTO,M. Townes Villar,Substitution In,(ALIMERKA OVIEDO BALONCESTO) M. TOWNES VILLAR: Sustitución (Entra a pista),A. Faure Ribes,F. Nwaokorie,G. Parham Ii,M. Townes Villar,R. Lobaco Muñoz,A. Ngom,G. Korsantia,G. Maiza Apecechea,I. Arroyo Varela,O. Hanzlik
1,10:00,600,0,0,ALIMERKA OVIEDO BALONCESTO,A. Faure Ribes,Substitution In,(ALIMERKA OVIEDO BALONCESTO) A. FAURE RIBES: Sustitución (Entra a pista),A. Faure Ribes,F. Nwaokorie,G. Parham Ii,M. Townes Villar,R. Lobaco Muñoz,A. Ngom,G. Korsantia,G. Maiza Apecechea,I. Arroyo Varela,O. Hanzlik
1,10:00,600,0,0,INVEREADY GIPUZKOA,G. Maiza Apecechea,Substitution In,(INVEREADY GIPUZKOA) G. MAIZA APECECHEA: Sustitución (Entra a pista),A. Faure Ribes,F. Nwaokorie,G. Parham Ii,M. Townes Villar,R. Lobaco Muñoz,A. Ngom,G. Korsantia,G. Maiza Apecechea,I. Arroyo Varela,O. Hanzlik
1,10:00,600,0,0,ALIMERKA OVIEDO BALONCESTO,G. Parham Ii,Substitution In,(ALIMERKA OVIEDO BALONCESTO) G. PARHAM II: Sustitución (Entra a pista),A. Faure Ribes,F. Nwaokorie,G. Parham Ii,M. Townes Villar,R. Lobaco Muñoz,A. Ngom,G. Korsantia,G. Maiza Apecechea,I. Arroyo Varela,O. Hanzlik
1,10:00,600,0,0,ALIMERKA OVIEDO BALONCESTO,R. Lobaco Muñoz,Substitution In,(ALIMERKA OVIEDO BALONCESTO) R. LOBACO MUÑOZ: Sustitución (Entra a pista),A. Faure Ribes,F. Nwaokorie,G. Parham Ii,M. Townes Villar,R. Lobaco Muñoz,A. Ngom,G. Korsantia,G. Maiza Apecechea,I. Arroyo Varela,O. Hanzlik
1,10:00,600,0,0,INVEREADY GIPUZKOA,G. Korsantia,Substitution In,(INVEREADY GIPUZKOA) G. KORSANTIA: Sustitución (Entra a pista),A. Faure Ribes,F. Nwaokorie,G. Parham Ii,M. Townes Villar,R. Lobaco Muñoz,A. Ngom,G. Korsantia,G. Maiza Apecechea,I. Arroyo Varela,O. Hanzlik
1,10:00,600,0,0,,,Period,Comienzo del Cuarto 1,A. Faure Ribes,F. Nwaokorie,G. Parham Ii,M. Townes Villar,R. Lobaco Muñoz,A. Ngom,G. Korsantia,G. Maiza Apecechea,I. Arroyo Varela,O. Hanzlik
1,09:36,576,0,0,ALIMERKA OVIEDO BALONCESTO,A. Faure Ribes,Rebound,(ALIMERKA OVIEDO BALONCESTO) A. FAURE RIBES: REBOTE (Rebotes: 1),A. Faure Ribes,F. Nwaokorie,G. Parham Ii,M. Townes Villar,R. Lobaco Muñoz,A. Ngom,G. Korsantia,G. Maiza Apecechea,I. Arroyo Varela,O. Hanzlik
1,09:36,576,0,0,INVEREADY GIPUZKOA,G. Korsantia,3PT Missed,(INVEREADY GIPUZKOA) G. KORSANTIA: TIRO DE 3 FALLADO,A. Faure Ribes,F. Nwaokorie,G. Parham Ii,M. Townes Villar,R. Lobaco Muñoz,A. Ngom,G. Korsantia,G. Maiza Apecechea,I. Arroyo Varela,O. Hanzlik
1,09:30,570,1,0,ALIMERKA OVIEDO BALONCESTO,M. Townes Villar,FT Made,(ALIMERKA OVIEDO BALONCESTO) M. TOWNES VILLAR: TIRO DE 1 ANOTADO (Puntos: 1),A. Faure Ribes,F. Nwaokorie,G. Parham Ii,M. Townes Villar,R. Lobaco Muñoz,A. Ngom,G. Korsantia,G. Maiza Apecechea,I. Arroyo Varela,O. Hanzlik
1,09:30,570,1,0,INVEREADY GIPUZKOA,A. Ngom,Rebound,(INVEREADY GIPUZKOA) A. NGOM: REBOTE (Rebotes: 1),A. Faure Ribes,F. Nwaokorie,G. Parham Ii,M. Townes Villar,R. Lobaco Muñoz,A. Ngom,G. Korsantia,G. Maiza Apecechea,I. Arroyo Varela,O. Hanzlik
1,09:30,570,1,0,ALIMERKA OVIEDO BALONCESTO,M. Townes Villar,FT Missed,(ALIMERKA OVIEDO BALONCESTO) M. TOWNES VILLAR: TIRO DE 1 FALLADO,A. Faure Ribes,F. Nwaokorie,G. Parham Ii,M. Townes Villar,R. Lobaco Muñoz,A. Ngom,G. Korsantia,G. Maiza Apecechea,I. Arroyo Varela,O. Hanzlik
