Period,Time,Seconds,Score_Home,Score_Away,Team,Player,Action_Type,text,H1,H2,H3,H4,H5,A1,A2,A3,A4,A5
1,10:00,600,0,0,LEYMA CORUÑA,D. Radoncic,Substitution In,(LEYMA CORUÑA) D. RADONCIC: Sustitución (Entra a pista),I. Jakovics,J. Vrankic,M. Armus,M. Heron,M. Kamba,D. Cuevas Simarro,D. Radoncic,G. Jou Coll,J. Cremo,S. Barro
1,10:00,600,0,0,LEYMA CORUÑA,S. Barro,Substitution In,(LEYMA CORUÑA) S. BARRO: Sustitución (Entra a pista),I. Jakovics,J. Vrankic,M. Armus,M. Heron,M. Kamba,D. Cuevas Simarro,D. Radoncic,G. Jou Coll,J. Cremo,S. Barro
1,10:00,600,0,0,SÚPER AGROPAL PALENCIA,M. Kamba,Substitution In,(SÚPER AGROPAL PALENCIA) M. KAMBA: Sustitución (Entra a pista),I. Jakovics,J. Vrankic,M. Armus,M. Heron,M. Kamba,D. Cuevas Simarro,D. Radoncic,G. Jou Coll,J. Cremo,S. Barro
1,10:00,600,0,0,LEYMA CORUÑA,G. Jou Coll,Substitution In,(LEYMA CORUÑA) G. JOU COLL: Sustitución (Entra a pista),I. Jakovics,J. Vrankic,M. Armus,M. Heron,M. Kamba,D. Cuevas Simarro,D. Radoncic,G. Jou Coll,J. Cremo,S. Barro
1,10:00,600,0,0,LEYMA CORUÑA,D. Cuevas Simarro,Substitution In,(LEYMA CORUÑA) D. CUEVAS SIMARRO: Sustitución (Entra a pista),I. Jakovics,J. Vrankic,M. Armus,M. Heron,M. Kamba,D. Cuevas Simarro,D. Radoncic,G. Jou Coll,J. Cremo,S. Barro
1,10:00,600,0,0,SÚPER AGROPAL PALENCIA,I. Jakovics,Substitution In,(SÚPER AGROPAL PALENCIA) I. JAKOVICS: Sustitución (Entra a pista),I. Jakovics,J. Vrankic,M. Armus,M. Heron,M. Kamba,D. Cuevas Simarro,D. Radoncic,G. Jou Coll,J. Cremo,S. Barro
1,10:00,600,0,0,SÚPER AGROPAL PALENCIA,J. Vrankic,Substitution In,(SÚPER AGROPAL PALENCIA) J. VRANKIC: Sustitución (Entra a pista),I. Jakovics,J. Vrankic,M. Armus,M. Heron,M. Kamba,D. Cuevas Simarro,D. Radoncic,G. Jou Coll,J. Cremo,S. Barro
1,10:00,600,0,0,SÚPER AGROPAL PALENCIA,M. Armus,Substitution In,(SÚPER AGROPAL PALENCIA) M. ARMUS: Sustitución (Entra a pista),I. Jakovics,J. Vrankic,M. Armus,M. Heron,M. Kamba,D. Cuevas Simarro,D. Radoncic,G. Jou Coll,J. Cremo,S. Barro
1,10:00,600,0,0,SÚPER AGROPAL PALENCIA,M. Heron,Substitution In,(SÚPER AGROPAL PALENCIA) M. HERON: Sustitución (Entra a pista),I. Jakovics,J. Vrankic,M. Armus,M. Heron,M. Kamba,D. Cuevas Simarro,D. Radoncic,G. Jou Coll,J. Cremo,S. Barro
1,10:00,600,0,0,LEYMA CORUÑA,J. Cremo,Substitution In,(LEYMA CORUÑA) J. CREMO: Sustitución (Entra a pista),I. Jakovics,J. Vrankic,M. Armus,M. Heron,M. Kamba,D. Cuevas Simarro,D. Radoncic,G. Jou Coll,J. Cremo,S. Barro
